Assembly No,Constituency No,Year,month,DelimID,Poll No,Position,Candidate,Sex,Party,Votes,Age of Winner,Average Age of Contestants,Candidate Type,No. of Valid Votes Casted,No. of Electors,Select Constituency,Constituency Type,District,Sub Region,No. of Candidates,Turnout Rate,Vote Share,Deposit Lost,Winning Margin,Winning Margin Percentage,ENOP,pid,Party Type TCPD,Party ID,last poll,No. of Terms Held by Winner,Last Party,Last Party ID,Last Constituency Name,Same Constituency,Same Party,No Terms,Turncoat,No. of Turncoat,% of Turncoats,Incumbent,Recontest,No. of Recontests,% of Recontests,MyNeta education,TCPD Prof Main,TCPD Prof Main Desc,TCPD Prof Second,TCPD Prof Second Desc
13,17,2019,10,4,0,5,NOTA,,NOTA,1677,,46.125,,217953,345660,Chalisgaon,GEN,Jalgaon,Khandesh,8,63.05,0.77,,278,0.13,3.03,,NOTA,5897,True,,,,,,,,,0,0,,,2,0.25,,,,,
13,18,2019,10,4,0,5,NOTA,,NOTA,1724,,44.2857142857143,,201417,315444,Pachora,GEN,Jalgaon,Khandesh,7,63.85,0.86,,777,0.39,3.12,,NOTA,5897,True,,,,,,,,,0,0,,,1,0.142857142857143,,,,,
13,19,2019,10,4,0,5,NOTA,,NOTA,2105,,41.5555555555556,,208765,308952,Jamner,GEN,Jalgaon,Khandesh,9,67.57,1.01,,666,0.32,2.22,,NOTA,5897,True,,,,,,,,,1,0.111111111111111,,,1,0.111111111111111,,,,,
13,20,2019,10,4,0,4,NOTA,,NOTA,1806,,40.1428571428571,,196220,290175,Muktainagar,GEN,Jalgaon,Khandesh,7,67.62,0.92,,221,0.11,2.33,,NOTA,5897,True,,,,,,,,,0,0,,,1,0.142857142857143,,,,,
13,21,2019,10,4,0,5,NOTA,,NOTA,1854,,41.8181818181818,,186252,268718,Malkapur,GEN,Buldhana,Vidarbha,11,69.31,1,,833,0.45,2.78,,NOTA,5897,True,,,,,,,,,0,0,,,1,0.0909090909090909,,,,,
13,22,2019,10,4,0,7,NOTA,,NOTA,1088,,52,,179198,306272,Buldhana,GEN,Buldhana,Vidarbha,7,58.51,0.61,,438,0.24,4,,NOTA,5897,True,,,,,,,,,2,0.285714285714286,,,4,0.571428571428571,,,,,
13,23,2019,10,4,0,5,NOTA,,NOTA,1035,,46.1,,194182,295018,Chikhli,GEN,Buldhana,Vidarbha,10,65.82,0.53,,484,0.25,2.33,,NOTA,5897,True,,,,,,,,,0,0,,,1,0.1,,,,,
13,24,2019,10,4,0,4,NOTA,,NOTA,1616,,38.9,,201315,312571,Sindkhed Raja,GEN,Buldhana,Vidarbha,10,64.41,0.8,,301,0.15,3.03,,NOTA,5897,True,,,,,,,,,0,0,,,1,0.1,,,,,
13,25,2019,10,4,0,4,NOTA,,NOTA,2241,,50.2,,174816,293549,Mehkar (SC),SC,Buldhana,Vidarbha,5,59.55,1.28,,830,0.47,2.04,,NOTA,5897,True,,,,,,,,,0,0,,,1,0.2,,,,,
13,26,2019,10,4,0,4,NOTA,,NOTA,1873,,47.5833333333333,,198171,280436,Khamgaon,GEN,Buldhana,Vidarbha,12,70.67,0.95,,449,0.23,2.7,,NOTA,5897,True,,,,,,,,,0,0,,,1,0.0833333333333333,,,,,
13,27,2019,10,4,0,4,NOTA,,NOTA,2232,,45.5,,203737,289736,Jalgaon (Jamod),GEN,Buldhana,Vidarbha,4,70.32,1.1,,951,0.47,2.63,,NOTA,5897,True,,,,,,,,,0,0,,,1,0.25,,,,,
13,28,2019,10,4,0,9,NOTA,,NOTA,857,,47.5294117647059,,182915,285150,Akot,GEN,Akola,Vidarbha,17,64.15,0.47,,65,0.04,5.56,,NOTA,5897,True,,,,,,,,,0,0,,,1,0.0588235294117647,,,,,
13,29,2019,10,4,0,6,NOTA,,NOTA,1753,,42.3333333333333,,195443,295885,Balapur,GEN,Akola,Vidarbha,15,66.05,0.9,,666,0.34,3.85,,NOTA,5897,True,,,,,,,,,1,0.0666666666666667,,,0,0,,,,,
13,30,2019,10,4,0,4,NOTA,,NOTA,2617,,51.6666666666667,,169456,332220,Akola West,GEN,Akola,Vidarbha,9,51.01,1.54,,2086,1.23,2.7,,NOTA,5897,True,,,,,,,,,1,0.111111111111111,,,2,0.222222222222222,,,,,
13,31,2019,10,4,0,4,NOTA,,NOTA,2381,,46.9230769230769,,193339,344835,Akola East,GEN,Akola,Vidarbha,13,56.07,1.23,,1548,0.8,2.38,,NOTA,5897,True,,,,,,,,,1,0.0769230769230769,,,2,0.153846153846154,,,,,
13,32,2019,10,4,0,6,NOTA,,NOTA,1225,,48.9285714285714,,175469,321817,Murtijapur (SC),SC,Akola,Vidarbha,14,54.52,0.7,,375,0.21,3.57,,NOTA,5897,True,,,,,,,,,0,0,,,3,0.214285714285714,,,,,
13,33,2019,10,4,0,5,NOTA,,NOTA,1534,,45.1875,,205417,308878,Risod,GEN,Washim,Vidarbha,16,66.5,0.75,,129,0.06,3.7,,NOTA,5897,True,,,,,,,,,0,0,,,0,0,,,,,
13,34,2019,10,4,0,6,NOTA,,NOTA,1491,,41.8461538461539,,206733,349279,Washim (SC),SC,Washim,Vidarbha,13,59.19,0.72,,80,0.04,4.35,,NOTA,5897,True,,,,,,,,,0,0,,,1,0.0769230769230769,,,,,
13,35,2019,10,4,0,7,NOTA,,NOTA,1142,,47.2,,186342,301654,Karanja,GEN,Washim,Vidarbha,15,61.77,0.61,,576,0.31,3.7,,NOTA,5897,True,,,,,,,,,1,0.0666666666666667,,,4,0.266666666666667,,,,,
13,36,2019,10,4,0,10,NOTA,,NOTA,788,,43.35,,209820,314698,Dhamamgaon Railway,GEN,Amravati,Vidarbha,20,66.67,0.38,,370,0.18,2.86,,NOTA,5897,True,,,,,,,,,0,0,,,1,0.05,,,,,
13,37,2019,10,4,0,6,NOTA,,NOTA,1329,,41.4444444444444,,186665,355888,Badnera,GEN,Amravati,Vidarbha,18,52.45,0.71,,562,0.3,2.56,,NOTA,5897,True,,,,,,,,,0,0,,,1,0.0555555555555556,,,,,
13,38,2019,10,4,0,4,NOTA,,NOTA,1944,,47.1,,172723,345746,Amravati,GEN,Amravati,Vidarbha,20,49.96,1.13,,154,0.09,2.63,,NOTA,5897,True,,,,,,,,,0,0,,,2,0.1,,,,,
13,39,2019,10,4,0,6,NOTA,,NOTA,1131,,46.7,,173676,295992,Teosa,GEN,Amravati,Vidarbha,10,58.68,0.65,,460,0.26,2.94,,NOTA,5897,True,,,,,,,,,0,0,,,0,0,,,,,
13,40,2019,10,4,0,6,NOTA,,NOTA,1376,,47.9090909090909,,190346,297583,Daryapur (SC),SC,Amravati,Vidarbha,11,63.96,0.72,,462,0.24,2.63,,NOTA,5897,True,,,,,,,,,2,0.181818181818182,,,2,0.181818181818182,,,,,
13,41,2019,10,4,0,5,NOTA,,NOTA,2835,,44.25,,181941,277523,Melghat (ST),ST,Amravati,Vidarbha,8,65.56,1.56,,490,0.27,3.12,,NOTA,5897,True,,,,,,,,,2,0.25,,,2,0.25,,,,,
13,42,2019,10,4,0,7,NOTA,,NOTA,1496,,44,,185161,275255,Achalpur,GEN,Amravati,Vidarbha,11,67.27,0.81,,344,0.19,2.86,,NOTA,5897,True,,,,,,,,,0,0,,,1,0.0909090909090909,,,,,
