Assembly No,Constituency No,Year,month,Poll No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate Type,No. of Valid Votes Casted,No. of Registered Electors,Select Constituency,District,Constituency Type,Sub Region,No. of Candidates,Turnout Rate,Vote Share,Deposit Lost,Winning Margin,Winning Margin Percentage,ENOP,pid,Party Type TCPD,Party ID,last poll,Contested,Last Party,Last Party ID,Last Constituency Name,Same Constituency,Same Party,No. of Terms Held by Winner,Turncoat,No. of Turncoat Candidates,% of Candidates Turncoat,Incumbent,Recontest,No. of Recontesting Candidates,% of Candidates Recontesting,MyNeta education,TCPD Prof Main,TCPD Prof Main Desc,TCPD Prof Second,TCPD Prof Second Desc,
17,40,2019,4,0,4,1,Omprakash Bhupalsinh Alias Pawan Rajenimbalkar,M,SHS,596640,SC,1204730,1889740,Osmanabad,Dharashiv,GEN,,14,63.75,49.52,no,127566,10.59,2.44,GEMH115307,State-based Party,18691,True,1,,,,,,1,False,0,0,False,False,1,7.14285714285714,12th Pass,Agriculture,,,,
17,40,2019,4,0,4,1,Omprakash Bhupalsinh Alias Pawan Rajenimbalkar,M,SHS,596640,SC,1204730,1889740,Osmanabad,Latur,GEN,,14,63.75,49.52,no,127566,10.59,2.44,GEMH115307,State-based Party,18691,True,1,,,,,,1,False,0,0,False,False,1,7.14285714285714,12th Pass,Agriculture,,,,
17,40,2019,4,0,4,1,Omprakash Bhupalsinh Alias Pawan Rajenimbalkar,M,SHS,596640,SC,1204730,1889740,Osmanabad,Solapur,GEN,,14,63.75,49.52,no,127566,10.59,2.44,GEMH115307,State-based Party,18691,True,1,,,,,,1,False,0,0,False,False,1,7.14285714285714,12th Pass,Agriculture,,,,
17,41,2019,4,0,4,1,Sudhakar Tukaram Shrangare,M,BJP,661495,SC,1176542,1886657,Latur (SC),Latur,SC,,10,62.36,56.22,no,289111,24.57,2.33,GEMH115320,National Party,1605,True,1,,,,,,1,False,0,0,False,False,0,0,10th Pass,Business,Contractor,,,
17,41,2019,4,0,4,1,Sudhakar Tukaram Shrangare,M,BJP,661495,SC,1176542,1886657,Latur (SC),Nanded,SC,,10,62.36,56.22,no,289111,24.57,2.33,GEMH115320,National Party,1605,True,1,,,,,,1,False,0,0,False,False,0,0,10th Pass,Business,Contractor,,,
17,42,2019,4,0,4,1,SHRI. SHA. BRA. DR. JAI SIDHESHWAR SHIVACHARY MAHASWAMIJI,M,BJP,524985,SC,1084514,1851654,Solapur (SC),Solapur,SC,,13,58.57,48.41,no,158608,14.62,2.78,GEMH115330,National Party,1605,True,1,,,,,,1,False,1,7.69230769230769,False,False,4,30.7692307692308,Graduate,Other,,,,
17,43,2019,4,0,4,1,Ranjeetsinha Hindurao Naik- Nimbalkar,M,BJP,586314,,1216319,1909574,Madha,Satara,GEN,,31,63.7,48.2,no,85764,7.05,2.5,GEMH115339,National Party,1605,True,1,,,,,,1,False,0,0,False,False,3,9.67741935483871,12th Pass,Business,,Agriculture,,
17,43,2019,4,0,4,1,Ranjeetsinha Hindurao Naik- Nimbalkar,M,BJP,586314,,1216319,1909574,Madha,Solapur,GEN,,31,63.7,48.2,no,85764,7.05,2.5,GEMH115339,National Party,1605,True,1,,,,,,1,False,0,0,False,False,3,9.67741935483871,12th Pass,Business,,Agriculture,,
17,44,2019,4,0,4,1,Sanjaykaka Patil,M,BJP,508995,GEN,1189958,1809109,Sangli,Sangli,GEN,,12,65.78,42.77,no,164352,13.81,3.12,GEMH8056,National Party,1605,True,2,BJP,1605,SANGLI,1,1,2,False,0,0,True,True,1,8.33333333333333,10th Pass,Business,,Agriculture,,
17,45,2019,4,0,4,1,SHRIMANT CHH. UDAYANRAJE PRATAPSINHMAHARAJ BHONSLE,M,NCP,579026,GEN,1115434,1848489,Satara,Satara,GEN,,9,60.34,51.91,no,126528,11.34,2.33,AEMH96605,State-based Party,5792,False,3,NCP,5792,SATARA,1,1,3,False,0,0,True,True,2,22.2222222222222,12th Pass,Traditional Occupation,,,,
17,46,2019,4,0,4,1,Vinayak Raut,M,SHS,458022,GEN,901102,1455577,Ratnagiri - Sindhudurg,Ratnagiri,GEN,,12,61.91,50.83,no,178322,19.79,2.78,AEMH94916,State-based Party,18691,True,2,SHS,18691,RATNAGIRI - SINDHUDURG,1,1,2,False,1,8.33333333333333,True,True,2,16.6666666666667,Post Graduate,Social Work,,,,
17,46,2019,4,0,4,1,Vinayak Raut,M,SHS,458022,GEN,901102,1455577,Ratnagiri - Sindhudurg,Sindhudurg,GEN,,12,61.91,50.83,no,178322,19.79,2.78,AEMH94916,State-based Party,18691,True,2,SHS,18691,RATNAGIRI - SINDHUDURG,1,1,2,False,1,8.33333333333333,True,True,2,16.6666666666667,Post Graduate,Social Work,,,,
17,47,2019,4,0,4,1,Sanjay Sadashivrao Mandlik,M,SHS,749085,,1330852,1880496,Kolhapur,Kolhapur,GEN,,15,70.77,56.29,no,270568,20.33,2.22,GEMH115393,State-based Party,18691,True,1,,,,,,1,False,0,0,False,False,3,20,Post Graduate,Agriculture,,,,
17,48,2019,4,0,4,1,Dhairyasheel Sambhajirao Mane,M,SHS,585776,,1252211,1776555,Hatkanangle,Kolhapur,GEN,,17,70.49,46.78,no,96039,7.67,2.63,GEMH115405,State-based Party,18691,True,1,,,,,,1,False,0,0,False,False,2,11.7647058823529,Graduate,Business,,Agriculture,,
17,48,2019,4,0,4,1,Dhairyasheel Sambhajirao Mane,M,SHS,585776,,1252211,1776555,Hatkanangle,Sangli,GEN,,17,70.49,46.78,no,96039,7.67,2.63,GEMH115405,State-based Party,18691,True,1,,,,,,1,False,0,0,False,False,2,11.7647058823529,Graduate,Business,,Agriculture,,
