Assembly No,Constituency No,Year,month,Poll No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate Type,Valid Votes,Electors,Select Constituency,District,Constituency Type,Sub Region,N Cand,Turnout Percentage,Vote Share,Deposit Lost,Margin,Margin Percentage,ENOP,pid,Party Type TCPD,Party ID,last poll,Contested,Last Party,Last Party ID,Last Constituency Name,Same Constituency,Same Party,No Terms,Turncoat,Incumbent,Recontest,MyNeta education,TCPD Prof Main,TCPD Prof Main Desc,TCPD Prof Second,TCPD Prof Second Desc,
16,31,2014,4,0,4,5,None of the Above,NOTA,NOTA,9573,,779741,1485844,Mumbai South,Mumbai City,GEN,,20,52.48,1.23,,2676,0.34,2.94,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,32,2014,4,0,4,4,None of the Above,NOTA,NOTA,20362,,987766,1532781,Raigad,Raigad,GEN,,10,64.44,2.06,,9852,1,2.94,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,32,2014,4,0,4,4,None of the Above,NOTA,NOTA,20362,,987766,1532781,Raigad,Ratnagiri,GEN,,10,64.44,2.06,,9852,1,2.94,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,33,2014,4,0,4,7,None of the Above,NOTA,NOTA,11186,,1174335,1953741,Maval,Pune,GEN,,19,60.11,0.95,,2246,0.19,3.33,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,33,2014,4,0,4,7,None of the Above,NOTA,NOTA,11186,,1174335,1953741,Maval,Raigad,GEN,,19,60.11,0.95,,2246,0.19,3.33,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,34,2014,4,0,4,7,None of the Above,NOTA,NOTA,6438,,993278,1835835,Pune,Pune,GEN,,29,54.1,0.65,,4179,0.42,2.44,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,35,2014,4,0,4,5,None of the Above,NOTA,NOTA,14216,,1066556,1813553,Baramati,Pune,GEN,,9,58.81,1.33,,5405,0.51,2.38,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,36,2014,4,0,4,6,None of the Above,NOTA,NOTA,11995,,1089506,1824112,Shirur,Pune,GEN,,14,59.73,1.1,,8145,0.75,2.22,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,37,2014,4,0,4,5,None of the Above,NOTA,NOTA,7473,,1062318,1705005,Ahmadnagar,Ahilyanagar,GEN,,13,62.31,0.7,,353,0.03,2.17,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,38,2014,4,0,4,5,None of the Above,NOTA,NOTA,9879,,932645,1462267,Shirdi (SC),Ahilyanagar,SC,,14,63.78,1.06,,583,0.06,2.17,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,39,2014,4,0,4,18,None of the Above,NOTA,NOTA,2323,,1232200,1792652,Beed,Beed,GEN,,39,68.74,0.19,,393,0.03,2.33,,NOTA,5897,False,,,,,,,,,,,,,,,,
16,40,2014,4,0,4,9,None of the Above,NOTA,NOTA,4613,,1118151,1759186,Osmanabad,Dharashiv,GEN,,27,63.56,0.41,,373,0.03,2.44,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,40,2014,4,0,4,9,None of the Above,NOTA,NOTA,4613,,1118151,1759186,Osmanabad,Latur,GEN,,27,63.56,0.41,,373,0.03,2.44,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,40,2014,4,0,4,9,None of the Above,NOTA,NOTA,4613,,1118151,1759186,Osmanabad,Solapur,GEN,,27,63.56,0.41,,373,0.03,2.44,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,41,2014,4,0,4,4,None of the Above,NOTA,NOTA,13996,,1057156,1686957,Latur (SC),Latur,SC,,18,62.67,1.32,,4167,0.39,2.17,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,41,2014,4,0,4,4,None of the Above,NOTA,NOTA,13996,,1057156,1686957,Latur (SC),Nanded,SC,,18,62.67,1.32,,4167,0.39,2.17,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,42,2014,4,0,4,4,None of the Above,NOTA,NOTA,13778,,951201,1702739,Solapur (SC),Solapur,SC,,16,55.86,1.45,,4517,0.47,2.22,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,43,2014,4,0,4,11,None of the Above,NOTA,NOTA,4209,,1079619,1727322,Madha,Satara,GEN,,24,62.5,0.39,,70,0.01,2.5,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,43,2014,4,0,4,11,None of the Above,NOTA,NOTA,4209,,1079619,1727322,Madha,Solapur,GEN,,24,62.5,0.39,,70,0.01,2.5,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,44,2014,4,0,4,6,None of the Above,NOTA,NOTA,6110,,1046659,1649107,Sangli,Sangli,GEN,,17,63.47,0.58,,1411,0.13,2.13,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,45,2014,4,0,4,12,None of the Above,NOTA,NOTA,10589,,976681,1719998,Satara,Satara,GEN,,18,56.78,1.08,,542,0.06,2.94,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,46,2014,4,0,4,5,None of the Above,NOTA,NOTA,12393,,896256,1367362,Ratnagiri - Sindhudurg,Ratnagiri,GEN,,10,65.55,1.38,,5065,0.57,2.22,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,46,2014,4,0,4,5,None of the Above,NOTA,NOTA,12393,,896256,1367362,Ratnagiri - Sindhudurg,Sindhudurg,GEN,,10,65.55,1.38,,5065,0.57,2.22,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,47,2014,4,0,4,8,None of the Above,NOTA,NOTA,7015,,1260289,1758293,Kolhapur,Kolhapur,GEN,,15,71.68,0.56,,901,0.07,2.27,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,48,2014,4,0,4,5,None of the Above,NOTA,NOTA,10059,,1188871,1630604,Hatkanangle,Kolhapur,GEN,,13,72.91,0.85,,1044,0.09,2.27,,NOTA,5897,True,,,,,,,,,,,,,,,,
16,48,2014,4,0,4,5,None of the Above,NOTA,NOTA,10059,,1188871,1630604,Hatkanangle,Sangli,GEN,,13,72.91,0.85,,1044,0.09,2.27,,NOTA,5897,True,,,,,,,,,,,,,,,,
