Assembly No,Constituency No,Year,month,Poll No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate Type,Valid Votes,Electors,Select Constituency,District,Constituency Type,Sub Region,N Cand,Turnout Percentage,Vote Share,Deposit Lost,Margin,Margin Percentage,ENOP,pid,Party Type TCPD,Party ID,last poll,Contested,Last Party,Last Party ID,Last Constituency Name,Same Constituency,Same Party,No Terms,Turncoat,Incumbent,Recontest,MyNeta education,TCPD Prof Main,TCPD Prof Main Desc,TCPD Prof Second,TCPD Prof Second Desc,
17,7,2019,4,0,4,7,NOTA,,NOTA,5322,,1112385,1833091,Amravati (SC),Amravati,SC,,24,60.68,0.48,,568,0.05,2.56,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,8,2019,4,0,4,5,NOTA,,NOTA,6510,,1072570,1743283,Wardha,Amravati,GEN,,14,61.53,0.61,,386,0.04,2.38,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,8,2019,4,0,4,5,NOTA,,NOTA,6510,,1072570,1743283,Wardha,Wardha,GEN,,14,61.53,0.61,,386,0.04,2.38,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,9,2019,4,0,4,5,NOTA,,NOTA,11920,,1196744,1922764,Ramtek (SC),Nagpur,SC,,16,62.24,1,,3206,0.27,2.5,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,10,2019,4,0,4,5,NOTA,,NOTA,4578,,1186051,2161096,Nagpur,Nagpur,GEN,,30,54.88,0.39,,1166,0.1,2.22,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,11,2019,4,0,4,6,NOTA,,NOTA,10524,,1244931,1811556,Bhandara - Gondiya,Bhandara,GEN,,14,68.72,0.85,,3541,0.28,2.5,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,11,2019,4,0,4,6,NOTA,,NOTA,10524,,1244931,1811556,Bhandara - Gondiya,Gondia,GEN,,14,68.72,0.85,,3541,0.28,2.5,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,12,2019,4,0,4,5,NOTA,,NOTA,24599,,1142698,1581366,Gadchiroli-Chimur (ST),Chandrapur,ST,,5,72.26,2.15,,8482,0.74,2.7,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,12,2019,4,0,4,5,NOTA,,NOTA,24599,,1142698,1581366,Gadchiroli-Chimur (ST),Gadchiroli,ST,,5,72.26,2.15,,8482,0.74,2.7,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,12,2019,4,0,4,5,NOTA,,NOTA,24599,,1142698,1581366,Gadchiroli-Chimur (ST),Gondia,ST,,5,72.26,2.15,,8482,0.74,2.7,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,13,2019,4,0,4,5,NOTA,,NOTA,11377,,1238474,1910188,Chandrapur,Chandrapur,GEN,,13,64.84,0.92,,5738,0.46,2.63,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,13,2019,4,0,4,5,NOTA,,NOTA,11377,,1238474,1910188,Chandrapur,Yavatmal,GEN,,13,64.84,0.92,,5738,0.46,2.63,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,14,2019,4,0,4,9,NOTA,,NOTA,3966,,1174220,1916185,Yavatmal-Washim,Washim,GEN,,24,61.28,0.34,,329,0.03,2.86,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,14,2019,4,0,4,9,NOTA,,NOTA,3966,,1174220,1916185,Yavatmal-Washim,Yavatmal,GEN,,24,61.28,0.34,,329,0.03,2.86,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,15,2019,4,0,4,8,NOTA,,NOTA,4242,,1157516,1733729,Hingoli,Hingoli,GEN,,28,66.76,0.37,,335,0.03,2.86,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,15,2019,4,0,4,8,NOTA,,NOTA,4242,,1157516,1733729,Hingoli,Nanded,GEN,,28,66.76,0.37,,335,0.03,2.86,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,15,2019,4,0,4,8,NOTA,,NOTA,4242,,1157516,1733729,Hingoli,Yavatmal,GEN,,28,66.76,0.37,,335,0.03,2.86,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,16,2019,4,0,4,4,NOTA,,NOTA,6114,,1129350,1719322,Nanded,Nanded,GEN,,14,65.69,0.54,,1967,0.17,2.7,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,17,2019,4,0,4,9,NOTA,,NOTA,4550,,1252782,1985228,Parbhani,Jalna,GEN,,17,63.11,0.36,,503,0.04,2.78,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,17,2019,4,0,4,9,NOTA,,NOTA,4550,,1252782,1985228,Parbhani,Parbhani,GEN,,17,63.11,0.36,,503,0.04,2.78,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,18,2019,4,0,4,4,NOTA,,NOTA,15637,,1208139,1867220,Jalna,Chhatrapati Sambhaji Nagar,GEN,,20,64.7,1.29,,6569,0.54,2.38,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,18,2019,4,0,4,4,NOTA,,NOTA,15637,,1208139,1867220,Jalna,Jalna,GEN,,20,64.7,1.29,,6569,0.54,2.38,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,19,2019,4,0,4,6,NOTA,,NOTA,4929,,1198221,1886284,Aurangabad,Chhatrapati Sambhaji Nagar,GEN,,23,63.52,0.41,,108,0.01,3.57,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,20,2019,4,0,4,5,NOTA,,NOTA,9446,,1137631,1732936,Dindori (ST),Nashik,ST,,8,65.65,0.83,,1726,0.15,2.7,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,21,2019,4,0,4,5,NOTA,,NOTA,6980,,1121232,1885064,Nashik,Nashik,GEN,,18,59.48,0.62,,28,0,3.03,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,22,2019,4,0,4,3,NOTA,,NOTA,29479,,1201941,1885600,Palghar (ST),Palghar,ST,,12,63.74,2.45,,15547,1.29,2.5,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,23,2019,4,0,4,5,NOTA,,NOTA,16397,,1005172,1890100,Bhiwandi,Thane,GEN,,15,53.18,1.63,,12820,1.28,2.5,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,24,2019,4,0,4,4,NOTA,,NOTA,13012,,890313,1965676,Kalyan,Thane,GEN,,28,45.29,1.46,,3385,0.38,2.13,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,25,2019,4,0,4,4,NOTA,,NOTA,20426,,1170518,2370903,Thane,Thane,GEN,,23,49.37,1.75,,10954,0.94,2.08,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,26,2019,4,0,4,4,NOTA,,NOTA,11966,,989759,1647350,Mumbai North,Mumbai Suburban,GEN,,18,60.08,1.21,,8041,0.81,1.75,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,27,2019,4,0,4,4,NOTA,,NOTA,18225,,941497,1732263,Mumbai North West,Mumbai Suburban,GEN,,21,54.35,1.94,,12375,1.31,2.08,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,28,2019,4,0,4,4,NOTA,,NOTA,12466,,908993,1588693,Mumbai North East,Mumbai Suburban,GEN,,27,57.22,1.37,,4689,0.52,2.33,,NOTA,5897,True,,,,,,,,,,,,,,,,
17,29,2019,4,0,4,4,NOTA,,NOTA,10669,,901784,1679891,Mumbai North Central,Mumbai Suburban,GEN,,20,53.68,1.18,,6474,0.72,2.22,,NOTA,5897,True,,,,,,,,,,,,,,,,
