District,Year,Taluka,Rural/Urban,Select Vaccine,Number,,
Pune,2011,Shirur,Total,Tetanus Pregnant Women,7196,,
Pune,2011,Welhe,Rural,BCG,873,,
Pune,2011,Welhe,Rural,D.T,733,,
Pune,2011,Welhe,Rural,DPT,845,,
Pune,2011,Welhe,Rural,Measles,780,,
Pune,2011,Welhe,Rural,Polio,845,,
Pune,2011,Welhe,Rural,Tetanus 10 years,746,,
Pune,2011,Welhe,Rural,Tetanus 16 years,976,,
Pune,2011,Welhe,Rural,Tetanus Pregnant Women,852,,
Pune,2011,Welhe,Total,BCG,964,,
Pune,2011,Welhe,Total,D.T,733,,
Pune,2011,Welhe,Total,DPT,845,,
Pune,2011,Welhe,Total,Measles,780,,
Pune,2011,Welhe,Total,Polio,845,,
Pune,2011,Welhe,Total,Tetanus 10 years,746,,
Pune,2011,Welhe,Total,Tetanus 16 years,976,,
Pune,2011,Welhe,Total,Tetanus Pregnant Women,1040,,
Pune,2012,Aambegaon,Rural,BCG,3183,,
Pune,2012,Aambegaon,Rural,D.T,3843,,
Pune,2012,Aambegaon,Rural,DPT,3322,,
Pune,2012,Aambegaon,Rural,Measles,3296,,
Pune,2012,Aambegaon,Rural,Polio,3322,,
Pune,2012,Aambegaon,Rural,Tetanus 10 years,4506,,
Pune,2012,Aambegaon,Rural,Tetanus 16 years,4889,,
Pune,2012,Aambegaon,Rural,Tetanus Pregnant Women,3871,,
Pune,2012,Aambegaon,Total,BCG,3759,,
Pune,2012,Aambegaon,Total,D.T,3846,,
Pune,2012,Aambegaon,Total,DPT,3413,,
Pune,2012,Aambegaon,Total,Measles,3414,,
Pune,2012,Aambegaon,Total,Polio,3413,,
Pune,2012,Aambegaon,Total,Tetanus 10 years,4756,,
Pune,2012,Aambegaon,Total,Tetanus 16 years,5194,,
Pune,2012,Aambegaon,Total,Tetanus Pregnant Women,5319,,
Pune,2012,Aambegaon,Urban,BCG,576,,
Pune,2012,Aambegaon,Urban,D.T,3,,
Pune,2012,Aambegaon,Urban,DPT,91,,
Pune,2012,Aambegaon,Urban,Measles,118,,
