District,Year,Select Contraceptive,Number
Mumbai,2018,Centchroman (Weekly Pills),1423
Mumbai,2018,Condom Pieces,5372124
Nagpur,2018,Oral Pills,43452
Nagpur,2018,Emergency Pills,419
Nagpur,2018,Centchroman (Weekly Pills),663
Nagpur,2018,Condom Pieces,341261
Nanded,2018,Oral Pills,76447
Nanded,2018,Emergency Pills,278
Nanded,2018,Centchroman (Weekly Pills),3290
Nanded,2018,Condom Pieces,484022
Nandurbar,2018,Oral Pills,53363
Nandurbar,2018,Emergency Pills,536
Nandurbar,2018,Centchroman (Weekly Pills),570
Nandurbar,2018,Condom Pieces,312054
Nashik,2018,Oral Pills,127723
Nashik,2018,Emergency Pills,321
Nashik,2018,Centchroman (Weekly Pills),3748
Nashik,2018,Condom Pieces,741359
Palghar,2018,Oral Pills,72190
Palghar,2018,Emergency Pills,413
Palghar,2018,Centchroman (Weekly Pills),203
Palghar,2018,Condom Pieces,1048499
Parbhani,2018,Oral Pills,28652
Parbhani,2018,Emergency Pills,167
Parbhani,2018,Centchroman (Weekly Pills),307
Parbhani,2018,Condom Pieces,397442
Pune,2018,Oral Pills,214048
Pune,2018,Emergency Pills,2762
Pune,2018,Centchroman (Weekly Pills),6339
Pune,2018,Condom Pieces,1273259
Raigad,2018,Oral Pills,49929
Raigad,2018,Emergency Pills,378
Raigad,2018,Centchroman (Weekly Pills),1305
Raigad,2018,Condom Pieces,225903
Ratnagiri,2018,Oral Pills,84884
Ratnagiri,2018,Emergency Pills,113
Ratnagiri,2018,Centchroman (Weekly Pills),3682
Ratnagiri,2018,Condom Pieces,654363
Sangli,2018,Oral Pills,143814
Sangli,2018,Emergency Pills,878
Sangli,2018,Centchroman (Weekly Pills),4731
Sangli,2018,Condom Pieces,733699
Satara,2018,Oral Pills,163234
Satara,2018,Emergency Pills,1775
Satara,2018,Centchroman (Weekly Pills),3921
Satara,2018,Condom Pieces,1010451
Sindhudurg,2018,Oral Pills,48697
Sindhudurg,2018,Emergency Pills,11
Sindhudurg,2018,Centchroman (Weekly Pills),69
Sindhudurg,2018,Condom Pieces,430730
Solapur,2018,Oral Pills,140625
Solapur,2018,Emergency Pills,1475
Solapur,2018,Centchroman (Weekly Pills),10454
Solapur,2018,Condom Pieces,362607
Thane,2018,Oral Pills,120370
Thane,2018,Emergency Pills,1073
Thane,2018,Centchroman (Weekly Pills),4815
Thane,2018,Condom Pieces,1094258
Wardha,2018,Oral Pills,59910
Wardha,2018,Emergency Pills,806
Wardha,2018,Centchroman (Weekly Pills),1200
Wardha,2018,Condom Pieces,617384
Washim,2018,Oral Pills,52149
Washim,2018,Emergency Pills,210
Washim,2018,Centchroman (Weekly Pills),201
Washim,2018,Condom Pieces,242642
Yavatmal,2018,Oral Pills,33261
Yavatmal,2018,Emergency Pills,335
Yavatmal,2018,Centchroman (Weekly Pills),1619
Yavatmal,2018,Condom Pieces,105341
Ahilyanagar,2017,Oral Pills,219372
Ahilyanagar,2017,Emergency Pills,1282
