District,Year,Abscess Cases,Deaths,Other Complications
Nanded,2017,0,0,0
Nandurbar,2017,0,0,0
Nashik,2017,2,0,10
Palghar,2017,0,2,0
Parbhani,2017,0,0,0
Pune,2017,17,1,2590
Raigad,2017,0,0,0
Ratnagiri,2017,0,0,1
Sangli,2017,0,0,3
Satara,2017,0,1,0
Sindhudurg,2017,0,0,6
Solapur,2017,4,0,19
Thane,2017,11,3,1903
Wardha,2017,0,0,6
Washim,2017,0,0,0
Yavatmal,2017,0,0,13
Ahilyanagar,2016,,,6
Akola,2016,,,1
Amravati,2016,,,14
Beed,2016,,,1
Bhandara,2016,,,98
Buldhana,2016,,,15
Chandrapur,2016,,,67
Chhatrapati Sambhaji Nagar,2016,,,17
Dharashiv,2016,,,2
Dhule,2016,,,0
Gadchiroli,2016,,,120
Gondia,2016,,,0
Hingoli,2016,,,2
Jalgaon,2016,,,1
Jalna,2016,,,1
Kolhapur,2016,,,3
Latur,2016,,,50
Mumbai,2016,,,22
Nagpur,2016,,,0
Nanded,2016,,,54
Nandurbar,2016,,,0
Nashik,2016,,,3
Palghar,2016,,,0
Parbhani,2016,,,23
Pune,2016,,,1176
Raigad,2016,,,9
Ratnagiri,2016,,,3
Sangli,2016,,,0
Satara,2016,,,1
Sindhudurg,2016,,,8
Solapur,2016,,,118
Thane,2016,,,1432
Wardha,2016,,,1
Washim,2016,,,3
Yavatmal,2016,,,6
Ahilyanagar,2015,,,3050
Akola,2015,,,1
Amravati,2015,,,6
Beed,2015,,,0
Bhandara,2015,,,255
Buldhana,2015,,,5
Chandrapur,2015,,,116
Chhatrapati Sambhaji Nagar,2015,,,63
Dharashiv,2015,,,4
Dhule,2015,,,0
Gadchiroli,2015,,,1
Gondia,2015,,,0
Hingoli,2015,,,9
Jalgaon,2015,,,0
Jalna,2015,,,0
Kolhapur,2015,,,4
Latur,2015,,,61
Mumbai,2015,,,29
Nagpur,2015,,,0
Nanded,2015,,,186
Nandurbar,2015,,,0
Nashik,2015,,,13
Palghar,2015,,,9
Parbhani,2015,,,136
Pune,2015,,,52
Raigad,2015,,,2
Ratnagiri,2015,,,19
Sangli,2015,,,4
Satara,2015,,,2
Sindhudurg,2015,,,22
Solapur,2015,,,22
Thane,2015,,,1070
Wardha,2015,,,0
Washim,2015,,,4
Yavatmal,2015,,,39
Ahilyanagar,2014,,,9220
Akola,2014,,,3
Amravati,2014,,,4
Beed,2014,,,0
Bhandara,2014,,,31
Buldhana,2014,,,0
Chandrapur,2014,,,136
Chhatrapati Sambhaji Nagar,2014,,,643
Dharashiv,2014,,,20
Dhule,2014,,,0
Gadchiroli,2014,,,119
Gondia,2014,,,31
Hingoli,2014,,,9
Jalgaon,2014,,,0
Jalna,2014,,,0
Kolhapur,2014,,,1
Latur,2014,,,25
Mumbai,2014,,,25
Nagpur,2014,,,5
Nanded,2014,,,0
Nandurbar,2014,,,0
Nashik,2014,,,0
Palghar,2014,,,26
Parbhani,2014,,,75
Pune,2014,,,1
Raigad,2014,,,0
Ratnagiri,2014,,,128
Sangli,2014,,,64
Satara,2014,,,12
Sindhudurg,2014,,,29
Solapur,2014,,,11
Thane,2014,,,933
Wardha,2014,,,0
