District,Year,Taluka,Type,Male,Female,Children
Amravati,2019,Chikhraldara,Outpatient,86228,73436,7731
Amravati,2019,Anjangaon Su,Outpatient,99535,78937,11609
Amravati,2019,Achalpur,Outpatient,106505,88644,15885
Amravati,2019,Chandurbazar,Outpatient,96393,74206,5518
Amravati,2019,Morshi,Outpatient,118524,98579,10344
Amravati,2019,Warud,Outpatient,131012,119090,10132
Amravati,2019,Tivas,Outpatient,55554,46210,4087
Amravati,2019,Amravati,Outpatient,741238,338729,43606
Amravati,2019,Bhatkuli,Outpatient,53197,42033,4205
Amravati,2019,Daryapur,Outpatient,92891,79973,8693
Amravati,2019,Nandgaon Kh,Outpatient,89491,85150,7479
Amravati,2019,Chandur Railway,Outpatient,73001,63603,7772
Amravati,2019,Dhamangaon Re,Outpatient,95964,83261,7736
Amravati,2020,Dharani,Outpatient,75391,54818,6953
Amravati,2020,Chikhraldara,Outpatient,77384,60052,6062
Amravati,2020,Anjangaon Su,Outpatient,48170,35287,2892
Amravati,2020,Achalpur,Outpatient,80333,57832,13624
Amravati,2020,Chandurbazar,Outpatient,66580,49089,5426
Amravati,2020,Morshi,Outpatient,85601,60369,6606
Amravati,2020,Warud,Outpatient,68098,53144,5204
Amravati,2020,Tivas,Outpatient,44467,33519,2730
Amravati,2020,Amravati,Outpatient,310035,223042,11994
Amravati,2020,Bhatkuli,Outpatient,32139,23199,2324
Amravati,2020,Daryapur,Outpatient,69031,53442,4853
Amravati,2020,Nandgaon Kh,Outpatient,58333,42920,4259
Amravati,2020,Chandur Railway,Outpatient,41905,31735,2471
Amravati,2020,Dhamangaon Re,Outpatient,43244,34522,3717
Amravati,2021,Dharani,Outpatient,29493,35617,8246
Amravati,2021,Chikhraldara,Outpatient,30516,28382,9970
Amravati,2021,Anjangaon Su,Outpatient,33700,34124,3658
Amravati,2021,Achalpur,Outpatient,60294,79285,16173
Amravati,2021,Chandurbazar,Outpatient,42158,37311,7034
Amravati,2021,Morshi,Outpatient,44981,37775,5867
Amravati,2021,Warud,Outpatient,35385,30774,4128
Amravati,2021,Tivas,Outpatient,29501,26485,4424
Amravati,2021,Amravati,Outpatient,400392,401113,49756
Amravati,2021,Bhatkuli,Outpatient,20127,22371,7554
Amravati,2021,Daryapur,Outpatient,37269,40012,7173
Amravati,2021,Nandgaon Kh,Outpatient,31666,34815,4449
Amravati,2021,Chandur Railway,Outpatient,35722,35408,8032
