District,Year,Vasectomies,Tubectomies,Private Institutions,Public Institutions,Public Facilities,Private Facilities
Amravati,2014,626,10991,22,9358,6418,1878
Beed,2014,10,9593,0,9057,10216,2518
Bhandara,2014,1299,5658,3,6946,2976,60
Buldhana,2014,50,9750,4,9265,6356,915
Chandrapur,2014,946,10409,8,9760,5863,763
Chh. Sambhaji Nagar,2014,111,12529,3,10184,8744,5066
Dharashiv,2014,9,7341,0,7350,4732,685
Dhule,2014,261,9506,0,9509,6392,488
Gadchiroli,2014,2858,3892,6,6744,1472,53
Gondia,2014,1995,6612,0,8282,3134,111
Hingoli,2014,12,5106,0,4563,1549,348
Jalgaon,2014,74,20202,9,15213,11235,3067
Jalna,2014,7,9771,0,8753,7139,1384
Kolhapur,2014,658,20840,10,16742,20708,5440
Latur,2014,152,15083,0,13285,7778,1284
Mumbai,2014,424,20714,51,12470,17389,23219
Nagpur,2014,384,15557,4,14114,9222,2076
Nanded,2014,63,19825,0,18298,6857,1148
Nandurbar,2014,694,6049,0,6582,2310,325
Nashik,2014,1462,27334,0,25749,8896,4544
Palghar,2014,294,9119,41,7641,4823,1511
Parbhani,2014,38,7838,0,7724,4843,948
Pune,2014,256,43602,94,31032,21724,11565
Raigad,2014,25,7221,18,4797,5867,1000
Ratnagiri,2014,36,5937,2,4800,6030,445
Sangli,2014,43,13905,0,9858,15378,2193
Satara,2014,211,19030,0,14258,12093,714
Sindhudurg,2014,30,2642,1,1729,3831,205
Solapur,2014,18,22264,3,16534,16177,3088
Thane,2014,139,19822,8,12708,11197,9850
Wardha,2014,164,7681,2,5748,5036,1024
Washim,2014,16,5708,0,5487,3959,205
Yavatmal,2014,68,15028,0,14604,6981,924
Ahilyanagar,2013,139,25885,43,21479,23251,4226
Akola,2013,603,9958,70,7118,5205,1099
Amravati,2013,872,16873,11,13998,6648,2475
Beed,2013,24,9718,0,9305,10821,3140
Bhandara,2013,1271,5252,6,6455,2697,169
Buldhana,2013,304,14088,39,12380,6483,1140
Chandrapur,2013,966,14595,31,13515,6752,955
Chh. Sambhaji Nagar,2013,113,15885,5,13623,9089,4911
Dharashiv,2013,8,8709,0,8255,4533,653
Dhule,2013,430,12292,18,11748,6559,263
Gadchiroli,2013,2903,3034,3,5928,1701,90
Gondia,2013,2128,7412,1,8988,3325,293
Hingoli,2013,22,7935,0,7710,2105,333
Jalgaon,2013,211,22238,5,18194,12151,3056
Jalna,2013,11,8629,2,7023,6305,1501
Kolhapur,2013,771,22384,25,18409,19576,5560
Latur,2013,174,17153,8,14907,7654,1149
Mumbai,2013,729,22502,47,13812,19109,26195
Nagpur,2013,375,20535,16,18215,11630,2531
Nanded,2013,57,21305,2,19843,6445,1408
Nandurbar,2013,854,6632,20,6984,2195,154
Nashik,2013,1520,30111,29,28176,9470,4382
Palghar,2013,57,1028,,1085,490,
Parbhani,2013,34,8171,0,8205,5147,988
Pune,2013,600,53811,175,35938,22329,10878
Raigad,2013,42,9959,5,6135,6168,1158
Ratnagiri,2013,35,7273,4,5552,6969,640
Sangli,2013,33,14705,0,10484,15537,2479
Satara,2013,513,20937,17,14771,12384,993
Sindhudurg,2013,28,3147,0,2202,4102,283
Solapur,2013,56,27853,9,21906,15493,4213
Thane,2013,804,31925,79,23525,15996,10830
Wardha,2013,247,7570,3,6216,5003,1129
Washim,2013,2,6915,0,6004,4087,663
Yavatmal,2013,122,14184,49,12866,7440,1833
Ahilyanagar,2012,115,29522,7,23589,22944,2285
Akola,2012,633,9556,26,7282,4185,1067
Amravati,2012,959,14333,20,11588,6400,2000
Beed,2012,96,13705,6,13426,11093,768
Bhandara,2012,1317,4630,5,5934,2955,57
