District,Year,Select Cause,Number
Latur,2017,Fever,1
Latur,2017,Measles,0
Mumbai,2017,Sepsis,18
Mumbai,2017,Asphyxia,9
Mumbai,2017,Pneumonia,7
Mumbai,2017,Diarrhea,1
Mumbai,2017,Fever,1
Mumbai,2017,Measles,1
Nagpur,2017,Sepsis,2
Nagpur,2017,Asphyxia,12
Nagpur,2017,Pneumonia,4
Nagpur,2017,Diarrhea,1
Nagpur,2017,Fever,1
Nagpur,2017,Measles,0
Nanded,2017,Sepsis,6
Nanded,2017,Asphyxia,8
Nanded,2017,Pneumonia,7
Nanded,2017,Diarrhea,4
Nanded,2017,Fever,8
Nanded,2017,Measles,0
Nandurbar,2017,Sepsis,9
Nandurbar,2017,Asphyxia,17
Nandurbar,2017,Pneumonia,5
Nandurbar,2017,Diarrhea,1
Nandurbar,2017,Fever,1
Nandurbar,2017,Measles,1
Nashik,2017,Sepsis,5
Nashik,2017,Asphyxia,8
Nashik,2017,Pneumonia,6
Nashik,2017,Diarrhea,1
Nashik,2017,Fever,1
Nashik,2017,Measles,1
Palghar,2017,Sepsis,6
Palghar,2017,Asphyxia,9
Palghar,2017,Pneumonia,5
Palghar,2017,Diarrhea,0
Palghar,2017,Fever,1
Palghar,2017,Measles,0
Parbhani,2017,Sepsis,5
Parbhani,2017,Asphyxia,8
Parbhani,2017,Pneumonia,2
Parbhani,2017,Diarrhea,0
Parbhani,2017,Fever,1
Parbhani,2017,Measles,1
Pune,2017,Sepsis,11
Pune,2017,Asphyxia,8
Pune,2017,Pneumonia,4
Pune,2017,Diarrhea,1
Pune,2017,Fever,1
Pune,2017,Measles,0
Raigad,2017,Sepsis,3
Raigad,2017,Asphyxia,15
Raigad,2017,Pneumonia,7
Raigad,2017,Diarrhea,0
Raigad,2017,Fever,1
Raigad,2017,Measles,0
Ratnagiri,2017,Sepsis,8
Ratnagiri,2017,Asphyxia,14
Ratnagiri,2017,Pneumonia,7
Ratnagiri,2017,Diarrhea,0
Ratnagiri,2017,Fever,0
Ratnagiri,2017,Measles,0
Sangli,2017,Sepsis,5
Sangli,2017,Asphyxia,7
Sangli,2017,Pneumonia,3
Sangli,2017,Diarrhea,1
