District,Year,Select Disease,Number
Ratnagiri,2019,Sepsis,19
Ratnagiri,2019,Diphtheria,0
Ratnagiri,2019,Pertussis,0
Ratnagiri,2019,Tetanus Neonatorum,0
Ratnagiri,2019,Tuberculosis (TB),9
Ratnagiri,2019,Acute Flaccid Paralysis (AFP),6
Ratnagiri,2019,Measles,1
Ratnagiri,2019,Malaria,1
Ratnagiri,2019,Diarrhea,1378
Sangli,2019,Pneumonia,502
Sangli,2019,Asthma,22
Sangli,2019,Sepsis,6
Sangli,2019,Diphtheria,0
Sangli,2019,Pertussis,0
Sangli,2019,Tetanus Neonatorum,0
Sangli,2019,Tuberculosis (TB),16
Sangli,2019,Acute Flaccid Paralysis (AFP),8
Sangli,2019,Measles,7
Sangli,2019,Malaria,0
Sangli,2019,Diarrhea,1572
Satara,2019,Pneumonia,265
Satara,2019,Asthma,2
Satara,2019,Sepsis,50
Satara,2019,Diphtheria,0
Satara,2019,Pertussis,0
Satara,2019,Tetanus Neonatorum,0
Satara,2019,Tuberculosis (TB),28
Satara,2019,Acute Flaccid Paralysis (AFP),12
Satara,2019,Measles,19
Satara,2019,Malaria,14
Satara,2019,Diarrhea,1694
Sindhudurg,2019,Pneumonia,64
Sindhudurg,2019,Asthma,10
Sindhudurg,2019,Sepsis,7
Sindhudurg,2019,Diphtheria,0
Sindhudurg,2019,Pertussis,0
Sindhudurg,2019,Tetanus Neonatorum,0
Sindhudurg,2019,Tuberculosis (TB),6
Sindhudurg,2019,Acute Flaccid Paralysis (AFP),5
Sindhudurg,2019,Measles,1
Sindhudurg,2019,Malaria,1
Sindhudurg,2019,Diarrhea,383
Solapur,2019,Pneumonia,561
Solapur,2019,Asthma,86
Solapur,2019,Sepsis,109
Solapur,2019,Diphtheria,0
Solapur,2019,Pertussis,0
Solapur,2019,Tetanus Neonatorum,0
Solapur,2019,Tuberculosis (TB),58
Solapur,2019,Acute Flaccid Paralysis (AFP),15
Solapur,2019,Measles,20
Solapur,2019,Malaria,22
Solapur,2019,Diarrhea,1174
Thane,2019,Pneumonia,355
Thane,2019,Asthma,54
Thane,2019,Sepsis,240
Thane,2019,Diphtheria,0
Thane,2019,Pertussis,0
Thane,2019,Tetanus Neonatorum,0
Thane,2019,Tuberculosis (TB),76
