District,Year,Select Examination,Percentage
Kolhapur,2015,Oral Cavity Examination,11.7
Latur,2015,Cervix Examination,46.8
Latur,2015,Breast Examination,14.6
Latur,2015,Oral Cavity Examination,11.8
Mumbai,2015,Cervix Examination,39.4
Mumbai,2015,Breast Examination,26.5
Mumbai,2015,Oral Cavity Examination,18.6
Nagpur,2015,Cervix Examination,38
Nagpur,2015,Breast Examination,14.8
Nagpur,2015,Oral Cavity Examination,13
Nanded,2015,Cervix Examination,45.3
Nanded,2015,Breast Examination,15.8
Nanded,2015,Oral Cavity Examination,13.9
Nandurbar,2015,Cervix Examination,36.9
Nandurbar,2015,Breast Examination,23.2
Nandurbar,2015,Oral Cavity Examination,13.9
Nashik,2015,Cervix Examination,30.9
Nashik,2015,Breast Examination,10.7
Nashik,2015,Oral Cavity Examination,9.4
Parbhani,2015,Cervix Examination,55.7
Parbhani,2015,Breast Examination,27.4
Parbhani,2015,Oral Cavity Examination,8.9
Pune,2015,Cervix Examination,37.2
Pune,2015,Breast Examination,14.9
Pune,2015,Oral Cavity Examination,12.6
Raigad,2015,Cervix Examination,34.9
Raigad,2015,Breast Examination,16.4
Raigad,2015,Oral Cavity Examination,18.5
Ratnagiri,2015,Cervix Examination,37.6
Ratnagiri,2015,Breast Examination,15.6
Ratnagiri,2015,Oral Cavity Examination,15.7
Sangli,2015,Cervix Examination,38.3
Sangli,2015,Breast Examination,21.2
Sangli,2015,Oral Cavity Examination,16.2
Satara,2015,Cervix Examination,33.7
Satara,2015,Breast Examination,13.6
Satara,2015,Oral Cavity Examination,10.5
Sindhudurg,2015,Cervix Examination,37.7
Sindhudurg,2015,Breast Examination,27.2
Sindhudurg,2015,Oral Cavity Examination,23.9
Solapur,2015,Cervix Examination,45.7
Solapur,2015,Breast Examination,13.3
Solapur,2015,Oral Cavity Examination,11.6
Thane,2015,Cervix Examination,43.8
Thane,2015,Breast Examination,25.6
Thane,2015,Oral Cavity Examination,14.4
Wardha,2015,Cervix Examination,43.1
Wardha,2015,Breast Examination,12.9
Wardha,2015,Oral Cavity Examination,11.3
Washim,2015,Cervix Examination,49.9
Washim,2015,Breast Examination,31.6
Washim,2015,Oral Cavity Examination,29.2
Yavatmal,2015,Cervix Examination,49.2
Yavatmal,2015,Breast Examination,35.9
Yavatmal,2015,Oral Cavity Examination,30.9
Ahilyanagar,2019,Cervix Examination,1.3
Ahilyanagar,2019,Breast Examination,0.2
Ahilyanagar,2019,Oral Cavity Examination,0.2
Akola,2019,Cervix Examination,1.6
Akola,2019,Breast Examination,0.4
Akola,2019,Oral Cavity Examination,0.5
Amravati,2019,Cervix Examination,0.5
Amravati,2019,Breast Examination,0
Amravati,2019,Oral Cavity Examination,0
Beed,2019,Cervix Examination,4.9
Beed,2019,Breast Examination,0.8
Beed,2019,Oral Cavity Examination,0.7
Bhandara,2019,Cervix Examination,0.7
Bhandara,2019,Breast Examination,0.2
Bhandara,2019,Oral Cavity Examination,0.5
Buldhana,2019,Cervix Examination,1
Buldhana,2019,Breast Examination,0
Buldhana,2019,Oral Cavity Examination,0.4
Chandrapur,2019,Cervix Examination,1
Chandrapur,2019,Breast Examination,0.2
Chandrapur,2019,Oral Cavity Examination,0.6
Chh. Sambhaji Nagar,2019,Cervix Examination,2.5
Chh. Sambhaji Nagar,2019,Breast Examination,0.2
Chh. Sambhaji Nagar,2019,Oral Cavity Examination,0.4
Dharashiv,2019,Cervix Examination,4.3
Dharashiv,2019,Breast Examination,0
