District,Year,Inpatients,Outpatients,Given Allopathic Treatment,Received AYUSH Treatment,Outpatients to Inpatients,Major Operations,Minor Operations,Hysterectomies Performed
Jalna,2013,77161,1110191,,125413,7,5436,2134,0
Kolhapur,2013,117106,2009659,,88289,5.8,5348,9599,170
Latur,2013,108104,1479109,,202498,7.3,4419,4418,61
Mumbai,2013,479949,10379731,,,4.6,71329,62825,
Nagpur,2013,117001,1724062,,189548,6.8,7926,9926,80
Nanded,2013,121870,1450454,,121783,8.4,3583,2876,141
Nandurbar,2013,98180,1164450,,26508,8.4,4697,2629,71
Nashik,2013,262067,3719628,,138321,7,17054,11429,0
Palghar,2013,11837,131528,,10905,9,185,826,25
Parbhani,2013,100096,1675852,,47741,6,6882,9137,49
Pune,2013,314494,4202270,,129895,7.5,19947,15415,143
Raigad,2013,104142,1472072,,52272,7.1,7754,5247,60
Ratnagiri,2013,97921,1294467,,56535,7.6,4473,9526,147
Sangli,2013,51453,1277420,,71413,4,1633,6462,56
Satara,2013,122131,2017206,,140141,6.1,6022,5360,121
Sindhudurg,2013,54625,1101351,,33119,5,5008,5356,107
Solapur,2013,108604,2138415,,46292,5.1,6646,6718,235
Thane,2013,299831,3795212,,111497,7.9,13807,10657,44
Wardha,2013,81223,1315988,,76646,6.2,4340,5150,0
Washim,2013,49259,824449,,26711,6,3139,661,0
Yavatmal,2013,111081,1765095,,133364,6.3,4276,2671,106
Ahilyanagar,2012,104447,1974204,,58238,5.3,8063,9635,
Akola,2012,78277,704084,,39353,11.1,6232,4875,
Amravati,2012,177049,1868077,,95709,9.5,10713,14434,
Beed,2012,135043,1200742,,97600,11.2,5908,8369,
Bhandara,2012,77832,1082931,,91641,7.2,9621,7691,
Buldhana,2012,147715,1305475,,237497,11.3,5833,6487,
Chandrapur,2012,125476,1791185,,152999,7,9287,8340,
Chh. Sambhaji Nagar,2012,74933,1246314,,35156,6,482,6143,
Dharashiv,2012,99102,1106283,,131280,9,7191,14723,
Dhule,2012,57045,985866,,27392,5.8,2393,3463,
Gadchiroli,2012,77926,848200,,45719,9.2,5419,3600,
Gondia,2012,59162,919991,,94024,6.4,3935,3360,
Hingoli,2012,71830,478109,,49879,15,3486,4122,
Jalgaon,2012,113730,1612344,,108526,7.1,5962,6980,
Jalna,2012,83648,818350,,73987,10.2,3328,5725,
Kolhapur,2012,90224,1547669,,107106,5.8,10530,11314,
Latur,2012,109260,1329591,,137673,8.2,4166,8298,
Mumbai,2012,495790,9294078,,,5.3,72131,62676,
Nagpur,2012,100787,1737008,,59076,5.8,9838,9462,
Nanded,2012,133973,1501402,,175372,8.9,2941,3790,
Nandurbar,2012,74729,761279,,14811,9.8,6737,7308,
Nashik,2012,251649,2935071,,57784,8.6,15637,31407,
Palghar,2012,,,,,,,,
Parbhani,2012,103406,975035,,68955,10.6,4253,9494,
Pune,2012,255643,3817098,,107847,6.7,17683,17574,
Raigad,2012,103341,1216774,,55680,8.5,7053,5825,
Ratnagiri,2012,87327,1126604,,54112,7.8,4502,8102,
Sangli,2012,50874,955021,,57820,5.3,1247,9894,
Satara,2012,118297,1692317,,61514,7,3285,6375,
Sindhudurg,2012,53356,763385,,41979,7,3566,4998,
