District,Year,Taluka,Select Variable,Percentage
Ahilyanagar,2015,Pathardi,Infants at Normal Weight,90.4
Ahilyanagar,2015,Pathardi,Infants with Moderate Acute Malnutrition,8.48
Ahilyanagar,2015,Pathardi,Infants with Severe Acute Malnutrition,1.12
Ahilyanagar,2015,Nagar,Infants at Normal Weight,91.74
Ahilyanagar,2015,Nagar,Infants with Moderate Acute Malnutrition,7.2
Ahilyanagar,2015,Nagar,Infants with Severe Acute Malnutrition,1.06
Ahilyanagar,2015,Rahuri,Infants at Normal Weight,95.56
Ahilyanagar,2015,Rahuri,Infants with Moderate Acute Malnutrition,3.59
Ahilyanagar,2015,Rahuri,Infants with Severe Acute Malnutrition,0.84
Ahilyanagar,2015,Parner,Infants at Normal Weight,91.51
Ahilyanagar,2015,Parner,Infants with Moderate Acute Malnutrition,7.36
Ahilyanagar,2015,Parner,Infants with Severe Acute Malnutrition,1.13
Ahilyanagar,2015,Srigonda,Infants at Normal Weight,92.08
Ahilyanagar,2015,Srigonda,Infants with Moderate Acute Malnutrition,7.04
Ahilyanagar,2015,Srigonda,Infants with Severe Acute Malnutrition,0.88
Ahilyanagar,2015,Karjat,Infants at Normal Weight,88.88
Ahilyanagar,2015,Karjat,Infants with Moderate Acute Malnutrition,9.54
Ahilyanagar,2015,Karjat,Infants with Severe Acute Malnutrition,1.58
Ahilyanagar,2015,Jamkhed,Infants at Normal Weight,86.71
Ahilyanagar,2015,Jamkhed,Infants with Moderate Acute Malnutrition,11.01
Ahilyanagar,2015,Jamkhed,Infants with Severe Acute Malnutrition,2.28
Ahilyanagar,2016,Akole,Infants at Normal Weight,79.95
Ahilyanagar,2016,Akole,Infants with Moderate Acute Malnutrition,16.19
Ahilyanagar,2016,Akole,Infants with Severe Acute Malnutrition,3.86
Ahilyanagar,2016,Sangamner,Infants at Normal Weight,93.54
Ahilyanagar,2016,Sangamner,Infants with Moderate Acute Malnutrition,5.7
Ahilyanagar,2016,Sangamner,Infants with Severe Acute Malnutrition,0.76
Ahilyanagar,2016,Kopargaon,Infants at Normal Weight,94.69
Ahilyanagar,2016,Kopargaon,Infants with Moderate Acute Malnutrition,5.01
Ahilyanagar,2016,Kopargaon,Infants with Severe Acute Malnutrition,0.3
Ahilyanagar,2016,Rahata,Infants at Normal Weight,90.97
Ahilyanagar,2016,Rahata,Infants with Moderate Acute Malnutrition,7.77
Ahilyanagar,2016,Rahata,Infants with Severe Acute Malnutrition,1.26
Ahilyanagar,2016,Srirampur,Infants at Normal Weight,90.53
Ahilyanagar,2016,Srirampur,Infants with Moderate Acute Malnutrition,8.3
Ahilyanagar,2016,Srirampur,Infants with Severe Acute Malnutrition,1.17
Ahilyanagar,2016,Nevasa,Infants at Normal Weight,93.24
Ahilyanagar,2016,Nevasa,Infants with Moderate Acute Malnutrition,5.72
Ahilyanagar,2016,Nevasa,Infants with Severe Acute Malnutrition,1.04
Ahilyanagar,2016,Shevgaon,Infants at Normal Weight,92.88
Ahilyanagar,2016,Shevgaon,Infants with Moderate Acute Malnutrition,6.29
Ahilyanagar,2016,Shevgaon,Infants with Severe Acute Malnutrition,0.83
Ahilyanagar,2016,Pathardi,Infants at Normal Weight,90.5
Ahilyanagar,2016,Pathardi,Infants with Moderate Acute Malnutrition,8.32
Ahilyanagar,2016,Pathardi,Infants with Severe Acute Malnutrition,1.18
Ahilyanagar,2016,Nagar,Infants at Normal Weight,92.95
Ahilyanagar,2016,Nagar,Infants with Moderate Acute Malnutrition,6.37
Ahilyanagar,2016,Nagar,Infants with Severe Acute Malnutrition,0.67
Ahilyanagar,2016,Rahuri,Infants at Normal Weight,96.43
Ahilyanagar,2016,Rahuri,Infants with Moderate Acute Malnutrition,2.99
Ahilyanagar,2016,Rahuri,Infants with Severe Acute Malnutrition,0.59
Ahilyanagar,2016,Parner,Infants at Normal Weight,91.63
Ahilyanagar,2016,Parner,Infants with Moderate Acute Malnutrition,7.41
Ahilyanagar,2016,Parner,Infants with Severe Acute Malnutrition,0.96
Ahilyanagar,2016,Srigonda,Infants at Normal Weight,94.21
Ahilyanagar,2016,Srigonda,Infants with Moderate Acute Malnutrition,5.17
Ahilyanagar,2016,Srigonda,Infants with Severe Acute Malnutrition,0.62
Ahilyanagar,2016,Karjat,Infants at Normal Weight,90.26
Ahilyanagar,2016,Karjat,Infants with Moderate Acute Malnutrition,8.52
Ahilyanagar,2016,Karjat,Infants with Severe Acute Malnutrition,1.22
Ahilyanagar,2016,Jamkhed,Infants at Normal Weight,94.01
Ahilyanagar,2016,Jamkhed,Infants with Moderate Acute Malnutrition,5.19
Ahilyanagar,2016,Jamkhed,Infants with Severe Acute Malnutrition,0.8
Ahilyanagar,2017,Akole,Infants at Normal Weight,79.95
Ahilyanagar,2017,Akole,Infants with Moderate Acute Malnutrition,16.19
Ahilyanagar,2017,Akole,Infants with Severe Acute Malnutrition,3.86
Ahilyanagar,2017,Sangamner,Infants at Normal Weight,93.54
Ahilyanagar,2017,Sangamner,Infants with Moderate Acute Malnutrition,5.7
Ahilyanagar,2017,Sangamner,Infants with Severe Acute Malnutrition,0.76
Ahilyanagar,2017,Kopargaon,Infants at Normal Weight,94.69
Ahilyanagar,2017,Kopargaon,Infants with Moderate Acute Malnutrition,5.01
Ahilyanagar,2017,Kopargaon,Infants with Severe Acute Malnutrition,0.3
Ahilyanagar,2017,Rahata,Infants at Normal Weight,90.97
Ahilyanagar,2017,Rahata,Infants with Moderate Acute Malnutrition,7.77
Ahilyanagar,2017,Rahata,Infants with Severe Acute Malnutrition,1.26
Ahilyanagar,2017,Srirampur,Infants at Normal Weight,90.53
Ahilyanagar,2017,Srirampur,Infants with Moderate Acute Malnutrition,8.3
Ahilyanagar,2017,Srirampur,Infants with Severe Acute Malnutrition,1.17
Ahilyanagar,2017,Nevasa,Infants at Normal Weight,93.24
