District,Year,Taluka,Rural/Urban,Normal Weight,Moderate Acute Malnutrition,Severe Acute Malnutrition
Ahilyanagar,2015,Kopargaon,Rural,95.28,4.19,0.53
Ahilyanagar,2015,Kopargaon,Urban,84.4,14.62,0.99
Ahilyanagar,2015,Kopargaon,Total,93.67,5.73,0.6
Ahilyanagar,2015,Rahata,Rural,89.45,8.99,1.57
Ahilyanagar,2015,Rahata,Urban,92.74,7.26,0
Ahilyanagar,2015,Rahata,Total,89.49,8.97,1.55
Ahilyanagar,2015,Srirampur,Rural,89.19,9.22,1.58
Ahilyanagar,2015,Srirampur,Urban,95.67,3.71,0.62
Ahilyanagar,2015,Srirampur,Total,90.21,8.36,1.43
Ahilyanagar,2015,Nevasa,Rural,92.62,6.2,1.18
Ahilyanagar,2015,Nevasa,Urban,,,
Ahilyanagar,2015,Nevasa,Total,92.62,6.2,1.18
Ahilyanagar,2015,Shevgaon,Rural,91.52,7.42,1.07
Ahilyanagar,2015,Shevgaon,Urban,,,
Ahilyanagar,2015,Shevgaon,Total,91.52,7.42,1.07
Ahilyanagar,2015,Pathardi,Rural,90.62,8.24,1.14
Ahilyanagar,2015,Pathardi,Urban,80.56,19.44,0
Ahilyanagar,2015,Pathardi,Total,90.4,8.48,1.12
Ahilyanagar,2015,Nagar,Rural,91.22,7.58,1.2
Ahilyanagar,2015,Nagar,Urban,93.32,6.05,0.63
Ahilyanagar,2015,Nagar,Total,91.74,7.2,1.06
Ahilyanagar,2015,Rahuri,Rural,95.67,3.53,0.8
Ahilyanagar,2015,Rahuri,Urban,85,10,5
Ahilyanagar,2015,Rahuri,Total,95.56,3.59,0.84
Ahilyanagar,2015,Parner,Rural,91.51,7.36,1.13
Ahilyanagar,2015,Parner,Urban,,,
Ahilyanagar,2015,Parner,Total,91.51,7.36,1.13
Ahilyanagar,2015,Srigonda,Rural,92.34,6.76,0.9
Ahilyanagar,2015,Srigonda,Urban,78.5,21.5,0
Ahilyanagar,2015,Srigonda,Total,92.08,7.04,0.88
Ahilyanagar,2015,Karjat,Rural,88.88,9.54,1.58
Ahilyanagar,2015,Karjat,Urban,,,
Ahilyanagar,2015,Karjat,Total,88.88,9.54,1.58
Ahilyanagar,2015,Jamkhed,Rural,86.71,11.01,2.28
Ahilyanagar,2015,Jamkhed,Urban,,,
Ahilyanagar,2015,Jamkhed,Total,86.71,11.01,2.28
Ahilyanagar,2016,Akole,Rural,79.95,16.19,3.86
Ahilyanagar,2016,Akole,Urban,,,
Ahilyanagar,2016,Akole,Total,79.95,16.19,3.86
Ahilyanagar,2016,Sangamner,Rural,93.62,5.61,0.77
Ahilyanagar,2016,Sangamner,Urban,87.19,12.81,0
Ahilyanagar,2016,Sangamner,Total,93.54,5.7,0.76
Ahilyanagar,2016,Kopargaon,Rural,95.84,3.87,0.28
Ahilyanagar,2016,Kopargaon,Urban,86.79,12.82,0.39
Ahilyanagar,2016,Kopargaon,Total,94.69,5.01,0.3
Ahilyanagar,2016,Rahata,Rural,90.89,7.83,1.28
Ahilyanagar,2016,Rahata,Urban,97.73,2.27,0
Ahilyanagar,2016,Rahata,Total,90.97,7.77,1.26
Ahilyanagar,2016,Srirampur,Rural,90.55,8.12,1.34
Ahilyanagar,2016,Srirampur,Urban,90.46,9.22,0.32
Ahilyanagar,2016,Srirampur,Total,90.53,8.3,1.17
Ahilyanagar,2016,Nevasa,Rural,93.24,5.72,1.04
Ahilyanagar,2016,Nevasa,Urban,,,
Ahilyanagar,2016,Nevasa,Total,93.24,5.72,1.04
Ahilyanagar,2016,Shevgaon,Rural,92.88,6.29,0.83
Ahilyanagar,2016,Shevgaon,Urban,,,
Ahilyanagar,2016,Shevgaon,Total,92.88,6.29,0.83
Ahilyanagar,2016,Pathardi,Rural,90.41,8.38,1.2
Ahilyanagar,2016,Pathardi,Urban,95.62,4.38,0
Ahilyanagar,2016,Pathardi,Total,90.5,8.32,1.18
Ahilyanagar,2016,Nagar,Rural,93.72,5.54,0.74
Ahilyanagar,2016,Nagar,Urban,90.93,8.58,0.49
Ahilyanagar,2016,Nagar,Total,92.95,6.37,0.67
Ahilyanagar,2016,Rahuri,Rural,96.7,2.74,0.56
Ahilyanagar,2016,Rahuri,Urban,70.24,26.34,3.41
Ahilyanagar,2016,Rahuri,Total,96.43,2.99,0.59
Ahilyanagar,2016,Parner,Rural,91.63,7.41,0.96
Ahilyanagar,2016,Parner,Urban,,,
Ahilyanagar,2016,Parner,Total,91.63,7.41,0.96
Ahilyanagar,2016,Srigonda,Rural,94.27,5.1,0.63
Ahilyanagar,2016,Srigonda,Urban,89.84,10.16,0
Ahilyanagar,2016,Srigonda,Total,94.21,5.17,0.62
Ahilyanagar,2016,Karjat,Rural,90.26,8.52,1.22
Ahilyanagar,2016,Karjat,Urban,,,
Ahilyanagar,2016,Karjat,Total,90.26,8.52,1.22
Ahilyanagar,2016,Jamkhed,Rural,94.01,5.19,0.8
Ahilyanagar,2016,Jamkhed,Urban,,,
Ahilyanagar,2016,Jamkhed,Total,94.01,5.19,0.8
Ahilyanagar,2017,Akole,Rural,79.95,16.19,3.86
Ahilyanagar,2017,Akole,Urban,,,
Ahilyanagar,2017,Akole,Total,79.95,16.19,3.86
Ahilyanagar,2017,Sangamner,Rural,93.62,5.61,0.77
Ahilyanagar,2017,Sangamner,Urban,87.19,12.81,0
Ahilyanagar,2017,Sangamner,Total,93.54,5.7,0.76
Ahilyanagar,2017,Kopargaon,Rural,95.84,3.87,0.28
Ahilyanagar,2017,Kopargaon,Urban,86.79,12.82,0.39
Ahilyanagar,2017,Kopargaon,Total,94.69,5.01,0.3
Ahilyanagar,2017,Rahata,Rural,90.89,7.83,1.28
Ahilyanagar,2017,Rahata,Urban,97.73,2.27,0
Ahilyanagar,2017,Rahata,Total,90.97,7.77,1.26
Ahilyanagar,2017,Srirampur,Rural,90.55,8.12,1.34
Ahilyanagar,2017,Srirampur,Urban,90.46,9.22,0.32
Ahilyanagar,2017,Srirampur,Total,90.53,8.3,1.17
Ahilyanagar,2017,Nevasa,Rural,93.24,5.72,1.04
Ahilyanagar,2017,Nevasa,Urban,,,
Ahilyanagar,2017,Nevasa,Total,93.24,5.72,1.04
Ahilyanagar,2017,Shevgaon,Rural,92.88,6.29,0.83
Ahilyanagar,2017,Shevgaon,Urban,,,
Ahilyanagar,2017,Shevgaon,Total,92.88,6.29,0.83
Ahilyanagar,2017,Pathardi,Rural,90.41,8.38,1.2
Ahilyanagar,2017,Pathardi,Urban,95.62,4.38,0
Ahilyanagar,2017,Pathardi,Total,90.5,8.32,1.18
Ahilyanagar,2017,Nagar,Rural,93.72,5.54,0.74
Ahilyanagar,2017,Nagar,Urban,90.93,8.58,0.49
Ahilyanagar,2017,Nagar,Total,92.95,6.37,0.67
Ahilyanagar,2017,Rahuri,Rural,96.7,2.74,0.56
Ahilyanagar,2017,Rahuri,Urban,70.24,26.34,3.41
Ahilyanagar,2017,Rahuri,Total,96.43,2.99,0.59
Ahilyanagar,2017,Parner,Rural,91.63,7.41,0.96
Ahilyanagar,2017,Parner,Urban,,,
Ahilyanagar,2017,Parner,Total,91.63,7.41,0.96
Ahilyanagar,2017,Srigonda,Rural,94.27,5.1,0.63
Ahilyanagar,2017,Srigonda,Urban,89.84,10.16,0
Ahilyanagar,2017,Srigonda,Total,94.21,5.17,0.62
Ahilyanagar,2017,Karjat,Rural,90.26,8.52,1.22
Ahilyanagar,2017,Karjat,Urban,,,
Ahilyanagar,2017,Karjat,Total,90.26,8.52,1.22
Ahilyanagar,2017,Jamkhed,Rural,94.01,5.19,0.8
Ahilyanagar,2017,Jamkhed,Urban,,,
Ahilyanagar,2017,Jamkhed,Total,94.01,5.19,0.8
Ahilyanagar,2018,Akole,Rural,81,15.25,3.74
Ahilyanagar,2018,Akole,Urban,,,
