District,Year,Select Effect,Number
Sindhudurg,2019,Deaths,0
Sindhudurg,2019,Other Complications,208
Solapur,2019,Abscess Cases,8
Solapur,2019,Deaths,2
Solapur,2019,Other Complications,94
Thane,2019,Abscess Cases,32
Thane,2019,Deaths,1
Thane,2019,Other Complications,427
Wardha,2019,Abscess Cases,0
Wardha,2019,Deaths,0
Wardha,2019,Other Complications,2
Washim,2019,Abscess Cases,2
Washim,2019,Deaths,0
Washim,2019,Other Complications,0
Yavatmal,2019,Abscess Cases,0
Yavatmal,2019,Deaths,0
Yavatmal,2019,Other Complications,7
Ahilyanagar,2018,Abscess Cases,0
Ahilyanagar,2018,Deaths,0
Ahilyanagar,2018,Other Complications,2
Akola,2018,Abscess Cases,2
Akola,2018,Deaths,2
Akola,2018,Other Complications,4
Amravati,2018,Abscess Cases,0
Amravati,2018,Deaths,0
Amravati,2018,Other Complications,5
Beed,2018,Abscess Cases,0
Beed,2018,Deaths,1
Beed,2018,Other Complications,0
Bhandara,2018,Abscess Cases,0
Bhandara,2018,Deaths,2
Bhandara,2018,Other Complications,12
Buldhana,2018,Abscess Cases,8
Buldhana,2018,Deaths,0
Buldhana,2018,Other Complications,1
Chandrapur,2018,Abscess Cases,0
Chandrapur,2018,Deaths,0
Chandrapur,2018,Other Complications,7
Chhatrapati Sambhaji Nagar,2018,Abscess Cases,1
Chhatrapati Sambhaji Nagar,2018,Deaths,2
Chhatrapati Sambhaji Nagar,2018,Other Complications,6
Dharashiv,2018,Abscess Cases,0
Dharashiv,2018,Deaths,0
Dharashiv,2018,Other Complications,15
Dhule,2018,Abscess Cases,0
Dhule,2018,Deaths,0
Dhule,2018,Other Complications,1
Gadchiroli,2018,Abscess Cases,5
Gadchiroli,2018,Deaths,0
Gadchiroli,2018,Other Complications,13
Gondia,2018,Abscess Cases,3
Gondia,2018,Deaths,1
Gondia,2018,Other Complications,0
Hingoli,2018,Abscess Cases,0
Hingoli,2018,Deaths,0
Hingoli,2018,Other Complications,19
Jalgaon,2018,Abscess Cases,0
Jalgaon,2018,Deaths,0
Jalgaon,2018,Other Complications,1
Jalna,2018,Abscess Cases,7
Jalna,2018,Deaths,1
Jalna,2018,Other Complications,45
Kolhapur,2018,Abscess Cases,0
Kolhapur,2018,Deaths,0
Kolhapur,2018,Other Complications,11
Latur,2018,Abscess Cases,0
Latur,2018,Deaths,0
Latur,2018,Other Complications,0
Mumbai,2018,Abscess Cases,0
Mumbai,2018,Deaths,8
Mumbai,2018,Other Complications,93
Nagpur,2018,Abscess Cases,1
Nagpur,2018,Deaths,0
Nagpur,2018,Other Complications,2
Nanded,2018,Abscess Cases,0
Nanded,2018,Deaths,0
Nanded,2018,Other Complications,30
Nandurbar,2018,Abscess Cases,0
Nandurbar,2018,Deaths,0
Nandurbar,2018,Other Complications,13
Nashik,2018,Abscess Cases,1
Nashik,2018,Deaths,2
