District,Year,Moderately Anaemic Women,Women with Severe Anemia Treated at Institution
Nashik,2016,114925,942
Palghar,2016,57055,637
Parbhani,2016,28236,291
Pune,2016,133849,1094
Raigad,2016,30228,485
Ratnagiri,2016,17867,129
Sangli,2016,50547,85
Satara,2016,44022,256
Sindhudurg,2016,7818,12
Solapur,2016,73099,262
Thane,2016,121350,2895
Wardha,2016,18178,106
Washim,2016,17448,106
Yavatmal,2016,40916,465
Ahilyanagar,2015,74284,373
Akola,2015,50098,1051
Amravati,2015,47273,529
Beed,2015,35171,892
Bhandara,2015,22007,27
Buldhana,2015,35068,119
Chandrapur,2015,30358,218
Chh. Sambhaji Nagar,2015,54168,872
Dharashiv,2015,26383,76
Dhule,2015,30003,232
Gadchiroli,2015,20979,163
Gondia,2015,23029,164
Hingoli,2015,19658,550
Jalgaon,2015,66074,414
Jalna,2015,35869,208
Kolhapur,2015,60185,139
Latur,2015,47128,994
Mumbai,2015,52890,1867
Nagpur,2015,72397,1127
Nanded,2015,57025,3682
Nandurbar,2015,35614,194
Nashik,2015,98307,629
Palghar,2015,70087,745
Parbhani,2015,35761,787
Pune,2015,125159,1299
Raigad,2015,28368,48
Ratnagiri,2015,19498,134
Sangli,2015,50870,419
Satara,2015,52004,569
Sindhudurg,2015,8270,29
Solapur,2015,72386,491
Thane,2015,103607,1540
Wardha,2015,19264,251
Washim,2015,17938,18
Yavatmal,2015,43693,801
Ahilyanagar,2014,73515,1228
Akola,2014,56230,869
Amravati,2014,46460,111
Beed,2014,33462,427
Bhandara,2014,22146,207
Buldhana,2014,34447,678
Chandrapur,2014,30579,264
Chh. Sambhaji Nagar,2014,47773,942
Dharashiv,2014,30126,232
Dhule,2014,32581,1075
Gadchiroli,2014,21433,118
Gondia,2014,21244,320
Hingoli,2014,19801,175
Jalgaon,2014,50493,450
Jalna,2014,40241,61
Kolhapur,2014,54759,208
Latur,2014,44855,1352
Mumbai,2014,31384,1782
Nagpur,2014,70434,1611
Nanded,2014,54041,1656
Nandurbar,2014,35370,433
Nashik,2014,89264,2131
Palghar,2014,57648,946
Parbhani,2014,33064,1255
Pune,2014,112141,3018
Raigad,2014,27400,54
Ratnagiri,2014,19070,56
Sangli,2014,48811,258
Satara,2014,47434,481
Sindhudurg,2014,8169,13
Solapur,2014,72080,950
Thane,2014,99004,2327
Wardha,2014,19452,173
Washim,2014,19545,130
Yavatmal,2014,41276,1006
Ahilyanagar,2013,72293,1463
Akola,2013,52680,957
Amravati,2013,53973,1886
Beed,2013,45392,1461
Bhandara,2013,22217,221
Buldhana,2013,43601,1795
Chandrapur,2013,28204,642
Chh. Sambhaji Nagar,2013,41993,1104
Dharashiv,2013,28431,384
Dhule,2013,33095,961
Gadchiroli,2013,41541,589
Gondia,2013,26763,393
Hingoli,2013,19227,0
Jalgaon,2013,53687,2336
Jalna,2013,42066,691
Kolhapur,2013,50559,709
Latur,2013,46347,884
Mumbai,2013,30480,2054
Nagpur,2013,87159,1909
Nanded,2013,48340,1078
Nandurbar,2013,36028,1177
Nashik,2013,93524,2292
Palghar,2013,4498,18
Parbhani,2013,27056,937
Pune,2013,141504,4144
Raigad,2013,32146,626
Ratnagiri,2013,18978,308
Sangli,2013,45106,362
Satara,2013,44515,382
Sindhudurg,2013,8332,45
Solapur,2013,66652,1912
Thane,2013,169704,4589
Wardha,2013,24496,303
Washim,2013,19387,350
Yavatmal,2013,38986,1915
Ahilyanagar,2012,42365,1676
Akola,2012,39799,768
Amravati,2012,43831,2046
Beed,2012,28286,573
Bhandara,2012,13189,222
Buldhana,2012,24017,2478
Chandrapur,2012,27653,2007
Chh. Sambhaji Nagar,2012,37648,2061
Dharashiv,2012,20233,721
Dhule,2012,11804,1580
Gadchiroli,2012,11167,1412
Gondia,2012,13663,306
Hingoli,2012,13513,645
Jalgaon,2012,35204,3862
Jalna,2012,26998,1946
Kolhapur,2012,28217,725
