District,Year,Taluka,Rural/Urban,Approved Anganwadis,Working Anganwadis,Anganwadi Workers,Self-Owned Buildings,Rental Buildings,Without Regular Building,Anganwadis with Toilets
Dhule,2016,Dhule,Rural,557,557,553,302,20,235,407
Dhule,2016,Dhule,Urban,148,148,146,0,147,1,148
Dhule,2016,Sakri,Total,643,643,635,436,20,187,475
Dhule,2016,Sakri,Rural,643,643,635,436,20,187,475
Dhule,2016,Sakri,Urban,0,0,0,0,0,0,0
Dhule,2016,Shindkheda,Total,350,350,344,223,24,103,347
Dhule,2016,Shindkheda,Rural,341,341,335,223,15,103,338
Dhule,2016,Shindkheda,Urban,9,9,9,0,9,0,9
Dhule,2016,Shirpur,Total,384,384,377,308,12,64,302
Dhule,2016,Shirpur,Rural,372,372,365,308,0,64,290
Dhule,2016,Shirpur,Urban,12,12,12,0,12,0,12
Dhule,2017,Dhule,Total,705,705,701,302,166,237,555
Dhule,2017,Dhule,Rural,557,557,553,302,20,235,407
Dhule,2017,Dhule,Urban,148,148,148,0,146,2,148
Dhule,2017,Sakri,Total,643,643,627,439,20,184,475
Dhule,2017,Sakri,Rural,643,643,627,439,20,184,475
Dhule,2017,Sakri,Urban,0,0,0,0,0,0,0
Dhule,2017,Shindkheda,Total,350,350,340,223,24,103,347
Dhule,2017,Shindkheda,Rural,341,341,331,223,15,103,338
Dhule,2017,Shindkheda,Urban,9,9,9,0,9,0,9
Dhule,2017,Shirpur,Total,384,384,375,308,12,64,302
Dhule,2017,Shirpur,Rural,372,372,363,308,0,64,290
Dhule,2017,Shirpur,Urban,12,12,12,0,12,0,12
Dhule,2018,Dhule,Total,705,705,687,402,161,142,430
Dhule,2018,Dhule,Rural,557,557,539,402,15,140,282
Dhule,2018,Dhule,Urban,148,148,148,0,146,2,148
Dhule,2018,Sakri,Total,744,744,720,528,32,184,366
Dhule,2018,Sakri,Rural,744,744,720,528,32,184,366
Dhule,2018,Sakri,Urban,0,0,0,0,0,0,0
Dhule,2018,Shindkheda,Total,350,350,331,283,20,47,218
Dhule,2018,Shindkheda,Rural,341,341,322,283,11,47,209
Dhule,2018,Shindkheda,Urban,9,9,9,0,9,0,9
Dhule,2018,Shirpur,Total,475,474,444,352,15,107,256
Dhule,2018,Shirpur,Rural,463,462,432,352,3,107,244
Dhule,2018,Shirpur,Urban,12,12,12,0,12,0,12
Dhule,2019,Dhule,Total,705,705,687,402,161,142,430
Dhule,2019,Dhule,Rural,557,557,539,402,15,140,282
Dhule,2019,Dhule,Urban,148,148,148,0,146,2,148
Dhule,2019,Sakri,Total,744,744,720,528,32,184,366
Dhule,2019,Sakri,Rural,744,744,720,528,32,184,366
Dhule,2019,Sakri,Urban,0,0,0,0,0,0,0
Dhule,2019,Shindkheda,Total,350,350,331,283,20,47,218
Dhule,2019,Shindkheda,Rural,341,341,322,283,11,47,209
Dhule,2019,Shindkheda,Urban,9,9,9,0,9,0,9
Dhule,2019,Shirpur,Total,475,474,444,352,15,107,256
Dhule,2019,Shirpur,Rural,463,462,432,352,3,107,244
Dhule,2019,Shirpur,Urban,12,12,12,0,12,0,12
Dhule,2020,Dhule,Total,707,707,674,412,176,119,462
Dhule,2020,Dhule,Rural,557,557,524,412,26,119,312
Dhule,2020,Dhule,Urban,150,150,150,0,150,0,150
Dhule,2020,Sakri,Total,744,744,649,564,21,159,455
Dhule,2020,Sakri,Rural,744,744,649,564,21,159,455
Dhule,2020,Sakri,Urban,0,0,0,0,0,0,0
Dhule,2020,Shindkheda,Total,350,350,310,278,22,50,212
Dhule,2020,Shindkheda,Rural,341,341,301,278,14,49,203
Dhule,2020,Shindkheda,Urban,9,9,9,0,8,1,9
Dhule,2020,Shirpur,Total,475,475,420,395,14,66,351
Dhule,2020,Shirpur,Rural,463,463,408,395,2,66,339
Dhule,2020,Shirpur,Urban,12,12,12,0,12,0,12
Dhule,2021,Dhule,Total,707,707,685,414,158,135,467
Dhule,2021,Dhule,Rural,557,557,535,414,10,133,317
Dhule,2021,Dhule,Urban,150,150,150,0,148,2,150
Dhule,2021,Sakri,Total,750,750,710,579,13,158,451
Dhule,2021,Sakri,Rural,750,750,710,579,13,158,451
Dhule,2021,Sakri,Urban,0,0,0,0,0,0,0
Dhule,2021,Shindkheda,Total,351,351,322,283,18,50,258
Dhule,2021,Shindkheda,Rural,342,342,313,283,10,49,249
Dhule,2021,Shindkheda,Urban,9,9,9,0,8,1,9
Dhule,2021,Shirpur,Total,483,483,425,400,49,34,405
Dhule,2021,Shirpur,Rural,471,471,413,400,37,34,393
Dhule,2021,Shirpur,Urban,12,12,12,0,12,0,12
Gadchiroli,2012,Aarmori,Total,162,162,155,146,5,11,146
Gadchiroli,2012,Aarmori,Rural,162,162,155,146,5,11,146
Gadchiroli,2012,Aarmori,Urban,0,0,0,0,0,0,0
Gadchiroli,2012,Aheri,Total,180,180,179,162,13,5,162
Gadchiroli,2012,Aheri,Rural,180,180,179,162,13,5,162
Gadchiroli,2012,Aheri,Urban,0,0,0,0,0,0,0
Gadchiroli,2012,Bhamragad,Total,98,98,72,81,0,17,81
Gadchiroli,2012,Bhamragad,Rural,98,98,72,81,0,17,81
Gadchiroli,2012,Bhamragad,Urban,0,0,0,0,0,0,0
Gadchiroli,2012,Chomoshi,Total,288,288,285,254,34,0,254
Gadchiroli,2012,Chomoshi,Rural,288,288,285,254,34,0,254
Gadchiroli,2012,Chomoshi,Urban,0,0,0,0,0,0,0
Gadchiroli,2012,Desaiganj,Total,123,123,118,79,42,2,105
Gadchiroli,2012,Desaiganj,Rural,82,82,82,79,1,2,79
Gadchiroli,2012,Desaiganj,Urban,41,41,36,0,41,0,26
