District,Year,Taluka,Rural/Urban,Family Welfare Centers,Fertile Couples,Male Sterilization Numbers,Female Sterilization Numbers,IUDs Inserted,Other Family Planning Methods Used
Dhule,2020,Shindkheda,Total,9,91456,1,931,725,44664
Dhule,2020,Sakri,Rural,10,43602,55,1319,1326,22105
Dhule,2020,Sakri,Urban,2,0,0,141,0,0
Dhule,2020,Sakri,Total,12,43602,55,1460,1326,22105
Dhule,2020,Dhule,Rural,11,59048,3,1910,1159,11924
Dhule,2020,Dhule,Urban,3,33192,0,366,41,19209
Dhule,2020,Dhule,Total,14,92240,3,2276,1200,31133
Dhule,2021,Shirpur,Rural,8,86112,13,960,1604,17591
Dhule,2021,Shirpur,Urban,1,13858,0,21,0,0
Dhule,2021,Shirpur,Total,9,99970,13,981,1604,17591
Dhule,2021,Shindkheda,Rural,8,91643,0,726,1070,12021
Dhule,2021,Shindkheda,Urban,1,8632,0,0,0,0
Dhule,2021,Shindkheda,Total,9,100275,0,726,1070,12021
Dhule,2021,Sakri,Rural,14,48834,51,1526,2263,33836
Dhule,2021,Sakri,Urban,2,0,0,141,0,0
Dhule,2021,Sakri,Total,16,48834,51,1667,2263,33836
Dhule,2021,Dhule,Rural,11,66134,2,2186,1865,27395
Dhule,2021,Dhule,Urban,3,40330,356,431,93,263
Dhule,2021,Dhule,Total,14,106464,354,2617,1958,27658
Latur,2012,Latur,Rural,8,47608,8,1973,1199,9271
Latur,2012,Latur,Urban,,,,,,
Latur,2012,Latur,Total,12,95821,8,4538,2086,9632
Latur,2012,Renapur,Rural,6,22391,9,762,754,5404
Latur,2012,Renapur,Urban,,,,,,
Latur,2012,Renapur,Total,6,22391,9,762,754,5404
Latur,2012,Ahamadpur,Rural,5,29295,2,1491,714,10697
Latur,2012,Ahamadpur,Urban,,,,,,
Latur,2012,Ahamadpur,Total,6,36597,3,2174,1228,11106
Latur,2012,Jalkot,Rural,3,13340,0,578,339,1958
Latur,2012,Jalkot,Urban,,,,,,
Latur,2012,Jalkot,Total,3,13340,0,578,339,1958
Latur,2012,Chakur,Rural,4,28934,7,1280,721,3961
Latur,2012,Chakur,Urban,,,,,,
Latur,2012,Chakur,Total,4,28934,7,1280,721,3961
Latur,2012,Shirur-Anantpal,Rural,2,12518,1,557,331,2684
Latur,2012,Shirur-Anantpal,Urban,,,,,,
Latur,2012,Shirur-Anantpal,Total,2,12518,1,557,331,2684
Latur,2012,Aosa,Rural,8,43164,4,1928,1019,6440
Latur,2012,Aosa,Urban,,,,,,
Latur,2012,Aosa,Total,9,49169,4,2151,1127,6769
Latur,2012,Nilanga,Rural,8,44586,11,1859,997,7968
Latur,2012,Nilanga,Urban,,,,,,
Latur,2012,Nilanga,Total,9,50406,15,2275,1103,8412
Latur,2012,Devani,Rural,3,11267,1,521,363,1007
Latur,2012,Devani,Urban,,,,,,
Latur,2012,Devani,Total,3,11267,1,521,363,1007
Latur,2012,Udgir,Rural,5,31632,6,894,775,4457
Latur,2012,Udgir,Urban,,,,,,
Latur,2012,Udgir,Total,6,50504,7,2258,1466,5948
Latur,2013,Latur,Rural,13,46632,52,2600,711,11697
Latur,2013,Latur,Urban,,,,,,
Latur,2013,Latur,Total,16,100282,52,5365,711,11697
Latur,2013,Renapur,Rural,6,22857,32,797,560,4917
Latur,2013,Renapur,Urban,,,,,,
Latur,2013,Renapur,Total,6,22857,32,797,560,4917
Latur,2013,Ahamadpur,Rural,5,27773,4,998,649,9094
Latur,2013,Ahamadpur,Urban,,,,,,
Latur,2013,Ahamadpur,Total,6,36451,6,1148,992,9094
Latur,2013,Jalkot,Rural,3,12173,3,530,311,3122
Latur,2013,Jalkot,Urban,,,,,,
Latur,2013,Jalkot,Total,3,12173,3,530,311,3122
Latur,2013,Chakur,Rural,4,28427,11,1180,672,5372
Latur,2013,Chakur,Urban,,,,,,
Latur,2013,Chakur,Total,4,28427,11,1180,672,5372
Latur,2013,Shirur-Anantpal,Rural,2,11900,2,538,306,3002
Latur,2013,Shirur-Anantpal,Urban,,,,,,
Latur,2013,Shirur-Anantpal,Total,2,11900,2,538,306,3002
Latur,2013,Aosa,Rural,8,40821,14,2037,992,12472
Latur,2013,Aosa,Urban,,,,,,
Latur,2013,Aosa,Total,9,46722,14,2305,992,12472
Latur,2013,Nilanga,Rural,8,44221,27,1786,949,9167
Latur,2013,Nilanga,Urban,,,,,,
Latur,2013,Nilanga,Total,9,50445,41,2168,949,9167
Latur,2013,Devani,Rural,3,7431,0,529,330,2896
Latur,2013,Devani,Urban,,,,,,
Latur,2013,Devani,Total,3,7431,0,529,330,2896
Latur,2013,Udgir,Rural,5,31534,3,841,770,6470
Latur,2013,Udgir,Urban,,,,,,
Latur,2013,Udgir,Total,6,51043,6,1615,1658,6470
Latur,2014,Latur,Rural,13,282433,26,1892,1139,10818
Latur,2014,Latur,Urban,,,,,,
Latur,2014,Latur,Total,16,330646,26,4157,1235,12987
Latur,2014,Renapur,Rural,6,21686,32,811,520,4551
Latur,2014,Renapur,Urban,,,,,,
Latur,2014,Renapur,Total,6,21686,32,811,520,4551
Latur,2014,Ahamadpur,Rural,6,27498,8,1290,533,7337
Latur,2014,Ahamadpur,Urban,,,,,,
Latur,2014,Ahamadpur,Total,7,34978,8,1791,723,7648
Latur,2014,Jalkot,Rural,3,12571,1,565,293,3121
Latur,2014,Jalkot,Urban,,,,,,
Latur,2014,Jalkot,Total,3,12571,1,565,293,3121
Latur,2014,Chakur,Rural,4,29259,22,1173,727,6939
Latur,2014,Chakur,Urban,,,,,,
Latur,2014,Chakur,Total,4,29259,22,1173,727,6939
Latur,2014,Shirur-Anantpal,Rural,2,12371,7,527,328,2776
Latur,2014,Shirur-Anantpal,Urban,,,,,,
Latur,2014,Shirur-Anantpal,Total,2,12371,7,527,328,2776
Latur,2014,Aosa,Rural,8,40971,22,1774,978,11580
Latur,2014,Aosa,Urban,,,,,,
Latur,2014,Aosa,Total,9,47099,22,2070,978,11876
Latur,2014,Nilanga,Rural,8,44195,11,2035,1061,10037
Latur,2014,Nilanga,Urban,,,,,,
Latur,2014,Nilanga,Total,9,50150,11,2441,1074,10430
Latur,2014,Devani,Rural,3,15530,1,586,397,3035
Latur,2014,Devani,Urban,,,,,,
Latur,2014,Devani,Total,3,15530,1,586,397,3035
Latur,2014,Udgir,Rural,5,32119,23,2132,801,7533
Latur,2014,Udgir,Urban,,,,,,
Latur,2014,Udgir,Total,6,51664,46,3566,1315,8453
Latur,2015,Latur,Rural,13,282433,27,1848,1010,11039
Latur,2015,Latur,Urban,,,,,,
Latur,2015,Latur,Total,16,330785,27,3485,1411,13817
Latur,2015,Renapur,Rural,6,21686,20,728,588,5239
Latur,2015,Renapur,Urban,,,,,,
Latur,2015,Renapur,Total,7,21686,20,728,588,5239
Latur,2015,Ahamadpur,Rural,6,27498,1,821,552,6406
Latur,2015,Ahamadpur,Urban,,,,,,
Latur,2015,Ahamadpur,Total,7,35085,1,1048,696,6628
Latur,2015,Jalkot,Rural,3,12571,0,476,304,3416
Latur,2015,Jalkot,Urban,,,,,,
Latur,2015,Jalkot,Total,4,12571,0,476,304,3416
Latur,2015,Chakur,Rural,4,29259,8,1164,681,6571
Latur,2015,Chakur,Urban,,,,,,
Latur,2015,Chakur,Total,5,29259,8,1164,681,6571
Latur,2015,Shirur-Anantpal,Rural,2,12371,0,463,288,2720
Latur,2015,Shirur-Anantpal,Urban,,,,,,
Latur,2015,Shirur-Anantpal,Total,2,12371,0,463,288,2720
Latur,2015,Aosa,Rural,8,40971,4,1471,1211,9358
Latur,2015,Aosa,Urban,,,,,,
Latur,2015,Aosa,Total,10,47200,4,1723,1259,9578
Latur,2015,Nilanga,Rural,8,44195,14,1601,1055,10846
Latur,2015,Nilanga,Urban,,,,,,
Latur,2015,Nilanga,Total,10,50215,15,1990,1159,10925
Latur,2015,Devani,Rural,3,15530,0,582,367,2964
Latur,2015,Devani,Urban,,,,,,
Latur,2015,Devani,Total,4,15530,0,582,367,2964
Latur,2015,Udgir,Rural,5,32119,1,871,760,7810
Latur,2015,Udgir,Urban,,,,,,
Latur,2015,Udgir,Total,7,51788,3,2175,1054,7998
Latur,2016,Latur,Rural,8,43933,30,1362,1020,604
Latur,2016,Latur,Urban,3,55724,0,165,0,3035
Latur,2016,Latur,Total,11,99657,30,1527,1020,3639
Latur,2016,Renapur,Rural,5,22144,6,498,522,872
Latur,2016,Renapur,Urban,0,0,0,0,0,0
Latur,2016,Renapur,Total,5,22144,6,498,522,872
Latur,2016,Ahamadpur,Rural,5,27387,4,888,520,604
Latur,2016,Ahamadpur,Urban,1,7503,0,70,0,499
Latur,2016,Ahamadpur,Total,6,34890,4,958,520,1103
Latur,2016,Jalkot,Rural,2,12683,0,402,261,511
Latur,2016,Jalkot,Urban,0,0,0,0,0,0
Latur,2016,Jalkot,Total,2,12683,0,402,261,511
Latur,2016,Chakur,Rural,3,29139,5,795,673,637
Latur,2016,Chakur,Urban,0,0,0,0,0,0
Latur,2016,Chakur,Total,3,29139,5,795,673,637
Latur,2016,Shirur-Anantpal,Rural,2,12641,2,399,262,294
Latur,2016,Shirur-Anantpal,Urban,0,0,0,0,0,0
Latur,2016,Shirur-Anantpal,Total,2,12641,2,399,262,294
Latur,2016,Aosa,Rural,7,41169,1,1094,982,1158
Latur,2016,Aosa,Urban,1,6138,0,107,0,634
Latur,2016,Aosa,Total,8,47307,1,1201,982,1792
