District,Year,Sex,Select Cause,Number
Sangli,2020,Female,Dengue,0
Sangli,2020,Female,Swine Flu,0
Sangli,2020,Female,Maternal Death during Childbirth,27
Sangli,2021,Total,Winter Fever,0
Sangli,2021,Total,Typhoid Fever,0
Sangli,2021,Total,Tuberculosis,2
Sangli,2021,Total,Pneumonia/ Respiratory disorders,11
Sangli,2021,Total,Diarrhoea or Gastro,0
Sangli,2021,Total,Dengue,0
Sangli,2021,Total,Swine Flu,0
Sangli,2021,Total,AIDS,0
Sangli,2021,Total,Heart Disorder,847
Sangli,2021,Total,Cancer,74
Sangli,2021,Total,Maternal Death during Childbirth,50
Sangli,2021,Total,Paralysis,81
Sangli,2021,Total,Kidney Related,30
Sangli,2021,Total,Suicide,34
Sangli,2021,Total,Traffic,30
Sangli,2021,Total,Electric Shock,6
Sangli,2021,Total,Burns,0
Sangli,2021,Total,Other Accidents,10
Sangli,2021,Total,Other Reasons,747
Sangli,2021,Male,Winter Fever,0
Sangli,2021,Male,Typhoid Fever,0
Sangli,2021,Male,Tuberculosis,2
Sangli,2021,Male,Pneumonia/ Respiratory disorders,9
Sangli,2021,Male,Diarrhoea or Gastro,0
Sangli,2021,Male,Dengue,0
Sangli,2021,Male,Swine Flu,0
Sangli,2021,Male,AIDS,0
Sangli,2021,Male,Heart Disorder,493
Sangli,2021,Male,Cancer,38
Sangli,2021,Male,Maternal Death during Childbirth,0
Sangli,2021,Male,Paralysis,47
Sangli,2021,Male,Kidney Related,19
Sangli,2021,Male,Suicide,27
Sangli,2021,Male,Traffic,25
Sangli,2021,Male,Electric Shock,6
Sangli,2021,Male,Burns,0
Sangli,2021,Male,Other Accidents,4
Sangli,2021,Male,Other Reasons,396
Sangli,2021,Female,Winter Fever,0
Sangli,2021,Female,Typhoid Fever,0
Sangli,2021,Female,Tuberculosis,0
Sangli,2021,Female,Pneumonia/ Respiratory disorders,2
Sangli,2021,Female,Diarrhoea or Gastro,0
Sangli,2021,Female,Dengue,0
Sangli,2021,Female,Swine Flu,0
Sangli,2021,Female,AIDS,0
Sangli,2021,Female,Heart Disorder,354
Sangli,2021,Female,Cancer,36
Sangli,2021,Female,Maternal Death during Childbirth,50
Sangli,2021,Female,Paralysis,34
Sangli,2021,Female,Kidney Related,11
Sangli,2021,Female,Suicide,7
Sangli,2021,Female,Traffic,5
Sangli,2021,Female,Electric Shock,0
Sangli,2021,Female,Burns,0
Sangli,2021,Female,Other Accidents,6
Sangli,2021,Female,Other Reasons,351
Satara,2012,Total,Winter Fever,0
Satara,2012,Total,Typhoid Fever,0
Satara,2012,Total,Tuberculosis,5
Satara,2012,Total,Pneumonia/ Respiratory disorders,87
Satara,2012,Total,Diarrhoea or Gastro,0
Satara,2012,Total,AIDS,9
Satara,2012,Total,Heart Disorder,311
Satara,2012,Total,Cancer,51
Satara,2012,Total,Maternal Death during Childbirth,0
Satara,2012,Total,Paralysis,67
Satara,2012,Total,Kidney Related,26
Satara,2012,Total,Suicide,24
Satara,2012,Total,Traffic,33
Satara,2012,Total,Electric Shock,1
Satara,2012,Total,Burns,5
Satara,2012,Total,Other Accidents,25
Satara,2012,Total,Other Reasons,150
Satara,2012,Male,Winter Fever,0
Satara,2012,Male,Typhoid Fever,0
Satara,2012,Male,Tuberculosis,2
Satara,2012,Male,Pneumonia/ Respiratory disorders,39
Satara,2012,Male,Diarrhoea or Gastro,0
Satara,2012,Male,AIDS,6
Satara,2012,Male,Heart Disorder,171
Satara,2012,Male,Cancer,26
Satara,2012,Male,Maternal Death during Childbirth,0
Satara,2012,Male,Paralysis,35
Satara,2012,Male,Kidney Related,19
Satara,2012,Male,Suicide,16
Satara,2012,Male,Traffic,24
Satara,2012,Male,Electric Shock,0
Satara,2012,Male,Burns,0
Satara,2012,Male,Other Accidents,19
Satara,2012,Male,Other Reasons,84
Satara,2012,Female,Winter Fever,0
Satara,2012,Female,Typhoid Fever,0
Satara,2012,Female,Tuberculosis,3
Satara,2012,Female,Pneumonia/ Respiratory disorders,48
Satara,2012,Female,Diarrhoea or Gastro,0
Satara,2012,Female,AIDS,3
Satara,2012,Female,Heart Disorder,140
Satara,2012,Female,Cancer,25
Satara,2012,Female,Maternal Death during Childbirth,0
Satara,2012,Female,Paralysis,32
Satara,2012,Female,Kidney Related,7
Satara,2012,Female,Suicide,8
Satara,2012,Female,Traffic,9
Satara,2012,Female,Electric Shock,1
Satara,2012,Female,Burns,5
Satara,2012,Female,Other Accidents,6
Satara,2012,Female,Other Reasons,66
Satara,2013,Total,Winter Fever,0
Satara,2013,Total,Typhoid Fever,0
Satara,2013,Total,Tuberculosis,12
Satara,2013,Total,Pneumonia/ Respiratory disorders,122
Satara,2013,Total,Diarrhoea or Gastro,0
Satara,2013,Total,AIDS,10
Satara,2013,Total,Heart Disorder,375
Satara,2013,Total,Cancer,74
Satara,2013,Total,Maternal Death during Childbirth,0
Satara,2013,Total,Paralysis,104
Satara,2013,Total,Kidney Related,36
Satara,2013,Total,Suicide,22
Satara,2013,Total,Traffic,34
Satara,2013,Total,Electric Shock,4
Satara,2013,Total,Burns,3
Satara,2013,Total,Other Accidents,33
Satara,2013,Total,Other Reasons,210
Satara,2013,Male,Winter Fever,0
Satara,2013,Male,Typhoid Fever,0
Satara,2013,Male,Tuberculosis,8
Satara,2013,Male,Pneumonia/ Respiratory disorders,59
Satara,2013,Male,Diarrhoea or Gastro,0
Satara,2013,Male,AIDS,7
Satara,2013,Male,Heart Disorder,207
Satara,2013,Male,Cancer,41
Satara,2013,Male,Maternal Death during Childbirth,0
Satara,2013,Male,Paralysis,58
Satara,2013,Male,Kidney Related,24
Satara,2013,Male,Suicide,14
Satara,2013,Male,Traffic,26
Satara,2013,Male,Electric Shock,2
Satara,2013,Male,Burns,1
Satara,2013,Male,Other Accidents,20
Satara,2013,Male,Other Reasons,107
Satara,2013,Female,Winter Fever,0
Satara,2013,Female,Typhoid Fever,0
Satara,2013,Female,Tuberculosis,4
Satara,2013,Female,Pneumonia/ Respiratory disorders,63
Satara,2013,Female,Diarrhoea or Gastro,0
Satara,2013,Female,AIDS,3
Satara,2013,Female,Heart Disorder,168
Satara,2013,Female,Cancer,33
Satara,2013,Female,Maternal Death during Childbirth,0
Satara,2013,Female,Paralysis,46
Satara,2013,Female,Kidney Related,12
Satara,2013,Female,Suicide,8
Satara,2013,Female,Traffic,8
Satara,2013,Female,Electric Shock,2
Satara,2013,Female,Burns,2
Satara,2013,Female,Other Accidents,13
Satara,2013,Female,Other Reasons,103
Satara,2014,Total,Winter Fever,0
Satara,2014,Total,Typhoid Fever,0
Satara,2014,Total,Tuberculosis,10
Satara,2014,Total,Pneumonia/ Respiratory disorders,133
Satara,2014,Total,Diarrhoea or Gastro,19
Satara,2014,Total,AIDS,11
Satara,2014,Total,Heart Disorder,395
Satara,2014,Total,Cancer,73
Satara,2014,Total,Maternal Death during Childbirth,1
Satara,2014,Total,Paralysis,0
Satara,2014,Total,Kidney Related,88
Satara,2014,Total,Suicide,20
Satara,2014,Total,Traffic,2
Satara,2014,Total,Electric Shock,0
Satara,2014,Total,Burns,1
Satara,2014,Total,Other Accidents,8
Satara,2014,Total,Other Reasons,238
Satara,2014,Male,Winter Fever,0
Satara,2014,Male,Typhoid Fever,0
Satara,2014,Male,Tuberculosis,7
Satara,2014,Male,Pneumonia/ Respiratory disorders,64
Satara,2014,Male,Diarrhoea or Gastro,9
Satara,2014,Male,AIDS,8
Satara,2014,Male,Heart Disorder,240
Satara,2014,Male,Cancer,40
Satara,2014,Male,Maternal Death during Childbirth,0
Satara,2014,Male,Paralysis,0
Satara,2014,Male,Kidney Related,65
Satara,2014,Male,Suicide,16
Satara,2014,Male,Traffic,2
Satara,2014,Male,Electric Shock,0
Satara,2014,Male,Burns,1
Satara,2014,Male,Other Accidents,2
Satara,2014,Male,Other Reasons,119
Satara,2014,Female,Winter Fever,0
Satara,2014,Female,Typhoid Fever,0
Satara,2014,Female,Tuberculosis,3
Satara,2014,Female,Pneumonia/ Respiratory disorders,69
Satara,2014,Female,Diarrhoea or Gastro,10
Satara,2014,Female,AIDS,3
Satara,2014,Female,Heart Disorder,155
Satara,2014,Female,Cancer,33
Satara,2014,Female,Maternal Death during Childbirth,1
Satara,2014,Female,Paralysis,0
Satara,2014,Female,Kidney Related,23
Satara,2014,Female,Suicide,4
Satara,2014,Female,Traffic,0
Satara,2014,Female,Electric Shock,0
Satara,2014,Female,Burns,0
Satara,2014,Female,Other Accidents,6
Satara,2014,Female,Other Reasons,119
Satara,2015,Total,Winter Fever,0
Satara,2015,Total,Typhoid Fever,0
Satara,2015,Total,Tuberculosis,154
Satara,2015,Total,Pneumonia/ Respiratory disorders,12
Satara,2015,Total,Diarrhoea or Gastro,2
Satara,2015,Total,AIDS,5
Satara,2015,Total,Heart Disorder,396
Satara,2015,Total,Cancer,55
Satara,2015,Total,Maternal Death during Childbirth,0
Satara,2015,Total,Paralysis,112
Satara,2015,Total,Kidney Related,27
Satara,2015,Total,Suicide,27
Satara,2015,Total,Traffic,16
Satara,2015,Total,Electric Shock,1
Satara,2015,Total,Burns,14
Satara,2015,Total,Other Accidents,83
Satara,2015,Total,Other Reasons,112
Satara,2015,Male,Winter Fever,0
Satara,2015,Male,Typhoid Fever,0
Satara,2015,Male,Tuberculosis,60
Satara,2015,Male,Pneumonia/ Respiratory disorders,8
Satara,2015,Male,Diarrhoea or Gastro,2
Satara,2015,Male,AIDS,3
Satara,2015,Male,Heart Disorder,238
Satara,2015,Male,Cancer,25
Satara,2015,Male,Maternal Death during Childbirth,0
Satara,2015,Male,Paralysis,58
Satara,2015,Male,Kidney Related,16
Satara,2015,Male,Suicide,24
