District,Year,Abortions Reported,Medical Terminations of Pregnancy,Public,Private,Public Institutions,Private Institutions,Up to 12 Weeks,More than 12 Weeks
Akola,2010,1481,1970,1716,254,87.1,12.9,83.4,16.6
Amravati,2010,2374,4383,4059,324,92.6,7.4,88.4,11.6
Beed,2010,1956,1104,954,150,86.4,13.6,79.7,20.3
Bhandara,2010,632,296,296,0,100,0,88.5,11.5
Buldhana,2010,2248,1983,1983,0,100,0,92.2,7.8
Chandrapur,2010,2159,2023,2023,0,100,0,95.4,4.6
Chh. Sambhaji Nagar,2010,4612,6257,4236,2021,67.7,32.3,92.6,7.4
Dharashiv,2010,1722,886,884,2,99.8,0.2,94.5,5.5
Dhule,2010,557,883,873,10,98.9,1.1,90,10
Gadchiroli,2010,1689,765,434,331,56.7,43.3,73,27
Gondia,2010,494,306,306,0,100,0,83.3,16.7
Hingoli,2010,344,223,223,0,100,0,73.5,26.5
Jalgaon,2010,2198,3830,2999,831,78.3,21.7,93.8,6.2
Jalna,2010,3101,2230,2230,0,100,0,85.2,14.8
Kolhapur,2010,2687,1633,1352,281,82.8,17.2,91.1,8.9
Latur,2010,1632,501,501,0,100,0,86.8,13.2
Mumbai,2010,14374,15814,15814,0,100,0,86.8,13.2
Nagpur,2010,1538,1608,1433,175,89.1,10.9,98.3,1.7
Nanded,2010,2725,1720,1686,34,98,2,93.5,6.5
Nandurbar,2010,835,340,339,1,99.7,0.3,84.7,15.3
Nashik,2010,4869,3607,3607,0,100,0,91.1,8.9
Palghar,2010,,,,,,,,
Parbhani,2010,1090,1112,1100,12,98.9,1.1,83.7,16.3
Pune,2010,13449,20348,17764,2584,87.3,12.7,92.7,7.3
Raigad,2010,5366,3648,3648,0,100,0,95.6,4.4
Ratnagiri,2010,1406,1766,1766,0,100,0,96.5,3.5
Sangli,2010,2413,2102,2020,82,96.1,3.9,87.8,12.2
Satara,2010,5450,3967,3967,0,100,0,95.8,4.2
Sindhudurg,2010,1691,1625,1625,0,100,0,94,6
Solapur,2010,2675,4093,3970,123,97,3,91.1,8.9
Thane,2010,2579,11217,11217,0,100,0,90.5,9.5
Wardha,2010,1374,1077,1077,0,100,0,89.4,10.6
Washim,2010,777,445,425,20,95.5,4.5,92.2,7.8
Yavatmal,2010,792,889,836,53,94,6,81.1,18.9
Ahilyanagar,2009,6156,3990,3814,176,95.6,4.4,88.8,11.2
Akola,2009,870,1573,1317,256,83.7,16.3,81.9,18.1
Amravati,2009,1829,3950,3223,727,81.6,18.4,90.8,9.2
Beed,2009,1917,1107,1107,0,100,0,70.7,29.3
Bhandara,2009,591,200,200,0,100,0,91,9
Buldhana,2009,1911,1741,1741,0,100,0,91.6,8.4
Chandrapur,2009,2024,1446,1446,0,100,0,95.6,4.4
Chh. Sambhaji Nagar,2009,4806,4921,4532,389,92.1,7.9,90.1,9.9
Dharashiv,2009,1420,714,712,2,99.7,0.3,90.4,9.6
Dhule,2009,642,1830,1781,49,97.3,2.7,88.2,11.8
Gadchiroli,2009,2957,4395,2334,2061,53.1,46.9,77.5,22.5
Gondia,2009,514,164,164,0,100,0,87.2,12.8
Hingoli,2009,422,209,183,26,87.6,12.4,75.4,24.6
Jalgaon,2009,2632,3254,2320,934,71.3,28.7,89.6,10.4
Jalna,2009,2701,1626,1626,0,100,0,89.9,10.1
Kolhapur,2009,2924,1461,1461,0,100,0,92.8,7.2
Latur,2009,1529,539,539,0,100,0,88.7,11.3
Mumbai,2009,1213,8247,8247,0,100,0,90.6,9.4
Nagpur,2009,1726,1739,1645,94,94.6,5.4,96.8,3.2
Nanded,2009,3058,1445,964,481,66.7,33.3,84.6,15.4
Nandurbar,2009,516,216,212,4,98.1,1.9,69.3,30.7
Nashik,2009,5002,3555,2730,825,76.8,23.2,87.4,12.6
Palghar,2009,,,,,,,,
Parbhani,2009,1678,663,663,0,100,0,77.7,22.3
Pune,2009,7610,12235,12235,0,100,0,92.9,7.1
Raigad,2009,1934,4131,4131,0,100,0,95.9,4.1
Ratnagiri,2009,1487,1807,1807,0,100,0,95.7,4.3
Sangli,2009,1979,1584,1486,98,93.8,6.2,89.9,10.1
Satara,2009,4693,3879,3743,136,96.5,3.5,88.7,11.3
Sindhudurg,2009,1400,1215,1215,0,100,0,94.7,5.3
Solapur,2009,2364,2969,1728,1241,58.2,41.8,89.9,10.1
Thane,2009,5015,7188,5017,2171,69.8,30.2,90.8,9.2
Wardha,2009,1235,1199,1199,0,100,0,91.8,8.2
Washim,2009,710,454,454,0,100,0,89.6,10.4
Yavatmal,2009,698,703,689,14,98,2,82.4,17.6
Ahilyanagar,2008,4819,3831,3774,57,98.5,1.5,81.3,18.7
Akola,2008,1229,2283,2283,0,100,0,73.7,26.3
Amravati,2008,1601,4075,4075,0,100,0,92.6,7.4
Beed,2008,1786,1152,1152,0,100,0,72,28
Bhandara,2008,602,818,818,0,100,0,80.3,19.7
Buldhana,2008,1795,1549,1549,0,100,0,91.5,8.5
Chandrapur,2008,1998,1902,1902,0,100,0,93.3,6.7
Chh. Sambhaji Nagar,2008,692,492,492,0,100,0,90.2,9.8
Dharashiv,2008,1228,747,747,0,100,0,79.4,20.6
Dhule,2008,702,1069,1069,0,100,0,86,14
Gadchiroli,2008,538,362,362,0,100,0,87,13
Gondia,2008,524,320,320,0,100,0,82.2,17.8
Hingoli,2008,529,191,191,0,100,0,71.2,28.8
Jalgaon,2008,2502,3230,3230,0,100,0,84.3,15.7
Jalna,2008,2448,1075,1075,0,100,0,86,14
Kolhapur,2008,3108,1986,1986,0,100,0,88.8,11.2
Latur,2008,1141,489,489,0,100,0,83.4,16.6
Mumbai,2008,,4764,4764,0,100,0,89.8,10.2
Nagpur,2008,1030,2148,2116,32,98.5,1.5,98.9,1.1
Nanded,2008,1330,1456,1456,0,100,0,95.5,4.5
Nandurbar,2008,563,331,331,0,100,0,83.4,16.6
Nashik,2008,3897,4026,4026,0,100,0,88.6,11.4
Palghar,2008,,,,,,,,
Parbhani,2008,1224,732,732,0,100,0,83.7,16.3
Pune,2008,5555,16587,16587,0,100,0,94.3,5.7
Raigad,2008,1784,3938,3938,0,100,0,97.4,2.6
Ratnagiri,2008,1438,1893,1893,0,100,0,94.5,5.5
Sangli,2008,1650,1765,1765,0,100,0,91.4,8.6
Satara,2008,4048,4059,4059,0,100,0,93.6,6.4
Sindhudurg,2008,1493,1183,1183,0,100,0,93.9,6.1
