District,Year,Infant Deaths Reported,Sepsis x,Asphyxia x,Pneumonia x,Diarrhea x,Fever x,Measles x,Low Birth Weight x,Sepsis,Asphyxia,Pneumonia,Diarrhea,Fever,Measles,Low Birth Weight
Raigad,2010,559,3,0,5.3,1.3,3.8,0,12.3,,,,,,,
Ratnagiri,2010,394,0,1.9,1.9,0.3,1.6,0,20.2,,,,,,,
Sangli,2010,941,0.5,1,1.2,0.9,1.9,0,22.3,,,,,,,
Satara,2010,905,1.7,4.6,0,0,0,0,2.7,,,,,,,
Sindhudurg,2010,102,2.6,7.9,0,0,0,0,26.3,,,,,,,
Solapur,2010,806,0.9,3.7,4.3,0,0,0,16.1,,,,,,,
Thane,2010,1666,3.9,2.6,4,3.4,4.6,0,12.6,,,,,,,
Wardha,2010,377,0,0,0,0,0,0,0,,,,,,,
Washim,2010,322,0,0,0,0,0,0,0,,,,,,,
Yavatmal,2010,934,0,0,0,0,0,0,40.3,,,,,,,
Ahilyanagar,2009,332,0,0,0,0,0,0,0.7,,,,,,,
Akola,2009,9367,1.1,0.3,5,10.9,68.3,6.1,6.6,,,,,,,
Amravati,2009,286,0.9,2.2,0,0,0,0,2.7,,,,,,,
Beed,2009,21,0,0,100,0,0,0,0,,,,,,,
Bhandara,2009,7,,,,,,,,,,,,,,
Buldhana,2009,,,,,,,,,,,,,,,
Chandrapur,2009,776,0,0,0,0,0,0,0,,,,,,,
Chh. Sambhaji Nagar,2009,566,0,0,0,0,0,0,0,,,,,,,
Dharashiv,2009,223,0,0,0,0,0,0,0,,,,,,,
Dhule,2009,390,3.7,4.3,8.3,1.3,14,1.3,29.9,,,,,,,
Gadchiroli,2009,1107,0,0,0,0,0,0,0,,,,,,,
Gondia,2009,70,,,,,,,,,,,,,,
Hingoli,2009,305,0,0,0,0,0,0,0,,,,,,,
Jalgaon,2009,980,0.5,19.1,4.9,0,1,0.8,49.8,,,,,,,
Jalna,2009,94,0,0,0,0,0,0,0,,,,,,,
Kolhapur,2009,943,0,0,0,0,0,0,0,,,,,,,
Latur,2009,601,0,0,0,0,0,0,0,,,,,,,
Mumbai,2009,,,,,,,,,,,,,,,
Nagpur,2009,112,0,0,0,0,0,0,0,,,,,,,
Nanded,2009,152,33.3,0,0,0,0,0,66.7,,,,,,,
Nandurbar,2009,95,,,,,,,,,,,,,,
Nashik,2009,1242,0,0,0,0,0,0,0,,,,,,,
Palghar,2009,,,,,,,,,,,,,,,
Parbhani,2009,470,0,0,0,0,0,0,0,,,,,,,
Pune,2009,846,11.4,15.9,11.4,7.2,13.9,1.9,16.2,,,,,,,
Raigad,2009,,,,,,,,,,,,,,,
Ratnagiri,2009,62,,,,,,,,,,,,,,
Sangli,2009,663,0.3,23.3,2.1,2,4.1,0,8.3,,,,,,,
Satara,2009,771,2.9,15.3,0.8,0,1.1,0,20.3,,,,,,,
Sindhudurg,2009,120,1.2,19.8,2.5,0,0,0,38.3,,,,,,,
Solapur,2009,327,2.3,9.3,0.5,5.6,7.4,0.5,14.8,,,,,,,
Thane,2009,334,5.7,12,6.2,1.4,0,0,34.4,,,,,,,
Wardha,2009,11,,,,,,,,,,,,,,
Washim,2009,110,0,0,0,0,0,0,0,,,,,,,
Yavatmal,2009,,,,,,,,,,,,,,,
Ahilyanagar,2008,752,0,0,0,0,0,0,0,,,,,,,
Akola,2008,255,0,0,0,0,0,0,0,,,,,,,
Amravati,2008,946,0,0,0,0,0,0,0,,,,,,,
Beed,2008,726,4.1,3.2,2.1,0,0,0,0,,,,,,,
Bhandara,2008,264,0,0,0,0,0,1.7,0,,,,,,,
Buldhana,2008,1000,0,0,0,0,0,0,0,,,,,,,
Chandrapur,2008,612,0,0,0,0,0,0,0,,,,,,,
Chh. Sambhaji Nagar,2008,651,8.5,0,0,0,0,0,0,,,,,,,
Dharashiv,2008,639,0,0,0,0,0,0,0,,,,,,,
Dhule,2008,498,0,0,0,0,0,0,0,,,,,,,
Gadchiroli,2008,430,0,0,0,0,0,0,0,,,,,,,
Gondia,2008,361,0,0,0,0,0,0,0,,,,,,,
Hingoli,2008,397,0,0,0,0,0,0,0,,,,,,,
Jalgaon,2008,1165,0,0,0,0,0,0,0,,,,,,,
Jalna,2008,547,0,0,0,0,0,0,0,,,,,,,
Kolhapur,2008,833,0,0,0,0,0,0,0,,,,,,,
Latur,2008,530,0,0,0,0,0,0,0,,,,,,,
Mumbai,2008,,,,,,,,,,,,,,,
Nagpur,2008,286,0,0,0,0,0,0,0,,,,,,,
Nanded,2008,964,0,0,0,0,0,0,1.7,,,,,,,
Nandurbar,2008,736,0,0,0,0,0,0,0,,,,,,,
Nashik,2008,1023,0,0,0,0,0,0,0,,,,,,,
Palghar,2008,,,,,,,,,,,,,,,
Parbhani,2008,399,0,1.1,0,0,0,0,2.5,,,,,,,
Pune,2008,1076,0,0,0,0,0,0,11.1,,,,,,,
Raigad,2008,387,0,0,0,0,0,0,0,,,,,,,
Ratnagiri,2008,308,0,0,0,0,0,0,0,,,,,,,
Sangli,2008,606,0,0,0,0,0,0,0,,,,,,,
Satara,2008,666,0,0,0,0,0,0,0,,,,,,,
Sindhudurg,2008,130,0,0,0,0,0,0,0,,,,,,,
Solapur,2008,849,0,0,0,0,0,0,0,,,,,,,
Thane,2008,3238,0,0,0,0,0,0,0,,,,,,,
Wardha,2008,275,0,0,0,0,0,0,0,,,,,,,
Washim,2008,651,8.5,0,0,0,0,0,0,,,,,,,
Yavatmal,2008,740,0,0,0,0,0,0,0,,,,,,,
