District,Year,Infant Deaths Reported,Sepsis x,Asphyxia x,Pneumonia x,Diarrhea x,Fever x,Measles x,Low Birth Weight x,Sepsis,Asphyxia,Pneumonia,Diarrhea,Fever,Measles,Low Birth Weight
Akola,2017,939,12.8,9.9,1.6,0,1.2,0,,,,,,,,
Amravati,2017,678,8.7,10.9,2.2,0,0.4,0,,,,,,,,
Beed,2017,363,5.8,8.5,2.5,0.8,1.4,0.6,,,,,,,,
Bhandara,2017,316,9.5,12,0.9,0,0.3,0.3,,,,,,,,
Buldhana,2017,394,6.3,11.7,1.8,0,1.8,0,,,,,,,,
Chandrapur,2017,560,10.4,14.5,3.2,0,0.4,0,,,,,,,,
Chh. Sambhaji Nagar,2017,390,4.4,11.3,3.6,0.3,2.1,0,,,,,,,,
Dharashiv,2017,207,3.4,5.8,2.4,0,2.9,0,,,,,,,,
Dhule,2017,467,6.6,7.7,13.1,0,12.6,0,,,,,,,,
Gadchiroli,2017,494,9.3,9.9,4.9,0.2,1,0,,,,,,,,
Gondia,2017,395,21,17.5,2.5,0,0.3,0,,,,,,,,
Hingoli,2017,189,3.2,21.2,1.6,0,0.5,0,,,,,,,,
Jalgaon,2017,665,5.7,6.9,2.3,0,4.4,0,,,,,,,,
Jalna,2017,150,1.3,20,4,0,0,0,,,,,,,,
Kolhapur,2017,452,16.4,13.7,2.9,0,0.7,0,,,,,,,,
Latur,2017,107,13.1,2.8,2.8,0.9,0.9,0,,,,,,,,
Mumbai,2017,1796,17.4,8.3,6.1,0.8,0.6,0.1,,,,,,,,
Nagpur,2017,276,1.8,12,3.6,0.7,0.4,0,,,,,,,,
Nanded,2017,574,5.6,8,6.4,3.5,7.7,0,,,,,,,,
Nandurbar,2017,740,8.1,16.6,5,0.3,0.3,0.1,,,,,,,,
Nashik,2017,1148,4.1,7.5,5.1,0.2,0.8,0.1,,,,,,,,
Palghar,2017,475,5.1,8.2,4.4,0,0.4,0,,,,,,,,
Parbhani,2017,286,4.9,7.3,1.4,0,1,0.3,,,,,,,,
Pune,2017,537,10.4,8,3.2,0.2,0.4,0,,,,,,,,
Raigad,2017,299,3,14.7,7,0,0.7,0,,,,,,,,
Ratnagiri,2017,125,7.2,13.6,6.4,0,0,0,,,,,,,,
Sangli,2017,642,4.8,6.9,2.2,0.2,1.1,0.2,,,,,,,,
Satara,2017,321,4.4,5,3.1,0,0.9,0,,,,,,,,
