District,Year,Taluka,Select Facility,Number
Ahilyanagar,2013,Srirampur,Number of Beds,82
Ahilyanagar,2013,Srirampur,Beds for Women,22
Ahilyanagar,2013,Srirampur,Beds for Children,20
Ahilyanagar,2013,Nevasa,Hospitals,2
Ahilyanagar,2013,Nevasa,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2013,Nevasa,Clinics,0
Ahilyanagar,2013,Nevasa,Maternity Wards,2
Ahilyanagar,2013,Nevasa,Primary Health Centres,9
Ahilyanagar,2013,Nevasa,Sub-Centres,41
Ahilyanagar,2013,Nevasa,Doctors/Vaids,44
Ahilyanagar,2013,Nevasa,Number of Beds,136
Ahilyanagar,2013,Nevasa,Beds for Women,45
Ahilyanagar,2013,Nevasa,Beds for Children,35
Ahilyanagar,2013,Shevgaon,Hospitals,2
Ahilyanagar,2013,Shevgaon,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2013,Shevgaon,Clinics,0
Ahilyanagar,2013,Shevgaon,Maternity Wards,2
Ahilyanagar,2013,Shevgaon,Primary Health Centres,6
Ahilyanagar,2013,Shevgaon,Sub-Centres,37
Ahilyanagar,2013,Shevgaon,Doctors/Vaids,28
Ahilyanagar,2013,Shevgaon,Number of Beds,120
Ahilyanagar,2013,Shevgaon,Beds for Women,40
Ahilyanagar,2013,Shevgaon,Beds for Children,40
Ahilyanagar,2013,Pathardi,Hospitals,1
Ahilyanagar,2013,Pathardi,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2013,Pathardi,Clinics,0
Ahilyanagar,2013,Pathardi,Maternity Wards,2
Ahilyanagar,2013,Pathardi,Primary Health Centres,6
Ahilyanagar,2013,Pathardi,Sub-Centres,32
Ahilyanagar,2013,Pathardi,Doctors/Vaids,23
Ahilyanagar,2013,Pathardi,Number of Beds,115
Ahilyanagar,2013,Pathardi,Beds for Women,30
Ahilyanagar,2013,Pathardi,Beds for Children,45
Ahilyanagar,2013,Nagar,Hospitals,2
Ahilyanagar,2013,Nagar,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2013,Nagar,Clinics,6
Ahilyanagar,2013,Nagar,Maternity Wards,3
Ahilyanagar,2013,Nagar,Primary Health Centres,9
Ahilyanagar,2013,Nagar,Sub-Centres,43
Ahilyanagar,2013,Nagar,Doctors/Vaids,46
Ahilyanagar,2013,Nagar,Number of Beds,716
Ahilyanagar,2013,Nagar,Beds for Women,410
Ahilyanagar,2013,Nagar,Beds for Children,250
Ahilyanagar,2013,Rahuri,Hospitals,3
Ahilyanagar,2013,Rahuri,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2013,Rahuri,Clinics,1
Ahilyanagar,2013,Rahuri,Maternity Wards,3
Ahilyanagar,2013,Rahuri,Primary Health Centres,6
Ahilyanagar,2013,Rahuri,Sub-Centres,38
Ahilyanagar,2013,Rahuri,Doctors/Vaids,28
Ahilyanagar,2013,Rahuri,Number of Beds,130
Ahilyanagar,2013,Rahuri,Beds for Women,50
Ahilyanagar,2013,Rahuri,Beds for Children,40
Ahilyanagar,2013,Parner,Hospitals,2
Ahilyanagar,2013,Parner,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2013,Parner,Clinics,0
Ahilyanagar,2013,Parner,Maternity Wards,2
Ahilyanagar,2013,Parner,Primary Health Centres,7
Ahilyanagar,2013,Parner,Sub-Centres,41
Ahilyanagar,2013,Parner,Doctors/Vaids,28
Ahilyanagar,2013,Parner,Number of Beds,134
Ahilyanagar,2013,Parner,Beds for Women,50
Ahilyanagar,2013,Parner,Beds for Children,40
Ahilyanagar,2013,Srigonda,Hospitals,1
Ahilyanagar,2013,Srigonda,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2013,Srigonda,Clinics,1
Ahilyanagar,2013,Srigonda,Maternity Wards,1
Ahilyanagar,2013,Srigonda,Primary Health Centres,7
Ahilyanagar,2013,Srigonda,Sub-Centres,39
Ahilyanagar,2013,Srigonda,Doctors/Vaids,30
Ahilyanagar,2013,Srigonda,Number of Beds,104
Ahilyanagar,2013,Srigonda,Beds for Women,30
Ahilyanagar,2013,Srigonda,Beds for Children,30
Ahilyanagar,2013,Karjat,Hospitals,1
Ahilyanagar,2013,Karjat,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2013,Karjat,Clinics,0
Ahilyanagar,2013,Karjat,Maternity Wards,1
Ahilyanagar,2013,Karjat,Primary Health Centres,5
Ahilyanagar,2013,Karjat,Sub-Centres,34
Ahilyanagar,2013,Karjat,Doctors/Vaids,19
Ahilyanagar,2013,Karjat,Number of Beds,108
Ahilyanagar,2013,Karjat,Beds for Women,41
Ahilyanagar,2013,Karjat,Beds for Children,35
Ahilyanagar,2013,Jamkhed,Hospitals,1
Ahilyanagar,2013,Jamkhed,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2013,Jamkhed,Clinics,1
Ahilyanagar,2013,Jamkhed,Maternity Wards,1
Ahilyanagar,2013,Jamkhed,Primary Health Centres,3
Ahilyanagar,2013,Jamkhed,Sub-Centres,22
Ahilyanagar,2013,Jamkhed,Doctors/Vaids,18
Ahilyanagar,2013,Jamkhed,Number of Beds,80
Ahilyanagar,2013,Jamkhed,Beds for Women,30
Ahilyanagar,2013,Jamkhed,Beds for Children,30
Ahilyanagar,2014,Akole,Hospitals,4
Ahilyanagar,2014,Akole,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2014,Akole,Clinics,4
Ahilyanagar,2014,Akole,Maternity Wards,1
Ahilyanagar,2014,Akole,Primary Health Centres,10
Ahilyanagar,2014,Akole,Sub-Centres,70
Ahilyanagar,2014,Akole,Doctors/Vaids,23
Ahilyanagar,2014,Akole,Number of Beds,180
Ahilyanagar,2014,Akole,Beds for Women,10
Ahilyanagar,2014,Akole,Beds for Children,10
Ahilyanagar,2014,Sangamner,Hospitals,2
Ahilyanagar,2014,Sangamner,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2014,Sangamner,Clinics,1
Ahilyanagar,2014,Sangamner,Maternity Wards,1
Ahilyanagar,2014,Sangamner,Primary Health Centres,10
Ahilyanagar,2014,Sangamner,Sub-Centres,66
Ahilyanagar,2014,Sangamner,Doctors/Vaids,21
Ahilyanagar,2014,Sangamner,Number of Beds,124
Ahilyanagar,2014,Sangamner,Beds for Women,10
Ahilyanagar,2014,Sangamner,Beds for Children,10
Ahilyanagar,2014,Kopargaon,Hospitals,1
Ahilyanagar,2014,Kopargaon,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2014,Kopargaon,Clinics,1
Ahilyanagar,2014,Kopargaon,Maternity Wards,1
Ahilyanagar,2014,Kopargaon,Primary Health Centres,6
Ahilyanagar,2014,Kopargaon,Sub-Centres,32
Ahilyanagar,2014,Kopargaon,Doctors/Vaids,8
Ahilyanagar,2014,Kopargaon,Number of Beds,77
Ahilyanagar,2014,Kopargaon,Beds for Women,10
Ahilyanagar,2014,Kopargaon,Beds for Children,10
Ahilyanagar,2014,Rahata,Hospitals,2
Ahilyanagar,2014,Rahata,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2014,Rahata,Clinics,2
Ahilyanagar,2014,Rahata,Maternity Wards,2
Ahilyanagar,2014,Rahata,Primary Health Centres,6
Ahilyanagar,2014,Rahata,Sub-Centres,30
Ahilyanagar,2014,Rahata,Doctors/Vaids,12
Ahilyanagar,2014,Rahata,Number of Beds,214
Ahilyanagar,2014,Rahata,Beds for Women,10
Ahilyanagar,2014,Rahata,Beds for Children,10
Ahilyanagar,2014,Srirampur,Hospitals,2
Ahilyanagar,2014,Srirampur,"Specialty Hospitals (Cancer, TB etc.)",0
Ahilyanagar,2014,Srirampur,Clinics,2
Ahilyanagar,2014,Srirampur,Maternity Wards,2
Ahilyanagar,2014,Srirampur,Primary Health Centres,6
Ahilyanagar,2014,Srirampur,Sub-Centres,30
