District,Year,Pneumonia,Asthma,Sepsis,Diphtheria,Pertussis,Tetanus Neonatorum,Tuberculosis (Tb),Acute Flaccid Paralysis (Afp),Measles,Malaria,Diarrhea
Raigad,2017,102,181,49,0,0,0,40,2,44,124,2396
Ratnagiri,2017,228,0,8,0,0,0,19,4,25,2,1203
Sangli,2017,158,10,3,0,0,0,7,16,6,0,2351
Satara,2017,216,43,71,0,0,0,24,2,40,159,4291
Sindhudurg,2017,7,1,20,0,0,0,13,1,1,11,543
Solapur,2017,425,109,164,0,0,0,55,10,65,5,588
Thane,2017,323,42,137,0,0,0,106,58,280,470,3289
Wardha,2017,96,34,24,0,0,0,1,3,10,2,884
Washim,2017,0,2,0,0,0,0,9,1,3,2,20
Yavatmal,2017,59,85,10,0,0,0,17,1,6,3,616
