District,Year,Sex Ratio At Birth
Beed,2011,797
Bhandara,2011,919
Buldhana,2011,829
Chandrapur,2011,895
Chhatrapati Sambhaji Nagar,2011,894
Dharashiv,2011,825
Dhule,2011,888
Gadchiroli,2011,950
Gondia,2011,937
Hingoli,2011,830
Jalgaon,2011,831
Jalna,2011,832
Kolhapur,2011,967
Latur,2011,876
Mumbai,2011,923
Nagpur,2011,924
Nanded,2011,943
Nandurbar,2011,950
Nashik,2011,856
Palghar,2011,0
Parbhani,2011,916
Pune,2011,881
Raigad,2011,879
Ratnagiri,2011,942
Sangli,2011,851
Satara,2011,887
Sindhudurg,2011,946
Solapur,2011,905
Thane,2011,926
Wardha,2011,907
Washim,2011,798
Yavatmal,2011,901
Ahilyanagar,2010,816
Akola,2010,923
Amravati,2010,902
Beed,2010,810
Bhandara,2010,935
Buldhana,2010,870
Chandrapur,2010,909
Chhatrapati Sambhaji Nagar,2010,852
Dharashiv,2010,808
Dhule,2010,844
Gadchiroli,2010,835
Gondia,2010,942
Hingoli,2010,809
Jalgaon,2010,807
Jalna,2010,922
Kolhapur,2010,866
Latur,2010,898
Mumbai,2010,915
Nagpur,2010,928
Nanded,2010,861
Nandurbar,2010,849
Nashik,2010,844
Palghar,2010,0
Parbhani,2010,823
Pune,2010,844
Raigad,2010,900
Ratnagiri,2010,926
Sangli,2010,854
Satara,2010,883
Sindhudurg,2010,918
Solapur,2010,834
Thane,2010,895
Wardha,2010,913
Washim,2010,857
Yavatmal,2010,940
Ahilyanagar,2009,813
Akola,2009,836
Amravati,2009,859
Beed,2009,827
Bhandara,2009,934
Buldhana,2009,853
Chandrapur,2009,881
Chhatrapati Sambhaji Nagar,2009,822
Dharashiv,2009,806
Dhule,2009,872
Gadchiroli,2009,992
Gondia,2009,900
Hingoli,2009,824
Jalgaon,2009,788
Jalna,2009,938
Kolhapur,2009,840
Latur,2009,867
Mumbai,2009,919
Nagpur,2009,882
Nanded,2009,881
Nandurbar,2009,911
Nashik,2009,907
Palghar,2009,0
Parbhani,2009,843
Pune,2009,860
Raigad,2009,898
Ratnagiri,2009,881
Sangli,2009,849
Satara,2009,922
Sindhudurg,2009,877
Solapur,2009,872
Thane,2009,943
Wardha,2009,892
Washim,2009,821
Yavatmal,2009,1003
Ahilyanagar,2008,825
Akola,2008,847
Amravati,2008,885
Beed,2008,761
Bhandara,2008,922
Buldhana,2008,814
Chandrapur,2008,909
Chhatrapati Sambhaji Nagar,2008,814
Dharashiv,2008,829
Dhule,2008,841
Gadchiroli,2008,929
Gondia,2008,920
Hingoli,2008,848
Jalgaon,2008,914
Jalna,2008,847
Kolhapur,2008,830
Latur,2008,837
Mumbai,2008,891
Nagpur,2008,954
Nanded,2008,893
Nandurbar,2008,910
Nashik,2008,874
Palghar,2008,0
Parbhani,2008,857
Pune,2008,888
Raigad,2008,907
Ratnagiri,2008,915
Sangli,2008,854
Satara,2008,903
Sindhudurg,2008,901
Solapur,2008,866
Thane,2008,915
Wardha,2008,889
Washim,2008,814
Yavatmal,2008,1338
