District,Year,Public,Private,C-Section Share of Institutional Deliveries,Public Facilities,Private Facilities
Chh. Sambhaji Nagar,2018,5406,4624,14.2,14.6,13.7
Dharashiv,2018,2525,2931,23.9,15.5,45
Dhule,2018,2318,1009,8.4,8.3,8.6
Gadchiroli,2018,2148,207,14.6,13.9,31.9
Gondia,2018,3490,1264,27.4,23.4,52.1
Hingoli,2018,1978,853,16.8,15.6,20.7
Jalgaon,2018,2880,4294,10.3,9.6,10.8
Jalna,2018,634,3392,12.8,4,21.7
Kolhapur,2018,4795,13286,39.3,24.3,50.7
Latur,2018,5160,2777,18.2,16.6,22.3
Mumbai,2018,22309,25811,32.6,32.5,32.8
Nagpur,2018,13328,7480,29.6,36.8,21.9
Nanded,2018,2515,7830,16.9,6.2,38.7
Nandurbar,2018,1076,0,4.8,5.1,0
Nashik,2018,6804,10248,18.1,12,27.2
Palghar,2018,3138,7766,20.9,10.1,37.1
Parbhani,2018,4032,452,13.4,22.9,2.8
Pune,2018,17916,28767,31.2,27.4,34.2
Raigad,2018,2654,6152,24,20.4,26
Ratnagiri,2018,1393,4218,32.6,22,38.8
Sangli,2018,5317,8117,30.8,29.2,32
Satara,2018,2948,11334,32.8,18.3,41.4
Sindhudurg,2018,1790,1224,40.9,37.6,46.9
Solapur,2018,5320,8869,20.1,18.9,20.9
Thane,2018,11141,22674,25.1,23.7,25.9
Wardha,2018,1395,4122,32.6,20.6,40.5
Washim,2018,190,1166,9.1,2.2,18.8
Yavatmal,2018,2331,2498,11.5,9.7,14
Ahilyanagar,2017,2953,9386,16.3,9,21.8
Akola,2017,10107,2185,34.8,39.8,22.1
Amravati,2017,4834,7269,29.7,17.8,53.5
Beed,2017,8157,3433,24.5,23.3,27.8
Bhandara,2017,4703,2424,40.3,33.1,69.6
Buldhana,2017,1453,2920,13.1,7.4,21.1
Chandrapur,2017,4147,2823,24.9,18.5,50.8
Chh. Sambhaji Nagar,2017,4708,6168,13.7,13,14.4
Dharashiv,2017,2209,2375,18.5,12.1,36.8
Dhule,2017,671,450,2.8,2.5,3.5
Gadchiroli,2017,1974,207,12.9,12.2,30.6
Gondia,2017,3409,1112,25.3,21.3,59.9
Hingoli,2017,1425,867,12.4,10.2,19.7
Jalgaon,2017,2359,3487,8.5,7.2,9.6
Jalna,2017,549,3575,13.2,3,27.1
Kolhapur,2017,4687,11403,34.1,21.3,45.3
Latur,2017,4838,1057,13.8,15.6,8.9
Mumbai,2017,23823,25588,32.5,32.3,32.6
Nagpur,2017,13351,7010,29.2,33.4,23.5
Nanded,2017,1679,2438,6.3,3.9,10.9
Nandurbar,2017,1168,39,4.8,4.7,11.8
Nashik,2017,5818,9090,15.8,10,25
Palghar,2017,2736,4817,14.2,8.2,24.2
Parbhani,2017,3922,0,11.1,19.8,0
Pune,2017,16070,19095,24.3,23.6,25
Raigad,2017,2569,5913,24.9,18.8,28.9
Ratnagiri,2017,1477,3817,30.2,20.4,37.1
Sangli,2017,4093,8065,25.5,21.3,28.4
