District,Year,Taluka,Pollution Category ,Number of Industries 
Ahilyanagar,2017,Nagar,Green,1290
Ahilyanagar,2017,Rahuri,Green,57
Ahilyanagar,2017,Parner,Green,710
Ahilyanagar,2017,Srigonda,Green,17
Ahilyanagar,2017,Karjat,Green,20
Ahilyanagar,2017,Jamkhed,Green,5
Ahilyanagar,2018,Akole,Red,3
Ahilyanagar,2018,Sangamner,Red,11
Ahilyanagar,2018,Kopargaon,Red,17
Ahilyanagar,2018,Rahata,Red,8
Ahilyanagar,2018,Srirampur,Red,81
Ahilyanagar,2018,Nevasa,Red,32
Ahilyanagar,2018,Shevgaon,Red,21
Ahilyanagar,2018,Pathardi,Red,6
Ahilyanagar,2018,Nagar,Red,387
Ahilyanagar,2018,Rahuri,Red,37
Ahilyanagar,2018,Parner,Red,56
Ahilyanagar,2018,Srigonda,Red,11
Ahilyanagar,2018,Karjat,Red,26
Ahilyanagar,2018,Jamkhed,Red,49
Ahilyanagar,2018,Akole,Orange,11
Ahilyanagar,2018,Sangamner,Orange,59
Ahilyanagar,2018,Kopargaon,Orange,44
Ahilyanagar,2018,Rahata,Orange,11
Ahilyanagar,2018,Srirampur,Orange,77
Ahilyanagar,2018,Nevasa,Orange,38
Ahilyanagar,2018,Shevgaon,Orange,9
Ahilyanagar,2018,Pathardi,Orange,8
Ahilyanagar,2018,Nagar,Orange,226
Ahilyanagar,2018,Rahuri,Orange,16
Ahilyanagar,2018,Parner,Orange,60
Ahilyanagar,2018,Srigonda,Orange,12
Ahilyanagar,2018,Karjat,Orange,13
Ahilyanagar,2018,Jamkhed,Orange,20
Ahilyanagar,2018,Akole,Green,32
Ahilyanagar,2018,Sangamner,Green,82
Ahilyanagar,2018,Kopargaon,Green,71
Ahilyanagar,2018,Rahata,Green,36
Ahilyanagar,2018,Srirampur,Green,107
Ahilyanagar,2018,Nevasa,Green,48
Ahilyanagar,2018,Shevgaon,Green,38
Ahilyanagar,2018,Pathardi,Green,18
Ahilyanagar,2018,Nagar,Green,1291
Ahilyanagar,2018,Rahuri,Green,58
Ahilyanagar,2018,Parner,Green,711
Ahilyanagar,2018,Srigonda,Green,18
Ahilyanagar,2018,Karjat,Green,21
Ahilyanagar,2018,Jamkhed,Green,6
Ahilyanagar,2018,Akole,White,0
Ahilyanagar,2018,Sangamner,White,0
Ahilyanagar,2018,Kopargaon,White,0
Ahilyanagar,2018,Rahata,White,0
Ahilyanagar,2018,Srirampur,White,0
Ahilyanagar,2018,Nevasa,White,0
Ahilyanagar,2018,Shevgaon,White,0
Ahilyanagar,2018,Pathardi,White,0
Ahilyanagar,2018,Nagar,White,0
Ahilyanagar,2018,Rahuri,White,0
Ahilyanagar,2018,Parner,White,0
Ahilyanagar,2018,Srigonda,White,0
Ahilyanagar,2018,Karjat,White,0
Ahilyanagar,2018,Jamkhed,White,0
Ahilyanagar,2019,Akole,Red,3
Ahilyanagar,2019,Sangamner,Red,12
Ahilyanagar,2019,Kopargaon,Red,18
Ahilyanagar,2019,Rahata,Red,8
Ahilyanagar,2019,Srirampur,Red,82
Ahilyanagar,2019,Nevasa,Red,33
Ahilyanagar,2019,Shevgaon,Red,21
Ahilyanagar,2019,Pathardi,Red,7
Ahilyanagar,2019,Nagar,Red,389
Ahilyanagar,2019,Rahuri,Red,38
Ahilyanagar,2019,Parner,Red,57
Ahilyanagar,2019,Srigonda,Red,11
Ahilyanagar,2019,Karjat,Red,26
Ahilyanagar,2019,Jamkhed,Red,50
Ahilyanagar,2019,Akole,Orange,12
Ahilyanagar,2019,Sangamner,Orange,60
Ahilyanagar,2019,Kopargaon,Orange,43
Ahilyanagar,2019,Rahata,Orange,12
Ahilyanagar,2019,Srirampur,Orange,78
Ahilyanagar,2019,Nevasa,Orange,37
Ahilyanagar,2019,Shevgaon,Orange,10
Ahilyanagar,2019,Pathardi,Orange,9
Ahilyanagar,2019,Nagar,Orange,230
Ahilyanagar,2019,Rahuri,Orange,15
Ahilyanagar,2019,Parner,Orange,61
Ahilyanagar,2019,Srigonda,Orange,13
Ahilyanagar,2019,Karjat,Orange,16
Ahilyanagar,2019,Jamkhed,Orange,21
Ahilyanagar,2019,Akole,Green,31
Ahilyanagar,2019,Sangamner,Green,83
Ahilyanagar,2019,Kopargaon,Green,73
Ahilyanagar,2019,Rahata,Green,35
Ahilyanagar,2019,Srirampur,Green,109
Ahilyanagar,2019,Nevasa,Green,50
Ahilyanagar,2019,Shevgaon,Green,37
Ahilyanagar,2019,Pathardi,Green,19
Ahilyanagar,2019,Nagar,Green,1295
Ahilyanagar,2019,Rahuri,Green,60
Ahilyanagar,2019,Parner,Green,713
Ahilyanagar,2019,Srigonda,Green,19
Ahilyanagar,2019,Karjat,Green,22
Ahilyanagar,2019,Jamkhed,Green,5
Ahilyanagar,2019,Akole,White,0
Ahilyanagar,2019,Sangamner,White,0
Ahilyanagar,2019,Kopargaon,White,0
Ahilyanagar,2019,Rahata,White,0
Ahilyanagar,2019,Srirampur,White,0
Ahilyanagar,2019,Nevasa,White,0
Ahilyanagar,2019,Shevgaon,White,0
Ahilyanagar,2019,Pathardi,White,0
Ahilyanagar,2019,Nagar,White,0
Ahilyanagar,2019,Rahuri,White,0
Ahilyanagar,2019,Parner,White,0
Ahilyanagar,2019,Srigonda,White,0
Ahilyanagar,2019,Karjat,White,0
Ahilyanagar,2019,Jamkhed,White,0
Ahilyanagar,2020,Akole,Red,3
Ahilyanagar,2020,Sangamner,Red,15
Ahilyanagar,2020,Kopargaon,Red,20
Ahilyanagar,2020,Rahata,Red,10
Ahilyanagar,2020,Srirampur,Red,85
Ahilyanagar,2020,Nevasa,Red,33
Ahilyanagar,2020,Shevgaon,Red,23
Ahilyanagar,2020,Pathardi,Red,9
Ahilyanagar,2020,Nagar,Red,423
Ahilyanagar,2020,Rahuri,Red,42
Ahilyanagar,2020,Parner,Red,65
Ahilyanagar,2020,Srigonda,Red,17
Ahilyanagar,2020,Karjat,Red,29
Ahilyanagar,2020,Jamkhed,Red,53
Ahilyanagar,2020,Akole,Orange,13
Ahilyanagar,2020,Sangamner,Orange,65
Ahilyanagar,2020,Kopargaon,Orange,47
Ahilyanagar,2020,Rahata,Orange,18
Ahilyanagar,2020,Srirampur,Orange,90
Ahilyanagar,2020,Nevasa,Orange,40
Ahilyanagar,2020,Shevgaon,Orange,12
Ahilyanagar,2020,Pathardi,Orange,13
Ahilyanagar,2020,Nagar,Orange,245
Ahilyanagar,2020,Rahuri,Orange,17
Ahilyanagar,2020,Parner,Orange,71
Ahilyanagar,2020,Srigonda,Orange,23
Ahilyanagar,2020,Karjat,Orange,23
Ahilyanagar,2020,Jamkhed,Orange,27
Ahilyanagar,2020,Akole,Green,30
Ahilyanagar,2020,Sangamner,Green,90
Ahilyanagar,2020,Kopargaon,Green,82
Ahilyanagar,2020,Rahata,Green,42
Ahilyanagar,2020,Srirampur,Green,113
Ahilyanagar,2020,Nevasa,Green,58
Ahilyanagar,2020,Shevgaon,Green,50
Ahilyanagar,2020,Pathardi,Green,23
Ahilyanagar,2020,Nagar,Green,1360
Ahilyanagar,2020,Rahuri,Green,68
Ahilyanagar,2020,Parner,Green,742
Ahilyanagar,2020,Srigonda,Green,23
Ahilyanagar,2020,Karjat,Green,28
Ahilyanagar,2020,Jamkhed,Green,7
Ahilyanagar,2020,Akole,White,0
Ahilyanagar,2020,Sangamner,White,0
Ahilyanagar,2020,Kopargaon,White,0
Ahilyanagar,2020,Rahata,White,0
Ahilyanagar,2020,Srirampur,White,0
Ahilyanagar,2020,Nevasa,White,0
Ahilyanagar,2020,Shevgaon,White,0
Ahilyanagar,2020,Pathardi,White,0
Ahilyanagar,2020,Nagar,White,0
Ahilyanagar,2020,Rahuri,White,0
Ahilyanagar,2020,Parner,White,0
Ahilyanagar,2020,Srigonda,White,0
Ahilyanagar,2020,Karjat,White,0
Ahilyanagar,2020,Jamkhed,White,0
Ahilyanagar,2021,Akole,Red,5
Ahilyanagar,2021,Sangamner,Red,18
Ahilyanagar,2021,Kopargaon,Red,25
Ahilyanagar,2021,Rahata,Red,13
Ahilyanagar,2021,Srirampur,Red,92
Ahilyanagar,2021,Nevasa,Red,38
Ahilyanagar,2021,Shevgaon,Red,25
Ahilyanagar,2021,Pathardi,Red,12
Ahilyanagar,2021,Nagar,Red,430
Ahilyanagar,2021,Rahuri,Red,46
Ahilyanagar,2021,Parner,Red,68
Ahilyanagar,2021,Srigonda,Red,19
Ahilyanagar,2021,Karjat,Red,32
Ahilyanagar,2021,Jamkhed,Red,58
Ahilyanagar,2021,Akole,Orange,15
Ahilyanagar,2021,Sangamner,Orange,67
Ahilyanagar,2021,Kopargaon,Orange,49
Ahilyanagar,2021,Rahata,Orange,21
Ahilyanagar,2021,Srirampur,Orange,93
Ahilyanagar,2021,Nevasa,Orange,44
Ahilyanagar,2021,Shevgaon,Orange,14
Ahilyanagar,2021,Pathardi,Orange,16
Ahilyanagar,2021,Nagar,Orange,249
Ahilyanagar,2021,Rahuri,Orange,19
Ahilyanagar,2021,Parner,Orange,74
Ahilyanagar,2021,Srigonda,Orange,27
Ahilyanagar,2021,Karjat,Orange,27
Ahilyanagar,2021,Jamkhed,Orange,29
Ahilyanagar,2021,Akole,Green,32
Ahilyanagar,2021,Sangamner,Green,92
Ahilyanagar,2021,Kopargaon,Green,83
Ahilyanagar,2021,Rahata,Green,45
Ahilyanagar,2021,Srirampur,Green,118
Ahilyanagar,2021,Nevasa,Green,60
Ahilyanagar,2021,Shevgaon,Green,53
Ahilyanagar,2021,Pathardi,Green,25
Ahilyanagar,2021,Nagar,Green,1365
Ahilyanagar,2021,Rahuri,Green,72
Ahilyanagar,2021,Parner,Green,745
Ahilyanagar,2021,Srigonda,Green,25
Ahilyanagar,2021,Karjat,Green,29
Ahilyanagar,2021,Jamkhed,Green,8
Ahilyanagar,2021,Akole,White,0
Ahilyanagar,2021,Sangamner,White,0
Ahilyanagar,2021,Kopargaon,White,0
Ahilyanagar,2021,Rahata,White,0
Ahilyanagar,2021,Srirampur,White,0
Ahilyanagar,2021,Nevasa,White,0
Ahilyanagar,2021,Shevgaon,White,0
Ahilyanagar,2021,Pathardi,White,0
Ahilyanagar,2021,Nagar,White,0
Ahilyanagar,2021,Rahuri,White,0
Ahilyanagar,2021,Parner,White,0
Ahilyanagar,2021,Srigonda,White,0
Ahilyanagar,2021,Karjat,White,0
Ahilyanagar,2021,Jamkhed,White,0
Akola,2012,Telhara,Red,0
Akola,2012,Akot,Red,18
Akola,2012,Balapur,Red,7
Akola,2012,Akola,Red,60
Akola,2012,Murtijapur,Red,17
Akola,2012,Patur,Red,3
Akola,2012,Barshitakali,Red,17
Akola,2012,Telhara,Orange,6
Akola,2012,Akot,Orange,51
Akola,2012,Balapur,Orange,7
Akola,2012,Akola,Orange,369
Akola,2012,Murtijapur,Orange,24
Akola,2012,Patur,Orange,1
Akola,2012,Barshitakali,Orange,3
Akola,2012,Telhara,Green,10
Akola,2012,Akot,Green,40
Akola,2012,Balapur,Green,9
Akola,2012,Akola,Green,333
Akola,2012,Murtijapur,Green,36
Akola,2012,Patur,Green,2
Akola,2012,Barshitakali,Green,4
Akola,2013,Telhara,Red,0
Akola,2013,Akot,Red,28
Akola,2013,Balapur,Red,7
Akola,2013,Akola,Red,87
Akola,2013,Murtijapur,Red,20
Akola,2013,Patur,Red,3
Akola,2013,Barshitakali,Red,19
Akola,2013,Telhara,Orange,6
Akola,2013,Akot,Orange,56
Akola,2013,Balapur,Orange,7
Akola,2013,Akola,Orange,438
Akola,2013,Murtijapur,Orange,28
Akola,2013,Patur,Orange,1
Akola,2013,Barshitakali,Orange,4
Akola,2013,Telhara,Green,13
Akola,2013,Akot,Green,48
Akola,2013,Balapur,Green,11
Akola,2013,Akola,Green,366
