District,Year,Taluka,Manufacturing Category,No. of Workers
Ahilyanagar,2023,Shrirampur,Food & Beverages,4
Ahilyanagar,2023,Nagar,Others,28
Ahilyanagar,2023,Parner,Metal & Engineering,88
Ahilyanagar,2023,Nagar,Others,94
Ahilyanagar,2023,Pathardi,Food & Beverages,3
Ahilyanagar,2023,Newasa,Food & Beverages,3
Ahilyanagar,2023,Rahata,Food & Beverages,2
Ahilyanagar,2023,Karjat,Food & Beverages,3
Ahilyanagar,2023,Rahuri,Food & Beverages,2
Ahilyanagar,2023,Nagar,Food & Beverages,2
Ahilyanagar,2023,Newasa,Food & Beverages,2
Ahilyanagar,2023,Pathardi,Food & Beverages,2
Ahilyanagar,2023,Parner,Automotive & Transport,4
Ahilyanagar,2023,Shevgaon,Food & Beverages,450
Ahilyanagar,2023,Parner,Plastic & Rubber,178
Ahilyanagar,2023,Nagar,Others,81
Ahilyanagar,2023,Kopargaon,Food & Beverages,14
Ahilyanagar,2023,Parner,Food & Beverages,0
Ahilyanagar,2023,Rahuri,Food & Beverages,2
Ahilyanagar,2023,Rahata,Food & Beverages,8
Ahilyanagar,2023,Nagar,Others,5
Ahilyanagar,2023,Jamkhed,Food & Beverages,3
Ahilyanagar,2023,Akole,Food & Beverages,2
Ahilyanagar,2023,Nagar,Plastic & Rubber,490
Ahilyanagar,2023,Kopargaon,Chemical & Pharmaceutical,467
Ahilyanagar,2023,Shrigonda,Food & Beverages,0
Ahilyanagar,2023,Shrirampur,Food & Beverages,4
Ahilyanagar,2023,Rahuri,Food & Beverages,15
Ahilyanagar,2023,Akole,Food & Beverages,7
Ahilyanagar,2023,Akole,Food & Beverages,15
Ahilyanagar,2023,Nagar,Food & Beverages,46
Ahilyanagar,2023,Nagar,Automotive & Transport,250
Ahilyanagar,2023,Sangamner,Textile & Apparel,25
Ahilyanagar,2023,Nagar,Others,2
Ahilyanagar,2023,Shrirampur,Food & Beverages,5
Ahilyanagar,2023,Shrirampur,Food & Beverages,4
Ahilyanagar,2023,Akole,Food & Beverages,2
Ahilyanagar,2023,Shevgaon,Textile & Apparel,24
Ahilyanagar,2023,Nagar,Metal & Engineering,20
Ahilyanagar,2023,Nagar,Textile & Apparel,26
Ahilyanagar,2023,Nagar,Metal & Engineering,20
Ahilyanagar,2023,Nagar,Textile & Apparel,20
Ahilyanagar,2023,Nagar,Chemical & Pharmaceutical,2
Ahilyanagar,2023,Nagar,Food & Beverages,127
Ahilyanagar,2023,Jamkhed,Automotive & Transport,12
Ahilyanagar,2023,Shevgaon,Automotive & Transport,13
Ahilyanagar,2023,Parner,Chemical & Pharmaceutical,35
Ahilyanagar,2023,Nagar,Textile & Apparel,35
Ahilyanagar,2023,Parner,Automotive & Transport,27
Ahilyanagar,2023,Nagar,Metal & Engineering,127
Ahilyanagar,2023,Parner,Automotive & Transport,42
Ahilyanagar,2023,Rahata,Textile & Apparel,20
Ahilyanagar,2023,Nagar,Automotive & Transport,60
Ahilyanagar,2023,Nagar,Plastic & Rubber,119
Ahilyanagar,2023,Nagar,Automotive & Transport,22
Ahilyanagar,2023,Rahuri,Others,8
Ahilyanagar,2023,Nagar,Wood & Paper Products,20
Ahilyanagar,2023,Nagar,Automotive & Transport,100
Ahilyanagar,2023,Nagar,Metal & Engineering,47
Ahilyanagar,2023,Nagar,Automotive & Transport,39
Ahilyanagar,2023,Nagar,Automotive & Transport,115
Ahilyanagar,2023,Kopargaon,Others,20
Ahilyanagar,2023,Nagar,Metal & Engineering,174
Ahilyanagar,2023,Nagar,Metal & Engineering,123
Ahilyanagar,2023,Nagar,Metal & Engineering,929
Ahilyanagar,2023,Sangamner,Food & Beverages,3
