Year,District,Rural/Urban,Age Group,Main Workers,Marginal Workers,Non-Workers,Non-Workers Seeking Work,People Seeking Work
2011,Bhandara,Total,80+,904,420,3037,37,148
2011,Bhandara,Rural,05-09,353,343,38825,281,48
2011,Bhandara,Rural,10-14,824,804,45524,501,237
2011,Bhandara,Rural,15-19,6896,5110,34922,5074,3525
2011,Bhandara,Rural,20-24,20937,11798,14615,6126,9290
2011,Bhandara,Rural,25-29,26718,10319,4724,2443,8030
2011,Bhandara,Rural,30-34,26945,8248,1478,719,6405
2011,Bhandara,Rural,35-39,26974,7291,722,261,5398
2011,Bhandara,Rural,40-49,48727,12226,1475,340,8422
2011,Bhandara,Rural,50-59,33266,8663,2529,264,5133
2011,Bhandara,Rural,60-69,15195,5667,7920,314,2407
2011,Bhandara,Rural,70-79,4038,1868,7073,168,550
2011,Bhandara,Rural,80+,764,382,2424,33,137
2011,Bhandara,Urban,05-09,57,48,8869,82,8
2011,Bhandara,Urban,10-14,128,84,10756,213,26
2011,Bhandara,Urban,15-19,868,488,9869,1458,329
2011,Bhandara,Urban,20-24,3096,1118,7123,2725,780
2011,Bhandara,Urban,25-29,6071,1277,3279,1776,897
2011,Bhandara,Urban,30-34,7201,1198,1202,658,855
2011,Bhandara,Urban,35-39,7758,1115,623,247,718
2011,Bhandara,Urban,40-49,13684,1683,827,184,1034
2011,Bhandara,Urban,50-59,8505,924,1479,104,484
2011,Bhandara,Urban,60-69,1873,486,4041,132,199
2011,Bhandara,Urban,70-79,512,135,2102,33,45
2011,Bhandara,Urban,80+,140,38,613,4,11
2011,Gondia,Total,05-09,680,376,54214,276,45
2011,Gondia,Total,10-14,1480,1170,64536,565,294
2011,Gondia,Total,15-19,8877,7886,50237,5824,4775
2011,Gondia,Total,20-24,26034,16246,21042,7392,11795
2011,Gondia,Total,25-29,33919,14052,6827,3153,9902
2011,Gondia,Total,30-34,36656,11382,2237,934,7683
2011,Gondia,Total,35-39,37745,10798,1379,433,7098
2011,Gondia,Total,40-49,66881,17690,2226,455,10969
2011,Gondia,Total,50-59,43943,11624,3564,307,5896
2011,Gondia,Total,60-69,19337,7381,10147,294,2558
2011,Gondia,Total,70-79,4827,2257,8127,98,503
2011,Gondia,Total,80+,857,399,2678,25,112
2011,Gondia,Rural,05-09,552,335,45396,210,40
2011,Gondia,Rural,10-14,1180,1064,53900,437,258
2011,Gondia,Rural,15-19,7635,7358,41017,4850,4472
2011,Gondia,Rural,20-24,22211,15139,14995,5625,11127
2011,Gondia,Rural,25-29,27866,12761,4376,2069,9222
2011,Gondia,Rural,30-34,29307,10184,1296,540,7073
2011,Gondia,Rural,35-39,30261,9636,851,271,6553
2011,Gondia,Rural,40-49,53605,15994,1446,308,10308
