District,Year,Group,Approved Posts,Positions Filled,Number of women
Chandrapur,2016,Class A,684.0,398.0,57.0
Chandrapur,2016,Class B,1261.0,876.0,141.0
Chandrapur,2016,Class C,9673.0,8006.0,1463.0
Chandrapur,2016,Class D,3423.0,2509.0,399.0
Chandrapur,2017,Class A,847.0,585.0,86.0
Chandrapur,2017,Class B,1136.0,734.0,128.0
Chandrapur,2017,Class C,10309.0,8122.0,1545.0
Chandrapur,2017,Class D,3523.0,2429.0,399.0
Chandrapur,2018,Class A,772.0,487.0,79.0
Chandrapur,2018,Class B,1569.0,906.0,160.0
Chandrapur,2018,Class C,10722.0,7838.0,1630.0
Chandrapur,2018,Class D,3396.0,2105.0,353.0
Chandrapur,2019,Class A,754.0,436.0,62.0
Chandrapur,2019,Class B,1643.0,969.0,176.0
Chandrapur,2019,Class C,10738.0,7732.0,1690.0
Chandrapur,2019,Class D,3255.0,1953.0,337.0
Chandrapur,2020,Class A,762.0,428.0,63.0
Chandrapur,2020,Class B,1645.0,967.0,192.0
Chandrapur,2020,Class C,10567.0,7661.0,1733.0
Chandrapur,2020,Class D,3134.0,1811.0,322.0
Chandrapur,2021,Class A,768.0,403.0,68.0
Chandrapur,2021,Class B,1690.0,938.0,210.0
Chandrapur,2021,Class C,10789.0,7946.0,1852.0
Chandrapur,2021,Class D,3301.0,1842.0,339.0
Dhule,2012,Class A,525.0,443.0,49.0
Dhule,2012,Class B,970.0,750.0,82.0
Dhule,2012,Class C,7391.0,6127.0,483.0
Dhule,2012,Class D,2816.0,2399.0,340.0
Dhule,2013,Class A,525.0,443.0,49.0
Dhule,2013,Class B,970.0,750.0,82.0
Dhule,2013,Class C,7391.0,6127.0,483.0
Dhule,2013,Class D,2816.0,2399.0,340.0
Dhule,2014,Class A,643.0,415.0,52.0
Dhule,2014,Class B,1210.0,848.0,119.0
Dhule,2014,Class C,8582.0,6486.0,840.0
Dhule,2014,Class D,3005.0,2174.0,319.0
Dhule,2015,Class A,643.0,341.0,51.0
Dhule,2015,Class B,1210.0,923.0,120.0
Dhule,2015,Class C,8582.0,6463.0,831.0
Dhule,2015,Class D,3005.0,2187.0,324.0
Dhule,2016,Class A,643.0,341.0,51.0
Dhule,2016,Class B,1210.0,923.0,120.0
Dhule,2016,Class C,8582.0,6463.0,831.0
Dhule,2016,Class D,3005.0,2187.0,324.0
Dhule,2017,Class A,620.0,447.0,56.0
Dhule,2017,Class B,1191.0,789.0,114.0
Dhule,2017,Class C,8078.0,6389.0,957.0
Dhule,2017,Class D,2676.0,1878.0,288.0
Dhule,2018,Class A,650.0,409.0,47.0
Dhule,2018,Class B,1161.0,692.0,103.0
Dhule,2018,Class C,8507.0,6549.0,1030.0
Dhule,2018,Class D,2753.0,1686.0,269.0
Dhule,2019,Class A,673.0,415.0,53.0
Dhule,2019,Class B,1160.0,659.0,103.0
Dhule,2019,Class C,8571.0,6376.0,1010.0
Dhule,2019,Class D,2705.0,1582.0,257.0
Dhule,2020,Class A,679.0,389.0,53.0
Dhule,2020,Class B,1193.0,740.0,123.0
Dhule,2020,Class C,8213.0,6164.0,995.0
Dhule,2020,Class D,2626.0,1475.0,243.0
Dhule,2021,Class A,666.0,355.0,58.0
Dhule,2021,Class B,1156.0,701.0,126.0
Dhule,2021,Class C,8196.0,6071.0,992.0
