Year,District,Number of Workers,Number of Establishments,Houses used for Commercial Purposes,Houses used for Residential cum Commercial Purposes,Govt / PSU,Private Proprietary,Private Partnership,Private Company,Private Self Help Group,Co-operative,Private Non-profit Institution,Private Other,Private Sector,Self-Financed,Borrowing from Institutions,Borrowing from Non-Institutions, Financial Assistance from Govt. sources,Loans from SHGs,Donations/Transfers,Other SOF,Perennial,Non-Perennial,SC,ST,OBC,Others,Hindu,Islam,Christian,Sikh,Buddhist,Zoroastrian,Jain,Others.1
2013,Chandrapur,192180,102993,116485.0,75695.0,25283,143416.0,2116.0,8130.0,261.0,834,1254.0,10886.0,166063,73690.0,3000.0,453.0,10839.0,426.0,14585.0,,93099,9894,10853,8727,45278.0,26716,66218.0,5538.0,504.0,589.0,7583.0,48.0,570.0,10524.0
2013,Yavatmal,139835,68174,105137.0,34698.0,22334,95415.0,1278.0,7628.0,69.0,1764,2693.0,8654.0,115737,51902.0,1662.0,200.0,7497.0,149.0,6764.0,,65598,2576,5318,2670,23529.0,26489,41639.0,8276.0,163.0,70.0,2797.0,20.0,748.0,4293.0
2013,Nanded,186096,93961,136000.0,50096.0,23516,131410.0,2756.0,10227.0,160.0,2381,3423.0,12223.0,160199,71591.0,1825.0,557.0,8660.0,151.0,11177.0,,90626,3335,6662,4205,19007.0,48589,51778.0,16077.0,152.0,375.0,3529.0,27.0,230.0,6295.0
2013,Hingoli,61355,35841,35115.0,26240.0,6858,45258.0,275.0,2373.0,17.0,236,1679.0,4659.0,54261,25691.0,632.0,81.0,3030.0,18.0,6389.0,,33601,2240,2299,1494,6169.0,19871,19145.0,3794.0,83.0,33.0,1613.0,9.0,302.0,4854.0
2013,Parbhani,106363,59812,67469.0,38894.0,11024,81732.0,552.0,4682.0,70.0,438,2202.0,5663.0,94901,46261.0,1167.0,126.0,4521.0,71.0,7666.0,,56838,2974,3857,949,11561.0,36464,35098.0,10173.0,103.0,31.0,2150.0,13.0,260.0,5003.0
2013,Jalna,157691,97618,79153.0,78538.0,11425,131320.0,2082.0,2188.0,69.0,211,2585.0,7811.0,146055,79537.0,1893.0,198.0,5993.0,112.0,9885.0,,88555,9063,8423,1881,18355.0,58980,62039.0,14379.0,407.0,139.0,4268.0,37.0,604.0,5766.0
2013,Chhatrapati Sambhaji Nagar,304720,143358,219948.0,84772.0,26329,225705.0,8207.0,18769.0,622.0,1465,4170.0,19453.0,276926,114945.0,3335.0,504.0,10685.0,332.0,13557.0,,136726,6632,11944,3183,20785.0,88333,69032.0,35921.0,501.0,330.0,7458.0,50.0,2434.0,8519.0
2013,Nashik,586282,214336,480310.0,105972.0,53624,411871.0,32879.0,43307.0,374.0,4874,4929.0,34424.0,527784,172471.0,7484.0,769.0,15739.0,379.0,17494.0,,206742,7594,16160,11105,48624.0,112704,141302.0,28650.0,611.0,544.0,1671.0,72.0,3463.0,12280.0
2013,Thane,1444660,438706,1260545.0,184115.0,42852,1127592.0,106544.0,71447.0,1497.0,9154,9604.0,75970.0,1392654,370697.0,9173.0,2385.0,16412.0,1296.0,38743.0,,421825,16881,30294,13410,76361.0,273338,278083.0,64839.0,5589.0,1897.0,3403.0,157.0,7577.0,31858.0
2013,Mumbai Suburban,1670999,465416,1394129.0,276870.0,87452,1272656.0,89382.0,125970.0,7706.0,8204,11857.0,67772.0,1575343,403623.0,11454.0,1551.0,15157.0,1094.0,32537.0,,452938,12478,37451,10946,28991.0,346181,281067.0,85159.0,6332.0,1656.0,6633.0,210.0,12976.0,29536.0
2013,Mumbai City,1035482,261259,917149.0,118333.0,78503,769762.0,52651.0,75028.0,666.0,5668,9829.0,43375.0,951311,234552.0,4199.0,1004.0,6190.0,422.0,14892.0,,256610,4649,14686,4294,10367.0,207778,132837.0,63283.0,2260.0,1413.0,1017.0,695.0,21540.0,14080.0
2013,Raigad,264044,101672,211307.0,52737.0,22593,184560.0,7897.0,14281.0,318.0,1627,6403.0,26365.0,239824,70771.0,2952.0,347.0,9677.0,214.0,17711.0,,95924,5748,5336,3964,23947.0,49430,61861.0,7207.0,519.0,265.0,667.0,34.0,1735.0,10389.0
2013,Pune,1595310,514469,1201468.0,393842.0,65180,1207452.0,56480.0,166440.0,773.0,11541,14509.0,72935.0,1518589,431115.0,18969.0,1726.0,20112.0,1900.0,40647.0,,498909,15560,38941,17311,60914.0,351602,381183.0,33218.0,2494.0,1547.0,5699.0,261.0,11707.0,32659.0
2013,Ahilyanagar,543663,246417,291576.0,252087.0,31868,454721.0,4762.0,13819.0,196.0,10799,8122.0,19376.0,500996,196895.0,7805.0,1097.0,13970.0,413.0,26237.0,,234964,11453,18150,11457,40188.0,154500,186569.0,13113.0,914.0,463.0,577.0,31.0,3676.0,18952.0
2013,Beed,238238,139347,116288.0,121950.0,18056,196360.0,1588.0,10281.0,34.0,2388,2116.0,7415.0,217794,114087.0,3627.0,883.0,9199.0,212.0,11339.0,,125189,14158,8908,3944,36760.0,79654,105413.0,14747.0,244.0,114.0,1038.0,43.0,638.0,7029.0
2013,Latur,205576,102934,121224.0,84352.0,16395,160322.0,3053.0,8452.0,246.0,2645,8700.0,5763.0,186536,84178.0,3102.0,751.0,7127.0,406.0,7370.0,,98568,4366,9099,3024,21558.0,58770,71042.0,15441.0,139.0,74.0,1744.0,38.0,301.0,3672.0
2013,Dharashiv,222800,124365,94525.0,128275.0,15647,181834.0,2231.0,6897.0,6963.0,3498,420.0,5310.0,203655,109528.0,2705.0,262.0,7041.0,310.0,4519.0,,115146,9219,10842,3548,21805.0,80692,99096.0,11566.0,169.0,57.0,1206.0,13.0,438.0,4342.0
2013,Solapur,636990,373286,244134.0,392856.0,32127,546747.0,2244.0,27484.0,392.0,10448,6473.0,11075.0,594415,331887.0,7644.0,1123.0,12969.0,549.0,19114.0,,364088,9198,30231,10323,108329.0,205411,315930.0,22816.0,524.0,150.0,1091.0,94.0,2792.0,10897.0
2013,Satara,699999,383647,234497.0,465502.0,29004,604622.0,7990.0,18586.0,8317.0,9159,9157.0,13164.0,661836,326851.0,14337.0,816.0,15709.0,2595.0,23339.0,,360668,22979,25064,5889,80779.0,245549,321366.0,11974.0,772.0,245.0,6319.0,60.0,2239.0,14306.0
2013,Ratnagiri,156135,72310,107210.0,48925.0,22572,109548.0,2331.0,6870.0,511.0,934,3060.0,10309.0,132629,49556.0,3243.0,288.0,8944.0,150.0,10129.0,,64526,7784,3431,1802,22997.0,30446,45407.0,7123.0,262.0,81.0,772.0,8.0,314.0,4709.0
2013,Sindhudurg,97044,51216,67511.0,29533.0,12917,66775.0,1195.0,4772.0,454.0,1292,4957.0,4682.0,82835,34044.0,2970.0,203.0,5269.0,77.0,8653.0,,44370,6846,1493,352,9327.0,28943,34686.0,1368.0,831.0,25.0,181.0,2.0,109.0,2913.0
2013,Kolhapur,1099451,570867,387042.0,712409.0,31565,977817.0,10155.0,21524.0,5731.0,25411,8686.0,18562.0,1042475,483616.0,30445.0,4670.0,21245.0,4603.0,26288.0,,526307,44560,48838,8876,77116.0,407280,465113.0,26885.0,1988.0,373.0,3509.0,78.0,18358.0,25806.0
2013,Sangli,565844,278060,236950.0,328894.0,21833,485348.0,3609.0,11684.0,108.0,11919,1731.0,29612.0,532092,224263.0,8200.0,1467.0,12067.0,790.0,31273.0,,250080,27980,22214,7415,56992.0,173837,210290.0,12276.0,779.0,139.0,2006.0,53.0,5638.0,29277.0
1998,Mumbai City,2625867,485492,,,807844,,,,,60503,21252.0,1736268.0,1757520,425356.0,7762.0,10682.0,821.0,,,40871.0,480993,4499,25035,13050,40975.0,392959,,,,,,,,
1998,Thane,930827,219871,,,113074,,,,,11151,8779.0,797823.0,806602,176307.0,9513.0,3251.0,9641.0,,,21159.0,216005,3866,9681,10589,31169.0,158225,,,,,,,,
1998,Raigad,217186,57213,,,45379,,,,,4436,5503.0,161868.0,167371,35133.0,3549.0,1801.0,975.0,,,15755.0,54070,3143,2077,2385,11710.0,31237,,,,,,,,
1998,Ratnagiri,139463,49190,,,40019,,,,,4494,2240.0,92710.0,94950,28056.0,4675.0,1283.0,1304.0,,,13872.0,43571,5619,2453,1931,14781.0,20710,,,,,,,,
1998,Sindhudurg,81971,36043,,,11829,,,,,1439,172.0,68531.0,68703,22649.0,3602.0,884.0,2092.0,,,6816.0,32140,3903,2660,519,13584.0,16995,,,,,,,,
1998,Nashik,495520,127415,,,99297,,,,,10012,2188.0,384023.0,386211,102175.0,5798.0,1612.0,1341.0,,,16489.0,121866,5549,11053,10056,29088.0,66655,,,,,,,,
1998,Dhule,237943,96181,,,50321,,,,,12011,1140.0,174471.0,175611,71904.0,3362.0,1005.0,8189.0,,,11721.0,93265,2916,6104,12098,29816.0,39244,,,,,,,,
1998,Jalgaon,279934,107871,,,85399,,,,,16408,4574.0,173553.0,178127,90252.0,1727.0,844.0,1652.0,,,13396.0,102474,5397,5437,2369,28234.0,59314,,,,,,,,
