District,Year,Type of Industry,Govt Employees,Semi Govt Employees,Private Employees,Total Employees
Bhandara,2021,Construction,71,0,0,71
Bhandara,2021,Wholesale And Retail Trade And Hotel Business,6,1050,2200,3256
Bhandara,2021,"Transportation, Warehousing And Transportation",390,2127,1005,3522
Bhandara,2021,"Finance, Insurance, Real Estate And Trade Services",956,1891,1444,4291
Bhandara,2021,"Collective, Social And Individual Service",6341,8054,3199,17594
Buldhana,2013,Agriculture,658,86,0,744
Buldhana,2013,Mining,0,0,0,0
Buldhana,2013,Commodity Manufacturing,182,65,5970,6217
Buldhana,2013,"Electricity Generation, Gas, Water And Sewage Services",0,1735,0,1735
Buldhana,2013,Construction,1254,162,0,1416
Buldhana,2013,Wholesale And Retail Trade And Hotel Business,0,0,0,0
Buldhana,2013,"Transportation, Warehousing And Transportation",0,2930,0,2930
Buldhana,2013,"Finance, Insurance, Real Estate And Trade Services",123,1016,0,1139
Buldhana,2013,"Collective, Social And Individual Service",7639,18185,0,25824
Buldhana,2014,Agriculture,429,78,0,507
Buldhana,2014,Mining,0,0,0,0
Buldhana,2014,Commodity Manufacturing,154,35,6872,7061
Buldhana,2014,"Electricity Generation, Gas, Water And Sewage Services",0,1347,0,1347
Buldhana,2014,Construction,1084,139,0,1223
Buldhana,2014,Wholesale And Retail Trade And Hotel Business,0,0,0,0
Buldhana,2014,"Transportation, Warehousing And Transportation",0,2735,0,2735
Buldhana,2014,"Finance, Insurance, Real Estate And Trade Services",111,799,4221,5131
Buldhana,2014,"Collective, Social And Individual Service",7891,17652,10051,35594
Buldhana,2015,Agriculture,413,63,0,476
Buldhana,2015,Mining,0,0,0,0
Buldhana,2015,Commodity Manufacturing,143,27,6547,6717
Buldhana,2015,"Electricity Generation, Gas, Water And Sewage Services",0,1332,0,1332
Buldhana,2015,Construction,997,132,0,1129
Buldhana,2015,Wholesale And Retail Trade And Hotel Business,0,0,0,0
Buldhana,2015,"Transportation, Warehousing And Transportation",0,2691,0,2691
Buldhana,2015,"Finance, Insurance, Real Estate And Trade Services",123,899,4029,5051
Buldhana,2015,"Collective, Social And Individual Service",7961,16463,10123,34547
Buldhana,2016,Agriculture,524,73,0,597
Buldhana,2016,Mining,0,0,0,0
Buldhana,2016,Commodity Manufacturing,225,21,5671,5917
Buldhana,2016,"Electricity Generation, Gas, Water And Sewage Services",0,1379,0,1379
Buldhana,2016,Construction,1002,144,0,1146
Buldhana,2016,Wholesale And Retail Trade And Hotel Business,0,0,0,0
Buldhana,2016,"Transportation, Warehousing And Transportation",0,2941,0,2941
Buldhana,2016,"Finance, Insurance, Real Estate And Trade Services",212,985,3992,5189
Buldhana,2016,"Collective, Social And Individual Service",8072,15653,11246,34971
Buldhana,2017,Agriculture,987,154,158,1299
Buldhana,2017,Mining,0,0,0,0
Buldhana,2017,Commodity Manufacturing,1438,150,6212,7800
Buldhana,2017,"Electricity Generation, Gas, Water And Sewage Services",0,1200,69,1269
Buldhana,2017,Construction,1281,998,340,2619
Buldhana,2017,Wholesale And Retail Trade And Hotel Business,0,553,512,1065
Buldhana,2017,"Transportation, Warehousing And Transportation",0,2850,25,2875
Buldhana,2017,"Finance, Insurance, Real Estate And Trade Services",1149,374,2850,4373
Buldhana,2017,"Collective, Social And Individual Service",26900,9365,15042,51307
Buldhana,2018,Agriculture,996,207,250,1453
Buldhana,2018,Mining,0,0,0,0
Buldhana,2018,Commodity Manufacturing,1567,75,6305,7947
Buldhana,2018,"Electricity Generation, Gas, Water And Sewage Services",0,1225,58,1283
Buldhana,2018,Construction,1301,810,345,2456
Buldhana,2018,Wholesale And Retail Trade And Hotel Business,0,453,498,951
Buldhana,2018,"Transportation, Warehousing And Transportation",0,3200,21,3221
Buldhana,2018,"Finance, Insurance, Real Estate And Trade Services",1401,450,2900,4751
Buldhana,2018,"Collective, Social And Individual Service",26100,9005,15561,50666
Buldhana,2019,Agriculture,996,207,250,1488
Buldhana,2019,Mining,0,0,0,0
Buldhana,2019,Commodity Manufacturing,1567,75,6425,8167
Buldhana,2019,"Electricity Generation, Gas, Water And Sewage Services",0,1225,58,1311
Buldhana,2019,Construction,1301,810,345,2479
Buldhana,2019,Wholesale And Retail Trade And Hotel Business,0,453,560,1197
Buldhana,2019,"Transportation, Warehousing And Transportation",0,3200,21,3242
Buldhana,2019,"Finance, Insurance, Real Estate And Trade Services",1401,450,2990,5074
Buldhana,2019,"Collective, Social And Individual Service",26100,9005,15671,51536
Buldhana,2020,Agriculture,1031,218,230,1479
Buldhana,2020,Mining,0,0,0,0
Buldhana,2020,Commodity Manufacturing,1576,81,6320,7977
Buldhana,2020,"Electricity Generation, Gas, Water And Sewage Services",0,1265,75,1340
Buldhana,2020,Construction,1318,849,370,2537
Buldhana,2020,Wholesale And Retail Trade And Hotel Business,0,470,329,799
Buldhana,2020,"Transportation, Warehousing And Transportation",0,3263,36,3299
Buldhana,2020,"Finance, Insurance, Real Estate And Trade Services",1425,455,2600,4480
Buldhana,2020,"Collective, Social And Individual Service",26255,9187,15239,50681
Buldhana,2021,Agriculture,889,198,259,1346
Buldhana,2021,Mining,0,0,0,0
Buldhana,2021,Commodity Manufacturing,51,0,3413,3464
Buldhana,2021,"Electricity Generation, Gas, Water And Sewage Services",0,1385,135,1520
Buldhana,2021,Construction,1307,830,475,2612
Buldhana,2021,Wholesale And Retail Trade And Hotel Business,0,0,1230,1230
Buldhana,2021,"Transportation, Warehousing And Transportation",0,3245,32,3277
Buldhana,2021,"Finance, Insurance, Real Estate And Trade Services",1679,556,3270,5505
Buldhana,2021,"Collective, Social And Individual Service",23395,8721,16629,48745
Chandrapur,2012,Agriculture,3095,190,40,3325
Chandrapur,2012,Mining,0,7000,0,7000
Chandrapur,2012,Commodity Manufacturing,9065,640,6700,16722
Chandrapur,2012,"Electricity Generation, Gas, Water And Sewage Services",0,1100,0,1100
Chandrapur,2012,Construction,3751,36,188,3975
Chandrapur,2012,Wholesale And Retail Trade And Hotel Business,0,1010,2160,3301
Chandrapur,2012,"Transportation, Warehousing And Transportation",3080,27,0,3107
Chandrapur,2012,"Finance, Insurance, Real Estate And Trade Services",8890,35,0,9035
Chandrapur,2012,"Collective, Social And Individual Service",13199,387,21555,35816
Chandrapur,2013,Agriculture,3097,188,38,3323
Chandrapur,2013,Mining,0,6998,0,6998
Chandrapur,2013,Commodity Manufacturing,9053,653,6684,16390
Chandrapur,2013,"Electricity Generation, Gas, Water And Sewage Services",0,1095,0,1095
Chandrapur,2013,Construction,3458,36,188,3682
Chandrapur,2013,Wholesale And Retail Trade And Hotel Business,0,1009,2125,3134
Chandrapur,2013,"Transportation, Warehousing And Transportation",3182,27,0,3209
Chandrapur,2013,"Finance, Insurance, Real Estate And Trade Services",8982,35,0,9017
Chandrapur,2013,"Collective, Social And Individual Service",12787,476,21537,34800
Chandrapur,2014,Agriculture,4017,193,45,4255
Chandrapur,2014,Mining,0,7250,0,7250
Chandrapur,2014,Commodity Manufacturing,8921,654,6675,16250
Chandrapur,2014,"Electricity Generation, Gas, Water And Sewage Services",0,1097,0,1097
Chandrapur,2014,Construction,3463,41,205,3709
Chandrapur,2014,Wholesale And Retail Trade And Hotel Business,0,1049,2014,3063
Chandrapur,2014,"Transportation, Warehousing And Transportation",3192,36,0,3228
Chandrapur,2014,"Finance, Insurance, Real Estate And Trade Services",8995,37,0,9032
Chandrapur,2014,"Collective, Social And Individual Service",12980,723,21691,35394
Chandrapur,2015,Agriculture,4119,197,47,4363
Chandrapur,2015,Mining,0,7045,0,7045
Chandrapur,2015,Commodity Manufacturing,9015,657,6752,16424
Chandrapur,2015,"Electricity Generation, Gas, Water And Sewage Services",0,1217,0,1217
Chandrapur,2015,Construction,4511,48,118,4677
Chandrapur,2015,Wholesale And Retail Trade And Hotel Business,0,1109,2148,3257
Chandrapur,2015,"Transportation, Warehousing And Transportation",3264,41,0,3305
Chandrapur,2015,"Finance, Insurance, Real Estate And Trade Services",9011,46,0,9057
Chandrapur,2015,"Collective, Social And Individual Service",13211,843,21895,35949
Chandrapur,2016,Agriculture,4101,192,56,4349
Chandrapur,2016,Mining,0,7016,0,7016
Chandrapur,2016,Commodity Manufacturing,9004,648,6764,16416
Chandrapur,2016,"Electricity Generation, Gas, Water And Sewage Services",0,1271,0,1271
Chandrapur,2016,Construction,4519,51,127,4697
Chandrapur,2016,Wholesale And Retail Trade And Hotel Business,0,1223,2481,3704
Chandrapur,2016,"Transportation, Warehousing And Transportation",3291,43,0,3334
Chandrapur,2016,"Finance, Insurance, Real Estate And Trade Services",10012,67,0,10079
Chandrapur,2016,"Collective, Social And Individual Service",13298,934,21914,36146
Chandrapur,2017,Agriculture,4215,134,48,4397
Chandrapur,2017,Mining,0,6611,0,6611
Chandrapur,2017,Commodity Manufacturing,7219,616,6208,14043
Chandrapur,2017,"Electricity Generation, Gas, Water And Sewage Services",0,1287,0,1287
Chandrapur,2017,Construction,4431,53,132,4616
Chandrapur,2017,Wholesale And Retail Trade And Hotel Business,0,1265,2284,3549
Chandrapur,2017,"Transportation, Warehousing And Transportation",3348,48,0,3396
Chandrapur,2017,"Finance, Insurance, Real Estate And Trade Services",9547,72,0,9619
Chandrapur,2017,"Collective, Social And Individual Service",14421,963,22348,37732
Chandrapur,2018,Agriculture,3754,126,53,3933
Chandrapur,2018,Mining,0,6117,0,6117
Chandrapur,2018,Commodity Manufacturing,6721,502,6308,13531
Chandrapur,2018,"Electricity Generation, Gas, Water And Sewage Services",0,1147,0,1147
Chandrapur,2018,Construction,3804,57,167,4028
Chandrapur,2018,Wholesale And Retail Trade And Hotel Business,0,1203,2156,3359
Chandrapur,2018,"Transportation, Warehousing And Transportation",3192,62,0,3254
Chandrapur,2018,"Finance, Insurance, Real Estate And Trade Services",8518,66,0,8584
Chandrapur,2018,"Collective, Social And Individual Service",12520,714,21819,35053
Chandrapur,2019,Agriculture,3548,114,47,3709
Chandrapur,2019,Mining,0,5719,0,5719
Chandrapur,2019,Commodity Manufacturing,7323,582,7214,15119
Chandrapur,2019,"Electricity Generation, Gas, Water And Sewage Services",0,1378,0,1378
Chandrapur,2019,Construction,3911,82,221,4214
Chandrapur,2019,Wholesale And Retail Trade And Hotel Business,0,1412,2307,3719
Chandrapur,2019,"Transportation, Warehousing And Transportation",2687,45,0,2732
Chandrapur,2019,"Finance, Insurance, Real Estate And Trade Services",9785,107,0,9892
Chandrapur,2019,"Collective, Social And Individual Service",12902,819,23205,36926
Chandrapur,2020,Agriculture,2914,107,32,3053
Chandrapur,2020,Mining,0,4872,0,4872
Chandrapur,2020,Commodity Manufacturing,7105,527,7099,14731
Chandrapur,2020,"Electricity Generation, Gas, Water And Sewage Services",0,1175,0,1175
Chandrapur,2020,Construction,3788,76,204,4068
Chandrapur,2020,Wholesale And Retail Trade And Hotel Business,0,1359,2125,3484
Chandrapur,2020,"Transportation, Warehousing And Transportation",2407,39,0,2446
Chandrapur,2020,"Finance, Insurance, Real Estate And Trade Services",9215,97,0,9312
Chandrapur,2020,"Collective, Social And Individual Service",11623,721,21714,34058
Chandrapur,2021,Agriculture,2713,97,28,2838
Chandrapur,2021,Mining,0,2912,0,2912
Chandrapur,2021,Commodity Manufacturing,6315,503,6041,12859
Chandrapur,2021,"Electricity Generation, Gas, Water And Sewage Services",0,1108,0,1108
Chandrapur,2021,Construction,3104,67,195,3366
Chandrapur,2021,Wholesale And Retail Trade And Hotel Business,0,1202,2004,3206
Chandrapur,2021,"Transportation, Warehousing And Transportation",2285,25,0,2310
Chandrapur,2021,"Finance, Insurance, Real Estate And Trade Services",9076,81,0,9157
Chandrapur,2021,"Collective, Social And Individual Service",10712,587,19813,31112
Dhule,2012,Agriculture,844,0,477,1321
Dhule,2012,Mining,8,21,139,168
Dhule,2012,Commodity Manufacturing,174,175,9187,9536
Dhule,2012,"Electricity Generation, Gas, Water And Sewage Services",621,1257,6,1884
Dhule,2012,Construction,967,0,518,1485
Dhule,2012,Wholesale And Retail Trade And Hotel Business,24,0,434,458
Dhule,2012,"Transportation, Warehousing And Transportation",918,3804,97,4819
Dhule,2012,"Finance, Insurance, Real Estate And Trade Services",54,9,4738,4801
Dhule,2012,"Collective, Social And Individual Service",17937,154,13334,31425
Dhule,2013,Agriculture,0,0,8,8
Dhule,2013,Mining,0,0,0,0
Dhule,2013,Commodity Manufacturing,0,0,680,680
Dhule,2013,"Electricity Generation, Gas, Water And Sewage Services",0,393,0,393
Dhule,2013,Construction,0,0,18,18
Dhule,2013,Wholesale And Retail Trade And Hotel Business,0,0,77,77
Dhule,2013,"Transportation, Warehousing And Transportation",274,0,0,274
Dhule,2013,"Finance, Insurance, Real Estate And Trade Services",0,0,80,80
Dhule,2013,"Collective, Social And Individual Service",0,68,3233,3301
Dhule,2014,Agriculture,853,195,654,1702
Dhule,2014,Mining,175,1367,8723,10265
Dhule,2014,Commodity Manufacturing,0,0,45,45
Dhule,2014,"Electricity Generation, Gas, Water And Sewage Services",621,0,0,621
Dhule,2014,Construction,933,0,518,1451
Dhule,2014,Wholesale And Retail Trade And Hotel Business,8,35,543,586
Dhule,2014,"Transportation, Warehousing And Transportation",274,3804,123,4201
Dhule,2014,"Finance, Insurance, Real Estate And Trade Services",660,888,2220,3768
Dhule,2014,"Collective, Social And Individual Service",1708,155,15558,33521
Dhule,2015,Agriculture,853,198,659,1710
Dhule,2015,Mining,369,1382,8731,10482
Dhule,2015,Commodity Manufacturing,1367,0,49,1416
Dhule,2015,"Electricity Generation, Gas, Water And Sewage Services",621,0,0,621
Dhule,2015,Construction,933,0,522,1455
Dhule,2015,Wholesale And Retail Trade And Hotel Business,43,38,548,629
Dhule,2015,"Transportation, Warehousing And Transportation",4541,3808,127,8476
Dhule,2015,"Finance, Insurance, Real Estate And Trade Services",1611,892,2226,4729
Dhule,2015,"Collective, Social And Individual Service",91,159,1561,1811
Dhule,2016,Agriculture,853,298,659,1810
Dhule,2016,Mining,369,1394,8920,10683
Dhule,2016,Commodity Manufacturing,1382,50,62,1494
Dhule,2016,"Electricity Generation, Gas, Water And Sewage Services",626,40,70,736
Dhule,2016,Construction,942,62,530,1534
Dhule,2016,Wholesale And Retail Trade And Hotel Business,45,46,565,656
Dhule,2016,"Transportation, Warehousing And Transportation",4350,3902,135,8387
Dhule,2016,"Finance, Insurance, Real Estate And Trade Services",1719,946,2397,5062
Dhule,2016,"Collective, Social And Individual Service",164,99,697,960
Dhule,2017,Agriculture,291,85,188,564
Dhule,2017,Mining,322,1450,6760,8532
Dhule,2017,Commodity Manufacturing,1382,50,62,1494
Dhule,2017,"Electricity Generation, Gas, Water And Sewage Services",626,40,70,736
Dhule,2017,Construction,942,62,530,1534
Dhule,2017,Wholesale And Retail Trade And Hotel Business,45,46,565,656
Dhule,2017,"Transportation, Warehousing And Transportation",4650,3902,135,8687
Dhule,2017,"Finance, Insurance, Real Estate And Trade Services",1719,946,2397,5062
Dhule,2017,"Collective, Social And Individual Service",164,99,698,961
Dhule,2018,Agriculture,855,23,17,895
Dhule,2018,Mining,19,0,7,26
Dhule,2018,Commodity Manufacturing,450,136,126,712
Dhule,2018,"Electricity Generation, Gas, Water And Sewage Services",0,1586,3,1589
Dhule,2018,Construction,660,184,5,849
Dhule,2018,Wholesale And Retail Trade And Hotel Business,148,33,48,229
Dhule,2018,"Transportation, Warehousing And Transportation",635,4300,2,4937
Dhule,2018,"Finance, Insurance, Real Estate And Trade Services",957,31,49,1037
Dhule,2018,"Collective, Social And Individual Service",28,0,108,136
Dhule,2019,Agriculture,861,24,667,1552
Dhule,2019,Mining,19,0,28,47
Dhule,2019,Commodity Manufacturing,503,145,12019,12667
Dhule,2019,"Electricity Generation, Gas, Water And Sewage Services",0,1586,51,1637
Dhule,2019,Construction,478,370,530,1378
Dhule,2019,Wholesale And Retail Trade And Hotel Business,147,33,867,1047
Dhule,2019,"Transportation, Warehousing And Transportation",634,4138,103,4875
Dhule,2019,"Finance, Insurance, Real Estate And Trade Services",956,44,2569,3569
Dhule,2019,"Collective, Social And Individual Service",1192,18,2640,3850
Dhule,2020,Agriculture,855,22,667,1544
Dhule,2020,Mining,19,0,28,47
Dhule,2020,Commodity Manufacturing,477,145,12490,13112
Dhule,2020,"Electricity Generation, Gas, Water And Sewage Services",0,1586,170,1756
Dhule,2020,Construction,393,370,30,793
Dhule,2020,Wholesale And Retail Trade And Hotel Business,146,33,867,1046
Dhule,2020,"Transportation, Warehousing And Transportation",634,4023,103,4760
Dhule,2020,"Finance, Insurance, Real Estate And Trade Services",954,113,3613,4680
Dhule,2020,"Collective, Social And Individual Service",1150,18,2619,3787
Dhule,2021,Agriculture,854,22,667,1543
Dhule,2021,Mining,19,0,28,47
Dhule,2021,Commodity Manufacturing,477,145,12502,13124
Dhule,2021,"Electricity Generation, Gas, Water And Sewage Services",0,1586,249,1835
Dhule,2021,Construction,394,370,30,794
Dhule,2021,Wholesale And Retail Trade And Hotel Business,148,33,852,1033
Dhule,2021,"Transportation, Warehousing And Transportation",634,3869,103,4606
Dhule,2021,"Finance, Insurance, Real Estate And Trade Services",957,111,4151,5219
Dhule,2021,"Collective, Social And Individual Service",1151,18,2572,3741
Gadchiroli,2012,Agriculture,1895,0,23,1918
Gadchiroli,2012,Mining,0,0,0,0
Gadchiroli,2012,Commodity Manufacturing,548,0,434,982
Gadchiroli,2012,"Electricity Generation, Gas, Water And Sewage Services",49,7,0,56
Gadchiroli,2012,Construction,557,742,135,1434
Gadchiroli,2012,Wholesale And Retail Trade And Hotel Business,248,7,0,255
Gadchiroli,2012,"Transportation, Warehousing And Transportation",466,443,66,975
Gadchiroli,2012,"Finance, Insurance, Real Estate And Trade Services",2940,222,439,3601
Gadchiroli,2012,"Collective, Social And Individual Service",9073,44,4600,13717
Gadchiroli,2013,Agriculture,3179,30,0,3209
Gadchiroli,2013,Mining,0,0,0,0
Gadchiroli,2013,Commodity Manufacturing,217,29,641,887
Gadchiroli,2013,"Electricity Generation, Gas, Water And Sewage Services",1209,78,127,1414
Gadchiroli,2013,Construction,254,0,38,292
Gadchiroli,2013,Wholesale And Retail Trade And Hotel Business,886,0,55,941
Gadchiroli,2013,"Transportation, Warehousing And Transportation",6297,407,428,7132
Gadchiroli,2013,"Finance, Insurance, Real Estate And Trade Services",864,11,200,1075
Gadchiroli,2013,"Collective, Social And Individual Service",3179,6303,4658,14140
Gadchiroli,2014,Agriculture,3511,54,0,3565
Gadchiroli,2014,Mining,0,0,404,404
Gadchiroli,2014,Commodity Manufacturing,288,64,231,583
Gadchiroli,2014,"Electricity Generation, Gas, Water And Sewage Services",1087,40,196,1323
Gadchiroli,2014,Construction,303,0,36,339
Gadchiroli,2014,Wholesale And Retail Trade And Hotel Business,975,0,198,1173
Gadchiroli,2014,"Transportation, Warehousing And Transportation",306,268,430,1004
Gadchiroli,2014,"Finance, Insurance, Real Estate And Trade Services",15358,6506,4846,26710
Gadchiroli,2014,"Collective, Social And Individual Service",862,0,38,900
Gadchiroli,2015,Agriculture,2457,53,0,2510
Gadchiroli,2015,Mining,0,0,399,399
Gadchiroli,2015,Commodity Manufacturing,223,64,231,518
Gadchiroli,2015,"Electricity Generation, Gas, Water And Sewage Services",1025,42,196,1263
Gadchiroli,2015,Construction,552,0,54,606
Gadchiroli,2015,Wholesale And Retail Trade And Hotel Business,876,0,199,1075
Gadchiroli,2015,"Transportation, Warehousing And Transportation",20,180,422,622
Gadchiroli,2015,"Finance, Insurance, Real Estate And Trade Services",10159,470,5107,15736
Gadchiroli,2015,"Collective, Social And Individual Service",862,6033,38,6933
Gadchiroli,2016,Agriculture,3511,54,0,3565
Gadchiroli,2016,Mining,0,0,404,404
Gadchiroli,2016,Commodity Manufacturing,288,64,231,583
Gadchiroli,2016,"Electricity Generation, Gas, Water And Sewage Services",1087,40,196,1323
Gadchiroli,2016,Construction,303,0,36,339
Gadchiroli,2016,Wholesale And Retail Trade And Hotel Business,975,0,198,1173
Gadchiroli,2016,"Transportation, Warehousing And Transportation",306,268,430,1004
Gadchiroli,2016,"Finance, Insurance, Real Estate And Trade Services",15358,6506,4846,26710
Gadchiroli,2016,"Collective, Social And Individual Service",982,0,38,1020
Gadchiroli,2017,Agriculture,3600,60,0,3660
Gadchiroli,2017,Mining,0,0,420,420
Gadchiroli,2017,Commodity Manufacturing,290,70,235,595
Gadchiroli,2017,"Electricity Generation, Gas, Water And Sewage Services",1090,45,200,1335
Gadchiroli,2017,Construction,305,0,38,343
Gadchiroli,2017,Wholesale And Retail Trade And Hotel Business,980,0,200,1180
Gadchiroli,2017,"Transportation, Warehousing And Transportation",310,272,435,1017
Gadchiroli,2017,"Finance, Insurance, Real Estate And Trade Services",15485,6870,4950,27305
Gadchiroli,2017,"Collective, Social And Individual Service",870,0,45,915
Gadchiroli,2018,Agriculture,3800,65,0,3865
Gadchiroli,2018,Mining,0,0,586,586
Gadchiroli,2018,Commodity Manufacturing,315,75,354,744
Gadchiroli,2018,"Electricity Generation, Gas, Water And Sewage Services",1230,47,230,1507
Gadchiroli,2018,Construction,325,0,43,368
Gadchiroli,2018,Wholesale And Retail Trade And Hotel Business,1087,0,243,1330
Gadchiroli,2018,"Transportation, Warehousing And Transportation",429,285,487,1201
Gadchiroli,2018,"Finance, Insurance, Real Estate And Trade Services",17860,6956,5862,30678
Gadchiroli,2018,"Collective, Social And Individual Service",958,0,54,1012
Gadchiroli,2019,Agriculture,3800,70,0,3870
Gadchiroli,2019,Mining,0,0,595,595
Gadchiroli,2019,Commodity Manufacturing,320,80,362,762
Gadchiroli,2019,"Electricity Generation, Gas, Water And Sewage Services",1245,51,242,1538
Gadchiroli,2019,Construction,340,0,47,387
Gadchiroli,2019,Wholesale And Retail Trade And Hotel Business,1090,0,247,1337
Gadchiroli,2019,"Transportation, Warehousing And Transportation",431,292,492,1215
Gadchiroli,2019,"Finance, Insurance, Real Estate And Trade Services",17875,6972,5865,30712
Gadchiroli,2019,"Collective, Social And Individual Service",970,0,59,1029
Gadchiroli,2020,Agriculture,3840,75,0,3915
Gadchiroli,2020,Mining,0,0,430,430
Gadchiroli,2020,Commodity Manufacturing,300,80,245,625
Gadchiroli,2020,"Electricity Generation, Gas, Water And Sewage Services",1320,50,225,1595
Gadchiroli,2020,Construction,315,0,45,360
Gadchiroli,2020,Wholesale And Retail Trade And Hotel Business,998,0,220,1218
Gadchiroli,2020,"Transportation, Warehousing And Transportation",422,280,450,1152
Gadchiroli,2020,"Finance, Insurance, Real Estate And Trade Services",17910,6890,5120,29920
Gadchiroli,2020,"Collective, Social And Individual Service",967,0,50,1017
Gadchiroli,2021,Agriculture,3841,76,1,3918
Gadchiroli,2021,Mining,0,0,431,431
Gadchiroli,2021,Commodity Manufacturing,301,81,245,627
Gadchiroli,2021,"Electricity Generation, Gas, Water And Sewage Services",1320,50,225,1595
Gadchiroli,2021,Construction,316,0,46,362
Gadchiroli,2021,Wholesale And Retail Trade And Hotel Business,999,0,220,1219
Gadchiroli,2021,"Transportation, Warehousing And Transportation",422,281,450,1153
Gadchiroli,2021,"Finance, Insurance, Real Estate And Trade Services",17914,6892,5120,29926
Gadchiroli,2021,"Collective, Social And Individual Service",969,0,51,1020
Gondia,2012,Agriculture,147,92,,239
Gondia,2012,Mining,,,,
Gondia,2012,Commodity Manufacturing,2088,381,527,2996
Gondia,2012,"Electricity Generation, Gas, Water And Sewage Services",2546,368,,2914
Gondia,2012,Construction,223,,,223
Gondia,2012,Wholesale And Retail Trade And Hotel Business,,,,
Gondia,2012,"Transportation, Warehousing And Transportation",,2088,,2088
Gondia,2012,"Finance, Insurance, Real Estate And Trade Services",375,296,62,733
Gondia,2012,"Collective, Social And Individual Service",1056,337,6098,7491
Gondia,2013,Agriculture,308,,,308
Gondia,2013,Mining,66,,166,232
Gondia,2013,Commodity Manufacturing,2475,,302,2777
Gondia,2013,"Electricity Generation, Gas, Water And Sewage Services",412,,585,997
Gondia,2013,Construction,,,,
Gondia,2013,Wholesale And Retail Trade And Hotel Business,5349,631,202,6182
Gondia,2013,"Transportation, Warehousing And Transportation",398,164,89,651
Gondia,2013,"Finance, Insurance, Real Estate And Trade Services",998,932,7077,9007
Gondia,2013,"Collective, Social And Individual Service",212,0,31,243
Gondia,2014,Agriculture,125,208,0,333
Gondia,2014,Mining,63,0,146,209
Gondia,2014,Commodity Manufacturing,795,365,874,2034
Gondia,2014,"Electricity Generation, Gas, Water And Sewage Services",488,2295,37,2820
Gondia,2014,Construction,,,,
Gondia,2014,Wholesale And Retail Trade And Hotel Business,3041,1065,237,4343
Gondia,2014,"Transportation, Warehousing And Transportation",16,7,0,23
Gondia,2014,"Finance, Insurance, Real Estate And Trade Services",1737,872,7174,9783
Gondia,2014,"Collective, Social And Individual Service",180,45,24,249
Gondia,2015,Agriculture,127,208,0,335
Gondia,2015,Mining,51,23,399,473
Gondia,2015,Commodity Manufacturing,2118,365,233,2716
Gondia,2015,"Electricity Generation, Gas, Water And Sewage Services",536,2293,196,3025
Gondia,2015,Construction,,,,
Gondia,2015,Wholesale And Retail Trade And Hotel Business,3239,1064,253,4556
Gondia,2015,"Transportation, Warehousing And Transportation",16,7,422,445
Gondia,2015,"Finance, Insurance, Real Estate And Trade Services",1383,856,5105,7344
Gondia,2015,"Collective, Social And Individual Service",175,45,38,258
Gondia,2016,Agriculture,127,208,0,335
Gondia,2016,Mining,51,23,399,473
Gondia,2016,Commodity Manufacturing,2118,365,233,2716
Gondia,2016,"Electricity Generation, Gas, Water And Sewage Services",536,2293,196,3025
Gondia,2016,Construction,,,,
Gondia,2016,Wholesale And Retail Trade And Hotel Business,3239,1072,261,4572
Gondia,2016,"Transportation, Warehousing And Transportation",16,7,423,446
Gondia,2016,"Finance, Insurance, Real Estate And Trade Services",1386,871,5116,7373
Gondia,2016,"Collective, Social And Individual Service",175,45,43,263
Gondia,2017,Agriculture,127,208,0,335
Gondia,2017,Mining,51,23,399,473
Gondia,2017,Commodity Manufacturing,2118,365,233,2716
Gondia,2017,"Electricity Generation, Gas, Water And Sewage Services",536,2293,215,3044
Gondia,2017,Construction,,,,
Gondia,2017,Wholesale And Retail Trade And Hotel Business,3239,1072,277,4588
Gondia,2017,"Transportation, Warehousing And Transportation",16,7,439,462
Gondia,2017,"Finance, Insurance, Real Estate And Trade Services",1394,871,5165,7430
Gondia,2017,"Collective, Social And Individual Service",181,45,64,290
Gondia,2018,Agriculture,127,208,0,335
Gondia,2018,Mining,51,23,399,473
Gondia,2018,Commodity Manufacturing,2118,365,233,2716
Gondia,2018,"Electricity Generation, Gas, Water And Sewage Services",460,2231,196,2887
Gondia,2018,Construction,76,62,0,138
Gondia,2018,Wholesale And Retail Trade And Hotel Business,3239,1082,277,4598
Gondia,2018,"Transportation, Warehousing And Transportation",16,7,423,446
Gondia,2018,"Finance, Insurance, Real Estate And Trade Services",1386,871,5206,7463
Gondia,2018,"Collective, Social And Individual Service",175,57,104,336
Gondia,2019,Agriculture,102,199,0,301
Gondia,2019,Mining,1443,8,334,1785
Gondia,2019,Commodity Manufacturing,1064,365,927,2356
Gondia,2019,"Electricity Generation, Gas, Water And Sewage Services",445,12,154,611
Gondia,2019,Construction,119,2193,29,2341
Gondia,2019,Wholesale And Retail Trade And Hotel Business,3243,1475,302,5020
Gondia,2019,"Transportation, Warehousing And Transportation",37,7,9,53
Gondia,2019,"Finance, Insurance, Real Estate And Trade Services",1785,1329,8497,11611
Gondia,2019,"Collective, Social And Individual Service",158,2037,501,2696
Gondia,2020,Agriculture,123,199,,
Gondia,2020,Mining,1443,8,,
Gondia,2020,Commodity Manufacturing,1012,365,,
Gondia,2020,"Electricity Generation, Gas, Water And Sewage Services",445,12,,
Gondia,2020,Construction,158,2193,,
Gondia,2020,Wholesale And Retail Trade And Hotel Business,3263,687,,
Gondia,2020,"Transportation, Warehousing And Transportation",22,7,,
