District,Year,Type of Industry,Govt Employees,Semi Govt Employees,Private Employees,Total Employees
Beed,2013,Mining,0,0,51,51
Beed,2013,Commodity Manufacturing,0,0,0,0
Beed,2013,"Electricity Generation, Gas, Water And Sewage Services",7,0,0,7
Beed,2013,Construction,0,0,0,0
Beed,2013,Wholesale And Retail Trade And Hotel Business,0,3079,149,3228
Beed,2013,"Transportation, Warehousing And Transportation",257,14,0,271
Beed,2013,"Finance, Insurance, Real Estate And Trade Services",78,0,1964,2042
Beed,2013,"Collective, Social And Individual Service",0,0,0,0
Beed,2014,Agriculture,469,0,743,1212
Beed,2014,Mining,0,0,0,0
Beed,2014,Commodity Manufacturing,0,0,0,0
Beed,2014,"Electricity Generation, Gas, Water And Sewage Services",7,0,0,7
Beed,2014,Construction,0,0,0,0
Beed,2014,Wholesale And Retail Trade And Hotel Business,0,3079,159,3238
Beed,2014,"Transportation, Warehousing And Transportation",257,14,0,271
Beed,2014,"Finance, Insurance, Real Estate And Trade Services",78,0,1974,2052
Beed,2014,"Collective, Social And Individual Service",0,0,0,0
Beed,2015,Agriculture,1273,481,1166,2920
Beed,2015,Mining,119,450,5393,5962
Beed,2015,Commodity Manufacturing,101,14518,214,14833
Beed,2015,"Electricity Generation, Gas, Water And Sewage Services",104,1086,106,1296
Beed,2015,Construction,61,481,195,737
Beed,2015,Wholesale And Retail Trade And Hotel Business,737,450,95,1282
Beed,2015,"Transportation, Warehousing And Transportation",871,1086,340,2297
Beed,2015,"Finance, Insurance, Real Estate And Trade Services",3085,110,2331,5526
Beed,2015,"Collective, Social And Individual Service",88,16720,820,17628
Beed,2016,Agriculture,612,0,381,1002
Beed,2016,Mining,0,0,0,0
Beed,2016,Commodity Manufacturing,0,0,214,214
Beed,2016,"Electricity Generation, Gas, Water And Sewage Services",0,0,380,380
Beed,2016,Construction,300,0,0,300
Beed,2016,Wholesale And Retail Trade And Hotel Business,0,0,25000,25000
Beed,2016,"Transportation, Warehousing And Transportation",16,991,376,1383
Beed,2016,"Finance, Insurance, Real Estate And Trade Services",300,3080,2401,5781
Beed,2016,"Collective, Social And Individual Service",188,200,580,968
Beed,2017,Agriculture,1279,481,1166,2926
Beed,2017,Mining,119,450,5393,5962
Beed,2017,Commodity Manufacturing,101,14518,214,14833
Beed,2017,"Electricity Generation, Gas, Water And Sewage Services",104,1086,106,1296
Beed,2017,Construction,61,481,195,737
Beed,2017,Wholesale And Retail Trade And Hotel Business,737,450,95,1282
Beed,2017,"Transportation, Warehousing And Transportation",871,1086,340,2297
Beed,2017,"Finance, Insurance, Real Estate And Trade Services",3085,110,2331,5526
Beed,2017,"Collective, Social And Individual Service",88,16720,820,17628
Beed,2018,Agriculture,1406,529,1282,3217
Beed,2018,Mining,0,0,0,0
Beed,2018,Commodity Manufacturing,105,13255,218,13578
Beed,2018,"Electricity Generation, Gas, Water And Sewage Services",0,0,380,380
Beed,2018,Construction,67,529,214,810
Beed,2018,Wholesale And Retail Trade And Hotel Business,810,501,104,1415
Beed,2018,"Transportation, Warehousing And Transportation",958,1194,374,2526
Beed,2018,"Finance, Insurance, Real Estate And Trade Services",3393,121,2564,6078
Beed,2018,"Collective, Social And Individual Service",97,18392,902,19391
Beed,2019,Agriculture,1143,15,1227,2385
Beed,2019,Mining,104,0,1,105
Beed,2019,Commodity Manufacturing,151,0,5439,5590
Beed,2019,"Electricity Generation, Gas, Water And Sewage Services",3059,0,0,3059
Beed,2019,Construction,1837,991,128,2956
Beed,2019,Wholesale And Retail Trade And Hotel Business,16,8,10,34
Beed,2019,"Transportation, Warehousing And Transportation",96,0,0,96
Beed,2019,"Finance, Insurance, Real Estate And Trade Services",36,6,2146,2188
Beed,2019,"Collective, Social And Individual Service",7402,12571,11,19984
Beed,2020,Agriculture,1099,15,1227,2341
Beed,2020,Mining,90,0,1,91
Beed,2020,Commodity Manufacturing,144,0,5443,5587
Beed,2020,"Electricity Generation, Gas, Water And Sewage Services",3059,0,0,3059
Beed,2020,Construction,1837,850,152,2839
Beed,2020,Wholesale And Retail Trade And Hotel Business,16,8,4,28
Beed,2020,"Transportation, Warehousing And Transportation",88,0,5,93
Beed,2020,"Finance, Insurance, Real Estate And Trade Services",35,61,2323,2419
Beed,2020,"Collective, Social And Individual Service",7753,12571,11,20335
Beed,2021,Agriculture,1098,29,1227,2354
