Year,District,Rural/Urban,Age Group,Main Workers,Marginal Workers,Non Workers
2011,Chandrapur,Rural,10-14,1420,1104,66666
2011,Chandrapur,Rural,15-19,13444,9218,48483
2011,Chandrapur,Rural,20-24,35394,15962,18592
2011,Chandrapur,Rural,25-29,44285,11957,5622
2011,Chandrapur,Rural,30-34,45277,9381,1713
2011,Chandrapur,Rural,35-39,45319,8259,947
2011,Chandrapur,Rural,40-49,77547,13281,1638
2011,Chandrapur,Rural,50-59,50382,8625,2522
2011,Chandrapur,Rural,60-69,27715,6932,8978
2011,Chandrapur,Rural,70-79,9651,3150,9913
2011,Chandrapur,Rural,80+,1671,567,4330
2011,Chandrapur,Urban,05-09,164,153,30288
2011,Chandrapur,Urban,10-14,519,261,35879
2011,Chandrapur,Urban,15-19,3614,1466,33866
2011,Chandrapur,Urban,20-24,12841,3485,24524
2011,Chandrapur,Urban,25-29,22677,3800,10165
2011,Chandrapur,Urban,30-34,26770,3271,3277
2011,Chandrapur,Urban,35-39,26752,2709,1600
2011,Chandrapur,Urban,40-49,48928,3900,2264
2011,Chandrapur,Urban,50-59,31647,2042,3557
2011,Chandrapur,Urban,60-69,6515,1038,11040
2011,Chandrapur,Urban,70-79,1637,347,5497
2011,Chandrapur,Urban,80+,470,96,2067
2011,Yavatmal,Total,05-09,3649,493,121810
2011,Yavatmal,Total,10-14,7712,1820,141863
2011,Yavatmal,Total,15-19,40075,9126,100290
2011,Yavatmal,Total,20-24,80429,12631,43886
2011,Yavatmal,Total,25-29,96824,9981,14177
2011,Yavatmal,Total,30-34,94470,7457,4253
2011,Yavatmal,Total,35-39,92750,6352,2336
2011,Yavatmal,Total,40-49,154520,9334,3650
2011,Yavatmal,Total,50-59,94480,5773,5930
2011,Yavatmal,Total,60-69,54648,5371,18758
2011,Yavatmal,Total,70-79,18886,2635,16759
2011,Yavatmal,Total,80+,3716,569,7688
2011,Yavatmal,Rural,05-09,3000,415,96428
2011,Yavatmal,Rural,10-14,6624,1670,112490
2011,Yavatmal,Rural,15-19,35497,8235,76046
2011,Yavatmal,Rural,20-24,68545,10808,28792
2011,Yavatmal,Rural,25-29,78426,8037,8397
2011,Yavatmal,Rural,30-34,73811,5779,2483
2011,Yavatmal,Rural,35-39,71120,4860,1479
2011,Yavatmal,Rural,40-49,117385,7234,2420
2011,Yavatmal,Rural,50-59,73545,4518,3173
