District,Year,Taluka,Number of MSME Industries,Number of employees (in Lakh),Number of Employees
Ratnagiri,2018,Ratnagiri,31.0,567.0,56700000.0
Ratnagiri,2018,Sangameshwar,7.0,78.0,7800000.0
Ratnagiri,2018,Lanja,0.0,0.0,
Ratnagiri,2018,Rajapur,0.0,0.0,
Ratnagiri,2019,Mandangad,,,
Ratnagiri,2019,Dapoli,,,
Ratnagiri,2019,Khed,,,
Ratnagiri,2019,Chiplun,,,
Ratnagiri,2019,Guhagar,,,
Ratnagiri,2019,Ratnagiri,,,
Ratnagiri,2019,Sangameshwar,,,
Ratnagiri,2019,Lanja,,,
Ratnagiri,2019,Rajapur,,,
Ratnagiri,2020,Mandangad,,,
Ratnagiri,2020,Dapoli,,,
Ratnagiri,2020,Khed,,,
Ratnagiri,2020,Chiplun,,,
Ratnagiri,2020,Guhagar,,,
Ratnagiri,2020,Ratnagiri,,,
Ratnagiri,2020,Sangameshwar,,,
Ratnagiri,2020,Lanja,,,
Ratnagiri,2020,Rajapur,,,
Ratnagiri,2021,Mandangad,,,
Ratnagiri,2021,Dapoli,,,
Ratnagiri,2021,Khed,,,
Ratnagiri,2021,Chiplun,,,
Ratnagiri,2021,Guhagar,,,
Ratnagiri,2021,Ratnagiri,,,
Ratnagiri,2021,Sangameshwar,,,
Ratnagiri,2021,Lanja,,,
Ratnagiri,2021,Rajapur,,,
Sangli,2018,Shirala,1078.0,4976.0,497600000.0
Sangli,2018,Valava,4547.0,15417.0,1541700000.0
Sangli,2018,Palus,707.0,6351.0,635100000.0
Sangli,2018,Kadegaon,1042.0,5701.0,570100000.0
Sangli,2018,Khanapur,1521.0,4961.0,496100000.0
Sangli,2018,Aatpadi,421.0,1099.0,109900000.0
Sangli,2018,Tasgaon,2180.0,5507.0,550700000.0
Sangli,2018,Miraj,6572.0,48774.0,4877400000.0
Sangli,2018,Ku. Mahakal,413.0,929.0,92900000.0
Sangli,2018,Jat,913.0,4645.0,464500000.0
Sangli,2019,Shirala,2175.0,6655.0,665500000.0
Sangli,2019,Valava,7825.0,18190.0,1819000000.0
Sangli,2019,Palus,5962.0,17886.0,1788600000.0
Sangli,2019,Kadegaon,1928.0,9640.0,964000000.0
Sangli,2019,Khanapur,2052.0,11372.0,1137200000.0
Sangli,2019,Aatpadi,410.0,600.0,60000000.0
Sangli,2019,Tasgaon,2282.0,4560.0,456000000.0
Sangli,2019,Miraj,13437.0,37448.0,3744800000.0
Sangli,2019,Ku. Mahakal,586.0,5225.0,522500000.0
Sangli,2019,Jat,537.0,800.0,80000000.0
Sangli,2020,Shirala,2185.0,6750.0,675000000.0
Sangli,2020,Valava,7825.0,18190.0,1819000000.0
Sangli,2020,Palus,5962.0,17886.0,1788600000.0
Sangli,2020,Kadegaon,1928.0,9640.0,964000000.0
Sangli,2020,Khanapur,2052.0,11372.0,1137200000.0
Sangli,2020,Aatpadi,410.0,600.0,60000000.0
Sangli,2020,Tasgaon,2282.0,4560.0,456000000.0
Sangli,2020,Miraj,13437.0,37448.0,3744800000.0
Sangli,2020,Ku. Mahakal,586.0,5225.0,522500000.0
Sangli,2020,Jat,537.0,800.0,80000000.0
Sangli,2021,Shirala,2385.0,13822.0,1382200000.0
Sangli,2021,Valava,8135.0,28348.0,2834800000.0
Sangli,2021,Palus,6252.0,27205.0,2720500000.0
Sangli,2021,Kadegaon,2128.0,16412.0,1641200000.0
Sangli,2021,Khanapur,2352.0,20530.0,2053000000.0
Sangli,2021,Aatpadi,500.0,7033.0,703300000.0
Sangli,2021,Tasgaon,2595.0,14158.0,1415800000.0
Sangli,2021,Miraj,14137.0,60126.0,6012600000.0
Sangli,2021,Ku. Mahakal,786.0,12197.0,1219700000.0
Sangli,2021,Jat,837.0,10958.0,1095800000.0
Satara,2018,Mahableshwar,213.0,0.00963,963.0
Satara,2018,Vai,603.0,0.02092,2092.0
Satara,2018,Khandala,279.0,0.02044,2044.0
Satara,2018,Faltan,793.0,0.03474,3474.0
Satara,2018,Man,194.0,0.00934,934.0
Satara,2018,Khatav,229.0,0.01422,1422.0
Satara,2018,Koregaon,371.0,0.01843,1843.0
Satara,2018,Satara,2489.0,0.12704,12704.0
Satara,2018,Javali,158.0,0.00703,703.0
Satara,2018,Patan,221.0,0.01085,1085.0
Satara,2018,Karad,930.0,0.04633,4633.0
Satara,2019,Mahableshwar,508.0,0.02187,2187.0
Satara,2019,Vai,703.0,0.02483,2483.0
Satara,2019,Khandala,457.0,0.02735,2735.0
Satara,2019,Faltan,1400.0,0.05089,5089.0
Satara,2019,Man,238.0,0.01149,1149.0
Satara,2019,Khatav,713.0,0.0275,2750.0
Satara,2019,Koregaon,685.0,0.02295,2295.0
Satara,2019,Satara,3882.0,0.1564,15640.0
Satara,2019,Javali,236.0,0.00735,735.0
Satara,2019,Patan,466.0,0.01587,1587.0
Satara,2019,Karad,2469.0,0.09797,9797.0
Satara,2020,Mahableshwar,1165.0,0.03305,3305.0
Satara,2020,Vai,1252.0,0.06086,6086.0
Satara,2020,Khandala,2265.0,0.10244,10244.0
Satara,2020,Faltan,6854.0,0.42512,42512.0
Satara,2020,Man,1254.0,0.03152,3152.0
Satara,2020,Khatav,1852.0,0.05695,5695.0
Satara,2020,Koregaon,2856.0,0.07584,7584.0
Satara,2020,Satara,5452.0,0.38457,38457.0
Satara,2020,Javali,1145.0,0.0215,2150.0
Satara,2020,Patan,1056.0,0.02154,2154.0
Satara,2020,Karad,1996.0,0.19856,19856.0
Satara,2021,Mahableshwar,1198.0,0.03,3000.0
Satara,2021,Vai,1265.0,0.06,6000.0
Satara,2021,Khandala,2298.0,0.11,11000.0
Satara,2021,Faltan,6952.0,0.44,44000.0
Satara,2021,Man,1285.0,0.03,3000.0
Satara,2021,Khatav,1865.0,0.06,6000.0
Satara,2021,Koregaon,2867.0,0.09,9000.0
Satara,2021,Satara,5485.0,0.4,40000.0
Satara,2021,Javali,1184.0,0.02,2000.0
Satara,2021,Patan,1098.0,0.02,2000.0
Satara,2021,Karad,2011.0,0.2,20000.0
Sindhudurg,2018,Devgad,224.0,0.011,1100.0
Sindhudurg,2018,Vaibhavwadi,32.0,0.001,100.0
Sindhudurg,2018,Kankavali,229.0,0.01,1000.0
Sindhudurg,2018,Malvan,359.0,0.015,1500.0
Sindhudurg,2018,Vengurla,451.0,0.022,2200.0
Sindhudurg,2018,Kudal,224.0,0.008,800.0
Sindhudurg,2018,Sawantwadi,300.0,0.014,1400.0
Sindhudurg,2018,Dodamarg,49.0,0.002,200.0
Sindhudurg,2019,Devgad,270.0,0.012,1200.0
Sindhudurg,2019,Vaibhavwadi,37.0,0.002,200.0
Sindhudurg,2019,Kankawali,350.0,0.023,2300.0
Sindhudurg,2019,Malwan,293.0,0.015,1500.0
Sindhudurg,2019,Vengurla,588.0,0.027,2700.0
Sindhudurg,2019,Kudal,325.0,0.016,1600.0
Sindhudurg,2019,Savantwadi,383.0,0.022,2200.0
Sindhudurg,2019,Dodamarg,49.0,0.002,200.0
Sindhudurg,2020,Devgad,,,
Sindhudurg,2020,Vaibhavwadi,,,
Sindhudurg,2020,Kankawali,,,
Sindhudurg,2020,Malwan,,,
Sindhudurg,2020,Vengurla,,,
Sindhudurg,2020,Kudal,,,
Sindhudurg,2020,Savantwadi,,,
Sindhudurg,2020,Dodamarg,,,
Sindhudurg,2021,Devgad,,,
Sindhudurg,2021,Vaibhavwadi,,,
Sindhudurg,2021,Kankawali,,,
Sindhudurg,2021,Malwan,,,
Sindhudurg,2021,Vengurla,,,
Sindhudurg,2021,Kudal,,,
Sindhudurg,2021,Savantwadi,,,
Sindhudurg,2021,Dodamarg,,,
Thane,2018,Thane,111574.0,7.53,753000.0
Thane,2018,Bhivandi,111574.0,7.53,753000.0
Thane,2018,Shahapur,111574.0,7.53,753000.0
Thane,2018,Kalyan,111574.0,7.53,753000.0
Thane,2018,Ulhasnagar,111574.0,7.53,753000.0
Thane,2018,Ambarnath,111574.0,7.53,753000.0
Thane,2018,Murbad,111574.0,7.53,753000.0
Thane,2019,Thane,203797.0,11.42,1142000.0
Thane,2019,Bhivandi,203797.0,11.42,1142000.0
Thane,2019,Shahapur,203797.0,11.42,1142000.0
Thane,2019,Kalyan,203797.0,11.42,1142000.0
Thane,2019,Ulhasnagar,203797.0,11.42,1142000.0
Thane,2019,Ambarnath,203797.0,11.42,1142000.0
Thane,2019,Murbad,203797.0,11.42,1142000.0
Thane,2020,Thane,289392.0,17.41,1741000.0
Thane,2020,Bhivandi,289392.0,17.41,1741000.0
Thane,2020,Shahapur,289392.0,17.41,1741000.0
Thane,2020,Kalyan,289392.0,17.41,1741000.0
Thane,2020,Ulhasnagar,289392.0,17.41,1741000.0
Thane,2020,Ambarnath,289392.0,17.41,1741000.0
Thane,2020,Murbad,289392.0,17.41,1741000.0
Thane,2021,Thane,190013.0,11.51,1151000.0
Thane,2021,Bhivandi,190013.0,11.51,1151000.0
Thane,2021,Shahapur,190013.0,11.51,1151000.0
Thane,2021,Kalyan,190013.0,11.51,1151000.0
Thane,2021,Ulhasnagar,190013.0,11.51,1151000.0
Thane,2021,Ambarnath,190013.0,11.51,1151000.0
Thane,2021,Murbad,190013.0,11.51,1151000.0
Wardha,2018,Ashti,108.0,0.00246,246.0
Wardha,2018,Karanja,122.0,0.00493,493.0
Wardha,2018,Aarvi,134.0,0.00522,522.0
Wardha,2018,Selu,343.0,0.00946,946.0
Wardha,2018,Wardha,1533.0,0.05715,5715.0
Wardha,2018,Devali,542.0,0.02454,2454.0
Wardha,2018,Hinganghat,445.0,0.01533,1533.0
Wardha,2018,Samudrapur,117.0,0.00347,347.0
Wardha,2019,Ashti,303.0,0.00968,968.0
Wardha,2019,Karanja,208.0,0.00693,693.0
Wardha,2019,Aarvi,296.0,0.00813,813.0
Wardha,2019,Selu,470.0,0.01873,1873.0
Wardha,2019,Wardha,2522.0,0.08432,8432.0
Wardha,2019,Devali,775.0,0.02631,2631.0
Wardha,2019,Hinganghat,649.0,0.02093,2093.0
Wardha,2019,Samudrapur,298.0,0.03218,3218.0
Wardha,2020,Ashti,321.0,0.0155,1550.0
Wardha,2020,Karanja,220.0,0.00708,708.0
Wardha,2020,Aarvi,312.0,0.00899,899.0
Wardha,2020,Selu,501.0,0.01949,1949.0
Wardha,2020,Wardha,3096.0,0.08688,8688.0
Wardha,2020,Devali,793.0,0.0266,2660.0
Wardha,2020,Hinganghat,673.0,0.02158,2158.0
Wardha,2020,Samudrapur,314.0,0.0324,3240.0
Wardha,2021,Ashti,242.0,0.01165,1165.0
Wardha,2021,Karanja,353.0,0.01177,1177.0
Wardha,2021,Aarvi,643.0,0.01883,1883.0
Wardha,2021,Selu,481.0,0.01847,1847.0
Wardha,2021,Wardha,3907.0,0.14233,14233.0
Wardha,2021,Devali,845.0,0.02782,2782.0
Wardha,2021,Hinganghat,1107.0,0.0531,5310.0
Wardha,2021,Samudrapur,540.0,0.03474,3474.0
Washim,2018,Malegaon,,,
Washim,2018,Mangrulpir,,,
Washim,2018,Karanja,,,
Washim,2018,Manora,,,
Washim,2018,Washim,,,
Washim,2018,Resod,,,
Washim,2019,Malegaon,19.0,0.00081,81.0
Washim,2019,Mangrulpir,24.0,0.00096,96.0
Washim,2019,Karanja,39.0,0.00131,131.0
Washim,2019,Manora,1.0,2e-05,2.0
Washim,2019,Washim,64.0,0.00177,177.0
Washim,2019,Resod,53.0,0.00409,409.0
Washim,2020,Malegaon,19.0,0.00081,81.0
Washim,2020,Mangrulpir,24.0,0.00096,96.0
Washim,2020,Karanja,39.0,0.00131,131.0
Washim,2020,Manora,1.0,2e-05,2.0
Washim,2020,Washim,64.0,0.00177,177.0
Washim,2020,Resod,53.0,0.00409,409.0
Washim,2021,Malegaon,29.0,0.0096,960.0
Washim,2021,Mangrulpir,35.0,0.0125,1250.0
Washim,2021,Karanja,51.0,0.02495,2495.0
Washim,2021,Manora,6.0,0.0078,780.0
Washim,2021,Washim,83.0,0.00387,387.0
Washim,2021,Resod,66.0,0.001426,142.6
Yavatmal,2018,Ner,107.0,0.47,47000.0
Yavatmal,2018,Babhulgaon,19.0,0.08,8000.0
Yavatmal,2018,Kalamb,78.0,0.34,34000.0
Yavatmal,2018,Yavatmal,481.0,2.12,212000.0
Yavatmal,2018,Darvha,153.0,0.67,67000.0
Yavatmal,2018,Digras,171.0,0.75,75000.0
Yavatmal,2018,Pusad,258.0,1.14,114000.0
Yavatmal,2018,Umarkhed,51.0,0.22,22000.0
Yavatmal,2018,Mahagaon,65.0,0.29,29000.0
Yavatmal,2018,Aarni,47.0,0.21,21000.0
Yavatmal,2018,Ghantaji,57.0,0.25,25000.0
Yavatmal,2018,Kelapur,213.0,0.94,94000.0
Yavatmal,2018,Ralegaon,53.0,0.23,23000.0
Yavatmal,2018,Maregaon,31.0,0.14,14000.0
Yavatmal,2018,Zari Jamani,15.0,0.07,7000.0
Yavatmal,2018,Vani,387.0,1.7,170000.0
Yavatmal,2019,Ner,117.0,0.52,52000.0
Yavatmal,2019,Babhulgaon,21.0,0.09,9000.0
Yavatmal,2019,Kalamb,85.0,0.38,38000.0
Yavatmal,2019,Yavatmal,593.0,2.61,261000.0
Yavatmal,2019,Darvha,153.0,0.67,67000.0
Yavatmal,2019,Digras,171.0,0.75,75000.0
Yavatmal,2019,Pusad,258.0,1.14,114000.0
Yavatmal,2019,Umarkhed,51.0,0.22,22000.0
Yavatmal,2019,Mahagaon,71.0,0.31,31000.0
Yavatmal,2019,Aarni,47.0,0.21,21000.0
Yavatmal,2019,Ghantaji,57.0,0.25,25000.0
Yavatmal,2019,Kelapur,317.0,1.39,139000.0
Yavatmal,2019,Ralegaon,53.0,0.23,23000.0
Yavatmal,2019,Maregaon,31.0,0.14,14000.0
Yavatmal,2019,Zari Jamani,15.0,0.07,7000.0
Yavatmal,2019,Vani,409.0,1.8,180000.0
Yavatmal,2020,Ner,121.0,0.53,53000.0
Yavatmal,2020,Babhulgaon,23.0,0.1,10000.0
Yavatmal,2020,Kalamb,96.0,0.42,42000.0
Yavatmal,2020,Yavatmal,739.0,3.25,325000.0
Yavatmal,2020,Darvha,167.0,0.74,74000.0
Yavatmal,2020,Digras,186.0,0.82,82000.0
Yavatmal,2020,Pusad,269.0,1.18,118000.0
Yavatmal,2020,Umarkhed,53.0,0.24,24000.0
Yavatmal,2020,Mahagaon,79.0,0.35,35000.0
Yavatmal,2020,Aarni,53.0,0.23,23000.0
Yavatmal,2020,Ghantaji,61.0,0.27,27000.0
Yavatmal,2020,Kelapur,329.0,1.45,145000.0
Yavatmal,2020,Ralegaon,61.0,0.27,27000.0
Yavatmal,2020,Maregaon,35.0,0.15,15000.0
Yavatmal,2020,Zari Jamani,21.0,0.09,9000.0
Yavatmal,2020,Vani,437.0,1.92,192000.0
Yavatmal,2021,Ner,121.0,0.53,53000.0
Yavatmal,2021,Babhulgaon,23.0,0.1,10000.0
Yavatmal,2021,Kalamb,96.0,0.42,42000.0
Yavatmal,2021,Yavatmal,893.0,3.93,393000.0
Yavatmal,2021,Darvha,167.0,0.73,73000.0
Yavatmal,2021,Digras,186.0,0.82,82000.0
Yavatmal,2021,Pusad,269.0,1.18,118000.0
Yavatmal,2021,Umarkhed,53.0,0.24,24000.0
Yavatmal,2021,Mahagaon,79.0,0.35,35000.0
Yavatmal,2021,Aarni,68.0,0.3,30000.0
Yavatmal,2021,Ghantaji,108.0,0.48,48000.0
Yavatmal,2021,Kelapur,409.0,1.8,180000.0
Yavatmal,2021,Ralegaon,61.0,0.27,27000.0
Yavatmal,2021,Maregaon,35.0,0.15,15000.0
Yavatmal,2021,Zari Jamani,21.0,0.09,9000.0
Yavatmal,2021,Vani,581.0,2.56,256000.0
