District,Year,Taluka,Number of MSME Industries,Number of employees (in Lakh),Number of Employees
Buldana,2021,Mehkar,1334.0,0.04353,4353.0
Buldana,2021,Chikhali,1420.0,0.06642,6642.0
Buldana,2021,Buldana,1933.0,0.03925,3925.0
Buldana,2021,Deulgaon Raja,472.0,0.01865,1865.0
Buldana,2021,Sindkhed Raja,464.0,0.02145,2145.0
Buldana,2021,Lonar,540.0,0.02055,2055.0
Chandrapur,2018,Varora,135.0,507.0,50700000.0
Chandrapur,2018,Chimur,110.0,371.0,37100000.0
Chandrapur,2018,Nagbhid,117.0,342.0,34200000.0
Chandrapur,2018,Bramhapuri,151.0,437.0,43700000.0
Chandrapur,2018,Savali,30.0,71.0,7100000.0
Chandrapur,2018,Sindevahi,51.0,176.0,17600000.0
Chandrapur,2018,Bhadravati,114.0,493.0,49300000.0
Chandrapur,2018,Chandrapur,1568.0,5824.0,582400000.0
Chandrapur,2018,Mul,616.0,1180.0,118000000.0
Chandrapur,2018,Ponbhurna,75.0,168.0,16800000.0
Chandrapur,2018,Ballarpur,104.0,397.0,39700000.0
Chandrapur,2018,Korpana,62.0,317.0,31700000.0
Chandrapur,2018,Rajura,74.0,238.0,23800000.0
Chandrapur,2018,Gondpipari,43.0,77.0,7700000.0
Chandrapur,2018,Jivati,36.0,63.0,6300000.0
Chandrapur,2019,Varora,134.0,584.0,58400000.0
Chandrapur,2019,Chimur,73.0,333.0,33300000.0
Chandrapur,2019,Nagbhid,51.0,174.0,17400000.0
Chandrapur,2019,Bramhapuri,178.0,515.0,51500000.0
Chandrapur,2019,Savali,88.0,203.0,20300000.0
Chandrapur,2019,Sindevahi,46.0,225.0,22500000.0
Chandrapur,2019,Bhadravati,187.0,907.0,90700000.0
Chandrapur,2019,Chandrapur,1111.0,4041.0,404100000.0
Chandrapur,2019,Mul,108.0,470.0,47000000.0
Chandrapur,2019,Ponbhurna,16.0,50.0,5000000.0
Chandrapur,2019,Ballarpur,149.0,560.0,56000000.0
Chandrapur,2019,Korpana,41.0,88.0,8800000.0
Chandrapur,2019,Rajura,103.0,490.0,49000000.0
Chandrapur,2019,Gondpipari,80.0,219.0,21900000.0
Chandrapur,2019,Jivati,75.0,337.0,33700000.0
Chandrapur,2020,Varora,761.0,0.03078,3078.0
Chandrapur,2020,Chimur,309.0,0.0094,940.0
Chandrapur,2020,Nagbhid,267.0,0.01172,1172.0
Chandrapur,2020,Bramhapuri,650.0,0.02206,2206.0
Chandrapur,2020,Savali,228.0,0.00829,829.0
Chandrapur,2020,Sindevahi,305.0,0.00977,977.0
Chandrapur,2020,Bhadravati,608.0,0.03212,3212.0
Chandrapur,2020,Chandrapur,4691.0,0.24634,24634.0
Chandrapur,2020,Mul,623.0,0.02538,2538.0
Chandrapur,2020,Ponbhurna,97.0,0.00336,336.0
Chandrapur,2020,Ballarpur,952.0,0.03274,3274.0
Chandrapur,2020,Korpana,286.0,0.04034,4034.0
Chandrapur,2020,Rajura,305.0,0.0102,1020.0
Chandrapur,2020,Gondpipari,359.0,0.01025,1025.0
Chandrapur,2020,Jivati,56.0,0.00186,186.0
Chandrapur,2021,Varora,600.0,0.047,4700.0
Chandrapur,2021,Chimur,845.0,0.097,9700.0
Chandrapur,2021,Nagbhid,800.0,0.046,4600.0
Chandrapur,2021,Bramhapuri,750.0,0.055,5500.0
Chandrapur,2021,Savali,400.0,0.012,1200.0
Chandrapur,2021,Sindevahi,314.0,0.029,2900.0
Chandrapur,2021,Bhadravati,850.0,0.091,9100.0
Chandrapur,2021,Chandrapur,1500.0,0.199,19900.0
Chandrapur,2021,Mul,450.0,0.013,1300.0
Chandrapur,2021,Ponbhurna,230.0,0.013,1300.0
Chandrapur,2021,Ballarpur,700.0,0.029,2900.0
Chandrapur,2021,Korpana,301.0,0.019,1900.0
Chandrapur,2021,Rajura,100.0,0.007,700.0
Chandrapur,2021,Gondpipari,450.0,0.013,1300.0
Chandrapur,2021,Jivati,15.0,0.001,100.0
Dhule,2018,Shirpur,201.0,411.0,41100000.0
Dhule,2018,Shindkheda,154.0,612.0,61200000.0
Dhule,2018,Sakri,364.0,817.0,81700000.0
Dhule,2018,Dhule,1373.0,4991.0,499100000.0
Dhule,2019,Shirpur,168.0,507.0,50700000.0
Dhule,2019,Shindkheda,330.0,1541.0,154100000.0
Dhule,2019,Sakri,426.0,1514.0,151400000.0
Dhule,2019,Dhule,1422.0,5022.0,502200000.0
Dhule,2020,Shirpur,893.0,4843.0,484300000.0
Dhule,2020,Shindkheda,304.0,1309.0,130900000.0
Dhule,2020,Sakri,710.0,4340.0,434000000.0
Dhule,2020,Dhule,2804.0,12219.0,1221900000.0
Dhule,2021,Shirpur,273.0,2593.0,259300000.0
Dhule,2021,Shindkheda,136.0,799.0,79900000.0
Dhule,2021,Sakri,315.0,1290.0,129000000.0
Dhule,2021,Dhule,1065.0,5631.0,563100000.0
Gadchiroli,2018,Desaiganj,170.0,0.0062,620.0
Gadchiroli,2018,Aarmori,103.0,0.0044,440.0
Gadchiroli,2018,Kurkheda,100.0,0.00506,506.0
Gadchiroli,2018,Korachi,17.0,0.00051,51.0
Gadchiroli,2018,Dhanora,33.0,0.00102,102.0
Gadchiroli,2018,Gadchiroli,327.0,0.01073,1073.0
Gadchiroli,2018,Chomoshi,478.0,0.01603,1603.0
Gadchiroli,2018,Mulchera,254.0,0.0066,660.0
Gadchiroli,2018,Etapalli,133.0,0.00255,255.0
Gadchiroli,2018,Bhamragad,85.0,0.00192,192.0
Gadchiroli,2018,Aheri,277.0,0.00769,769.0
Gadchiroli,2018,Sironcha,41.0,0.0018,180.0
Gadchiroli,2019,Desaiganj,1377.0,0.04228,4228.0
Gadchiroli,2019,Aarmori,1210.0,0.02996,2996.0
Gadchiroli,2019,Kurkheda,919.0,0.02602,2602.0
Gadchiroli,2019,Korachi,172.0,0.00709,709.0
Gadchiroli,2019,Dhanora,730.0,0.01892,1892.0
Gadchiroli,2019,Gadchiroli,2040.0,0.0849,8490.0
Gadchiroli,2019,Chomoshi,7407.0,0.0728,7280.0
Gadchiroli,2019,Mulchera,1162.0,0.03272,3272.0
Gadchiroli,2019,Etapalli,994.0,0.01713,1713.0
Gadchiroli,2019,Bhamragad,369.0,0.00678,678.0
Gadchiroli,2019,Aheri,1286.0,0.04266,4266.0
Gadchiroli,2019,Sironcha,382.0,0.01149,1149.0
Gadchiroli,2020,Desaiganj,1696.0,0.05538,5538.0
Gadchiroli,2020,Aarmori,1376.0,0.03474,3474.0
Gadchiroli,2020,Kurkheda,1045.0,0.03089,3089.0
Gadchiroli,2020,Korachi,210.0,0.00823,823.0
Gadchiroli,2020,Dhanora,764.0,0.02014,2014.0
Gadchiroli,2020,Gadchiroli,2481.0,0.10757,10757.0
Gadchiroli,2020,Chomoshi,7808.0,0.08979,8979.0
Gadchiroli,2020,Mulchera,1217.0,0.03467,3467.0
Gadchiroli,2020,Etapalli,1032.0,0.01833,1833.0
Gadchiroli,2020,Bhamragad,398.0,0.00832,832.0
Gadchiroli,2020,Aheri,1539.0,0.05276,5276.0
Gadchiroli,2020,Sironcha,452.0,0.01965,1965.0
Gadchiroli,2021,Desaiganj,2196.0,0.08159,8159.0
Gadchiroli,2021,Aarmori,1601.0,0.04197,4197.0
Gadchiroli,2021,Kurkheda,1292.0,0.03912,3912.0
Gadchiroli,2021,Korachi,251.0,0.00924,924.0
Gadchiroli,2021,Dhanora,843.0,0.02209,2209.0
Gadchiroli,2021,Gadchiroli,3169.0,0.16304,16304.0
Gadchiroli,2021,Chomoshi,8310.0,0.10556,10556.0
Gadchiroli,2021,Mulchera,1300.0,0.03811,3811.0
Gadchiroli,2021,Etapalli,1119.0,0.02187,2187.0
Gadchiroli,2021,Bhamragad,424.0,0.00901,901.0
Gadchiroli,2021,Aheri,2126.0,0.12615,12615.0
Gadchiroli,2021,Sironcha,619.0,0.02664,2664.0
Gondia,2018,Tiroda,1620.0,0.05931,5931.0
Gondia,2018,Goregaon,445.0,0.00813,813.0
Gondia,2018,Gondia,3578.0,0.1879,18790.0
Gondia,2018,Aamgaon,929.0,0.01153,1153.0
Gondia,2018,Salekasa,314.0,0.00721,721.0
Gondia,2018,Sadak Arjuni,398.0,0.00986,986.0
Gondia,2018,Arjuni Morgaon,375.0,0.00426,426.0
Gondia,2018,Devari,374.0,0.00542,542.0
Gondia,2019,Tiroda,1728.0,0.06331,6331.0
Gondia,2019,Goregaon,930.0,0.00993,993.0
Gondia,2019,Gondia,4599.0,0.1979,19790.0
Gondia,2019,Aamgaon,1130.0,0.01653,1653.0
Gondia,2019,Salekasa,487.0,0.00921,921.0
Gondia,2019,Sadak Arjuni,499.0,0.01086,1086.0
Gondia,2019,Arjuni Morgaon,764.0,0.00792,792.0
Gondia,2019,Devari,423.0,0.00547,547.0
Gondia,2020,Tiroda,1942.0,0.0703,7030.0
Gondia,2020,Goregaon,1047.0,0.01022,1022.0
Gondia,2020,Gondia,4930.0,0.21843,21843.0
Gondia,2020,Aamgaon,1426.0,0.01241,1241.0
Gondia,2020,Salekasa,768.0,0.00997,997.0
Gondia,2020,Sadak Arjuni,563.0,0.01165,1165.0
Gondia,2020,Arjuni Morgaon,867.0,0.00843,843.0
Gondia,2020,Devari,519.0,0.00738,738.0
Gondia,2021,Tiroda,5147.0,0.36029,36029.0
Gondia,2021,Goregaon,2536.0,0.17752,17752.0
Gondia,2021,Gondia,12642.0,0.88494,88494.0
Gondia,2021,Aamgaon,2679.0,0.18753,18753.0
Gondia,2021,Salekasa,1191.0,0.08337,8337.0
Gondia,2021,Sadak Arjuni,1038.0,0.07266,7266.0
Gondia,2021,Arjuni Morgaon,1467.0,0.10269,10269.0
Gondia,2021,Devari,1053.0,0.07371,7371.0
Hingoli,2018,Sengaon,437.0,0.00769,769.0
Hingoli,2018,Hingoli,1785.0,0.02928,2928.0
Hingoli,2018,Aundha Na,385.0,0.00907,907.0
Hingoli,2018,Kalamanuri,905.0,0.012,1200.0
Hingoli,2018,Vasamat,930.0,0.0124,1240.0
Hingoli,2019,Sengaon,1117.0,0.0109,1090.0
Hingoli,2019,Hingoli,3240.0,0.032,3200.0
Hingoli,2019,Aundha Na,940.0,0.0113,1130.0
Hingoli,2019,Kalamanuri,1025.0,0.018,1800.0
Hingoli,2019,Vasamat,1050.0,0.01933,1933.0
Hingoli,2020,Sengaon,,,0.0
Hingoli,2020,Hingoli,,,0.0
Hingoli,2020,Aundha Na,,,0.0
Hingoli,2020,Kalamanuri,,,0.0
Hingoli,2020,Vasamat,,,0.0
Hingoli,2021,Sengaon,1192.0,0.04172,4172.0
Hingoli,2021,Hingoli,3360.0,0.11521,11521.0
Hingoli,2021,Aundha Na,1060.0,0.0371,3710.0
Hingoli,2021,Kalamanuri,1145.0,0.04007,4007.0
Hingoli,2021,Vasamat,1237.0,0.0433,4330.0
Jalna,2018,Bhokardan,,,0.0
Jalna,2018,Jaffrabad,,,0.0
Jalna,2018,Jalna,,,0.0
Jalna,2018,Badnapur,,,0.0
Jalna,2018,Ambad,,,0.0
Jalna,2018,Ghansawangi,,,0.0
Jalna,2018,Partur,,,0.0
Jalna,2018,Mantha,,,0.0
Jalna,2019,Bhokardan,2901.0,0.13,13000.0
Jalna,2019,Jaffrabad,1890.0,0.09,9000.0
Jalna,2019,Jalna,9655.0,0.41,41000.0
Jalna,2019,Badnapur,2150.0,0.1,10000.0
Jalna,2019,Ambad,2350.0,0.1,10000.0
Jalna,2019,Ghansawangi,1560.0,0.06,6000.0
Jalna,2019,Partur,3100.0,0.13,13000.0
Jalna,2019,Mantha,1804.0,0.07,7000.0
Jalna,2020,Bhokardan,4608.0,0.2,20000.0
Jalna,2020,Jaffrabad,2940.0,0.14,14000.0
Jalna,2020,Jalna,15332.0,0.64,64000.0
Jalna,2020,Badnapur,3417.0,0.15,15000.0
Jalna,2020,Ambad,3735.0,0.15,15000.0
Jalna,2020,Ghansawangi,2479.0,0.1,10000.0
Jalna,2020,Partur,5006.0,0.2,20000.0
Jalna,2020,Mantha,2867.0,0.11,11000.0
Jalna,2021,Bhokardan,5304.0,0.21,21000.0
Jalna,2021,Jaffrabad,3645.0,0.14,14000.0
Jalna,2021,Jalna,16524.0,0.76,76000.0
Jalna,2021,Badnapur,4120.0,0.16,16000.0
Jalna,2021,Ambad,4412.0,0.17,17000.0
Jalna,2021,Ghansawangi,3035.0,0.11,11000.0
Jalna,2021,Partur,5610.0,0.22,22000.0
Jalna,2021,Mantha,3125.0,0.13,13000.0
Kolhapur,2018,Shahuwadi,212.0,0.01,1000.0
Kolhapur,2018,Panhala,689.0,0.03,3000.0
Kolhapur,2018,Hatkanangale,18888.0,1.07,107000.0
Kolhapur,2018,Shirol,3274.0,0.19,19000.0
Kolhapur,2018,Karveer,9628.0,0.35,35000.0
Kolhapur,2018,Gaganbavada,41.0,0.0,0.0
Kolhapur,2018,Radhanagari,520.0,0.03,3000.0
Kolhapur,2018,Kagal,1611.0,0.09,9000.0
Kolhapur,2018,Bhudargad,418.0,0.02,2000.0
