District,Year,Select Industry,Govt. Employees,Semi-Govt. Employees,Private Employees
Parbhani,2017,"Finance, Insurance, Real Estate And Trade Services",3780.0,7400,7220
Parbhani,2017,"Collective, Social And Individual Service",2959.0,155,238
Parbhani,2018,Agriculture,804.0,82,20
Parbhani,2018,Mining,0.0,0,0
Parbhani,2018,Commodity Manufacturing,0.0,0,22
Parbhani,2018,"Electricity Generation, Gas, Water And Sewage Services",1648.0,1591,42
Parbhani,2018,Construction,69.0,0,76
Parbhani,2018,Wholesale And Retail Trade And Hotel Business,328.0,3310,192
Parbhani,2018,"Transportation, Warehousing And Transportation",8140.0,3310,1632
Parbhani,2018,"Finance, Insurance, Real Estate And Trade Services",3809.0,7560,7540
Parbhani,2018,"Collective, Social And Individual Service",3010.0,168,280
Parbhani,2019,Agriculture,782.0,88,27
Parbhani,2019,Mining,0.0,0,0
Parbhani,2019,Commodity Manufacturing,0.0,0,20
Parbhani,2019,"Electricity Generation, Gas, Water And Sewage Services",1652.0,1573,49
Parbhani,2019,Construction,50.0,0,80
Parbhani,2019,Wholesale And Retail Trade And Hotel Business,58.0,0,170
Parbhani,2019,"Transportation, Warehousing And Transportation",8047.0,3345,1643
Parbhani,2019,"Finance, Insurance, Real Estate And Trade Services",3893.0,7603,7689
Parbhani,2019,"Collective, Social And Individual Service",3174.0,210,274
Parbhani,2020,Agriculture,773.0,92,29
Parbhani,2020,Mining,0.0,0,0
Parbhani,2020,Commodity Manufacturing,0.0,0,32
Parbhani,2020,"Electricity Generation, Gas, Water And Sewage Services",1666.0,1597,52
Parbhani,2020,Construction,43.0,0,94
Parbhani,2020,Wholesale And Retail Trade And Hotel Business,82.0,0,182
Parbhani,2020,"Transportation, Warehousing And Transportation",8220.0,3380,1654
Parbhani,2020,"Finance, Insurance, Real Estate And Trade Services",4010.0,7912,7710
Parbhani,2020,"Collective, Social And Individual Service",3403.0,278,298
Parbhani,2021,Agriculture,773.0,96,40
Parbhani,2021,Mining,0.0,0,0
Parbhani,2021,Commodity Manufacturing,0.0,0,49
Parbhani,2021,"Electricity Generation, Gas, Water And Sewage Services",1666.0,1608,52
