District,Year,Select Industry,Govt. Employees,Semi-Govt. Employees,Private Employees
Akola,2019,"Transportation, Warehousing And Transportation",450.0,4860,110
Akola,2019,"Finance, Insurance, Real Estate And Trade Services",3450.0,0,2435
Akola,2019,"Collective, Social And Individual Service",7930.0,10350,14998
Akola,2020,Agriculture,950.0,110,58
Akola,2020,Mining,22.0,0,0
Akola,2020,Commodity Manufacturing,350.0,0,2013
Akola,2020,"Electricity Generation, Gas, Water And Sewage Services",195.0,2445,0
Akola,2020,Construction,1355.0,348,0
Akola,2020,Wholesale And Retail Trade And Hotel Business,535.0,170,548
Akola,2020,"Transportation, Warehousing And Transportation",450.0,4860,127
Akola,2020,"Finance, Insurance, Real Estate And Trade Services",3450.0,0,2469
Akola,2020,"Collective, Social And Individual Service",7930.0,10350,15216
Akola,2021,Agriculture,950.0,110,50
Akola,2021,Mining,22.0,0,0
Akola,2021,Commodity Manufacturing,350.0,0,1950
Akola,2021,"Electricity Generation, Gas, Water And Sewage Services",250.0,2530,0
Akola,2021,Construction,1355.0,348,0
Akola,2021,Wholesale And Retail Trade And Hotel Business,0.0,0,1468
Akola,2021,"Transportation, Warehousing And Transportation",450.0,4860,110
Akola,2021,"Finance, Insurance, Real Estate And Trade Services",3450.0,0,2448
Akola,2021,"Collective, Social And Individual Service",7930.0,10350,14998
Amravati,2012,Agriculture,2294.0,113,79
Amravati,2012,Mining,122.0,93,2218
Amravati,2012,Commodity Manufacturing,0.0,152,3112
Amravati,2012,"Electricity Generation, Gas, Water And Sewage Services",4258.0,3918,180
Amravati,2012,Construction,4087.0,1792,337
Amravati,2012,Wholesale And Retail Trade And Hotel Business,0.0,3106,2792
Amravati,2012,"Transportation, Warehousing And Transportation",923.0,2972,713
Amravati,2012,"Finance, Insurance, Real Estate And Trade Services",414.0,4008,1211
Amravati,2012,"Collective, Social And Individual Service",13234.0,8786,12538
Amravati,2013,Agriculture,2499.0,113,79
Amravati,2013,Mining,197.0,93,2218
Amravati,2013,Commodity Manufacturing,0.0,144,3112
Amravati,2013,"Electricity Generation, Gas, Water And Sewage Services",4352.0,3054,180
Amravati,2013,Construction,4190.0,1732,337
Amravati,2013,Wholesale And Retail Trade And Hotel Business,0.0,3326,2792
Amravati,2013,"Transportation, Warehousing And Transportation",1031.0,3192,713
Amravati,2013,"Finance, Insurance, Real Estate And Trade Services",516.0,3398,1083
Amravati,2013,"Collective, Social And Individual Service",13307.0,7697,12538
Amravati,2014,Agriculture,2624.0,119,83
Amravati,2014,Mining,207.0,97,2329
Amravati,2014,Commodity Manufacturing,0.0,151,3267
Amravati,2014,"Electricity Generation, Gas, Water And Sewage Services",4569.0,3207,189
Amravati,2014,Construction,4399.0,1839,354
Amravati,2014,Wholesale And Retail Trade And Hotel Business,0.0,3492,2931
Amravati,2014,"Transportation, Warehousing And Transportation",1082.0,3351,749
Amravati,2014,"Finance, Insurance, Real Estate And Trade Services",542.0,3568,1137
Amravati,2014,"Collective, Social And Individual Service",14025.0,8108,13242
Amravati,2015,Agriculture,2772.0,168,84
Amravati,2015,Mining,187.0,98,2317
Amravati,2015,Commodity Manufacturing,0.0,172,3236
Amravati,2015,"Electricity Generation, Gas, Water And Sewage Services",4617.0,3289,187
Amravati,2015,Construction,4012.0,1856,345
Amravati,2015,Wholesale And Retail Trade And Hotel Business,0.0,3820,2716
Amravati,2015,"Transportation, Warehousing And Transportation",982.0,3651,712
Amravati,2015,"Finance, Insurance, Real Estate And Trade Services",498.0,3601,1017
Amravati,2015,"Collective, Social And Individual Service",20935.0,15446,13122
Amravati,2016,Agriculture,2776.0,176,96
Amravati,2016,Mining,189.0,99,2396
Amravati,2016,Commodity Manufacturing,0.0,186,3276
Amravati,2016,"Electricity Generation, Gas, Water And Sewage Services",4623.0,3293,202
Amravati,2016,Construction,4014.0,1866,356
Amravati,2016,Wholesale And Retail Trade And Hotel Business,0.0,3825,2777
Amravati,2016,"Transportation, Warehousing And Transportation",984.0,3662,746
Amravati,2016,"Finance, Insurance, Real Estate And Trade Services",506.0,3615,1108
Amravati,2016,"Collective, Social And Individual Service",20966.0,15458,13146
Amravati,2017,Agriculture,2899.0,173,98
Amravati,2017,Mining,196.0,97,2409
Amravati,2017,Commodity Manufacturing,1.0,182,3310
Amravati,2017,"Electricity Generation, Gas, Water And Sewage Services",4816.0,3280,207
Amravati,2017,Construction,4188.0,1855,359
Amravati,2017,Wholesale And Retail Trade And Hotel Business,2.0,3806,2800
Amravati,2017,"Transportation, Warehousing And Transportation",1021.0,3645,752
Amravati,2017,"Finance, Insurance, Real Estate And Trade Services",528.0,3599,1117
Amravati,2017,"Collective, Social And Individual Service",21350.0,15364,13249
Amravati,2018,Agriculture,2927.0,174,99
Amravati,2018,Mining,197.0,98,2433
Amravati,2018,Commodity Manufacturing,2.0,104,3343
Amravati,2018,"Electricity Generation, Gas, Water And Sewage Services",4864.0,3312,209
Amravati,2018,Construction,4229.0,1873,362
Amravati,2018,Wholesale And Retail Trade And Hotel Business,3.0,3844,2828
Amravati,2018,"Transportation, Warehousing And Transportation",1031.0,3681,759
Amravati,2018,"Finance, Insurance, Real Estate And Trade Services",533.0,3634,1128
Amravati,2018,"Collective, Social And Individual Service",21563.0,15517,13381
Amravati,2019,Agriculture,2223.0,147,92
Amravati,2019,Mining,127.0,91,2006
Amravati,2019,Commodity Manufacturing,2.0,94,2703
Amravati,2019,"Electricity Generation, Gas, Water And Sewage Services",3961.0,2769,194
Amravati,2019,Construction,3721.0,1573,292
Amravati,2019,Wholesale And Retail Trade And Hotel Business,3.0,3104,2228
Amravati,2019,"Transportation, Warehousing And Transportation",861.0,3141,489
Amravati,2019,"Finance, Insurance, Real Estate And Trade Services",373.0,2878,713
Amravati,2019,"Collective, Social And Individual Service",18063.0,11211,8661
Amravati,2020,Agriculture,2219.0,146,94
Amravati,2020,Mining,128.0,90,2005
Amravati,2020,Commodity Manufacturing,3.0,92,2697
Amravati,2020,"Electricity Generation, Gas, Water And Sewage Services",3959.0,2768,195
Amravati,2020,Construction,3722.0,1572,291
Amravati,2020,Wholesale And Retail Trade And Hotel Business,3.0,3105,2221
Amravati,2020,"Transportation, Warehousing And Transportation",860.0,3142,484
Amravati,2020,"Finance, Insurance, Real Estate And Trade Services",371.0,2877,711
Amravati,2020,"Collective, Social And Individual Service",18059.0,11213,8659
Amravati,2021,Agriculture,2219.0,146,94
Amravati,2021,Mining,128.0,90,2004
Amravati,2021,Commodity Manufacturing,3.0,94,2693
Amravati,2021,"Electricity Generation, Gas, Water And Sewage Services",3959.0,2768,196
Amravati,2021,Construction,3723.0,1573,290
Amravati,2021,Wholesale And Retail Trade And Hotel Business,3.0,3106,2216
Amravati,2021,"Transportation, Warehousing And Transportation",861.0,3143,483
Amravati,2021,"Finance, Insurance, Real Estate And Trade Services",371.0,2878,712
Amravati,2021,"Collective, Social And Individual Service",18059.0,11215,8656
Beed,2013,Agriculture,469.0,0,733
Beed,2013,Mining,0.0,0,51
Beed,2013,Commodity Manufacturing,0.0,0,0
Beed,2013,"Electricity Generation, Gas, Water And Sewage Services",7.0,0,0
Beed,2013,Construction,0.0,0,0
Beed,2013,Wholesale And Retail Trade And Hotel Business,0.0,3079,149
Beed,2013,"Transportation, Warehousing And Transportation",257.0,14,0
Beed,2013,"Finance, Insurance, Real Estate And Trade Services",78.0,0,1964
Beed,2013,"Collective, Social And Individual Service",0.0,0,0
Beed,2014,Agriculture,469.0,0,743
Beed,2014,Mining,0.0,0,0
Beed,2014,Commodity Manufacturing,0.0,0,0
Beed,2014,"Electricity Generation, Gas, Water And Sewage Services",7.0,0,0
Beed,2014,Construction,0.0,0,0
Beed,2014,Wholesale And Retail Trade And Hotel Business,0.0,3079,159
Beed,2014,"Transportation, Warehousing And Transportation",257.0,14,0
Beed,2014,"Finance, Insurance, Real Estate And Trade Services",78.0,0,1974
Beed,2014,"Collective, Social And Individual Service",0.0,0,0
Beed,2015,Agriculture,1273.0,481,1166
Beed,2015,Mining,119.0,450,5393
Beed,2015,Commodity Manufacturing,101.0,14518,214
Beed,2015,"Electricity Generation, Gas, Water And Sewage Services",104.0,1086,106
Beed,2015,Construction,61.0,481,195
Beed,2015,Wholesale And Retail Trade And Hotel Business,737.0,450,95
Beed,2015,"Transportation, Warehousing And Transportation",871.0,1086,340
Beed,2015,"Finance, Insurance, Real Estate And Trade Services",3085.0,110,2331
Beed,2015,"Collective, Social And Individual Service",88.0,16720,820
Beed,2016,Agriculture,612.0,0,381
Beed,2016,Mining,0.0,0,0
Beed,2016,Commodity Manufacturing,0.0,0,214
Beed,2016,"Electricity Generation, Gas, Water And Sewage Services",0.0,0,380
Beed,2016,Construction,300.0,0,0
Beed,2016,Wholesale And Retail Trade And Hotel Business,0.0,0,25000
Beed,2016,"Transportation, Warehousing And Transportation",16.0,991,376
Beed,2016,"Finance, Insurance, Real Estate And Trade Services",300.0,3080,2401
Beed,2016,"Collective, Social And Individual Service",188.0,200,580
Beed,2017,Agriculture,1279.0,481,1166
Beed,2017,Mining,119.0,450,5393
Beed,2017,Commodity Manufacturing,101.0,14518,214
Beed,2017,"Electricity Generation, Gas, Water And Sewage Services",104.0,1086,106
Beed,2017,Construction,61.0,481,195
Beed,2017,Wholesale And Retail Trade And Hotel Business,737.0,450,95
Beed,2017,"Transportation, Warehousing And Transportation",871.0,1086,340
Beed,2017,"Finance, Insurance, Real Estate And Trade Services",3085.0,110,2331
Beed,2017,"Collective, Social And Individual Service",88.0,16720,820
Beed,2018,Agriculture,1406.0,529,1282
Beed,2018,Mining,0.0,0,0
Beed,2018,Commodity Manufacturing,105.0,13255,218
Beed,2018,"Electricity Generation, Gas, Water And Sewage Services",0.0,0,380
Beed,2018,Construction,67.0,529,214
Beed,2018,Wholesale And Retail Trade And Hotel Business,810.0,501,104
Beed,2018,"Transportation, Warehousing And Transportation",958.0,1194,374
Beed,2018,"Finance, Insurance, Real Estate And Trade Services",3393.0,121,2564
Beed,2018,"Collective, Social And Individual Service",97.0,18392,902
Beed,2019,Agriculture,1143.0,15,1227
Beed,2019,Mining,104.0,0,1
Beed,2019,Commodity Manufacturing,151.0,0,5439
Beed,2019,"Electricity Generation, Gas, Water And Sewage Services",3059.0,0,0
Beed,2019,Construction,1837.0,991,128
Beed,2019,Wholesale And Retail Trade And Hotel Business,16.0,8,10
Beed,2019,"Transportation, Warehousing And Transportation",96.0,0,0
Beed,2019,"Finance, Insurance, Real Estate And Trade Services",36.0,6,2146
Beed,2019,"Collective, Social And Individual Service",7402.0,12571,11
Beed,2020,Agriculture,1099.0,15,1227
Beed,2020,Mining,90.0,0,1
Beed,2020,Commodity Manufacturing,144.0,0,5443
Beed,2020,"Electricity Generation, Gas, Water And Sewage Services",3059.0,0,0
Beed,2020,Construction,1837.0,850,152
Beed,2020,Wholesale And Retail Trade And Hotel Business,16.0,8,4
Beed,2020,"Transportation, Warehousing And Transportation",88.0,0,5
Beed,2020,"Finance, Insurance, Real Estate And Trade Services",35.0,61,2323
Beed,2020,"Collective, Social And Individual Service",7753.0,12571,11
Beed,2021,Agriculture,1098.0,29,1227
Beed,2021,Mining,90.0,0,1
Beed,2021,Commodity Manufacturing,144.0,0,5443
Beed,2021,"Electricity Generation, Gas, Water And Sewage Services",3059.0,0,0
Beed,2021,Construction,2423.0,850,152
Beed,2021,Wholesale And Retail Trade And Hotel Business,24.0,8,84
Beed,2021,"Transportation, Warehousing And Transportation",1047.0,0,61
Beed,2021,"Finance, Insurance, Real Estate And Trade Services",1044.0,61,2401
Beed,2021,"Collective, Social And Individual Service",20315.0,12571,11
Bhandara,2012,Agriculture,31.0,966,545
Bhandara,2012,Mining,,1739,0
Bhandara,2012,Commodity Manufacturing,405.0,607,3765
Bhandara,2012,"Electricity Generation, Gas, Water And Sewage Services",,,5
Bhandara,2012,Construction,36.0,,
Bhandara,2012,Wholesale And Retail Trade And Hotel Business,3.0,,107
Bhandara,2012,"Transportation, Warehousing And Transportation",158.0,2007,12
Bhandara,2012,"Finance, Insurance, Real Estate And Trade Services",853.0,512,477
Bhandara,2012,"Collective, Social And Individual Service",3831.0,5630,5871
Bhandara,2013,Agriculture,35.0,901,580
Bhandara,2013,Mining,0.0,1675,0
Bhandara,2013,Commodity Manufacturing,471.0,413,3297
Bhandara,2013,"Electricity Generation, Gas, Water And Sewage Services",0.0,0,5
Bhandara,2013,Construction,39.0,0,0
Bhandara,2013,Wholesale And Retail Trade And Hotel Business,3.0,0,106
Bhandara,2013,"Transportation, Warehousing And Transportation",264.0,2122,12
Bhandara,2013,"Finance, Insurance, Real Estate And Trade Services",942.0,865,444
Bhandara,2013,"Collective, Social And Individual Service",6334.0,6577,6059
Bhandara,2014,Agriculture,40.0,903,586
Bhandara,2014,Mining,0.0,1675,0
Bhandara,2014,Commodity Manufacturing,475.0,413,3299
Bhandara,2014,"Electricity Generation, Gas, Water And Sewage Services",0.0,0,6
Bhandara,2014,Construction,35.0,0,0
Bhandara,2014,Wholesale And Retail Trade And Hotel Business,6.0,0,110
Bhandara,2014,"Transportation, Warehousing And Transportation",265.0,2120,15
Bhandara,2014,"Finance, Insurance, Real Estate And Trade Services",943.0,865,448
Bhandara,2014,"Collective, Social And Individual Service",6337.0,6579,674
Bhandara,2015,Agriculture,38.0,901,588
Bhandara,2015,Mining,0.0,1680,0
Bhandara,2015,Commodity Manufacturing,470.0,410,3310
Bhandara,2015,"Electricity Generation, Gas, Water And Sewage Services",0.0,0,6
Bhandara,2015,Construction,37.0,0,0
Bhandara,2015,Wholesale And Retail Trade And Hotel Business,6.0,0,113
Bhandara,2015,"Transportation, Warehousing And Transportation",261.0,2128,15
Bhandara,2015,"Finance, Insurance, Real Estate And Trade Services",941.0,867,457
Bhandara,2015,"Collective, Social And Individual Service",6331.0,6567,674
Bhandara,2016,Agriculture,38.0,905,588
Bhandara,2016,Mining,0.0,1678,0
Bhandara,2016,Commodity Manufacturing,470.0,410,3310
Bhandara,2016,"Electricity Generation, Gas, Water And Sewage Services",0.0,0,6
Bhandara,2016,Construction,36.0,0,0
Bhandara,2016,Wholesale And Retail Trade And Hotel Business,6.0,0,115
Bhandara,2016,"Transportation, Warehousing And Transportation",260.0,2127,17
Bhandara,2016,"Finance, Insurance, Real Estate And Trade Services",952.0,867,462
Bhandara,2016,"Collective, Social And Individual Service",6331.0,6543,682
Bhandara,2017,Agriculture,38.0,905,588
Bhandara,2017,Mining,0.0,1678,8
Bhandara,2017,Commodity Manufacturing,470.0,416,3360
Bhandara,2017,"Electricity Generation, Gas, Water And Sewage Services",0.0,6,68
Bhandara,2017,Construction,71.0,0,0
Bhandara,2017,Wholesale And Retail Trade And Hotel Business,6.0,40,175
Bhandara,2017,"Transportation, Warehousing And Transportation",310.0,2127,77
Bhandara,2017,"Finance, Insurance, Real Estate And Trade Services",956.0,879,612
Bhandara,2017,"Collective, Social And Individual Service",6331.0,6643,834
Bhandara,2018,Agriculture,38.0,905,588
Bhandara,2018,Mining,0.0,1678,8
Bhandara,2018,Commodity Manufacturing,470.0,416,3360
Bhandara,2018,"Electricity Generation, Gas, Water And Sewage Services",0.0,0,76
Bhandara,2018,Construction,71.0,0,0
Bhandara,2018,Wholesale And Retail Trade And Hotel Business,6.0,40,175
Bhandara,2018,"Transportation, Warehousing And Transportation",390.0,2127,66
Bhandara,2018,"Finance, Insurance, Real Estate And Trade Services",956.0,891,622
Bhandara,2018,"Collective, Social And Individual Service",6341.0,6661,844
Bhandara,2019,Agriculture,38.0,905,588
Bhandara,2019,Mining,0.0,1678,8
Bhandara,2019,Commodity Manufacturing,470.0,416,3360
Bhandara,2019,"Electricity Generation, Gas, Water And Sewage Services",0.0,0,76
Bhandara,2019,Construction,71.0,0,0
Bhandara,2019,Wholesale And Retail Trade And Hotel Business,6.0,40,197
Bhandara,2019,"Transportation, Warehousing And Transportation",390.0,2127,66
Bhandara,2019,"Finance, Insurance, Real Estate And Trade Services",956.0,891,634
Bhandara,2019,"Collective, Social And Individual Service",6341.0,6666,874
Bhandara,2020,Agriculture,38.0,905,588
Bhandara,2020,Mining,0.0,1678,8
Bhandara,2020,Commodity Manufacturing,470.0,416,3360
Bhandara,2020,"Electricity Generation, Gas, Water And Sewage Services",0.0,0,76
Bhandara,2020,Construction,71.0,0,0
Bhandara,2020,Wholesale And Retail Trade And Hotel Business,6.0,1050,2200
Bhandara,2020,"Transportation, Warehousing And Transportation",390.0,2127,1080
Bhandara,2020,"Finance, Insurance, Real Estate And Trade Services",956.0,1891,1534
Bhandara,2020,"Collective, Social And Individual Service",6341.0,8666,1874
Bhandara,2021,Agriculture,38.0,905,588
Bhandara,2021,Mining,0.0,1678,8
Bhandara,2021,Commodity Manufacturing,470.0,416,3360
Bhandara,2021,"Electricity Generation, Gas, Water And Sewage Services",0.0,0,76
Bhandara,2021,Construction,71.0,0,0
Bhandara,2021,Wholesale And Retail Trade And Hotel Business,6.0,1050,2200
Bhandara,2021,"Transportation, Warehousing And Transportation",390.0,2127,1005
Bhandara,2021,"Finance, Insurance, Real Estate And Trade Services",956.0,1891,1444
Bhandara,2021,"Collective, Social And Individual Service",6341.0,8054,3199
Buldhana,2013,Agriculture,658.0,86,0
Buldhana,2013,Mining,0.0,0,0
Buldhana,2013,Commodity Manufacturing,182.0,65,5970
Buldhana,2013,"Electricity Generation, Gas, Water And Sewage Services",0.0,1735,0
Buldhana,2013,Construction,1254.0,162,0
Buldhana,2013,Wholesale And Retail Trade And Hotel Business,0.0,0,0
Buldhana,2013,"Transportation, Warehousing And Transportation",0.0,2930,0
Buldhana,2013,"Finance, Insurance, Real Estate And Trade Services",123.0,1016,0
Buldhana,2013,"Collective, Social And Individual Service",7639.0,18185,0
Buldhana,2014,Agriculture,429.0,78,0
Buldhana,2014,Mining,0.0,0,0
Buldhana,2014,Commodity Manufacturing,154.0,35,6872
Buldhana,2014,"Electricity Generation, Gas, Water And Sewage Services",0.0,1347,0
Buldhana,2014,Construction,1084.0,139,0
Buldhana,2014,Wholesale And Retail Trade And Hotel Business,0.0,0,0
Buldhana,2014,"Transportation, Warehousing And Transportation",0.0,2735,0
Buldhana,2014,"Finance, Insurance, Real Estate And Trade Services",111.0,799,4221
Buldhana,2014,"Collective, Social And Individual Service",7891.0,17652,10051
Buldhana,2015,Agriculture,413.0,63,0
Buldhana,2015,Mining,0.0,0,0
Buldhana,2015,Commodity Manufacturing,143.0,27,6547
Buldhana,2015,"Electricity Generation, Gas, Water And Sewage Services",0.0,1332,0
Buldhana,2015,Construction,997.0,132,0
Buldhana,2015,Wholesale And Retail Trade And Hotel Business,0.0,0,0
Buldhana,2015,"Transportation, Warehousing And Transportation",0.0,2691,0
Buldhana,2015,"Finance, Insurance, Real Estate And Trade Services",123.0,899,4029
Buldhana,2015,"Collective, Social And Individual Service",7961.0,16463,10123
Buldhana,2016,Agriculture,524.0,73,0
Buldhana,2016,Mining,0.0,0,0
Buldhana,2016,Commodity Manufacturing,225.0,21,5671
Buldhana,2016,"Electricity Generation, Gas, Water And Sewage Services",0.0,1379,0
Buldhana,2016,Construction,1002.0,144,0
Buldhana,2016,Wholesale And Retail Trade And Hotel Business,0.0,0,0
Buldhana,2016,"Transportation, Warehousing And Transportation",0.0,2941,0
Buldhana,2016,"Finance, Insurance, Real Estate And Trade Services",212.0,985,3992
Buldhana,2016,"Collective, Social And Individual Service",8072.0,15653,11246
Buldhana,2017,Agriculture,987.0,154,158
Buldhana,2017,Mining,0.0,0,0
Buldhana,2017,Commodity Manufacturing,1438.0,150,6212
Buldhana,2017,"Electricity Generation, Gas, Water And Sewage Services",0.0,1200,69
Buldhana,2017,Construction,1281.0,998,340
Buldhana,2017,Wholesale And Retail Trade And Hotel Business,0.0,553,512
Buldhana,2017,"Transportation, Warehousing And Transportation",0.0,2850,25
Buldhana,2017,"Finance, Insurance, Real Estate And Trade Services",1149.0,374,2850
Buldhana,2017,"Collective, Social And Individual Service",26900.0,9365,15042
Buldhana,2018,Agriculture,996.0,207,250
Buldhana,2018,Mining,0.0,0,0
Buldhana,2018,Commodity Manufacturing,1567.0,75,6305
Buldhana,2018,"Electricity Generation, Gas, Water And Sewage Services",0.0,1225,58
Buldhana,2018,Construction,1301.0,810,345
Buldhana,2018,Wholesale And Retail Trade And Hotel Business,0.0,453,498
Buldhana,2018,"Transportation, Warehousing And Transportation",0.0,3200,21
Buldhana,2018,"Finance, Insurance, Real Estate And Trade Services",1401.0,450,2900
Buldhana,2018,"Collective, Social And Individual Service",26100.0,9005,15561
Buldhana,2019,Agriculture,996.0,207,250
Buldhana,2019,Mining,0.0,0,0
Buldhana,2019,Commodity Manufacturing,1567.0,75,6425
Buldhana,2019,"Electricity Generation, Gas, Water And Sewage Services",0.0,1225,58
Buldhana,2019,Construction,1301.0,810,345
Buldhana,2019,Wholesale And Retail Trade And Hotel Business,0.0,453,560
Buldhana,2019,"Transportation, Warehousing And Transportation",0.0,3200,21
Buldhana,2019,"Finance, Insurance, Real Estate And Trade Services",1401.0,450,2990
Buldhana,2019,"Collective, Social And Individual Service",26100.0,9005,15671
Buldhana,2020,Agriculture,1031.0,218,230
Buldhana,2020,Mining,0.0,0,0
Buldhana,2020,Commodity Manufacturing,1576.0,81,6320
Buldhana,2020,"Electricity Generation, Gas, Water And Sewage Services",0.0,1265,75
Buldhana,2020,Construction,1318.0,849,370
Buldhana,2020,Wholesale And Retail Trade And Hotel Business,0.0,470,329
Buldhana,2020,"Transportation, Warehousing And Transportation",0.0,3263,36
Buldhana,2020,"Finance, Insurance, Real Estate And Trade Services",1425.0,455,2600
Buldhana,2020,"Collective, Social And Individual Service",26255.0,9187,15239
Buldhana,2021,Agriculture,889.0,198,259
Buldhana,2021,Mining,0.0,0,0
Buldhana,2021,Commodity Manufacturing,51.0,0,3413
Buldhana,2021,"Electricity Generation, Gas, Water And Sewage Services",0.0,1385,135
Buldhana,2021,Construction,1307.0,830,475
Buldhana,2021,Wholesale And Retail Trade And Hotel Business,0.0,0,1230
Buldhana,2021,"Transportation, Warehousing And Transportation",0.0,3245,32
Buldhana,2021,"Finance, Insurance, Real Estate And Trade Services",1679.0,556,3270
Buldhana,2021,"Collective, Social And Individual Service",23395.0,8721,16629
Chandrapur,2012,Agriculture,3095.0,190,40
Chandrapur,2012,Mining,0.0,7000,0
Chandrapur,2012,Commodity Manufacturing,9065.0,640,6700
Chandrapur,2012,"Electricity Generation, Gas, Water And Sewage Services",0.0,1100,0
Chandrapur,2012,Construction,3751.0,36,188
Chandrapur,2012,Wholesale And Retail Trade And Hotel Business,0.0,1010,2160
Chandrapur,2012,"Transportation, Warehousing And Transportation",3080.0,27,0
Chandrapur,2012,"Finance, Insurance, Real Estate And Trade Services",8890.0,35,0
Chandrapur,2012,"Collective, Social And Individual Service",13199.0,387,21555
Chandrapur,2013,Agriculture,3097.0,188,38
Chandrapur,2013,Mining,0.0,6998,0
Chandrapur,2013,Commodity Manufacturing,9053.0,653,6684
Chandrapur,2013,"Electricity Generation, Gas, Water And Sewage Services",0.0,1095,0
Chandrapur,2013,Construction,3458.0,36,188
Chandrapur,2013,Wholesale And Retail Trade And Hotel Business,0.0,1009,2125
Chandrapur,2013,"Transportation, Warehousing And Transportation",3182.0,27,0
Chandrapur,2013,"Finance, Insurance, Real Estate And Trade Services",8982.0,35,0
Chandrapur,2013,"Collective, Social And Individual Service",12787.0,476,21537
Chandrapur,2014,Agriculture,4017.0,193,45
Chandrapur,2014,Mining,0.0,7250,0
Chandrapur,2014,Commodity Manufacturing,8921.0,654,6675
Chandrapur,2014,"Electricity Generation, Gas, Water And Sewage Services",0.0,1097,0
Chandrapur,2014,Construction,3463.0,41,205
Chandrapur,2014,Wholesale And Retail Trade And Hotel Business,0.0,1049,2014
Chandrapur,2014,"Transportation, Warehousing And Transportation",3192.0,36,0
Chandrapur,2014,"Finance, Insurance, Real Estate And Trade Services",8995.0,37,0
Chandrapur,2014,"Collective, Social And Individual Service",12980.0,723,21691
Chandrapur,2015,Agriculture,4119.0,197,47
Chandrapur,2015,Mining,0.0,7045,0
Chandrapur,2015,Commodity Manufacturing,9015.0,657,6752
Chandrapur,2015,"Electricity Generation, Gas, Water And Sewage Services",0.0,1217,0
Chandrapur,2015,Construction,4511.0,48,118
Chandrapur,2015,Wholesale And Retail Trade And Hotel Business,0.0,1109,2148
Chandrapur,2015,"Transportation, Warehousing And Transportation",3264.0,41,0
Chandrapur,2015,"Finance, Insurance, Real Estate And Trade Services",9011.0,46,0
Chandrapur,2015,"Collective, Social And Individual Service",13211.0,843,21895
Chandrapur,2016,Agriculture,4101.0,192,56
Chandrapur,2016,Mining,0.0,7016,0
Chandrapur,2016,Commodity Manufacturing,9004.0,648,6764
Chandrapur,2016,"Electricity Generation, Gas, Water And Sewage Services",0.0,1271,0
Chandrapur,2016,Construction,4519.0,51,127
Chandrapur,2016,Wholesale And Retail Trade And Hotel Business,0.0,1223,2481
Chandrapur,2016,"Transportation, Warehousing And Transportation",3291.0,43,0
Chandrapur,2016,"Finance, Insurance, Real Estate And Trade Services",10012.0,67,0
Chandrapur,2016,"Collective, Social And Individual Service",13298.0,934,21914
Chandrapur,2017,Agriculture,4215.0,134,48
Chandrapur,2017,Mining,0.0,6611,0
Chandrapur,2017,Commodity Manufacturing,7219.0,616,6208
Chandrapur,2017,"Electricity Generation, Gas, Water And Sewage Services",0.0,1287,0
Chandrapur,2017,Construction,4431.0,53,132
Chandrapur,2017,Wholesale And Retail Trade And Hotel Business,0.0,1265,2284
Chandrapur,2017,"Transportation, Warehousing And Transportation",3348.0,48,0
Chandrapur,2017,"Finance, Insurance, Real Estate And Trade Services",9547.0,72,0
Chandrapur,2017,"Collective, Social And Individual Service",14421.0,963,22348
Chandrapur,2018,Agriculture,3754.0,126,53
Chandrapur,2018,Mining,0.0,6117,0
Chandrapur,2018,Commodity Manufacturing,6721.0,502,6308
Chandrapur,2018,"Electricity Generation, Gas, Water And Sewage Services",0.0,1147,0
Chandrapur,2018,Construction,3804.0,57,167
Chandrapur,2018,Wholesale And Retail Trade And Hotel Business,0.0,1203,2156
Chandrapur,2018,"Transportation, Warehousing And Transportation",3192.0,62,0
Chandrapur,2018,"Finance, Insurance, Real Estate And Trade Services",8518.0,66,0
Chandrapur,2018,"Collective, Social And Individual Service",12520.0,714,21819
Chandrapur,2019,Agriculture,3548.0,114,47
Chandrapur,2019,Mining,0.0,5719,0
Chandrapur,2019,Commodity Manufacturing,7323.0,582,7214
Chandrapur,2019,"Electricity Generation, Gas, Water And Sewage Services",0.0,1378,0
Chandrapur,2019,Construction,3911.0,82,221
Chandrapur,2019,Wholesale And Retail Trade And Hotel Business,0.0,1412,2307
Chandrapur,2019,"Transportation, Warehousing And Transportation",2687.0,45,0
Chandrapur,2019,"Finance, Insurance, Real Estate And Trade Services",9785.0,107,0
Chandrapur,2019,"Collective, Social And Individual Service",12902.0,819,23205
Chandrapur,2020,Agriculture,2914.0,107,32
Chandrapur,2020,Mining,0.0,4872,0
Chandrapur,2020,Commodity Manufacturing,7105.0,527,7099
Chandrapur,2020,"Electricity Generation, Gas, Water And Sewage Services",0.0,1175,0
Chandrapur,2020,Construction,3788.0,76,204
Chandrapur,2020,Wholesale And Retail Trade And Hotel Business,0.0,1359,2125
Chandrapur,2020,"Transportation, Warehousing And Transportation",2407.0,39,0
Chandrapur,2020,"Finance, Insurance, Real Estate And Trade Services",9215.0,97,0
Chandrapur,2020,"Collective, Social And Individual Service",11623.0,721,21714
Chandrapur,2021,Agriculture,2713.0,97,28
Chandrapur,2021,Mining,0.0,2912,0
Chandrapur,2021,Commodity Manufacturing,6315.0,503,6041
Chandrapur,2021,"Electricity Generation, Gas, Water And Sewage Services",0.0,1108,0
Chandrapur,2021,Construction,3104.0,67,195
