District Name Changes Log File
==============================
Chapter: Agriculture | File: DSA_ChemicalFertilizer.csv | Replaced 'Mumbai City' with 'Mumbai' in 70 rows.
Chapter: Health | File: hmis_abortion.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 12 rows.
Chapter: Health | File: hmis_anaemia.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 12 rows.
Chapter: Health | File: hmis_antenatalcare.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 12 rows.
Chapter: Health | File: hmis_childdisease.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 3 rows.
Chapter: Health | File: hmis_childdisease_2.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 33 rows.
Chapter: Health | File: hmis_contraceptives.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 38 rows.
Chapter: Health | File: hmis_csection.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 12 rows.
Chapter: Health | File: hmis_deliveries.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 12 rows.
Chapter: Health | File: hmis_familyplanning.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 12 rows.
Chapter: Health | File: hmis_infantdeaths.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 12 rows.
Chapter: Health | File: hmis_infantdeaths_2.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 81 rows.
Chapter: Health | File: hmis_infantvaccinations.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 12 rows.
Chapter: Health | File: hmis_iv.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 12 rows.
Chapter: Health | File: hmis_iv_2.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 15 rows.
Chapter: Health | File: hmis_mdeaths.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 3 rows.
Chapter: Health | File: hmis_patients.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 12 rows.
Chapter: Health | File: hmis_sexratio.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 12 rows.
Chapter: Health | File: nfhs_anaemia.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 2 rows.
Chapter: Health | File: nfhs_births.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 2 rows.
Chapter: Health | File: nfhs_cancerscreening.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 2 rows.
Chapter: Health | File: nfhs_cancerscreening_2.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 6 rows.
Chapter: Health | File: nfhs_csection.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 2 rows.
Chapter: Health | File: nfhs_deliveryexpenditure.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 2 rows.
Chapter: Health | File: nfhs_diet.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 2 rows.
Chapter: Health | File: nfhs_facilities.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 2 rows.
Chapter: Health | File: nfhs_familyplanning.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 2 rows.
Chapter: Health | File: nfhs_highbloodsugar.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 2 rows.
Chapter: Health | File: nfhs_hypertension.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 2 rows.
Chapter: Health | File: nfhs_ifaconsumption.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 2 rows.
Chapter: Health | File: nfhs_lowbmi.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 2 rows.
Chapter: Health | File: nfhs_malnutrition.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 2 rows.
Chapter: Health | File: nfhs_overweight.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 2 rows.
Chapter: Health | File: nfhs_postnatalcare.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 2 rows.
Chapter: Health | File: nfhs_sexratio.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 2 rows.
Chapter: Health | File: nfhs_tobaccoalcohol.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 1 rows.
Chapter: Health | File: nfhs_vaccinations.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 2 rows.
Chapter: Industry | File: dsa_electricity.csv | Replaced 'Buldana' with 'Buldhana' in 117 rows.
Chapter: Industry | File: dsa_electricity.csv | Replaced 'Mumbai City' with 'Mumbai' in 9 rows.
Chapter: Industry | File: dsa_msme.csv | Replaced 'Buldana' with 'Buldhana' in 52 rows.
Chapter: Industry | File: dsa_msme.csv | Replaced 'Mumbai City' with 'Mumbai' in 4 rows.
Chapter: Industry | File: dsa_pollution_cat.csv | Replaced 'Buldana' with 'Buldhana' in 380 rows.
Chapter: Industry | File: dsa_pollution_cat.csv | Replaced 'Mumbai City' with 'Mumbai' in 31 rows.
Chapter: Industry | File: ec_broad_activity.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 4 rows.
Chapter: Industry | File: ec_broad_activity.csv | Replaced 'Mumbai City' with 'Mumbai' in 4 rows.
Chapter: Industry | File: ec_number.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 4 rows.
Chapter: Industry | File: ec_number.csv | Replaced 'Mumbai City' with 'Mumbai' in 4 rows.
Chapter: Industry | File: ec_social_group.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 4 rows.
Chapter: Industry | File: ec_social_group.csv | Replaced 'Mumbai City' with 'Mumbai' in 4 rows.
Chapter: Industry | File: ec_sources_of_borrowings.csv | Replaced 'Chhatrapati Sambhaji Nagar' with 'Chh. Sambhaji Nagar' in 3 rows.
