Year,District,Month,Crash Type,Number of Crashes
2020,Ahilyanagar,July,Grievous Crashes,45
2020,Ahilyanagar,August,Grievous Crashes,29
2020,Ahilyanagar,September,Grievous Crashes,45
2020,Ahilyanagar,October,Grievous Crashes,42
2020,Ahilyanagar,November,Grievous Crashes,43
2020,Ahilyanagar,December,Grievous Crashes,46
2020,Akola,January,Grievous Crashes,9
2020,Akola,February,Grievous Crashes,7
2020,Akola,March,Grievous Crashes,8
2020,Akola,April,Grievous Crashes,2
2020,Akola,May,Grievous Crashes,4
2020,Akola,June,Grievous Crashes,5
2020,Akola,July,Grievous Crashes,6
2020,Akola,August,Grievous Crashes,3
2020,Akola,September,Grievous Crashes,7
2020,Akola,October,Grievous Crashes,10
2020,Akola,November,Grievous Crashes,7
2020,Akola,December,Grievous Crashes,14
2020,Amravati,January,Grievous Crashes,19
2020,Amravati,February,Grievous Crashes,17
2020,Amravati,March,Grievous Crashes,13
2020,Amravati,April,Grievous Crashes,1
2020,Amravati,May,Grievous Crashes,5
2020,Amravati,June,Grievous Crashes,13
2020,Amravati,July,Grievous Crashes,16
2020,Amravati,August,Grievous Crashes,11
2020,Amravati,September,Grievous Crashes,10
2020,Amravati,October,Grievous Crashes,23
2020,Amravati,November,Grievous Crashes,21
2020,Amravati,December,Grievous Crashes,17
2020,Chh. Sambhaji Nagar,January,Grievous Crashes,50
2020,Chh. Sambhaji Nagar,February,Grievous Crashes,40
2020,Chh. Sambhaji Nagar,March,Grievous Crashes,22
2020,Chh. Sambhaji Nagar,April,Grievous Crashes,4
2020,Chh. Sambhaji Nagar,May,Grievous Crashes,5
2020,Chh. Sambhaji Nagar,June,Grievous Crashes,15
2020,Chh. Sambhaji Nagar,July,Grievous Crashes,14
2020,Chh. Sambhaji Nagar,August,Grievous Crashes,28
2020,Chh. Sambhaji Nagar,September,Grievous Crashes,40
2020,Chh. Sambhaji Nagar,October,Grievous Crashes,43
2020,Chh. Sambhaji Nagar,November,Grievous Crashes,30
2020,Chh. Sambhaji Nagar,December,Grievous Crashes,49
2020,Beed,January,Grievous Crashes,23
2020,Beed,February,Grievous Crashes,27
2020,Beed,March,Grievous Crashes,18
2020,Beed,April,Grievous Crashes,4
2020,Beed,May,Grievous Crashes,9
2020,Beed,June,Grievous Crashes,14
2020,Beed,July,Grievous Crashes,8
2020,Beed,August,Grievous Crashes,21
2020,Beed,September,Grievous Crashes,24
2020,Beed,October,Grievous Crashes,21
2020,Beed,November,Grievous Crashes,15
2020,Beed,December,Grievous Crashes,20
2020,Bhandara,January,Grievous Crashes,11
2020,Bhandara,February,Grievous Crashes,9
2020,Bhandara,March,Grievous Crashes,4
2020,Bhandara,April,Grievous Crashes,1
2020,Bhandara,May,Grievous Crashes,9
2020,Bhandara,June,Grievous Crashes,4
2020,Bhandara,July,Grievous Crashes,4
2020,Bhandara,August,Grievous Crashes,6
2020,Bhandara,September,Grievous Crashes,5
2020,Bhandara,October,Grievous Crashes,4
2020,Bhandara,November,Grievous Crashes,9
2020,Bhandara,December,Grievous Crashes,12
2020,Buldhana,January,Grievous Crashes,11
2020,Buldhana,February,Grievous Crashes,9
2020,Buldhana,March,Grievous Crashes,11
2020,Buldhana,April,Grievous Crashes,2
2020,Buldhana,May,Grievous Crashes,10
2020,Buldhana,June,Grievous Crashes,11
2020,Buldhana,July,Grievous Crashes,6
2020,Buldhana,August,Grievous Crashes,10
2020,Buldhana,September,Grievous Crashes,9
2020,Buldhana,October,Grievous Crashes,12
2020,Buldhana,November,Grievous Crashes,13
2020,Buldhana,December,Grievous Crashes,12
2020,Chandrapur,January,Grievous Crashes,11
2020,Chandrapur,February,Grievous Crashes,15
2020,Chandrapur,March,Grievous Crashes,14
2020,Chandrapur,April,Grievous Crashes,1
2020,Chandrapur,May,Grievous Crashes,12
2020,Chandrapur,June,Grievous Crashes,9
2020,Chandrapur,July,Grievous Crashes,7
2020,Chandrapur,August,Grievous Crashes,6
2020,Chandrapur,September,Grievous Crashes,12
2020,Chandrapur,October,Grievous Crashes,12
2020,Chandrapur,November,Grievous Crashes,14
2020,Chandrapur,December,Grievous Crashes,11
2020,Dhule,January,Grievous Crashes,26
2020,Dhule,February,Grievous Crashes,17
2020,Dhule,March,Grievous Crashes,26
2020,Dhule,April,Grievous Crashes,10
2020,Dhule,May,Grievous Crashes,10
2020,Dhule,June,Grievous Crashes,17
2020,Dhule,July,Grievous Crashes,17
2020,Dhule,August,Grievous Crashes,22
2020,Dhule,September,Grievous Crashes,15
2020,Dhule,October,Grievous Crashes,11
2020,Dhule,November,Grievous Crashes,22
2020,Dhule,December,Grievous Crashes,39
2020,Gadchiroli,January,Grievous Crashes,7
2020,Gadchiroli,February,Grievous Crashes,7
2020,Gadchiroli,March,Grievous Crashes,4
2020,Gadchiroli,April,Grievous Crashes,0
2020,Gadchiroli,May,Grievous Crashes,2
2020,Gadchiroli,June,Grievous Crashes,3
2020,Gadchiroli,July,Grievous Crashes,1
2020,Gadchiroli,August,Grievous Crashes,3
2020,Gadchiroli,September,Grievous Crashes,3
2020,Gadchiroli,October,Grievous Crashes,5
2020,Gadchiroli,November,Grievous Crashes,7
2020,Gadchiroli,December,Grievous Crashes,7
2020,Gondia,January,Grievous Crashes,6
2020,Gondia,February,Grievous Crashes,3
2020,Gondia,March,Grievous Crashes,3
2020,Gondia,April,Grievous Crashes,2
2020,Gondia,May,Grievous Crashes,0
2020,Gondia,June,Grievous Crashes,4
2020,Gondia,July,Grievous Crashes,5
2020,Gondia,August,Grievous Crashes,4
2020,Gondia,September,Grievous Crashes,5
2020,Gondia,October,Grievous Crashes,4
2020,Gondia,November,Grievous Crashes,6
2020,Gondia,December,Grievous Crashes,6
2020,Hingoli,January,Grievous Crashes,10
2020,Hingoli,February,Grievous Crashes,12
2020,Hingoli,March,Grievous Crashes,10
2020,Hingoli,April,Grievous Crashes,2
2020,Hingoli,May,Grievous Crashes,1
2020,Hingoli,June,Grievous Crashes,4
2020,Hingoli,July,Grievous Crashes,12
2020,Hingoli,August,Grievous Crashes,5
2020,Hingoli,September,Grievous Crashes,8
2020,Hingoli,October,Grievous Crashes,6
2020,Hingoli,November,Grievous Crashes,11
2020,Hingoli,December,Grievous Crashes,13
2020,Jalgaon,January,Grievous Crashes,14
2020,Jalgaon,February,Grievous Crashes,221
2020,Jalgaon,March,Grievous Crashes,23
2020,Jalgaon,April,Grievous Crashes,4
2020,Jalgaon,May,Grievous Crashes,11
2020,Jalgaon,June,Grievous Crashes,16
2020,Jalgaon,July,Grievous Crashes,15
2020,Jalgaon,August,Grievous Crashes,17
2020,Jalgaon,September,Grievous Crashes,17
2020,Jalgaon,October,Grievous Crashes,21
2020,Jalgaon,November,Grievous Crashes,27
2020,Jalgaon,December,Grievous Crashes,33
2020,Jalna,January,Grievous Crashes,15
2020,Jalna,February,Grievous Crashes,11
2020,Jalna,March,Grievous Crashes,20
2020,Jalna,April,Grievous Crashes,3
2020,Jalna,May,Grievous Crashes,6
2020,Jalna,June,Grievous Crashes,9
2020,Jalna,July,Grievous Crashes,14
2020,Jalna,August,Grievous Crashes,8
2020,Jalna,September,Grievous Crashes,10
2020,Jalna,October,Grievous Crashes,20
2020,Jalna,November,Grievous Crashes,25
2020,Jalna,December,Grievous Crashes,17
2020,Kolhapur,January,Grievous Crashes,47
2020,Kolhapur,February,Grievous Crashes,43
2020,Kolhapur,March,Grievous Crashes,36
2020,Kolhapur,April,Grievous Crashes,4
2020,Kolhapur,May,Grievous Crashes,19
2020,Kolhapur,June,Grievous Crashes,27
2020,Kolhapur,July,Grievous Crashes,19
2020,Kolhapur,August,Grievous Crashes,24
2020,Kolhapur,September,Grievous Crashes,23
2020,Kolhapur,October,Grievous Crashes,28
2020,Kolhapur,November,Grievous Crashes,36
2020,Kolhapur,December,Grievous Crashes,54
2020,Latur,January,Grievous Crashes,34
2020,Latur,February,Grievous Crashes,28
2020,Latur,March,Grievous Crashes,9
2020,Latur,April,Grievous Crashes,3
2020,Latur,May,Grievous Crashes,14
2020,Latur,June,Grievous Crashes,8
2020,Latur,July,Grievous Crashes,12
2020,Latur,August,Grievous Crashes,17
2020,Latur,September,Grievous Crashes,17
2020,Latur,October,Grievous Crashes,19
2020,Latur,November,Grievous Crashes,20
2020,Latur,December,Grievous Crashes,28
2020,Mumbai,January,Grievous Crashes,168
2020,Mumbai,February,Grievous Crashes,171
2020,Mumbai,March,Grievous Crashes,141
2020,Mumbai,April,Grievous Crashes,23
2020,Mumbai,May,Grievous Crashes,45
2020,Mumbai,June,Grievous Crashes,56
2020,Mumbai,July,Grievous Crashes,69
2020,Mumbai,August,Grievous Crashes,87
2020,Mumbai,September,Grievous Crashes,118
2020,Mumbai,October,Grievous Crashes,161
2020,Mumbai,November,Grievous Crashes,156
2020,Mumbai,December,Grievous Crashes,134
2020,Nagpur,January,Grievous Crashes,46
2020,Nagpur,February,Grievous Crashes,40
2020,Nagpur,March,Grievous Crashes,43
2020,Nagpur,April,Grievous Crashes,6
2020,Nagpur,May,Grievous Crashes,24
2020,Nagpur,June,Grievous Crashes,30
2020,Nagpur,July,Grievous Crashes,35
2020,Nagpur,August,Grievous Crashes,36
2020,Nagpur,September,Grievous Crashes,40
2020,Nagpur,October,Grievous Crashes,55
2020,Nagpur,November,Grievous Crashes,59
2020,Nagpur,December,Grievous Crashes,61
2020,Nanded,January,Grievous Crashes,30
2020,Nanded,February,Grievous Crashes,29
2020,Nanded,March,Grievous Crashes,26
2020,Nanded,April,Grievous Crashes,9
2020,Nanded,May,Grievous Crashes,5
2020,Nanded,June,Grievous Crashes,17
2020,Nanded,July,Grievous Crashes,17
2020,Nanded,August,Grievous Crashes,16
2020,Nanded,September,Grievous Crashes,10
2020,Nanded,October,Grievous Crashes,22
2020,Nanded,November,Grievous Crashes,17
2020,Nanded,December,Grievous Crashes,36
2020,Nandurbar,January,Grievous Crashes,14
2020,Nandurbar,February,Grievous Crashes,9
2020,Nandurbar,March,Grievous Crashes,9
2020,Nandurbar,April,Grievous Crashes,1
2020,Nandurbar,May,Grievous Crashes,4
2020,Nandurbar,June,Grievous Crashes,4
2020,Nandurbar,July,Grievous Crashes,8
2020,Nandurbar,August,Grievous Crashes,2
2020,Nandurbar,September,Grievous Crashes,12
2020,Nandurbar,October,Grievous Crashes,12
2020,Nandurbar,November,Grievous Crashes,5
2020,Nandurbar,December,Grievous Crashes,6
2020,Nashik,January,Grievous Crashes,70
2020,Nashik,February,Grievous Crashes,75
2020,Nashik,March,Grievous Crashes,60
2020,Nashik,April,Grievous Crashes,8
2020,Nashik,May,Grievous Crashes,44
2020,Nashik,June,Grievous Crashes,39
2020,Nashik,July,Grievous Crashes,40
2020,Nashik,August,Grievous Crashes,37
2020,Nashik,September,Grievous Crashes,45
2020,Nashik,October,Grievous Crashes,65
2020,Nashik,November,Grievous Crashes,77
2020,Nashik,December,Grievous Crashes,62
2020,Dharashiv,January,Grievous Crashes,20
2020,Dharashiv,February,Grievous Crashes,29
2020,Dharashiv,March,Grievous Crashes,14
2020,Dharashiv,April,Grievous Crashes,14
2020,Dharashiv,May,Grievous Crashes,3
2020,Dharashiv,June,Grievous Crashes,7
2020,Dharashiv,July,Grievous Crashes,15
2020,Dharashiv,August,Grievous Crashes,9
2020,Dharashiv,September,Grievous Crashes,11
2020,Dharashiv,October,Grievous Crashes,6
2020,Dharashiv,November,Grievous Crashes,27
2020,Dharashiv,December,Grievous Crashes,31
2020,Palghar,January,Grievous Crashes,33
2020,Palghar,February,Grievous Crashes,29
2020,Palghar,March,Grievous Crashes,26
2020,Palghar,April,Grievous Crashes,9
2020,Palghar,May,Grievous Crashes,9
2020,Palghar,June,Grievous Crashes,7
2020,Palghar,July,Grievous Crashes,9
2020,Palghar,August,Grievous Crashes,15
2020,Palghar,September,Grievous Crashes,23
2020,Palghar,October,Grievous Crashes,10
2020,Palghar,November,Grievous Crashes,18
2020,Palghar,December,Grievous Crashes,6
2020,Parbhani,January,Grievous Crashes,18
2020,Parbhani,February,Grievous Crashes,13
2020,Parbhani,March,Grievous Crashes,13
2020,Parbhani,April,Grievous Crashes,4
2020,Parbhani,May,Grievous Crashes,4
2020,Parbhani,June,Grievous Crashes,2
2020,Parbhani,July,Grievous Crashes,9
2020,Parbhani,August,Grievous Crashes,11
2020,Parbhani,September,Grievous Crashes,6
2020,Parbhani,October,Grievous Crashes,6
2020,Parbhani,November,Grievous Crashes,10
2020,Parbhani,December,Grievous Crashes,9
2020,Pune,January,Grievous Crashes,141
2020,Pune,February,Grievous Crashes,120
2020,Pune,March,Grievous Crashes,88
2020,Pune,April,Grievous Crashes,13
2020,Pune,May,Grievous Crashes,56
2020,Pune,June,Grievous Crashes,56
2020,Pune,July,Grievous Crashes,34
2020,Pune,August,Grievous Crashes,68
2020,Pune,September,Grievous Crashes,57
2020,Pune,October,Grievous Crashes,85
2020,Pune,November,Grievous Crashes,94
2020,Pune,December,Grievous Crashes,111
2020,Raigad,January,Grievous Crashes,19
2020,Raigad,February,Grievous Crashes,23
2020,Raigad,March,Grievous Crashes,16
2020,Raigad,April,Grievous Crashes,4
2020,Raigad,May,Grievous Crashes,11
2020,Raigad,June,Grievous Crashes,7
2020,Raigad,July,Grievous Crashes,8
2020,Raigad,August,Grievous Crashes,5
2020,Raigad,September,Grievous Crashes,11
2020,Raigad,October,Grievous Crashes,19
2020,Raigad,November,Grievous Crashes,25
2020,Raigad,December,Grievous Crashes,25
2020,Ratnagiri,January,Grievous Crashes,11
2020,Ratnagiri,February,Grievous Crashes,15
2020,Ratnagiri,March,Grievous Crashes,9
2020,Ratnagiri,April,Grievous Crashes,4
2020,Ratnagiri,May,Grievous Crashes,6
2020,Ratnagiri,June,Grievous Crashes,12
2020,Ratnagiri,July,Grievous Crashes,4
2020,Ratnagiri,August,Grievous Crashes,9
2020,Ratnagiri,September,Grievous Crashes,3
2020,Ratnagiri,October,Grievous Crashes,3
2020,Ratnagiri,November,Grievous Crashes,12
2020,Ratnagiri,December,Grievous Crashes,12
2020,Sangli,January,Grievous Crashes,25
2020,Sangli,February,Grievous Crashes,30
2020,Sangli,March,Grievous Crashes,25
2020,Sangli,April,Grievous Crashes,8
2020,Sangli,May,Grievous Crashes,12
2020,Sangli,June,Grievous Crashes,15
2020,Sangli,July,Grievous Crashes,12
2020,Sangli,August,Grievous Crashes,19
2020,Sangli,September,Grievous Crashes,17
2020,Sangli,October,Grievous Crashes,25
2020,Sangli,November,Grievous Crashes,36
2020,Sangli,December,Grievous Crashes,36
2020,Satara,January,Grievous Crashes,33
2020,Satara,February,Grievous Crashes,31
2020,Satara,March,Grievous Crashes,19
2020,Satara,April,Grievous Crashes,2
2020,Satara,May,Grievous Crashes,16
2020,Satara,June,Grievous Crashes,34
2020,Satara,July,Grievous Crashes,16
2020,Satara,August,Grievous Crashes,24
2020,Satara,September,Grievous Crashes,17
2020,Satara,October,Grievous Crashes,19
2020,Satara,November,Grievous Crashes,26
2020,Satara,December,Grievous Crashes,34
2020,Sindhudurg,January,Grievous Crashes,8
2020,Sindhudurg,February,Grievous Crashes,8
2020,Sindhudurg,March,Grievous Crashes,4
2020,Sindhudurg,April,Grievous Crashes,1
2020,Sindhudurg,May,Grievous Crashes,5
2020,Sindhudurg,June,Grievous Crashes,0
2020,Sindhudurg,July,Grievous Crashes,6
2020,Sindhudurg,August,Grievous Crashes,1
2020,Sindhudurg,September,Grievous Crashes,7
2020,Sindhudurg,October,Grievous Crashes,0
2020,Sindhudurg,November,Grievous Crashes,5
2020,Sindhudurg,December,Grievous Crashes,9
2020,Solapur,January,Grievous Crashes,71
2020,Solapur,February,Grievous Crashes,45
2020,Solapur,March,Grievous Crashes,27
2020,Solapur,April,Grievous Crashes,3
2020,Solapur,May,Grievous Crashes,7
2020,Solapur,June,Grievous Crashes,21
2020,Solapur,July,Grievous Crashes,8
2020,Solapur,August,Grievous Crashes,23
2020,Solapur,September,Grievous Crashes,26
2020,Solapur,October,Grievous Crashes,14
2020,Solapur,November,Grievous Crashes,31
2020,Solapur,December,Grievous Crashes,32
2020,Thane,January,Grievous Crashes,65
2020,Thane,February,Grievous Crashes,64
2020,Thane,March,Grievous Crashes,50
2020,Thane,April,Grievous Crashes,15
2020,Thane,May,Grievous Crashes,22
2020,Thane,June,Grievous Crashes,29
2020,Thane,July,Grievous Crashes,27
2020,Thane,August,Grievous Crashes,36
2020,Thane,September,Grievous Crashes,40
2020,Thane,October,Grievous Crashes,69
2020,Thane,November,Grievous Crashes,73
2020,Thane,December,Grievous Crashes,82
2020,Wardha,January,Grievous Crashes,9
2020,Wardha,February,Grievous Crashes,7
2020,Wardha,March,Grievous Crashes,13
2020,Wardha,April,Grievous Crashes,1
2020,Wardha,May,Grievous Crashes,6
2020,Wardha,June,Grievous Crashes,5
2020,Wardha,July,Grievous Crashes,11
2020,Wardha,August,Grievous Crashes,4
2020,Wardha,September,Grievous Crashes,6
2020,Wardha,October,Grievous Crashes,7
2020,Wardha,November,Grievous Crashes,8
2020,Wardha,December,Grievous Crashes,17
2020,Washim,January,Grievous Crashes,6
2020,Washim,February,Grievous Crashes,4
2020,Washim,March,Grievous Crashes,5
2020,Washim,April,Grievous Crashes,0
2020,Washim,May,Grievous Crashes,0
2020,Washim,June,Grievous Crashes,11
2020,Washim,July,Grievous Crashes,5
2020,Washim,August,Grievous Crashes,2
2020,Washim,September,Grievous Crashes,4
2020,Washim,October,Grievous Crashes,4
2020,Washim,November,Grievous Crashes,4
2020,Washim,December,Grievous Crashes,7
2020,Yavatmal,January,Grievous Crashes,16
2020,Yavatmal,February,Grievous Crashes,12
2020,Yavatmal,March,Grievous Crashes,6
2020,Yavatmal,April,Grievous Crashes,4
2020,Yavatmal,May,Grievous Crashes,1
2020,Yavatmal,June,Grievous Crashes,11
2020,Yavatmal,July,Grievous Crashes,4
2020,Yavatmal,August,Grievous Crashes,5
2020,Yavatmal,September,Grievous Crashes,7
2020,Yavatmal,October,Grievous Crashes,10
2020,Yavatmal,November,Grievous Crashes,12
2020,Yavatmal,December,Grievous Crashes,16
