Year,District,Month,Crash Type,Number of Crashes
2018,Jalna,December,Fatal Crashes,21
2018,Kolhapur,January,Fatal Crashes,57
2018,Kolhapur,February,Fatal Crashes,33
2018,Kolhapur,March,Fatal Crashes,31
2018,Kolhapur,April,Fatal Crashes,23
2018,Kolhapur,May,Fatal Crashes,37
2018,Kolhapur,June,Fatal Crashes,34
2018,Kolhapur,July,Fatal Crashes,22
2018,Kolhapur,August,Fatal Crashes,25
2018,Kolhapur,September,Fatal Crashes,34
2018,Kolhapur,October,Fatal Crashes,25
2018,Kolhapur,November,Fatal Crashes,39
2018,Kolhapur,December,Fatal Crashes,44
2018,Latur,January,Fatal Crashes,23
2018,Latur,February,Fatal Crashes,11
2018,Latur,March,Fatal Crashes,16
2018,Latur,April,Fatal Crashes,18
2018,Latur,May,Fatal Crashes,30
2018,Latur,June,Fatal Crashes,19
2018,Latur,July,Fatal Crashes,19
2018,Latur,August,Fatal Crashes,18
2018,Latur,September,Fatal Crashes,15
2018,Latur,October,Fatal Crashes,15
2018,Latur,November,Fatal Crashes,27
2018,Latur,December,Fatal Crashes,35
2018,Mumbai,January,Fatal Crashes,69
2018,Mumbai,February,Fatal Crashes,71
2018,Mumbai,March,Fatal Crashes,60
2018,Mumbai,April,Fatal Crashes,67
2018,Mumbai,May,Fatal Crashes,52
2018,Mumbai,June,Fatal Crashes,79
2018,Mumbai,July,Fatal Crashes,52
2018,Mumbai,August,Fatal Crashes,56
2018,Mumbai,September,Fatal Crashes,51
2018,Mumbai,October,Fatal Crashes,72
2018,Mumbai,November,Fatal Crashes,61
2018,Mumbai,December,Fatal Crashes,62
2018,Nagpur,January,Fatal Crashes,46
2018,Nagpur,February,Fatal Crashes,43
2018,Nagpur,March,Fatal Crashes,49
2018,Nagpur,April,Fatal Crashes,54
2018,Nagpur,May,Fatal Crashes,53
2018,Nagpur,June,Fatal Crashes,44
2018,Nagpur,July,Fatal Crashes,30
2018,Nagpur,August,Fatal Crashes,51
2018,Nagpur,September,Fatal Crashes,57
2018,Nagpur,October,Fatal Crashes,50
2018,Nagpur,November,Fatal Crashes,54
2018,Nagpur,December,Fatal Crashes,52
2018,Nanded,January,Fatal Crashes,23
2018,Nanded,February,Fatal Crashes,21
2018,Nanded,March,Fatal Crashes,29
2018,Nanded,April,Fatal Crashes,29
2018,Nanded,May,Fatal Crashes,30
2018,Nanded,June,Fatal Crashes,23
2018,Nanded,July,Fatal Crashes,16
2018,Nanded,August,Fatal Crashes,18
2018,Nanded,September,Fatal Crashes,15
2018,Nanded,October,Fatal Crashes,19
2018,Nanded,November,Fatal Crashes,20
2018,Nanded,December,Fatal Crashes,27
2018,Nandurbar,January,Fatal Crashes,16
2018,Nandurbar,February,Fatal Crashes,17
2018,Nandurbar,March,Fatal Crashes,20
2018,Nandurbar,April,Fatal Crashes,17
2018,Nandurbar,May,Fatal Crashes,15
2018,Nandurbar,June,Fatal Crashes,16
2018,Nandurbar,July,Fatal Crashes,13
2018,Nandurbar,August,Fatal Crashes,9
2018,Nandurbar,September,Fatal Crashes,7
2018,Nandurbar,October,Fatal Crashes,14
2018,Nandurbar,November,Fatal Crashes,14
2018,Nandurbar,December,Fatal Crashes,19
2018,Nashik,January,Fatal Crashes,87
2018,Nashik,February,Fatal Crashes,90
2018,Nashik,March,Fatal Crashes,89
2018,Nashik,April,Fatal Crashes,100
2018,Nashik,May,Fatal Crashes,89
2018,Nashik,June,Fatal Crashes,102
2018,Nashik,July,Fatal Crashes,77
2018,Nashik,August,Fatal Crashes,80
2018,Nashik,September,Fatal Crashes,74
2018,Nashik,October,Fatal Crashes,74
2018,Nashik,November,Fatal Crashes,86
2018,Nashik,December,Fatal Crashes,86
2018,Dharashiv,January,Fatal Crashes,26
2018,Dharashiv,February,Fatal Crashes,27
2018,Dharashiv,March,Fatal Crashes,27
2018,Dharashiv,April,Fatal Crashes,30
2018,Dharashiv,May,Fatal Crashes,33
2018,Dharashiv,June,Fatal Crashes,29
2018,Dharashiv,July,Fatal Crashes,24
2018,Dharashiv,August,Fatal Crashes,23
2018,Dharashiv,September,Fatal Crashes,18
2018,Dharashiv,October,Fatal Crashes,27
2018,Dharashiv,November,Fatal Crashes,20
2018,Dharashiv,December,Fatal Crashes,33
2018,Palghar,January,Fatal Crashes,49
2018,Palghar,February,Fatal Crashes,53
2018,Palghar,March,Fatal Crashes,37
2018,Palghar,April,Fatal Crashes,42
2018,Palghar,May,Fatal Crashes,44
2018,Palghar,June,Fatal Crashes,56
2018,Palghar,July,Fatal Crashes,28
2018,Palghar,August,Fatal Crashes,26
2018,Palghar,September,Fatal Crashes,45
2018,Palghar,October,Fatal Crashes,40
2018,Palghar,November,Fatal Crashes,46
2018,Palghar,December,Fatal Crashes,39
2018,Parbhani,January,Fatal Crashes,5
2018,Parbhani,February,Fatal Crashes,2
2018,Parbhani,March,Fatal Crashes,18
2018,Parbhani,April,Fatal Crashes,8
2018,Parbhani,May,Fatal Crashes,20
2018,Parbhani,June,Fatal Crashes,9
2018,Parbhani,July,Fatal Crashes,10
2018,Parbhani,August,Fatal Crashes,9
2018,Parbhani,September,Fatal Crashes,11
2018,Parbhani,October,Fatal Crashes,9
2018,Parbhani,November,Fatal Crashes,8
2018,Parbhani,December,Fatal Crashes,14
2018,Pune,January,Fatal Crashes,119
2018,Pune,February,Fatal Crashes,114
2018,Pune,March,Fatal Crashes,152
2018,Pune,April,Fatal Crashes,109
2018,Pune,May,Fatal Crashes,149
2018,Pune,June,Fatal Crashes,113
2018,Pune,July,Fatal Crashes,139
2018,Pune,August,Fatal Crashes,90
2018,Pune,September,Fatal Crashes,110
