Year,District,Taluka,Daily,Weekly,Fortnightly,Monthly,Quarterly,Yearly
2014,Akola,Telhara,2.0,0.0,0.0,0.0,0.0,0.0
2014,Akola,Akot,1.0,3.0,0.0,0.0,0.0,0.0
2014,Akola,Balapur,0.0,1.0,0.0,0.0,0.0,0.0
2014,Akola,Akola,22.0,33.0,12.0,4.0,6.0,8.0
2014,Akola,Murtijapur,0.0,3.0,4.0,1.0,1.0,0.0
2014,Akola,Patur,0.0,0.0,0.0,0.0,0.0,0.0
2014,Akola,Barshitakali,2.0,0.0,1.0,0.0,0.0,0.0
2015,Akola,Telhara,2.0,0.0,0.0,0.0,0.0,0.0
2015,Akola,Akot,1.0,3.0,0.0,0.0,0.0,0.0
2015,Akola,Balapur,0.0,0.0,0.0,0.0,0.0,0.0
2015,Akola,Akola,22.0,32.0,0.0,0.0,0.0,0.0
2015,Akola,Murtijapur,0.0,2.0,0.0,0.0,0.0,0.0
2015,Akola,Patur,0.0,1.0,0.0,0.0,0.0,0.0
2015,Akola,Barshitakali,2.0,1.0,0.0,0.0,0.0,0.0
2016,Akola,Telhara,0.0,0.0,0.0,0.0,0.0,0.0
2016,Akola,Akot,1.0,3.0,0.0,0.0,0.0,0.0
2016,Akola,Balapur,0.0,0.0,0.0,0.0,0.0,0.0
2016,Akola,Akola,22.0,32.0,0.0,0.0,0.0,0.0
2016,Akola,Murtijapur,0.0,2.0,0.0,0.0,0.0,0.0
2016,Akola,Patur,0.0,1.0,0.0,0.0,0.0,0.0
2016,Akola,Barshitakali,0.0,1.0,0.0,0.0,0.0,0.0
2017,Akola,Telhara,0.0,0.0,0.0,0.0,0.0,0.0
2017,Akola,Akot,1.0,3.0,0.0,0.0,0.0,0.0
2017,Akola,Balapur,0.0,0.0,0.0,0.0,0.0,0.0
2017,Akola,Akola,20.0,32.0,0.0,0.0,0.0,0.0
2017,Akola,Murtijapur,0.0,2.0,0.0,0.0,0.0,0.0
2017,Akola,Patur,0.0,1.0,0.0,0.0,0.0,0.0
2017,Akola,Barshitakali,0.0,1.0,0.0,0.0,0.0,0.0
2018,Akola,Telhara,0.0,0.0,0.0,0.0,0.0,0.0
2018,Akola,Akot,1.0,3.0,0.0,0.0,0.0,0.0
2018,Akola,Balapur,0.0,0.0,0.0,0.0,0.0,0.0
2018,Akola,Akola,20.0,32.0,0.0,0.0,0.0,0.0
2018,Akola,Murtijapur,0.0,2.0,0.0,0.0,0.0,0.0
2018,Akola,Patur,0.0,1.0,0.0,0.0,0.0,0.0
2018,Akola,Barshitakali,0.0,1.0,0.0,0.0,0.0,0.0
2019,Akola,Telhara,0.0,0.0,0.0,0.0,0.0,0.0
2019,Akola,Akot,1.0,3.0,0.0,0.0,0.0,0.0
2019,Akola,Balapur,0.0,0.0,0.0,0.0,0.0,0.0
2019,Akola,Akola,20.0,32.0,0.0,0.0,0.0,0.0
2019,Akola,Murtijapur,0.0,2.0,0.0,0.0,0.0,0.0
2019,Akola,Patur,0.0,1.0,0.0,0.0,0.0,0.0
2019,Akola,Barshitakali,0.0,1.0,0.0,0.0,0.0,0.0
2020,Akola,Telhara,0.0,0.0,0.0,0.0,0.0,0.0
2020,Akola,Akot,1.0,3.0,0.0,0.0,0.0,0.0
2020,Akola,Balapur,0.0,0.0,0.0,0.0,0.0,0.0
2020,Akola,Akola,20.0,32.0,0.0,0.0,0.0,0.0
2020,Akola,Murtijapur,0.0,2.0,0.0,0.0,0.0,0.0
2020,Akola,Patur,0.0,1.0,0.0,0.0,0.0,0.0
2020,Akola,Barshitakali,0.0,1.0,0.0,0.0,0.0,0.0
2021,Akola,Telhara,0.0,0.0,0.0,0.0,0.0,0.0
2021,Akola,Akot,1.0,3.0,0.0,0.0,0.0,0.0
2021,Akola,Balapur,0.0,0.0,0.0,0.0,0.0,0.0
2021,Akola,Akola,20.0,38.0,0.0,0.0,0.0,0.0
2021,Akola,Murtijapur,0.0,2.0,0.0,0.0,0.0,0.0
2021,Akola,Patur,0.0,1.0,0.0,0.0,0.0,0.0
2021,Akola,Barshitakali,0.0,1.0,0.0,0.0,0.0,0.0
2012,Amravati,Dharani,,,,,,
2012,Amravati,Chikhraldara,,,,,,
2012,Amravati,Anjangaon Su,,1.0,,,,
2012,Amravati,Achalpur,,,,,,
2012,Amravati,Chandurbazar,,1.0,,,,
2012,Amravati,Morshi,,,,,,
2012,Amravati,Warud,,,,,,
2012,Amravati,Tivas,,,,,,
2012,Amravati,Amravati,34.0,49.0,,,,
2012,Amravati,Bhatkuli,,,,,,
2012,Amravati,Daryapur,,1.0,,,,
2012,Amravati,Nandgaon Kh,,,,,,
2012,Amravati,Chandur Railway,,,,,,
2012,Amravati,Dhamangaon Re,,,,,,
2013,Amravati,Dharani,0.0,0.0,0.0,0.0,0.0,0.0
2013,Amravati,Chikhraldara,0.0,0.0,0.0,0.0,0.0,0.0
2013,Amravati,Anjangaon Su,0.0,1.0,0.0,0.0,0.0,0.0
2013,Amravati,Achalpur,0.0,0.0,0.0,0.0,0.0,0.0
