Year,District,Age,Male,Female
2018,Gondia,36-45 Y,27,6
2018,Gondia,46-60 Y,17,5
2018,Gondia,0-18 Y,17,3
2018,Gondia,60 Y or more,9,0
2018,Gondia,Unknown,2,0
2018,Hingoli,19-25 Y,13,0
2018,Hingoli,26-35 Y,41,5
2018,Hingoli,36-45 Y,48,10
2018,Hingoli,46-60 Y,14,0
2018,Hingoli,0-18 Y,0,0
2018,Hingoli,60 Y or more,0,0
2018,Hingoli,Unknown,0,0
2018,Jalgaon,19-25 Y,93,13
2018,Jalgaon,26-35 Y,141,14
2018,Jalgaon,36-45 Y,85,10
2018,Jalgaon,46-60 Y,43,6
2018,Jalgaon,0-18 Y,5,2
2018,Jalgaon,60 Y or more,7,3
2018,Jalgaon,Unknown,0,0
2018,Jalna,19-25 Y,41,5
2018,Jalna,26-35 Y,60,4
2018,Jalna,36-45 Y,63,5
2018,Jalna,46-60 Y,19,4
2018,Jalna,0-18 Y,0,2
2018,Jalna,60 Y or more,0,2
2018,Jalna,Unknown,0,0
2018,Kolhapur,19-25 Y,68,10
2018,Kolhapur,26-35 Y,99,25
2018,Kolhapur,36-45 Y,74,21
2018,Kolhapur,46-60 Y,54,6
2018,Kolhapur,0-18 Y,35,6
2018,Kolhapur,60 Y or more,6,0
2018,Kolhapur,Unknown,0,0
2018,Latur,19-25 Y,2,0
2018,Latur,26-35 Y,124,28
2018,Latur,36-45 Y,78,8
2018,Latur,46-60 Y,5,0
2018,Latur,0-18 Y,0,0
2018,Latur,60 Y or more,1,0
2018,Latur,Unknown,0,0
2018,Mumbai,19-25 Y,170,14
2018,Mumbai,26-35 Y,137,23
2018,Mumbai,36-45 Y,134,17
2018,Mumbai,46-60 Y,115,5
2018,Mumbai,0-18 Y,33,6
2018,Mumbai,60 Y or more,68,17
2018,Mumbai,Unknown,0,0
2018,Nagpur,19-25 Y,129,15
2018,Nagpur,26-35 Y,149,29
2018,Nagpur,36-45 Y,93,17
2018,Nagpur,46-60 Y,75,9
2018,Nagpur,0-18 Y,36,9
2018,Nagpur,60 Y or more,17,5
2018,Nagpur,Unknown,0,0
2018,Nanded,19-25 Y,56,9
2018,Nanded,26-35 Y,81,9
2018,Nanded,36-45 Y,57,10
2018,Nanded,46-60 Y,27,5
2018,Nanded,0-18 Y,10,2
2018,Nanded,60 Y or more,4,0
2018,Nanded,Unknown,0,0
2018,Nandurbar,19-25 Y,46,0
2018,Nandurbar,26-35 Y,48,0
2018,Nandurbar,36-45 Y,42,0
2018,Nandurbar,46-60 Y,41,0
2018,Nandurbar,0-18 Y,0,0
2018,Nandurbar,60 Y or more,0,0
2018,Nandurbar,Unknown,0,0
2018,Nashik,19-25 Y,155,40
2018,Nashik,26-35 Y,223,29
2018,Nashik,36-45 Y,205,19
2018,Nashik,46-60 Y,173,19
2018,Nashik,0-18 Y,37,13
2018,Nashik,60 Y or more,112,8
2018,Nashik,Unknown,9,0
2018,Osmanabad,19-25 Y,42,3
2018,Osmanabad,26-35 Y,63,10
2018,Osmanabad,36-45 Y,47,9
2018,Osmanabad,46-60 Y,54,11
2018,Osmanabad,0-18 Y,10,6
2018,Osmanabad,60 Y or more,29,13
2018,Osmanabad,Unknown,18,2
2018,Palghar,19-25 Y,70,0
2018,Palghar,26-35 Y,117,10
2018,Palghar,36-45 Y,157,24
2018,Palghar,46-60 Y,95,18
2018,Palghar,0-18 Y,1,2
2018,Palghar,60 Y or more,5,2
2018,Palghar,Unknown,4,0
2018,Parbhani,19-25 Y,26,2
