Year,District,Routes,Length of Routes,Average Length of Routes,Existing Buses,Buses Running on the Road,Daily Avg Passengers (lakh),Daily Average Number of Passengers,Revenue from Transportation (lakh),Revenue from Transportation,Average Earnings per Passenger
2006,Ratnagiri,872.0,50770.1,58.22,605.0,554.0,238.05,23805000,1169600.0,116960000000,13.46
2008,Ratnagiri,956.0,54248.0,56.74,603.0,566.0,3.17,317000,13479.0,1347900000,11.65
2009,Ratnagiri,1040.0,59974.0,57.67,640.0,599.0,3.16,316000,14142.0,1414200000,12.26
2010,Ratnagiri,1102.0,65570.6,59.5,677.0,625.0,3.24,324000,15815.0,1581500000,13.37
2011,Ratnagiri,1170.0,67680.0,57.85,734.0,668.0,3.42,342000,18108.0,1810800000,14.5
2012,Ratnagiri,1168.0,66853.0,57.24,800.0,683.0,3.64,364000,19762.0,1976200000,14.85
2013,Ratnagiri,1134.0,68731.0,60.61,773.0,700.0,3.7,370000,21901.0,2190100000,16.21
2014,Ratnagiri,1157.0,73966.0,63.93,810.0,784.0,3.58,358000,23574.0,2357400000,18.04
2015,Ratnagiri,1169.0,69567.0,59.51,808.0,735.0,3.53,353000,28084.0,2808400000,21.8
2016,Ratnagiri,1145.0,63403.0,55.37,806.0,709.0,3.34,334000,26123.0,2612300000,21.43
2017,Ratnagiri,1148.0,59787.0,52.08,814.0,702.0,3.24,324000,25683.0,2568300000,21.7
2018,Ratnagiri,1154.0,59841.0,51.86,821.0,714.0,3.15,315000,30068.0,3006800000,26.15
2019,Ratnagiri,1162.0,59928.0,51.57,839.0,732.0,2.83,283000,29224.0,2922400000,28.21
2020,Ratnagiri,933.0,61275.0,67.63,835.0,373.0,0.92,92000,12249.0,1224900000,36.48
2021,Ratnagiri,183.0,11602.0,63.4,795.0,262.0,0.69,69000,8134.23,813423000,32.3
2012,Sangli,946.0,60392.7,63.8,908.0,836.0,4.25,425000,23900.14,2390014000,15.41
2013,Sangli,1016.0,69097.5,68.0,832.0,847.0,4.26,426000,26044.58,2604458000,16.75
2014,Sangli,1004.0,70731.3,70.4,906.0,843.0,3.86,386000,27628.52,2762852000,19.61
2015,Sangli,989.0,67122.0,67.9,879.0,843.0,3.74,374000,26969.06,2696906000,19.73
2016,Sangli,1038.0,67160.0,64.4,881.0,839.0,3.59,359000,25722.17,2572217000,19.63
2017,Sangli,1007.0,64827.7,64.4,870.0,819.0,3.52,352000,26814.54,2681454000,20.85
2018,Sangli,985.0,64416.9,64.4,858.0,806.0,3.43,343000,29610.2,2961020000,23.65
2019,Sangli,977.0,64961.5,65.4,843.0,764.0,3.04,304000,28012.61,2801261000,25.27
2020,Sangli,780.0,70671.2,90.6,801.0,342.0,0.69,69000,9602.16,960216000,38.13
2021,Sangli,469.0,39788.9,84.8,765.0,386.0,0.98,98000,12204.68,1220468000,34.12
2012,Satara,1122.0,56610.0,50.45,826.0,758.0,4.0,400000,21343.0,2134300000,14.62
2013,Satara,1071.0,57256.0,53.46,836.0,764.0,3.93,393000,22646.41,2264641000,15.79
2014,Satara,1109.0,55835.0,50.35,833.0,770.0,3.54,354000,24380.2,2438020000,18.87
2015,Satara,1102.0,57396.0,52.08,831.0,759.0,3.52,352000,24045.17,2404517000,18.72
2016,Satara,1055.0,51552.0,49.24,812.0,755.0,3.43,343000,29805.0,2980500000,23.84
2017,Satara,1008.0,48231.0,47.85,813.0,738.0,3.48,348000,29389.0,2938900000,23.14
2018,Satara,1057.0,51282.0,48.52,853.0,732.0,3.4,340000,33159.0,3315900000,26.73
2019,Satara,1046.0,53131.0,50.79,838.0,717.0,2.98,298000,32590.0,3259000000,29.96
2020,Satara,727.0,46766.0,64.0,794.0,628.0,0.65,65000,10334.0,1033400000,43.48
2021,Satara,93.0,13846.0,114.43,754.0,318.0,0.61,61000,10301.0,1030100000,35.39
2012,Sindhudurg,724.0,42314.0,58.44,434.0,384.0,2.01,201000,9465.0,946500000,12.89
2013,Sindhudurg,833.0,45950.0,55.16,419.0,393.0,1.97,197000,10271.0,1027100000,14.25
2014,Sindhudurg,825.0,44576.0,54.03,430.0,398.76,1.94,194000,10958.0,1095800000,15.46
2015,Sindhudurg,886.0,47219.0,53.29,427.0,403.25,1.88,188000,10780.2,1078020000,15.71
2016,Sindhudurg,895.0,45810.0,51.18,439.0,395.0,1.83,183000,9948.36,994836000,14.89
2017,Sindhudurg,857.0,43211.0,50.42,439.0,375.0,1.72,172000,8919.9,891990000,14.21
2018,Sindhudurg,879.0,43327.0,49.29,440.0,371.19,1.65,165000,10897.5,1089750000,18.05
2019,Sindhudurg,886.0,44385.0,50.1,470.0,377.0,1.51,151000,10527.93,1052793000,19.1
2020,Sindhudurg,714.0,41844.0,58.6,437.0,192.0,0.41,41000,4433.0,443300000,29.62
2021,Sindhudurg,60.0,5723.0,95.39,428.0,102.0,0.23,23000,2494.0,249400000,29.71
2010,Solapur,556.0,50536.0,90.89,785.0,744.0,2.73,273000,20863.0,2086300000,20.9
2012,Solapur,582.0,52360.0,89.97,803.0,744.0,2.67,267000,21861.28,2186128000,22.44
2013,Solapur,575.0,52043.0,90.51,809.0,756.16,2.66,266000,24000.0,2400000000,24.71
2014,Solapur,542.0,50592.0,93.34,806.0,743.0,2.49,249000,25557.0,2555700000,28.12
2015,Solapur,550.0,51382.0,93.34,801.0,742.0,2.39,239000,25175.0,2517500000,28.74
2016,Solapur,569.0,51576.0,90.64,797.0,740.0,2.5,250000,25084.63,2508463000,27.49
2017,Solapur,564.0,50892.0,90.23,792.0,724.0,2.63,263000,26154.44,2615444000,27.2
2018,Solapur,570.0,45839.0,80.42,781.0,712.0,2.65,265000,29452.76,2945276000,30.45
2019,Solapur,552.0,46396.0,84.05,777.0,6.92,2.47,247000,28916.56,2891656000,31.99
2020,Solapur,305.0,36671.0,120.23,752.0,327.0,0.53,53000,10666.86,1066686000,55.0
2021,Solapur,99.0,13343.0,135.0,753.0,297.0,0.47,47000,10411.02,1041102000,60.39
2014,Thane,529.0,46796.0,88.5,643.0,582.0,2.42,242000,22285.0,2228500000,25.23
2015,Thane,522.0,44003.0,84.3,653.0,598.0,2.46,246000,22555.0,2255500000,25.12
2016,Thane,429.0,30651.0,71.4,638.0,569.0,2.25,225000,19896.0,1989600000,24.23
2017,Thane,433.0,33483.0,77.3,661.0,525.0,1.99,199000,20285.0,2028500000,27.93
2018,Thane,436.0,38639.0,88.6,660.0,562.0,2.13,213000,23978.0,2397800000,30.84
2019,Thane,592.0,49582.3,83.7,613.0,542.0,2.09,209000,23976.0,2397600000,31.43
2020,Thane,351.0,43879.0,125.0,589.0,383.0,0.66,66000,11587.0,1158700000,48.1
2021,Thane,83.0,8191.7,99.0,587.0,261.0,0.63,63000,10240.0,1024000000,44.53
2012,Wardha,290.0,26712.0,92.11,280.0,259.0,1.22,122000,7461.84,746184000,16.76
2013,Wardha,295.0,29217.0,99.04,298.0,261.0,1.28,128000,7968.95,796895000,17.06
2014,Wardha,328.0,32622.0,99.46,323.0,292.0,1.29,129000,8679.03,867903000,18.94
2015,Wardha,343.0,34128.0,99.49,322.0,308.0,1.23,123000,8855.88,885588000,19.72
2016,Wardha,329.0,33328.0,101.3,321.0,270.0,1.29,129000,8587.8,858780000,18.72
2017,Wardha,361.0,21514.0,59.6,303.0,266.0,1.26,126000,8448.82,844882000,18.37
2018,Wardha,359.0,20629.0,57.4,274.0,250.0,1.21,121000,8925.8,892580000,20.21
2019,Wardha,359.0,20946.0,58.03,270.0,230.0,1.14,114000,8196.0,819600000,19.72
2020,Wardha,359.0,20946.0,58.35,228.0,228.0,0.33,33000,3440.51,344051000,31.98
2021,Wardha,200.0,18612.0,93.06,238.0,110.0,0.28,28000,3592.48,359248000,37.48
2008,Washim,172.0,15744.0,91.53,178.0,1.71,0.66,66000,4267.64,426764000,17.7
2009,Washim,162.0,14924.0,92.12,177.0,1.75,0.69,69000,4338.69,433869000,17.27
2010,Washim,163.0,15107.0,92.68,189.0,178.0,0.67,67000,4723.15,472315000,19.61
2011,Washim,151.0,18562.0,122.93,187.0,178.0,0.6,60000,5157.58,515758000,23.49
2012,Washim,160.0,22125.0,138.28,186.0,184.0,0.69,69000,5550.21,555021000,22.04
2013,Washim,164.0,23689.0,144.45,183.0,178.0,0.63,63000,5535.15,553515000,24.07
2014,Washim,166.0,24132.0,145.38,177.0,173.0,0.62,62000,6060.24,606024000,26.78
2015,Washim,176.0,25141.0,142.85,190.0,182.0,0.58,58000,5961.47,596147000,28.16
2016,Washim,176.0,25141.0,142.85,215.0,190.0,0.58,58000,5868.32,586832000,27.72
2017,Washim,260.0,20864.0,80.25,194.0,187.0,0.64,64000,6430.68,643068000,27.53
2018,Washim,264.0,20551.0,78.0,194.0,188.0,0.72,72000,7415.62,741562000,28.22
2019,Washim,264.0,20551.0,77.84,189.0,180.0,0.65,65000,6988.19,698819000,29.45
2020,Washim,232.0,15454.0,66.61,176.0,82.0,0.17,17000,2518.56,251856000,40.59
2021,Washim,67.0,11905.0,177.69,159.0,65.0,0.12,12000,2170.95,217095000,49.57
2012,Yavatmal,449.0,31052.0,69.16,485.0,448.0,1.69,169000,14196.0,1419600000,23.01
2013,Yavatmal,451.0,31124.0,69.01,492.0,457.0,1.6,160000,14806.0,1480600000,25.35
2014,Yavatmal,452.0,31138.0,68.89,490.0,458.0,1.5,150000,15614.0,1561400000,28.55
2015,Yavatmal,456.0,31356.0,68.76,510.0,459.0,1.51,151000,14993.0,1499300000,27.09
2016,Yavatmal,460.0,31569.0,68.63,511.0,451.0,1.5,150000,14107.0,1410700000,25.77
2017,Yavatmal,467.0,31717.0,67.92,503.0,427.0,1.49,149000,14103.75,1410375000,25.93
2018,Yavatmal,467.0,31717.0,67.92,512.0,443.0,1.64,164000,15546.81,1554681000,25.97
2019,Yavatmal,473.0,31819.0,67.27,495.0,424.0,1.54,154000,14906.07,1490607000,26.45
2020,Yavatmal,351.0,27335.0,77.88,466.0,217.0,0.41,41000,5908.8,590880000,39.48
2021,Yavatmal,71.0,5859.0,82.52,449.0,178.0,0.35,35000,5432.82,543282000,42.53
