Year,District,Routes,Length of Routes,Average Length of Routes,Existing Buses,Buses Running on the Road,Daily Avg Passengers (lakh),Daily Average Number of Passengers,Revenue from Transportation (lakh),Revenue from Transportation,Average Earnings per Passenger
2015,Chh. Sambhaji Nagar,387.0,43300.0,111.9,585.0,555.16,1.81,181000,19760.37,1976037000,29.9
2016,Chh. Sambhaji Nagar,423.0,44418.0,105.0,628.0,567.0,1.74,174000,18986.05,1898605000,29.89
2017,Chh. Sambhaji Nagar,414.0,46145.0,111.5,610.0,546.0,1.6,160000,19468.81,1946881000,33.34
2018,Chh. Sambhaji Nagar,422.0,48454.0,114.1,623.0,565.0,1.65,165000,21725.19,2172519000,36.07
2019,Chh. Sambhaji Nagar,424.0,48663.5,114.8,612.0,540.35,1.43,143000,20529.76,2052976000,39.33
2020,Chh. Sambhaji Nagar,258.0,41535.1,161.0,581.0,259.02,0.32,32000,7976.66,797666000,68.29
2021,Chh. Sambhaji Nagar,158.0,23911.6,151.3,582.0,258.96,0.41,41000,8353.54,835354000,55.21
2013,Beed,465.0,46553.0,100.1,492.0,468.07,1.7,170000,16179.38,1617938000,26.07
2014,Beed,475.0,51972.0,107.38,459.0,469.0,1.59,159000,17829.74,1782974000,30.78
2015,Beed,538.0,51130.0,95.0,488.0,463.0,1.65,165000,17078.17,1707817000,28.38
2016,Beed,572.0,54835.0,95.9,511.0,480.0,1.66,166000,16588.17,1658817000,27.38
2017,Beed,568.0,53315.0,93.86,512.0,481.0,1.66,166000,17007.59,1700759000,28.1
2018,Beed,556.0,53010.0,95.34,524.0,486.0,1.7,170000,19458.34,1945834000,29.92
2019,Beed,558.0,62091.0,111.27,517.0,473.0,1.62,162000,18954.26,1895426000,29.65
2020,Beed,323.0,50915.0,157.63,535.0,243.0,0.37,37000,7284.94,728494000,53.94
2021,Beed,116.0,20574.0,177.4,528.0,221.0,0.39,39000,7463.91,746391000,53.13
2012,Bhandara,218.0,17477.0,80.17,268.0,252.0,1.13,113000,6522.48,652248000,15.84
2013,Bhandara,228.0,17815.0,78.14,288.0,254.0,1.13,113000,7065.26,706526000,17.13
2014,Bhandara,296.0,23379.0,78.98,283.0,256.0,1.18,118000,7765.52,776552000,18.03
2015,Bhandara,301.0,23186.3,77.03,276.0,266.0,1.22,122000,7721.5,772150000,17.34
2016,Bhandara,282.0,21500.0,76.24,285.0,274.8,1.28,128000,7746.18,774618000,16.58
2017,Bhandara,280.0,21592.7,77.12,285.0,271.27,1.32,132000,12960.42,1296042000,26.9
2018,Bhandara,272.0,20970.0,77.1,281.0,270.74,1.25,125000,12519.5,1251950000,27.44
2019,Bhandara,268.0,20571.0,76.76,290.0,256.49,1.17,117000,12350.96,1235096000,28.84
