Year,District,Road Type,Fatalities,Grievous injuries
2020,Palghar,Other Roads,81,132
2020,Palghar,State Highways,70,82
2020,Parbhani,Expressway,0,0
2020,Parbhani,National Highways,32,49
2020,Parbhani,Other Roads,38,42
2020,Parbhani,State Highways,49,46
2020,Pune,Expressway,30,20
2020,Pune,National Highways,438,419
2020,Pune,Other Roads,485,628
2020,Pune,State Highways,139,125
2020,Raigad,Expressway,27,53
2020,Raigad,National Highways,92,218
2020,Raigad,Other Roads,40,81
2020,Raigad,State Highways,47,57
2020,Ratnagiri,Expressway,0,0
2020,Ratnagiri,National Highways,45,104
2020,Ratnagiri,Other Roads,43,64
2020,Ratnagiri,State Highways,15,54
2020,Sangli,Expressway,0,0
2020,Sangli,National Highways,47,40
2020,Sangli,Other Roads,166,288
2020,Sangli,State Highways,66,99
2020,Satara,Expressway,0,0
2020,Satara,National Highways,114,85
2020,Satara,Other Roads,115,142
2020,Satara,State Highways,130,154
2020,Sindhudurg,Expressway,0,0
2020,Sindhudurg,National Highways,15,22
2020,Sindhudurg,Other Roads,28,35
2020,Sindhudurg,State Highways,8,21
2020,Solapur,Expressway,0,0
2020,Solapur,National Highways,146,140
2020,Solapur,Other Roads,177,216
2020,Solapur,State Highways,170,171
2020,Thane,Expressway,0,0
2020,Thane,National Highways,249,312
2020,Thane,Other Roads,188,413
2020,Thane,State Highways,31,50
2020,Wardha,Expressway,0,0
2020,Wardha,National Highways,50,72
2020,Wardha,Other Roads,62,52
2020,Wardha,State Highways,71,67
2020,Washim,Expressway,0,0
2020,Washim,National Highways,3,0
2020,Washim,Other Roads,8,2
2020,Washim,State Highways,1,5
2020,Yavatmal,Expressway,0,0
2020,Yavatmal,National Highways,28,14
2020,Yavatmal,Other Roads,150,72
2020,Yavatmal,State Highways,156,78
