Year,District,Time of Day,Fatalities,Grievous injuries
2018,Bhandara,15:00 to 18:00,31,42
2018,Bhandara,18:00 to 21:00,37,37
2018,Bhandara,21:00 to 00:00,21,21
2018,Bhandara,Unknown,0,0
2018,Buldhana,00:00 to 03:00,30,22
2018,Buldhana,03:00 to 06:00,27,16
2018,Buldhana,06:00 to 09:00,34,18
2018,Buldhana,09:00 to 12:00,50,35
2018,Buldhana,12:00 to 15:00,45,37
2018,Buldhana,15:00 to 18:00,43,55
2018,Buldhana,18:00 to 21:00,38,28
2018,Buldhana,21:00 to 00:00,37,27
2018,Buldhana,Unknown,0,0
2018,Chandrapur,00:00 to 03:00,8,5
2018,Chandrapur,03:00 to 06:00,9,1
2018,Chandrapur,06:00 to 09:00,30,17
2018,Chandrapur,09:00 to 12:00,35,44
2018,Chandrapur,12:00 to 15:00,36,75
2018,Chandrapur,15:00 to 18:00,58,69
2018,Chandrapur,18:00 to 21:00,61,63
2018,Chandrapur,21:00 to 00:00,60,34
2018,Chandrapur,Unknown,0,0
2018,Dhule,00:00 to 03:00,21,54
2018,Dhule,03:00 to 06:00,15,25
2018,Dhule,06:00 to 09:00,25,46
2018,Dhule,09:00 to 12:00,72,115
2018,Dhule,12:00 to 15:00,66,145
2018,Dhule,15:00 to 18:00,46,65
2018,Dhule,18:00 to 21:00,45,59
2018,Dhule,21:00 to 00:00,24,48
2018,Dhule,Unknown,0,0
2018,Gadchiroli,00:00 to 03:00,5,0
2018,Gadchiroli,03:00 to 06:00,0,22
2018,Gadchiroli,06:00 to 09:00,0,0
2018,Gadchiroli,09:00 to 12:00,5,22
2018,Gadchiroli,12:00 to 15:00,54,91
2018,Gadchiroli,15:00 to 18:00,46,82
2018,Gadchiroli,18:00 to 21:00,46,35
2018,Gadchiroli,21:00 to 00:00,0,11
2018,Gadchiroli,Unknown,0,0
2018,Gondia,00:00 to 03:00,10,7
2018,Gondia,03:00 to 06:00,13,11
2018,Gondia,06:00 to 09:00,9,9
2018,Gondia,09:00 to 12:00,25,38
2018,Gondia,12:00 to 15:00,14,33
2018,Gondia,15:00 to 18:00,35,38
2018,Gondia,18:00 to 21:00,46,41
2018,Gondia,21:00 to 00:00,22,20
2018,Gondia,Unknown,0,0
2018,Hingoli,00:00 to 03:00,14,11
2018,Hingoli,03:00 to 06:00,2,12
2018,Hingoli,06:00 to 09:00,15,25
2018,Hingoli,09:00 to 12:00,14,49
2018,Hingoli,12:00 to 15:00,19,59
2018,Hingoli,15:00 to 18:00,22,47
2018,Hingoli,18:00 to 21:00,33,76
2018,Hingoli,21:00 to 00:00,12,20
2018,Hingoli,Unknown,0,0
2018,Jalgaon,00:00 to 03:00,25,19
2018,Jalgaon,03:00 to 06:00,10,31
2018,Jalgaon,06:00 to 09:00,29,42
2018,Jalgaon,09:00 to 12:00,58,76
2018,Jalgaon,12:00 to 15:00,99,142
2018,Jalgaon,15:00 to 18:00,80,107
2018,Jalgaon,18:00 to 21:00,83,87
2018,Jalgaon,21:00 to 00:00,38,34
2018,Jalgaon,Unknown,0,2
2018,Jalna,00:00 to 03:00,44,61
2018,Jalna,03:00 to 06:00,58,68
2018,Jalna,06:00 to 09:00,5,6
2018,Jalna,09:00 to 12:00,4,6
2018,Jalna,12:00 to 15:00,7,15
2018,Jalna,15:00 to 18:00,18,34
2018,Jalna,18:00 to 21:00,28,44
2018,Jalna,21:00 to 00:00,41,45
2018,Jalna,Unknown,0,0
2018,Kolhapur,00:00 to 03:00,28,37
2018,Kolhapur,03:00 to 06:00,37,15
2018,Kolhapur,06:00 to 09:00,45,75
2018,Kolhapur,09:00 to 12:00,86,186
2018,Kolhapur,12:00 to 15:00,52,123
2018,Kolhapur,15:00 to 18:00,49,137
2018,Kolhapur,18:00 to 21:00,55,110
2018,Kolhapur,21:00 to 00:00,62,87
2018,Kolhapur,Unknown,0,0
2018,Latur,00:00 to 03:00,1,1
2018,Latur,03:00 to 06:00,12,12
2018,Latur,06:00 to 09:00,20,31
2018,Latur,09:00 to 12:00,34,51
2018,Latur,12:00 to 15:00,33,72
2018,Latur,15:00 to 18:00,70,46
2018,Latur,18:00 to 21:00,30,25
2018,Latur,21:00 to 00:00,46,59
2018,Latur,Unknown,0,0
2018,Mumbai,00:00 to 03:00,92,299
2018,Mumbai,03:00 to 06:00,73,215
2018,Mumbai,06:00 to 09:00,90,262
2018,Mumbai,09:00 to 12:00,91,375
2018,Mumbai,12:00 to 15:00,97,379
2018,Mumbai,15:00 to 18:00,92,434
2018,Mumbai,18:00 to 21:00,99,472
2018,Mumbai,21:00 to 00:00,118,423
2018,Mumbai,Unknown,0,0
2018,Nagpur,00:00 to 03:00,13,25
2018,Nagpur,03:00 to 06:00,45,40
2018,Nagpur,06:00 to 09:00,77,153
2018,Nagpur,09:00 to 12:00,85,187
2018,Nagpur,12:00 to 15:00,94,207
2018,Nagpur,15:00 to 18:00,110,203
2018,Nagpur,18:00 to 21:00,112,170
2018,Nagpur,21:00 to 00:00,47,108
2018,Nagpur,Unknown,0,0
2018,Nanded,00:00 to 03:00,25,66
2018,Nanded,03:00 to 06:00,57,66
2018,Nanded,06:00 to 09:00,20,44
2018,Nanded,09:00 to 12:00,39,60
2018,Nanded,12:00 to 15:00,40,50
2018,Nanded,15:00 to 18:00,27,41
2018,Nanded,18:00 to 21:00,43,69
2018,Nanded,21:00 to 00:00,19,61
2018,Nanded,Unknown,0,0
2018,Nandurbar,00:00 to 03:00,0,0
2018,Nandurbar,03:00 to 06:00,1,0
