Year,District,Select Violation,Number of Cases,Fine Collected
2018,Jalna,Honking,0.0,0.0
2018,Jalna,Jaywalking,0.0,0.0
2018,Jalna,Other Cases,10473.0,2343100.0
2018,Jalna,Illicit Cases,354.0,577200.0
2018,Jalna,Carrying Passengers in Goods Vehicles,,
2018,Jalna,Without License,,
2018,Jalna,Excess Passengers,,
2018,Jalna,Carrying Goods in Closed Body Vehicles,,
2018,Jalna,Dangerous Goods,,
2018,Jalna,Violation of Permit,,
2018,Jalna,Trespassing,,
2018,Jalna,Clandestine Operations,,
2018,Jalna,Without Insurance,,
2018,Kolhapur,Dangerous Driving,547.0,294900.0
2018,Kolhapur,Overtaking,2.0,400.0
2018,Kolhapur,Overspeeding,46.0,43300.0
2018,Kolhapur,Drunken Driving,1227.0,1535600.0
2018,Kolhapur,Parking Offence,27789.0,5558020.0
2018,Kolhapur,Overload,141.0,28200.0
2018,Kolhapur,Without Brake Lights,11.0,2200.0
2018,Kolhapur,Without Seatbelt,2573.0,517100.0
2018,Kolhapur,Without Helmet,233.0,98800.0
2018,Kolhapur,Improper Number Plate,6703.0,1373000.0
2018,Kolhapur,Tinted Glass,99.0,19800.0
2018,Kolhapur,Wrong Side Driving,1281.0,257000.0
2018,Kolhapur,Use of Mobile while Driving,7858.0,1585500.0
2018,Kolhapur,Signal Jumping,7296.0,1456000.0
2018,Kolhapur,Honking,0.0,0.0
2018,Kolhapur,Jaywalking,0.0,0.0
2018,Kolhapur,Other Cases,57597.0,14690180.0
2018,Kolhapur,Illicit Cases,454.0,618300.0
2018,Kolhapur,Carrying Passengers in Goods Vehicles,,
2018,Kolhapur,Without License,,
2018,Kolhapur,Excess Passengers,,
2018,Kolhapur,Carrying Goods in Closed Body Vehicles,,
2018,Kolhapur,Dangerous Goods,,
2018,Kolhapur,Violation of Permit,,
2018,Kolhapur,Trespassing,,
2018,Kolhapur,Clandestine Operations,,
2018,Kolhapur,Without Insurance,,
2018,Latur,Dangerous Driving,16.0,11500.0
2018,Latur,Overtaking,0.0,0.0
2018,Latur,Overspeeding,0.0,0.0
2018,Latur,Drunken Driving,55.0,0.0
2018,Latur,Parking Offence,7014.0,851900.0
2018,Latur,Overload,0.0,0.0
2018,Latur,Without Brake Lights,0.0,0.0
2018,Latur,Without Seatbelt,350.0,70000.0
2018,Latur,Without Helmet,26.0,13000.0
2018,Latur,Improper Number Plate,0.0,0.0
2018,Latur,Tinted Glass,44.0,14300.0
2018,Latur,Wrong Side Driving,3279.0,402000.0
2018,Latur,Use of Mobile while Driving,2376.0,284600.0
2018,Latur,Signal Jumping,4136.0,500000.0
2018,Latur,Honking,0.0,0.0
2018,Latur,Jaywalking,0.0,0.0
2018,Latur,Other Cases,27186.0,3967800.0
2018,Latur,Illicit Cases,4400.0,4740600.0
2018,Latur,Carrying Passengers in Goods Vehicles,,
2018,Latur,Without License,,
2018,Latur,Excess Passengers,,
2018,Latur,Carrying Goods in Closed Body Vehicles,,
2018,Latur,Dangerous Goods,,
2018,Latur,Violation of Permit,,
2018,Latur,Trespassing,,
2018,Latur,Clandestine Operations,,
2018,Latur,Without Insurance,,
2018,Mumbai,Dangerous Driving,25891.0,4528000.0
2018,Mumbai,Overtaking,11502.0,2483100.0
2018,Mumbai,Overspeeding,778894.0,117564100.0
2018,Mumbai,Drunken Driving,14660.0,27320110.0
2018,Mumbai,Parking Offence,1253760.0,99488200.0
2018,Mumbai,Overload,26250.0,2692600.0
2018,Mumbai,Without Brake Lights,1171.0,1068700.0
2018,Mumbai,Without Seatbelt,46992.0,6831640.0
2018,Mumbai,Without Helmet,135532.0,15618030.0
2018,Mumbai,Improper Number Plate,16314.0,1714800.0
2018,Mumbai,Tinted Glass,5226.0,675000.0
2018,Mumbai,Wrong Side Driving,25658.0,1872400.0
2018,Mumbai,Use of Mobile while Driving,46214.0,5700890.0
2018,Mumbai,Signal Jumping,145329.0,12023840.0
2018,Mumbai,Honking,201.0,24200.0
2018,Mumbai,Jaywalking,3177.0,492300.0
2018,Mumbai,Other Cases,1511030.0,128873291.0
2018,Mumbai,Illicit Cases,1402.0,1798150.0
2018,Mumbai,Carrying Passengers in Goods Vehicles,,
2018,Mumbai,Without License,,
2018,Mumbai,Excess Passengers,,
2018,Mumbai,Carrying Goods in Closed Body Vehicles,,
2018,Mumbai,Dangerous Goods,,
2018,Mumbai,Violation of Permit,,
2018,Mumbai,Trespassing,,
2018,Mumbai,Clandestine Operations,,
2018,Mumbai,Without Insurance,,
2018,Nagpur,Dangerous Driving,2481.0,2474600.0
2018,Nagpur,Overtaking,342.0,0.0
2018,Nagpur,Overspeeding,1790.0,205800.0
2018,Nagpur,Drunken Driving,23911.0,41642400.0
2018,Nagpur,Parking Offence,45284.0,9507900.0
2018,Nagpur,Overload,4.0,5600.0
2018,Nagpur,Without Brake Lights,382.0,77000.0
2018,Nagpur,Without Seatbelt,24787.0,4718000.0
2018,Nagpur,Without Helmet,62137.0,21286300.0
2018,Nagpur,Improper Number Plate,1379.0,579800.0
2018,Nagpur,Tinted Glass,2684.0,477200.0
2018,Nagpur,Wrong Side Driving,24969.0,3972200.0
2018,Nagpur,Use of Mobile while Driving,9721.0,1631900.0
2018,Nagpur,Signal Jumping,21284.0,3807600.0
2018,Nagpur,Honking,105.0,78100.0
2018,Nagpur,Jaywalking,0.0,0.0
2018,Nagpur,Other Cases,503434.0,75835900.0
2018,Nagpur,Illicit Cases,6662.0,9557500.0
2018,Nagpur,Carrying Passengers in Goods Vehicles,,
2018,Nagpur,Without License,,
2018,Nagpur,Excess Passengers,,
2018,Nagpur,Carrying Goods in Closed Body Vehicles,,
2018,Nagpur,Dangerous Goods,,
2018,Nagpur,Violation of Permit,,
2018,Nagpur,Trespassing,,
2018,Nagpur,Clandestine Operations,,
2018,Nagpur,Without Insurance,,
2018,Nanded,Dangerous Driving,138.0,89200.0
2018,Nanded,Overtaking,1.0,200.0
2018,Nanded,Overspeeding,317.0,294400.0
2018,Nanded,Drunken Driving,49.0,71200.0
2018,Nanded,Parking Offence,3023.0,656400.0
2018,Nanded,Overload,199.0,403400.0
2018,Nanded,Without Brake Lights,0.0,0.0
2018,Nanded,Without Seatbelt,341.0,70100.0
2018,Nanded,Without Helmet,12.0,2400.0
2018,Nanded,Improper Number Plate,805.0,161000.0
2018,Nanded,Tinted Glass,22.0,4400.0
2018,Nanded,Wrong Side Driving,258.0,80400.0
2018,Nanded,Use of Mobile while Driving,1224.0,277200.0
2018,Nanded,Signal Jumping,472.0,90800.0
2018,Nanded,Honking,0.0,0.0
2018,Nanded,Jaywalking,0.0,0.0
2018,Nanded,Other Cases,37439.0,9904012.0
2018,Nanded,Illicit Cases,936.0,1461100.0
2018,Nanded,Carrying Passengers in Goods Vehicles,,
2018,Nanded,Without License,,
2018,Nanded,Excess Passengers,,
2018,Nanded,Carrying Goods in Closed Body Vehicles,,
2018,Nanded,Dangerous Goods,,
2018,Nanded,Violation of Permit,,
2018,Nanded,Trespassing,,
2018,Nanded,Clandestine Operations,,
2018,Nanded,Without Insurance,,
2018,Nandurbar,Dangerous Driving,112.0,43900.0
2018,Nandurbar,Overtaking,40.0,8000.0
2018,Nandurbar,Overspeeding,35.0,21200.0
2018,Nandurbar,Drunken Driving,33.0,13100.0
2018,Nandurbar,Parking Offence,168.0,33600.0
2018,Nandurbar,Overload,201.0,41400.0
2018,Nandurbar,Without Brake Lights,62.0,13000.0
2018,Nandurbar,Without Seatbelt,2046.0,409000.0
2018,Nandurbar,Without Helmet,76.0,27800.0
2018,Nandurbar,Improper Number Plate,19.0,3800.0
2018,Nandurbar,Tinted Glass,115.0,24700.0
2018,Nandurbar,Wrong Side Driving,1649.0,329800.0
2018,Nandurbar,Use of Mobile while Driving,319.0,63800.0
2018,Nandurbar,Signal Jumping,1169.0,269900.0
2018,Nandurbar,Honking,1.0,200.0
2018,Nandurbar,Jaywalking,0.0,0.0
2018,Nandurbar,Other Cases,6958.0,1432200.0
2018,Nandurbar,Illicit Cases,147.0,90200.0
2018,Nandurbar,Carrying Passengers in Goods Vehicles,,
2018,Nandurbar,Without License,,
2018,Nandurbar,Excess Passengers,,
2018,Nandurbar,Carrying Goods in Closed Body Vehicles,,
2018,Nandurbar,Dangerous Goods,,
2018,Nandurbar,Violation of Permit,,
2018,Nandurbar,Trespassing,,
2018,Nandurbar,Clandestine Operations,,
2018,Nandurbar,Without Insurance,,
2018,Nashik,Dangerous Driving,165.0,153600.0
2018,Nashik,Overtaking,0.0,0.0
2018,Nashik,Overspeeding,183.0,170300.0
2018,Nashik,Drunken Driving,962.0,1192800.0
2018,Nashik,Parking Offence,55750.0,11150000.0
2018,Nashik,Overload,4613.0,922600.0
2018,Nashik,Without Brake Lights,3170.0,634000.0
2018,Nashik,Without Seatbelt,32206.0,6441200.0
2018,Nashik,Without Helmet,22399.0,11199500.0
2018,Nashik,Improper Number Plate,3898.0,779600.0
2018,Nashik,Tinted Glass,4032.0,951200.0
2018,Nashik,Wrong Side Driving,9797.0,1959400.0
2018,Nashik,Use of Mobile while Driving,5393.0,1078600.0
2018,Nashik,Signal Jumping,7962.0,1592400.0
2018,Nashik,Honking,0.0,0.0
2018,Nashik,Jaywalking,0.0,0.0
2018,Nashik,Other Cases,116221.0,24103800.0
2018,Nashik,Illicit Cases,3934.0,3611000.0
2018,Nashik,Carrying Passengers in Goods Vehicles,,
2018,Nashik,Without License,,
2018,Nashik,Excess Passengers,,
2018,Nashik,Carrying Goods in Closed Body Vehicles,,
2018,Nashik,Dangerous Goods,,
2018,Nashik,Violation of Permit,,
2018,Nashik,Trespassing,,
2018,Nashik,Clandestine Operations,,
2018,Nashik,Without Insurance,,
2018,Osmanabad,Dangerous Driving,3.0,5200.0
2018,Osmanabad,Overtaking,0.0,0.0
2018,Osmanabad,Overspeeding,9.0,9500.0
2018,Osmanabad,Drunken Driving,18.0,14700.0
2018,Osmanabad,Parking Offence,11.0,2400.0
2018,Osmanabad,Overload,88.0,17600.0
2018,Osmanabad,Without Brake Lights,0.0,0.0
2018,Osmanabad,Without Seatbelt,1408.0,282800.0
2018,Osmanabad,Without Helmet,186.0,93600.0
