Year,District,Taluka,Road Material,Length
2016,Ahilyanagar,Rahuri,Asphalt/Cement/Concrete,671.93
2016,Ahilyanagar,Parner,Unpaved,909.29
2016,Ahilyanagar,Parner,Rock,225.34
2016,Ahilyanagar,Parner,Asphalt/Cement/Concrete,905.94
2016,Ahilyanagar,Srigonda,Unpaved,862.61
2016,Ahilyanagar,Srigonda,Rock,298
2016,Ahilyanagar,Srigonda,Asphalt/Cement/Concrete,708.66
2016,Ahilyanagar,Karjat,Unpaved,432.5
2016,Ahilyanagar,Karjat,Rock,588.24
2016,Ahilyanagar,Karjat,Asphalt/Cement/Concrete,567.41
2016,Ahilyanagar,Jamkhed,Unpaved,332.46
2016,Ahilyanagar,Jamkhed,Rock,197.39
2016,Ahilyanagar,Jamkhed,Asphalt/Cement/Concrete,413.1
2017,Ahilyanagar,Akole,Unpaved,418.91
2017,Ahilyanagar,Akole,Rock,279.74
2017,Ahilyanagar,Akole,Asphalt/Cement/Concrete,1063.56
2017,Ahilyanagar,Sangamner,Unpaved,579.15
2017,Ahilyanagar,Sangamner,Rock,363.4
2017,Ahilyanagar,Sangamner,Asphalt/Cement/Concrete,1098.74
2017,Ahilyanagar,Kopargaon,Unpaved,51.4
2017,Ahilyanagar,Kopargaon,Rock,406.74
2017,Ahilyanagar,Kopargaon,Asphalt/Cement/Concrete,579.1
2017,Ahilyanagar,Rahata,Unpaved,208.9
2017,Ahilyanagar,Rahata,Rock,262.05
2017,Ahilyanagar,Rahata,Asphalt/Cement/Concrete,767.56
2017,Ahilyanagar,Srirampur,Unpaved,213.7
2017,Ahilyanagar,Srirampur,Rock,367.05
2017,Ahilyanagar,Srirampur,Asphalt/Cement/Concrete,655.5
2017,Ahilyanagar,Nevasa,Unpaved,313
2017,Ahilyanagar,Nevasa,Rock,678.91
2017,Ahilyanagar,Nevasa,Asphalt/Cement/Concrete,679.01
2017,Ahilyanagar,Shevgaon,Unpaved,440.1
2017,Ahilyanagar,Shevgaon,Rock,247.5
2017,Ahilyanagar,Shevgaon,Asphalt/Cement/Concrete,558.5
2017,Ahilyanagar,Pathardi,Unpaved,395.85
2017,Ahilyanagar,Pathardi,Rock,271.07
2017,Ahilyanagar,Pathardi,Asphalt/Cement/Concrete,757.17
2017,Ahilyanagar,Nagar,Unpaved,549.45
2017,Ahilyanagar,Nagar,Rock,330.4
2017,Ahilyanagar,Nagar,Asphalt/Cement/Concrete,1088.85
2017,Ahilyanagar,Rahuri,Unpaved,290
2017,Ahilyanagar,Rahuri,Rock,461.17
2017,Ahilyanagar,Rahuri,Asphalt/Cement/Concrete,712.69
2017,Ahilyanagar,Parner,Unpaved,934.29
2017,Ahilyanagar,Parner,Rock,218.94
2017,Ahilyanagar,Parner,Asphalt/Cement/Concrete,907.24
2017,Ahilyanagar,Srigonda,Unpaved,873.11
2017,Ahilyanagar,Srigonda,Rock,290.5
2017,Ahilyanagar,Srigonda,Asphalt/Cement/Concrete,684.79
2017,Ahilyanagar,Karjat,Unpaved,520.19
2017,Ahilyanagar,Karjat,Rock,473.2
2017,Ahilyanagar,Karjat,Asphalt/Cement/Concrete,633.67
2017,Ahilyanagar,Jamkhed,Unpaved,351.03
2017,Ahilyanagar,Jamkhed,Rock,150.19
2017,Ahilyanagar,Jamkhed,Asphalt/Cement/Concrete,423.63
2018,Ahilyanagar,Akole,Unpaved,396.45
2018,Ahilyanagar,Akole,Rock,293.35
2018,Ahilyanagar,Sangamner,Unpaved,584.1
2018,Ahilyanagar,Sangamner,Rock,431.28
2018,Ahilyanagar,Kopargaon,Unpaved,55.7
2018,Ahilyanagar,Kopargaon,Rock,396.64
2018,Ahilyanagar,Rahata,Unpaved,257.29
2018,Ahilyanagar,Rahata,Rock,272.96
2018,Ahilyanagar,Srirampur,Unpaved,212.35
2018,Ahilyanagar,Srirampur,Rock,369.4
2018,Ahilyanagar,Nevasa,Unpaved,391.5
2018,Ahilyanagar,Nevasa,Rock,694.56
2018,Ahilyanagar,Shevgaon,Unpaved,449.13
2018,Ahilyanagar,Shevgaon,Rock,223.3
2018,Ahilyanagar,Pathardi,Unpaved,406.05
2018,Ahilyanagar,Pathardi,Rock,263.37
2018,Ahilyanagar,Nagar,Unpaved,546.5
2018,Ahilyanagar,Nagar,Rock,330
2018,Ahilyanagar,Rahuri,Unpaved,372.12
2018,Ahilyanagar,Rahuri,Rock,457.72
2018,Ahilyanagar,Parner,Unpaved,924.79
2018,Ahilyanagar,Parner,Rock,212.84
2018,Ahilyanagar,Srigonda,Unpaved,880.11
2018,Ahilyanagar,Srigonda,Rock,297
2018,Ahilyanagar,Karjat,Unpaved,540.67
2018,Ahilyanagar,Karjat,Rock,464.38
2018,Ahilyanagar,Jamkhed,Unpaved,345.13
2018,Ahilyanagar,Jamkhed,Rock,142.29
2019,Ahilyanagar,Akole,Unpaved,406.65
2019,Ahilyanagar,Akole,Rock,273.72
2019,Ahilyanagar,Sangamner,Unpaved,577.6
2019,Ahilyanagar,Sangamner,Rock,360.02
2019,Ahilyanagar,Kopargaon,Unpaved,61.83
2019,Ahilyanagar,Kopargaon,Rock,447.17
2019,Ahilyanagar,Rahata,Unpaved,255.55
2019,Ahilyanagar,Rahata,Rock,273.29
2019,Ahilyanagar,Srirampur,Unpaved,200
2019,Ahilyanagar,Srirampur,Rock,352.55
2019,Ahilyanagar,Nevasa,Unpaved,308.29
2019,Ahilyanagar,Nevasa,Rock,662.09
