Year,District,Taluka,Length of roads per 100 sq.km
2012,Amravati,Nandgaon Kh,74.18
2012,Amravati,Chandur Railway,89.16
2012,Amravati,Dhamangaon Re,73.78
2013,Amravati,Dharani,72.85
2013,Amravati,Chikhraldara,63.06
2013,Amravati,Anjangaon Su,37.34
2013,Amravati,Achalpur,68.78
2013,Amravati,Chandurbazar,93.77
2013,Amravati,Morshi,99.78
2013,Amravati,Warud,58.35
2013,Amravati,Tivas,78.85
2013,Amravati,Amravati,69.13
2013,Amravati,Bhatkuli,62.59
2013,Amravati,Daryapur,89.34
2013,Amravati,Nandgaon Kh,72.52
2013,Amravati,Chandur Railway,94.29
2013,Amravati,Dhamangaon Re,74.7
2014,Amravati,Dharani,66.45
2014,Amravati,Chikhraldara,62.65
2014,Amravati,Anjangaon Su,37.9
2014,Amravati,Achalpur,70.31
2014,Amravati,Chandurbazar,96.29
2014,Amravati,Morshi,101.84
2014,Amravati,Warud,55.1
2014,Amravati,Tivas,79.59
2014,Amravati,Amravati,68.94
2014,Amravati,Bhatkuli,62.58
2014,Amravati,Daryapur,89.9
2014,Amravati,Nandgaon Kh,73.11
2014,Amravati,Chandur Railway,94.53
2014,Amravati,Dhamangaon Re,75.17
2015,Amravati,Dharani,66.86
2015,Amravati,Chikhraldara,62.65
2015,Amravati,Anjangaon Su,37.9
2015,Amravati,Achalpur,70.31
2015,Amravati,Chandurbazar,96.29
2015,Amravati,Morshi,101.84
2015,Amravati,Warud,55.1
2015,Amravati,Tivas,79.59
2015,Amravati,Amravati,68.94
2015,Amravati,Bhatkuli,195.56
2015,Amravati,Daryapur,89.9
2015,Amravati,Nandgaon Kh,73.11
2015,Amravati,Chandur Railway,94.53
2015,Amravati,Dhamangaon Re,75.17
2016,Amravati,Dharani,66.86
2016,Amravati,Chikhraldara,58.86
2016,Amravati,Anjangaon Su,37.09
2016,Amravati,Achalpur,69.2
2016,Amravati,Chandurbazar,91.35
2016,Amravati,Morshi,80.13
2016,Amravati,Warud,66.17
2016,Amravati,Tivas,85.12
2016,Amravati,Amravati,63.84
2016,Amravati,Bhatkuli,83.32
2016,Amravati,Daryapur,82.38
2016,Amravati,Nandgaon Kh,74.97
2016,Amravati,Chandur Railway,93.32
2016,Amravati,Dhamangaon Re,92.4
2017,Amravati,Dharani,71.04
2017,Amravati,Chikhraldara,57.29
2017,Amravati,Anjangaon Su,37.38
2017,Amravati,Achalpur,68.78
2017,Amravati,Chandurbazar,93.77
2017,Amravati,Morshi,99.35
2017,Amravati,Warud,58.35
2017,Amravati,Tivas,78.58
2017,Amravati,Amravati,69.13
2017,Amravati,Bhatkuli,89.34
2017,Amravati,Daryapur,72.52
2017,Amravati,Nandgaon Kh,94.29
2017,Amravati,Chandur Railway,74.7
2017,Amravati,Dhamangaon Re,66.45
2018,Amravati,Dharani,56.18
2018,Amravati,Chikhraldara,36.47
2018,Amravati,Anjangaon Su,71.3
2018,Amravati,Achalpur,96.69
2018,Amravati,Chandurbazar,71.84
2018,Amravati,Morshi,70.04
2018,Amravati,Warud,85.07
2018,Amravati,Tivas,62.93
2018,Amravati,Amravati,78.1
2018,Amravati,Bhatkuli,84.85
2018,Amravati,Daryapur,73.47
2018,Amravati,Nandgaon Kh,95.74
2018,Amravati,Chandur Railway,90.2
2018,Amravati,Dhamangaon Re,68.87
2019,Amravati,Dharani,56.41
2019,Amravati,Chikhraldara,36.58
2019,Amravati,Anjangaon Su,71.97
2019,Amravati,Achalpur,97.22
2019,Amravati,Chandurbazar,72.09
2019,Amravati,Morshi,69.99
2019,Amravati,Warud,85.54
2019,Amravati,Tivas,61.46
2019,Amravati,Amravati,75.84
2019,Amravati,Bhatkuli,85.45
2019,Amravati,Daryapur,73.8
2019,Amravati,Nandgaon Kh,95.2
2019,Amravati,Chandur Railway,89.91
2019,Amravati,Dhamangaon Re,67.49
2020,Amravati,Dharani,56.41
2020,Amravati,Chikhraldara,36.58
2020,Amravati,Anjangaon Su,72.68
2020,Amravati,Achalpur,97.76
2020,Amravati,Chandurbazar,73.0
2020,Amravati,Morshi,75.96
2020,Amravati,Warud,86.36
2020,Amravati,Tivas,63.25
2020,Amravati,Amravati,76.83
2020,Amravati,Bhatkuli,85.45
2020,Amravati,Daryapur,73.82
2020,Amravati,Nandgaon Kh,95.61
2020,Amravati,Chandur Railway,90.08
2020,Amravati,Dhamangaon Re,67.81
2021,Amravati,Dharani,56.45
2021,Amravati,Chikhraldara,36.61
2021,Amravati,Anjangaon Su,72.87
2021,Amravati,Achalpur,97.76
2021,Amravati,Chandurbazar,73.0
2021,Amravati,Morshi,76.68
