District,Year,Hybrid Cows,Native Cows,Buffalo
Pune,2020.0,430615.0,126813.0,273764.0
Pune,2021.0,581290.0,59866.0,187498.0
Raigad,2012.0,3645.0,6.0,0.0
Raigad,2013.0,4018.0,0.0,0.0
Raigad,2014.0,4788.0,139.0,0.0
Raigad,2015.0,4954.0,271.0,0.0
Raigad,2016.0,3991.0,794.0,0.0
Raigad,2017.0,4364.0,1535.0,0.0
Raigad,2018.0,3088.0,35023.0,26053.0
Raigad,2019.0,3088.0,35023.0,26053.0
Raigad,2020.0,3088.0,35023.0,26053.0
Raigad,2021.0,4621.0,2202.0,14355.0
,,,,
,,,,
,,,,
,,,,
,,,,
Ratnagiri,2012.0,6112.0,0.0,4792.0
Ratnagiri,2013.0,7144.0,0.0,5781.0
Ratnagiri,2014.0,8209.0,0.0,6556.0
Ratnagiri,2015.0,9022.0,762.0,7147.0
Ratnagiri,2016.0,8416.0,1157.0,7365.0
Ratnagiri,2017.0,7853.0,2698.0,7273.0
Ratnagiri,2018.0,13672.0,111033.0,32299.0
Ratnagiri,2019.0,13672.0,111033.0,32299.0
Ratnagiri,2020.0,13672.0,111033.0,32299.0
Ratnagiri,2021.0,6701.0,727.0,3322.0
Sangli,2012.0,73675.0,16469.0,108323.0
Sangli,2013.0,77329.0,19215.0,122896.0
Sangli,2014.0,82456.0,16073.0,127270.0
Sangli,2015.0,61312.0,13059.0,98255.0
Sangli,2016.0,52842.0,11533.0,76621.0
Sangli,2017.0,54109.0,10815.0,74341.0
Sangli,2018.0,82311.0,34764.0,197226.0
Sangli,2019.0,82311.0,34764.0,197226.0
Sangli,2020.0,82311.0,34764.0,197226.0
Sangli,2021.0,206211.0,63988.0,299439.0
Satara,2012.0,70181.0,16854.0,60829.0
Satara,2013.0,72439.0,16492.0,66998.0
Satara,2014.0,73252.0,16221.0,68338.0
Satara,2015.0,72660.0,14265.0,65589.0
Satara,2016.0,73237.0,15121.0,70868.0
Satara,2017.0,80154.0,15964.0,77117.0
Satara,2018.0,89172.0,32854.0,141578.0
Satara,2019.0,89172.0,32854.0,141578.0
Satara,2020.0,89172.0,32854.0,141578.0
Satara,2021.0,22238.0,36189.0,101227.0
Sindhudurg,2012.0,3815.0,0.0,7316.0
Sindhudurg,2013.0,4480.0,0.0,8225.0
Sindhudurg,2014.0,4946.0,0.0,8898.0
Sindhudurg,2015.0,4994.0,17.0,7933.0
Sindhudurg,2016.0,4361.0,423.0,8265.0
Sindhudurg,2017.0,4376.0,2017.0,9208.0
Sindhudurg,2018.0,3730.0,16123.0,16440.0
Sindhudurg,2019.0,3730.0,16123.0,16440.0
Sindhudurg,2020.0,3730.0,16123.0,16440.0
Sindhudurg,2021.0,3781.0,383.0,1590.0
Solapur,2017.0,81880.0,27209.0,51965.0
Solapur,2018.0,141289.0,89519.0,168843.0
Solapur,2019.0,141289.0,89519.0,168843.0
Solapur,2020.0,141289.0,89519.0,168843.0
Solapur,2021.0,414969.0,117475.0,317820.0
Thane,2014.0,1749.0,138.0,6351.0
Thane,2015.0,2392.0,200.0,7028.0
Thane,2016.0,2018.0,347.0,7864.0
Thane,2017.0,2701.0,1070.0,9528.0
Thane,2018.0,3078.0,16405.0,56565.0
Thane,2019.0,3078.0,16405.0,56565.0
Thane,2020.0,3078.0,16405.0,56565.0
Thane,2021.0,1360.0,3814.0,33329.0
Wardha,2012.0,10474.0,1332.0,2261.0
Wardha,2013.0,12143.0,2355.0,2856.0
Wardha,2014.0,12937.0,3367.0,2653.0
Wardha,2015.0,13647.0,4532.0,2231.0
Wardha,2016.0,12879.0,5391.0,2026.0
Wardha,2017.0,15972.0,7387.0,3131.0
Wardha,2018.0,13878.0,34804.0,14671.0
Wardha,2019.0,13878.0,34804.0,14671.0
Wardha,2020.0,13878.0,34804.0,14671.0
Wardha,2021.0,39458.0,15405.0,10771.0
,,,,
,,,,
,,,,
,,,,
Washim,2012.0,1690.0,43.0,5138.0
Washim,2013.0,2213.0,455.0,6002.0
Washim,2014.0,2170.0,908.0,5602.0
Washim,2015.0,2426.0,1209.0,5334.0
Washim,2016.0,2398.0,1517.0,5886.0
Washim,2017.0,1797.0,1389.0,4298.0
Washim,2018.0,2309.0,37232.0,25407.0
Washim,2019.0,2309.0,37232.0,25407.0
Washim,2020.0,2309.0,37232.0,25407.0
Washim,2021.0,980.0,1218.0,5640.0
Yavatmal,2012.0,7819.0,3605.0,9026.0
Yavatmal,2013.0,5180.0,5378.0,9424.0
Yavatmal,2014.0,5793.0,5256.0,9941.0
Yavatmal,2015.0,9219.0,7673.0,11671.0
Yavatmal,2016.0,7080.0,7988.0,11318.0
Yavatmal,2017.0,7806.0,10968.0,11172.0
Yavatmal,2018.0,6162.0,97332.0,31232.0
Yavatmal,2019.0,6162.0,97332.0,31232.0
Yavatmal,2020.0,6162.0,97332.0,31232.0
Yavatmal,2021.0,4405.0,2065.0,3875.0
