District,Year,Items,Units
Mumbai City,2016,Sustainable cow's milk,0.0
Mumbai City,2017,Milk Powder,0.0
Mumbai City,2017,White butter,0.0
Mumbai City,2017,Ghee,0.0
Mumbai City,2017,Energy Milk,0.0
Mumbai City,2017,Lassi,0.08
Mumbai City,2017,Masala Milk,0.05
Mumbai City,2017,Sustainable cow's milk,0.0
Mumbai City,2018,Milk Powder,0.0
Mumbai City,2018,White butter,0.0
Mumbai City,2018,Ghee,0.0
Mumbai City,2018,Energy Milk,0.0
Mumbai City,2018,Lassi,0.0
Mumbai City,2018,Masala Milk,0.0
Mumbai City,2018,Sustainable cow's milk,0.0
Mumbai City,2019,Milk Powder,0.0
Mumbai City,2019,White butter,0.0
Mumbai City,2019,Ghee,0.0
Mumbai City,2019,Energy Milk,0.0
Mumbai City,2019,Lassi,0.0
Mumbai City,2019,Masala Milk,0.0
Mumbai City,2019,Sustainable cow's milk,0.0
Mumbai City,2020,Milk Powder,0.0
Mumbai City,2020,White butter,0.0
Mumbai City,2020,Ghee,0.0
Mumbai City,2020,Energy Milk,0.0
Mumbai City,2020,Lassi,0.0
Mumbai City,2020,Masala Milk,0.0
Mumbai City,2020,Sustainable cow's milk,0.0
Mumbai City,2021,Milk Powder,0.0
Mumbai City,2021,White butter,0.0
Mumbai City,2021,Ghee,0.0
Mumbai City,2021,Energy Milk,0.0
Mumbai City,2021,Lassi,0.0
Mumbai City,2021,Masala Milk,0.0
Mumbai City,2021,Sustainable cow's milk,0.0
Nagpur,2012,Milk Powder,352.53
Nagpur,2012,White butter,206.76
Nagpur,2012,Ghee,8.85
Nagpur,2012,Energy Milk,
Nagpur,2012,Lassi,
Nagpur,2012,Masala Milk,
Nagpur,2012,Sustainable cow's milk,6809440.0
Nagpur,2013,Milk Powder,73.02
Nagpur,2013,White butter,43.18
Nagpur,2013,Ghee,15.38
Nagpur,2013,Energy Milk,
Nagpur,2013,Lassi,
Nagpur,2013,Masala Milk,
Nagpur,2013,Sustainable cow's milk,6852221.0
Nagpur,2014,Milk Powder,
Nagpur,2014,White butter,
Nagpur,2014,Ghee,
Nagpur,2014,Energy Milk,
Nagpur,2014,Lassi,
Nagpur,2014,Masala Milk,
Nagpur,2014,Sustainable cow's milk,
Nagpur,2015,Milk Powder,
Nagpur,2015,White butter,
Nagpur,2015,Ghee,
Nagpur,2015,Energy Milk,
Nagpur,2015,Lassi,
Nagpur,2015,Masala Milk,
Nagpur,2015,Sustainable cow's milk,
Nagpur,2016,Milk Powder,
Nagpur,2016,White butter,
Nagpur,2016,Ghee,
Nagpur,2016,Energy Milk,
Nagpur,2016,Lassi,
Nagpur,2016,Masala Milk,
Nagpur,2016,Sustainable cow's milk,
Nagpur,2017,Milk Powder,
Nagpur,2017,White butter,
Nagpur,2017,Ghee,
Nagpur,2017,Energy Milk,
Nagpur,2017,Lassi,
Nagpur,2017,Masala Milk,
Nagpur,2017,Sustainable cow's milk,
Nagpur,2018,Milk Powder,
Nagpur,2018,White butter,
Nagpur,2018,Ghee,
Nagpur,2018,Energy Milk,
Nagpur,2018,Lassi,
Nagpur,2018,Masala Milk,
Nagpur,2018,Sustainable cow's milk,
Nagpur,2019,Milk Powder,
Nagpur,2019,White butter,
Nagpur,2019,Ghee,
Nagpur,2019,Energy Milk,
Nagpur,2019,Lassi,
Nagpur,2019,Masala Milk,
Nagpur,2019,Sustainable cow's milk,
Nagpur,2020,Milk Powder,
Nagpur,2020,White butter,
Nagpur,2020,Ghee,
Nagpur,2020,Energy Milk,
Nagpur,2020,Lassi,
Nagpur,2020,Masala Milk,
Nagpur,2020,Sustainable cow's milk,
Nagpur,2021,Milk Powder,
Nagpur,2021,White butter,
Nagpur,2021,Ghee,
Nagpur,2021,Energy Milk,
Nagpur,2021,Lassi,
Nagpur,2021,Masala Milk,
Nagpur,2021,Sustainable cow's milk,
Nandurbar,2006,Milk Powder,
Nandurbar,2006,White butter,
Nandurbar,2006,Ghee,
Nandurbar,2006,Energy Milk,
Nandurbar,2006,Lassi,
Nandurbar,2006,Masala Milk,
Nandurbar,2006,Sustainable cow's milk,
Nandurbar,2008,Milk Powder,
Nandurbar,2008,White butter,
Nandurbar,2008,Ghee,
Nandurbar,2008,Energy Milk,
Nandurbar,2008,Lassi,
Nandurbar,2008,Masala Milk,
Nandurbar,2008,Sustainable cow's milk,
Nandurbar,2009,Milk Powder,0.0
Nandurbar,2009,White butter,0.0
Nandurbar,2009,Ghee,0.0
Nandurbar,2009,Energy Milk,0.0
Nandurbar,2009,Lassi,0.0
Nandurbar,2009,Masala Milk,0.0
Nandurbar,2009,Sustainable cow's milk,0.0
Nandurbar,2010,Milk Powder,0.0
Nandurbar,2010,White butter,0.0
Nandurbar,2010,Ghee,0.0
Nandurbar,2010,Energy Milk,0.0
Nandurbar,2010,Lassi,0.0
Nandurbar,2010,Masala Milk,0.0
Nandurbar,2010,Sustainable cow's milk,0.0
Nandurbar,2011,Milk Powder,0.0
Nandurbar,2011,White butter,0.0
Nandurbar,2011,Ghee,0.0
Nandurbar,2011,Energy Milk,0.0
Nandurbar,2011,Lassi,0.0
Nandurbar,2011,Masala Milk,0.0
Nandurbar,2011,Sustainable cow's milk,0.0
Nandurbar,2012,Milk Powder,0.0
Nandurbar,2012,White butter,0.0
Nandurbar,2012,Ghee,0.0
Nandurbar,2012,Energy Milk,0.0
Nandurbar,2012,Lassi,0.0
Nandurbar,2012,Masala Milk,0.0
Nandurbar,2012,Sustainable cow's milk,0.0
Nandurbar,2013,Milk Powder,0.0
Nandurbar,2013,White butter,0.0
Nandurbar,2013,Ghee,0.0
Nandurbar,2013,Energy Milk,0.0
Nandurbar,2013,Lassi,0.0
Nandurbar,2013,Masala Milk,0.0
Nandurbar,2013,Sustainable cow's milk,0.0
Nandurbar,2014,Milk Powder,0.0
Nandurbar,2014,White butter,0.0
Nandurbar,2014,Ghee,0.0
Nandurbar,2014,Energy Milk,0.0
Nandurbar,2014,Lassi,0.0
Nandurbar,2014,Masala Milk,0.0
Nandurbar,2014,Sustainable cow's milk,0.0
Nandurbar,2015,Milk Powder,0.0
Nandurbar,2015,White butter,0.0
Nandurbar,2015,Ghee,0.0
Nandurbar,2015,Energy Milk,0.0
Nandurbar,2015,Lassi,0.0
Nandurbar,2015,Masala Milk,0.0
Nandurbar,2015,Sustainable cow's milk,0.0
Nandurbar,2016,Milk Powder,0.0
Nandurbar,2016,White butter,0.0
Nandurbar,2016,Ghee,0.0
Nandurbar,2016,Energy Milk,0.0
Nandurbar,2016,Lassi,0.0
Nandurbar,2016,Masala Milk,0.0
Nandurbar,2016,Sustainable cow's milk,0.0
Nandurbar,2017,Milk Powder,0.0
Nandurbar,2017,White butter,0.0
Nandurbar,2017,Ghee,0.0
Nandurbar,2017,Energy Milk,0.0
Nandurbar,2017,Lassi,0.0
Nandurbar,2017,Masala Milk,0.0
Nandurbar,2017,Sustainable cow's milk,0.0
Nandurbar,2018,Milk Powder,0.0
Nandurbar,2018,White butter,0.0
Nandurbar,2018,Ghee,0.0
Nandurbar,2018,Energy Milk,0.0
Nandurbar,2018,Lassi,0.0
Nandurbar,2018,Masala Milk,0.0
Nandurbar,2018,Sustainable cow's milk,0.0
Nandurbar,2019,Milk Powder,0.0
Nandurbar,2019,White butter,0.0
Nandurbar,2019,Ghee,0.0
Nandurbar,2019,Energy Milk,0.0
Nandurbar,2019,Lassi,0.0
Nandurbar,2019,Masala Milk,0.0
Nandurbar,2019,Sustainable cow's milk,0.0
Nandurbar,2020,Milk Powder,0.0
Nandurbar,2020,White butter,0.0
Nandurbar,2020,Ghee,0.0
Nandurbar,2020,Energy Milk,0.0
Nandurbar,2020,Lassi,0.0
Nandurbar,2020,Masala Milk,0.0
Nandurbar,2020,Sustainable cow's milk,0.0
Nandurbar,2021,Milk Powder,
Nandurbar,2021,White butter,
Nandurbar,2021,Ghee,
Nandurbar,2021,Energy Milk,
Nandurbar,2021,Lassi,
Nandurbar,2021,Masala Milk,
Nandurbar,2021,Sustainable cow's milk,
Nashik,2012,Milk Powder,
Nashik,2012,White butter,
Nashik,2012,Ghee,
Nashik,2012,Energy Milk,
Nashik,2012,Lassi,
Nashik,2012,Masala Milk,
Nashik,2012,Sustainable cow's milk,
Nashik,2013,Milk Powder,
Nashik,2013,White butter,
Nashik,2013,Ghee,
Nashik,2013,Energy Milk,
Nashik,2013,Lassi,
Nashik,2013,Masala Milk,
Nashik,2013,Sustainable cow's milk,
Nashik,2014,Milk Powder,
Nashik,2014,White butter,
Nashik,2014,Ghee,
Nashik,2014,Energy Milk,
Nashik,2014,Lassi,
Nashik,2014,Masala Milk,
Nashik,2014,Sustainable cow's milk,
Nashik,2015,Milk Powder,
Nashik,2015,White butter,
Nashik,2015,Ghee,
Nashik,2015,Energy Milk,
Nashik,2015,Lassi,
Nashik,2015,Masala Milk,
Nashik,2015,Sustainable cow's milk,
Nashik,2016,Milk Powder,
Nashik,2016,White butter,
Nashik,2016,Ghee,
Nashik,2016,Energy Milk,
Nashik,2016,Lassi,
Nashik,2016,Masala Milk,
Nashik,2016,Sustainable cow's milk,
Nashik,2017,Milk Powder,
Nashik,2017,White butter,
Nashik,2017,Ghee,
Nashik,2017,Energy Milk,
Nashik,2017,Lassi,
Nashik,2017,Masala Milk,
Nashik,2017,Sustainable cow's milk,
Nashik,2018,Milk Powder,
Nashik,2018,White butter,
Nashik,2018,Ghee,
Nashik,2018,Energy Milk,
Nashik,2018,Lassi,
Nashik,2018,Masala Milk,
Nashik,2018,Sustainable cow's milk,
Nashik,2019,Milk Powder,
Nashik,2019,White butter,
Nashik,2019,Ghee,
Nashik,2019,Energy Milk,
Nashik,2019,Lassi,
Nashik,2019,Masala Milk,
Nashik,2019,Sustainable cow's milk,
Nashik,2020,Milk Powder,
Nashik,2020,White butter,
Nashik,2020,Ghee,
Nashik,2020,Energy Milk,
Nashik,2020,Lassi,
Nashik,2020,Masala Milk,
Nashik,2020,Sustainable cow's milk,
Nashik,2021,Milk Powder,
Nashik,2021,White butter,
Nashik,2021,Ghee,
Nashik,2021,Energy Milk,
Nashik,2021,Lassi,
Nashik,2021,Masala Milk,
Nashik,2021,Sustainable cow's milk,
Dharashiv,2012,Milk Powder,
Dharashiv,2012,White butter,
Dharashiv,2012,Ghee,
Dharashiv,2012,Energy Milk,
Dharashiv,2012,Lassi,
Dharashiv,2012,Masala Milk,
Dharashiv,2012,Sustainable cow's milk,
Dharashiv,2013,Milk Powder,
Dharashiv,2013,White butter,
Dharashiv,2013,Ghee,
Dharashiv,2013,Energy Milk,
Dharashiv,2013,Lassi,
Dharashiv,2013,Masala Milk,
Dharashiv,2013,Sustainable cow's milk,
Dharashiv,2014,Milk Powder,
Dharashiv,2014,White butter,
Dharashiv,2014,Ghee,
Dharashiv,2014,Energy Milk,
Dharashiv,2014,Lassi,
Dharashiv,2014,Masala Milk,
Dharashiv,2014,Sustainable cow's milk,
Dharashiv,2015,Milk Powder,
Dharashiv,2015,White butter,
Dharashiv,2015,Ghee,
Dharashiv,2015,Energy Milk,
Dharashiv,2015,Lassi,
Dharashiv,2015,Masala Milk,
Dharashiv,2015,Sustainable cow's milk,
Dharashiv,2016,Milk Powder,
Dharashiv,2016,White butter,
Dharashiv,2016,Ghee,
Dharashiv,2016,Energy Milk,
Dharashiv,2016,Lassi,
Dharashiv,2016,Masala Milk,
Dharashiv,2016,Sustainable cow's milk,
Dharashiv,2017,Milk Powder,
Dharashiv,2017,White butter,
Dharashiv,2017,Ghee,
Dharashiv,2017,Energy Milk,
Dharashiv,2017,Lassi,
Dharashiv,2017,Masala Milk,
Dharashiv,2017,Sustainable cow's milk,
Dharashiv,2018,Milk Powder,
Dharashiv,2018,White butter,
Dharashiv,2018,Ghee,
Dharashiv,2018,Energy Milk,
Dharashiv,2018,Lassi,
Dharashiv,2018,Masala Milk,
Dharashiv,2018,Sustainable cow's milk,
Dharashiv,2019,Milk Powder,
Dharashiv,2019,White butter,
Dharashiv,2019,Ghee,
Dharashiv,2019,Energy Milk,
Dharashiv,2019,Lassi,
Dharashiv,2019,Masala Milk,
Dharashiv,2019,Sustainable cow's milk,
Dharashiv,2020,Milk Powder,
Dharashiv,2020,White butter,
Dharashiv,2020,Ghee,
Dharashiv,2020,Energy Milk,
Dharashiv,2020,Lassi,
Dharashiv,2020,Masala Milk,
Dharashiv,2020,Sustainable cow's milk,
Dharashiv,2021,Milk Powder,
Dharashiv,2021,White butter,
Dharashiv,2021,Ghee,
Dharashiv,2021,Energy Milk,
Dharashiv,2021,Lassi,
Dharashiv,2021,Masala Milk,
Dharashiv,2021,Sustainable cow's milk,0.0
Palghar,2014,Milk Powder,
Palghar,2014,White butter,
Palghar,2014,Ghee,
Palghar,2014,Energy Milk,
Palghar,2014,Lassi,
Palghar,2014,Masala Milk,
Palghar,2014,Sustainable cow's milk,
Palghar,2015,Milk Powder,0.0
Palghar,2015,White butter,0.0
Palghar,2015,Ghee,0.0
Palghar,2015,Energy Milk,0.0
Palghar,2015,Lassi,0.0
Palghar,2015,Masala Milk,0.0
Palghar,2015,Sustainable cow's milk,0.0
Palghar,2016,Milk Powder,0.0
Palghar,2016,White butter,0.0
Palghar,2016,Ghee,0.0
Palghar,2016,Energy Milk,0.0
Palghar,2016,Lassi,0.0
Palghar,2016,Masala Milk,0.0
Palghar,2016,Sustainable cow's milk,0.0
Palghar,2017,Milk Powder,0.0
Palghar,2017,White butter,0.0
Palghar,2017,Ghee,0.0
Palghar,2017,Energy Milk,0.0
Palghar,2017,Lassi,0.0
Palghar,2017,Masala Milk,0.0
Palghar,2017,Sustainable cow's milk,0.0
Palghar,2018,Milk Powder,0.0
Palghar,2018,White butter,0.0
Palghar,2018,Ghee,0.0
Palghar,2018,Energy Milk,0.0
Palghar,2018,Lassi,0.0
Palghar,2018,Masala Milk,0.0
Palghar,2018,Sustainable cow's milk,0.0
Palghar,2019,Milk Powder,0.0
Palghar,2019,White butter,0.0
Palghar,2019,Ghee,0.0
Palghar,2019,Energy Milk,0.0
Palghar,2019,Lassi,0.0
Palghar,2019,Masala Milk,0.0
Palghar,2019,Sustainable cow's milk,0.0
Palghar,2020,Milk Powder,0.0
Palghar,2020,White butter,0.0
Palghar,2020,Ghee,0.0
Palghar,2020,Energy Milk,0.0
Palghar,2020,Lassi,0.0
Palghar,2020,Masala Milk,0.0
Palghar,2020,Sustainable cow's milk,0.0
Palghar,2021,Milk Powder,0.0
Palghar,2021,White butter,0.0
Palghar,2021,Ghee,0.0
Palghar,2021,Energy Milk,0.0
Palghar,2021,Lassi,0.0
Palghar,2021,Masala Milk,0.0
Palghar,2021,Sustainable cow's milk,0.0
Raigad,2012,Milk Powder,
Raigad,2012,White butter,
Raigad,2012,Ghee,
Raigad,2012,Energy Milk,
Raigad,2012,Lassi,
Raigad,2012,Masala Milk,
Raigad,2012,Sustainable cow's milk,
Raigad,2013,Milk Powder,0.0
Raigad,2013,White butter,0.0
Raigad,2013,Ghee,0.0
Raigad,2013,Energy Milk,0.0
Raigad,2013,Lassi,0.0
Raigad,2013,Masala Milk,0.0
Raigad,2013,Sustainable cow's milk,0.0
Raigad,2014,Milk Powder,0.0
Raigad,2014,White butter,0.0
Raigad,2014,Ghee,0.0
Raigad,2014,Energy Milk,0.0
Raigad,2014,Lassi,0.0
Raigad,2014,Masala Milk,0.0
Raigad,2014,Sustainable cow's milk,0.0
Raigad,2015,Milk Powder,0.0
Raigad,2015,White butter,0.0
Raigad,2015,Ghee,0.0
Raigad,2015,Energy Milk,0.0
Raigad,2015,Lassi,0.0
Raigad,2015,Masala Milk,0.0
Raigad,2015,Sustainable cow's milk,0.0
Raigad,2016,Milk Powder,
Raigad,2016,White butter,
Raigad,2016,Ghee,
Raigad,2016,Energy Milk,
Raigad,2016,Lassi,
Raigad,2016,Masala Milk,
Raigad,2016,Sustainable cow's milk,
Raigad,2017,Milk Powder,
Raigad,2017,White butter,
Raigad,2017,Ghee,
Raigad,2017,Energy Milk,
Raigad,2017,Lassi,
Raigad,2017,Masala Milk,
Raigad,2017,Sustainable cow's milk,
Raigad,2018,Milk Powder,
Raigad,2018,White butter,
Raigad,2018,Ghee,
Raigad,2018,Energy Milk,
Raigad,2018,Lassi,
Raigad,2018,Masala Milk,
Raigad,2018,Sustainable cow's milk,
Raigad,2019,Milk Powder,
Raigad,2019,White butter,
Raigad,2019,Ghee,
Raigad,2019,Energy Milk,
Raigad,2019,Lassi,
Raigad,2019,Masala Milk,
Raigad,2019,Sustainable cow's milk,
Raigad,2020,Milk Powder,
Raigad,2020,White butter,
Raigad,2020,Ghee,
Raigad,2020,Energy Milk,
Raigad,2020,Lassi,
Raigad,2020,Masala Milk,
Raigad,2020,Sustainable cow's milk,
Raigad,2021,Milk Powder,
Raigad,2021,White butter,
Raigad,2021,Ghee,
Raigad,2021,Energy Milk,
Raigad,2021,Lassi,
Raigad,2021,Masala Milk,
Raigad,2021,Sustainable cow's milk,
Ratnagiri,2006,Milk Powder,
Ratnagiri,2006,White butter,
Ratnagiri,2006,Ghee,
Ratnagiri,2006,Energy Milk,
Ratnagiri,2006,Lassi,
Ratnagiri,2006,Masala Milk,
Ratnagiri,2006,Sustainable cow's milk,
Ratnagiri,2008,Milk Powder,
Ratnagiri,2008,White butter,
Ratnagiri,2008,Ghee,
Ratnagiri,2008,Energy Milk,
Ratnagiri,2008,Lassi,
Ratnagiri,2008,Masala Milk,
Ratnagiri,2008,Sustainable cow's milk,
Ratnagiri,2009,Milk Powder,
Ratnagiri,2009,White butter,
Ratnagiri,2009,Ghee,
Ratnagiri,2009,Energy Milk,
Ratnagiri,2009,Lassi,
Ratnagiri,2009,Masala Milk,
Ratnagiri,2009,Sustainable cow's milk,
Ratnagiri,2010,Milk Powder,
Ratnagiri,2010,White butter,
Ratnagiri,2010,Ghee,
Ratnagiri,2010,Energy Milk,
Ratnagiri,2010,Lassi,
Ratnagiri,2010,Masala Milk,
Ratnagiri,2010,Sustainable cow's milk,
Ratnagiri,2011,Milk Powder,
Ratnagiri,2011,White butter,
Ratnagiri,2011,Ghee,
Ratnagiri,2011,Energy Milk,
Ratnagiri,2011,Lassi,
Ratnagiri,2011,Masala Milk,
Ratnagiri,2011,Sustainable cow's milk,
Ratnagiri,2012,Milk Powder,
Ratnagiri,2012,White butter,
Ratnagiri,2012,Ghee,
Ratnagiri,2012,Energy Milk,
Ratnagiri,2012,Lassi,
Ratnagiri,2012,Masala Milk,
Ratnagiri,2012,Sustainable cow's milk,
Ratnagiri,2013,Milk Powder,
Ratnagiri,2013,White butter,
Ratnagiri,2013,Ghee,
Ratnagiri,2013,Energy Milk,
Ratnagiri,2013,Lassi,
Ratnagiri,2013,Masala Milk,
Ratnagiri,2013,Sustainable cow's milk,
Ratnagiri,2014,Milk Powder,
Ratnagiri,2014,White butter,
Ratnagiri,2014,Ghee,
Ratnagiri,2014,Energy Milk,
Ratnagiri,2014,Lassi,
Ratnagiri,2014,Masala Milk,
Ratnagiri,2014,Sustainable cow's milk,
Ratnagiri,2015,Milk Powder,
Ratnagiri,2015,White butter,
Ratnagiri,2015,Ghee,
Ratnagiri,2015,Energy Milk,
Ratnagiri,2015,Lassi,
Ratnagiri,2015,Masala Milk,
Ratnagiri,2015,Sustainable cow's milk,
Ratnagiri,2016,Milk Powder,
Ratnagiri,2016,White butter,
Ratnagiri,2016,Ghee,
Ratnagiri,2016,Energy Milk,
Ratnagiri,2016,Lassi,
Ratnagiri,2016,Masala Milk,
Ratnagiri,2016,Sustainable cow's milk,
Ratnagiri,2017,Milk Powder,
Ratnagiri,2017,White butter,
Ratnagiri,2017,Ghee,
Ratnagiri,2017,Energy Milk,
Ratnagiri,2017,Lassi,
Ratnagiri,2017,Masala Milk,
Ratnagiri,2017,Sustainable cow's milk,
Ratnagiri,2018,Milk Powder,
Ratnagiri,2018,White butter,
Ratnagiri,2018,Ghee,
Ratnagiri,2018,Energy Milk,
Ratnagiri,2018,Lassi,
Ratnagiri,2018,Masala Milk,
Ratnagiri,2018,Sustainable cow's milk,
Ratnagiri,2019,Milk Powder,
Ratnagiri,2019,White butter,
Ratnagiri,2019,Ghee,
Ratnagiri,2019,Energy Milk,
Ratnagiri,2019,Lassi,
Ratnagiri,2019,Masala Milk,
Ratnagiri,2019,Sustainable cow's milk,
Ratnagiri,2020,Milk Powder,
Ratnagiri,2020,White butter,
Ratnagiri,2020,Ghee,
Ratnagiri,2020,Energy Milk,
Ratnagiri,2020,Lassi,
Ratnagiri,2020,Masala Milk,
Ratnagiri,2020,Sustainable cow's milk,
Ratnagiri,2021,Milk Powder,
Ratnagiri,2021,White butter,
Ratnagiri,2021,Ghee,
Ratnagiri,2021,Energy Milk,
Ratnagiri,2021,Lassi,
Ratnagiri,2021,Masala Milk,
Ratnagiri,2021,Sustainable cow's milk,
Sindhudurg,2012,Milk Powder,
Sindhudurg,2012,White butter,
Sindhudurg,2012,Ghee,
Sindhudurg,2012,Energy Milk,
Sindhudurg,2012,Lassi,
Sindhudurg,2012,Masala Milk,
Sindhudurg,2012,Sustainable cow's milk,
Sindhudurg,2013,Milk Powder,
Sindhudurg,2013,White butter,
Sindhudurg,2013,Ghee,
Sindhudurg,2013,Energy Milk,
Sindhudurg,2013,Lassi,
Sindhudurg,2013,Masala Milk,
Sindhudurg,2013,Sustainable cow's milk,
Sindhudurg,2014,Milk Powder,
Sindhudurg,2014,White butter,
Sindhudurg,2014,Ghee,
Sindhudurg,2014,Energy Milk,
Sindhudurg,2014,Lassi,
Sindhudurg,2014,Masala Milk,
Sindhudurg,2014,Sustainable cow's milk,
Sindhudurg,2015,Milk Powder,
Sindhudurg,2015,White butter,
Sindhudurg,2015,Ghee,
Sindhudurg,2015,Energy Milk,
Sindhudurg,2015,Lassi,
Sindhudurg,2015,Masala Milk,
Sindhudurg,2015,Sustainable cow's milk,
Sindhudurg,2016,Milk Powder,
Sindhudurg,2016,White butter,
Sindhudurg,2016,Ghee,
Sindhudurg,2016,Energy Milk,
Sindhudurg,2016,Lassi,
Sindhudurg,2016,Masala Milk,
Sindhudurg,2016,Sustainable cow's milk,
Sindhudurg,2017,Milk Powder,
Sindhudurg,2017,White butter,
Sindhudurg,2017,Ghee,
Sindhudurg,2017,Energy Milk,
Sindhudurg,2017,Lassi,
Sindhudurg,2017,Masala Milk,
Sindhudurg,2017,Sustainable cow's milk,
Sindhudurg,2018,Milk Powder,
Sindhudurg,2018,White butter,
Sindhudurg,2018,Ghee,
Sindhudurg,2018,Energy Milk,
Sindhudurg,2018,Lassi,
Sindhudurg,2018,Masala Milk,
Sindhudurg,2018,Sustainable cow's milk,
Sindhudurg,2019,Milk Powder,
Sindhudurg,2019,White butter,
Sindhudurg,2019,Ghee,
Sindhudurg,2019,Energy Milk,
Sindhudurg,2019,Lassi,
Sindhudurg,2019,Masala Milk,
Sindhudurg,2019,Sustainable cow's milk,
Sindhudurg,2020,Milk Powder,
Sindhudurg,2020,White butter,
Sindhudurg,2020,Ghee,
Sindhudurg,2020,Energy Milk,
Sindhudurg,2020,Lassi,
Sindhudurg,2020,Masala Milk,
Sindhudurg,2020,Sustainable cow's milk,
Sindhudurg,2021,Milk Powder,
Sindhudurg,2021,White butter,
Sindhudurg,2021,Ghee,
Sindhudurg,2021,Energy Milk,
Sindhudurg,2021,Lassi,
Sindhudurg,2021,Masala Milk,
Sindhudurg,2021,Sustainable cow's milk,
Thane,2012,Milk Powder,
Thane,2012,White butter,
Thane,2012,Ghee,
Thane,2012,Energy Milk,
Thane,2012,Lassi,
Thane,2012,Masala Milk,
Thane,2012,Sustainable cow's milk,
Thane,2013,Milk Powder,0.0
Thane,2013,White butter,0.0
Thane,2013,Ghee,0.0
Thane,2013,Energy Milk,0.0
Thane,2013,Lassi,0.0
Thane,2013,Masala Milk,0.0
Thane,2013,Sustainable cow's milk,0.0
Thane,2014,Milk Powder,0.0
Thane,2014,White butter,0.0
Thane,2014,Ghee,0.0
Thane,2014,Energy Milk,0.0
Thane,2014,Lassi,0.0
Thane,2014,Masala Milk,0.0
Thane,2014,Sustainable cow's milk,0.0
Thane,2015,Milk Powder,0.0
Thane,2015,White butter,0.0
Thane,2015,Ghee,0.0
Thane,2015,Energy Milk,0.0
Thane,2015,Lassi,0.0
Thane,2015,Masala Milk,0.0
Thane,2015,Sustainable cow's milk,0.0
Thane,2016,Milk Powder,0.0
Thane,2016,White butter,0.0
Thane,2016,Ghee,0.0
Thane,2016,Energy Milk,0.0
Thane,2016,Lassi,0.0
Thane,2016,Masala Milk,0.0
Thane,2016,Sustainable cow's milk,0.0
Thane,2017,Milk Powder,0.0
Thane,2017,White butter,0.0
Thane,2017,Ghee,0.0
Thane,2017,Energy Milk,0.0
Thane,2017,Lassi,0.0
Thane,2017,Masala Milk,0.0
Thane,2017,Sustainable cow's milk,0.0
Thane,2018,Milk Powder,0.0
Thane,2018,White butter,0.0
Thane,2018,Ghee,0.0
Thane,2018,Energy Milk,0.0
Thane,2018,Lassi,0.0
Thane,2018,Masala Milk,0.0
Thane,2018,Sustainable cow's milk,0.0
Thane,2019,Milk Powder,0.0
Thane,2019,White butter,0.0
Thane,2019,Ghee,0.0
Thane,2019,Energy Milk,0.0
Thane,2019,Lassi,0.0
Thane,2019,Masala Milk,0.0
Thane,2019,Sustainable cow's milk,0.0
Thane,2020,Milk Powder,0.0
Thane,2020,White butter,0.0
Thane,2020,Ghee,0.0
Thane,2020,Energy Milk,0.0
Thane,2020,Lassi,0.0
Thane,2020,Masala Milk,0.0
Thane,2020,Sustainable cow's milk,0.0
Thane,2021,Milk Powder,0.0
Thane,2021,White butter,0.0
Thane,2021,Ghee,0.0
Thane,2021,Energy Milk,0.0
Thane,2021,Lassi,0.0
Thane,2021,Masala Milk,0.0
Thane,2021,Sustainable cow's milk,0.0
Wardha,2012,Milk Powder,
Wardha,2012,White butter,
Wardha,2012,Ghee,
Wardha,2012,Energy Milk,
Wardha,2012,Lassi,
Wardha,2012,Masala Milk,
Wardha,2012,Sustainable cow's milk,
Wardha,2013,Milk Powder,0.0
Wardha,2013,White butter,0.0
Wardha,2013,Ghee,0.0
Wardha,2013,Energy Milk,0.0
Wardha,2013,Lassi,0.0
Wardha,2013,Masala Milk,0.0
Wardha,2013,Sustainable cow's milk,0.0
Wardha,2014,Milk Powder,0.0
Wardha,2014,White butter,0.0
Wardha,2014,Ghee,0.0
Wardha,2014,Energy Milk,0.0
Wardha,2014,Lassi,0.0
Wardha,2014,Masala Milk,0.0
Wardha,2014,Sustainable cow's milk,0.0
Wardha,2015,Milk Powder,0.0
Wardha,2015,White butter,0.0
Wardha,2015,Ghee,0.0
Wardha,2015,Energy Milk,0.0
Wardha,2015,Lassi,0.0
Wardha,2015,Masala Milk,0.0
Wardha,2015,Sustainable cow's milk,0.0
Wardha,2016,Milk Powder,0.0
Wardha,2016,White butter,0.0
Wardha,2016,Ghee,0.0
Wardha,2016,Energy Milk,0.0
Wardha,2016,Lassi,0.0
Wardha,2016,Masala Milk,0.0
Wardha,2016,Sustainable cow's milk,0.0
Wardha,2017,Milk Powder,
Wardha,2017,White butter,
Wardha,2017,Ghee,25.0
Wardha,2017,Energy Milk,
Wardha,2017,Lassi,
Wardha,2017,Masala Milk,
Wardha,2017,Sustainable cow's milk,
Wardha,2018,Milk Powder,
Wardha,2018,White butter,
Wardha,2018,Ghee,30.0
Wardha,2018,Energy Milk,
Wardha,2018,Lassi,
Wardha,2018,Masala Milk,
Wardha,2018,Sustainable cow's milk,
Wardha,2019,Milk Powder,
Wardha,2019,White butter,
Wardha,2019,Ghee,
Wardha,2019,Energy Milk,
Wardha,2019,Lassi,
Wardha,2019,Masala Milk,
Wardha,2019,Sustainable cow's milk,
Wardha,2020,Milk Powder,
Wardha,2020,White butter,
