District,Year,Items,Units
Akola,2018,Masala Milk,0.0
Akola,2018,Sustainable cow's milk,0.0
Akola,2019,Milk Powder,0.0
Akola,2019,White butter,0.0
Akola,2019,Ghee,0.0
Akola,2019,Energy Milk,0.0
Akola,2019,Lassi,0.0
Akola,2019,Masala Milk,0.0
Akola,2019,Sustainable cow's milk,0.0
Akola,2020,Milk Powder,0.0
Akola,2020,White butter,0.0
Akola,2020,Ghee,0.0
Akola,2020,Energy Milk,0.0
Akola,2020,Lassi,0.0
Akola,2020,Masala Milk,0.0
Akola,2020,Sustainable cow's milk,0.0
Akola,2021,Milk Powder,0.0
Akola,2021,White butter,0.0
Akola,2021,Ghee,0.0
Akola,2021,Energy Milk,0.0
Akola,2021,Lassi,0.0
Akola,2021,Masala Milk,0.0
Akola,2021,Sustainable cow's milk,0.0
Amravati,2012,Milk Powder,
Amravati,2012,White butter,
Amravati,2012,Ghee,
Amravati,2012,Energy Milk,
Amravati,2012,Lassi,
Amravati,2012,Masala Milk,
Amravati,2012,Sustainable cow's milk,40531.425
Amravati,2013,Milk Powder,
Amravati,2013,White butter,
Amravati,2013,Ghee,
Amravati,2013,Energy Milk,
Amravati,2013,Lassi,
Amravati,2013,Masala Milk,
Amravati,2013,Sustainable cow's milk,27789.18
Amravati,2014,Milk Powder,
Amravati,2014,White butter,
Amravati,2014,Ghee,
Amravati,2014,Energy Milk,
Amravati,2014,Lassi,
Amravati,2014,Masala Milk,
Amravati,2014,Sustainable cow's milk,27698.73
Amravati,2015,Milk Powder,
Amravati,2015,White butter,
Amravati,2015,Ghee,
Amravati,2015,Energy Milk,
Amravati,2015,Lassi,
Amravati,2015,Masala Milk,
Amravati,2015,Sustainable cow's milk,2424.27
Amravati,2016,Milk Powder,
Amravati,2016,White butter,
Amravati,2016,Ghee,
Amravati,2016,Energy Milk,
Amravati,2016,Lassi,
Amravati,2016,Masala Milk,
Amravati,2016,Sustainable cow's milk,846.97
Amravati,2017,Milk Powder,
Amravati,2017,White butter,
Amravati,2017,Ghee,
Amravati,2017,Energy Milk,
Amravati,2017,Lassi,
Amravati,2017,Masala Milk,
Amravati,2017,Sustainable cow's milk,650.78
Amravati,2018,Milk Powder,
Amravati,2018,White butter,
Amravati,2018,Ghee,
Amravati,2018,Energy Milk,
Amravati,2018,Lassi,
Amravati,2018,Masala Milk,
Amravati,2018,Sustainable cow's milk,38.05
Amravati,2019,Milk Powder,
Amravati,2019,White butter,
Amravati,2019,Ghee,
Amravati,2019,Energy Milk,
Amravati,2019,Lassi,
Amravati,2019,Masala Milk,
Amravati,2019,Sustainable cow's milk,25.39
Amravati,2020,Milk Powder,
Amravati,2020,White butter,
Amravati,2020,Ghee,
Amravati,2020,Energy Milk,
Amravati,2020,Lassi,
Amravati,2020,Masala Milk,
Amravati,2020,Sustainable cow's milk,26.43
Amravati,2021,Milk Powder,
Amravati,2021,White butter,
Amravati,2021,Ghee,
Amravati,2021,Energy Milk,
Amravati,2021,Lassi,
Amravati,2021,Masala Milk,
Amravati,2021,Sustainable cow's milk,15.09
Bhandara,2012,Milk Powder,
Bhandara,2012,White butter,191.0
Bhandara,2012,Ghee,9416.0
Bhandara,2012,Energy Milk,
Bhandara,2012,Lassi,
Bhandara,2012,Masala Milk,
Bhandara,2012,Sustainable cow's milk,6166360.0
Bhandara,2013,Milk Powder,
Bhandara,2013,White butter,109.0
Bhandara,2013,Ghee,7250.0
Bhandara,2013,Energy Milk,
Bhandara,2013,Lassi,
Bhandara,2013,Masala Milk,
Bhandara,2013,Sustainable cow's milk,6738650.0
Bhandara,2014,Milk Powder,
Bhandara,2014,White butter,303.0
Bhandara,2014,Ghee,6139.0
Bhandara,2014,Energy Milk,
Bhandara,2014,Lassi,
Bhandara,2014,Masala Milk,
Bhandara,2014,Sustainable cow's milk,6841150.0
Bhandara,2015,Milk Powder,172.0
Bhandara,2015,White butter,428.0
Bhandara,2015,Ghee,5718.0
Bhandara,2015,Energy Milk,
Bhandara,2015,Lassi,
Bhandara,2015,Masala Milk,
Bhandara,2015,Sustainable cow's milk,5656650.0
Bhandara,2016,Milk Powder,0.0
Bhandara,2016,White butter,525.0
Bhandara,2016,Ghee,6114.0
Bhandara,2016,Energy Milk,
Bhandara,2016,Lassi,
Bhandara,2016,Masala Milk,
Bhandara,2016,Sustainable cow's milk,5235616.0
Bhandara,2017,Milk Powder,718.31
Bhandara,2017,White butter,581.44
Bhandara,2017,Ghee,5090.1
Bhandara,2017,Energy Milk,
Bhandara,2017,Lassi,
Bhandara,2017,Masala Milk,
Bhandara,2017,Sustainable cow's milk,4351619.0
Bhandara,2018,Milk Powder,827.12
Bhandara,2018,White butter,544.4
Bhandara,2018,Ghee,4137.0
Bhandara,2018,Energy Milk,
