District,Year,"Receipts and Loans
","From Commercial Activities
",Government Grants,"Other Sources
",Rents and Taxes,"Revenue
",Administration (Establishment),Administration (Others),Construction,Drainage and Sewage,Education,Expenditure on Weak Sectors,Others,Public Health,Public Lighting,Public Security,Special Expenses and Loans,Tax Recovery,Transportation,Water Supply,Expenditure,Social Services,Economic Services,Non-Developmental
Ahilyanagar,2012,27010.0,22722.0,33258.0,2250.0,43026.0,128266.0,2035.39,11750.75,965.54,757.25,76.03,137.4,2809.9,751.86,1219.37,469.28,447.13,1284.94,,107.01,107.01,1072.3,2942.16,18797.39
Ahilyanagar,2013,1764.49,913.54,4804.18,5240.95,2407.65,15130.81,1163.22,488.76,4020.57,401.6,139.64,605.84,4803.36,1265.56,,328.52,1438.27,803.64,,1865.06,17324.04,3876.1,4422.17,9025.77
Ahilyanagar,2014,1975.78,981.71,8234.07,5856.38,4356.29,21404.23,1955.03,743.2,4826.14,685.46,185.52,905.97,5766.73,2042.97,,421.34,1952.31,1043.72,,2289.3,22817.69,5423.76,5511.6,11882.33
Ahilyanagar,2015,1633.11,196.47,12111.05,2219.45,2254.52,18414.6,3388.88,1776.86,1135.09,93.62,126.69,315.95,8322.6,658.7,233.06,34.41,434.26,99.45,11.9,945.95,17577.41,2047.29,1473.67,14056.46
Ahilyanagar,2016,1052.14,292.58,21522.81,2314.55,2483.89,27665.97,4590.56,929.8,3099.08,102.42,178.38,110.38,12151.8,793.16,391.01,100.73,783.34,301.56,,1449.14,24981.36,2531.06,3592.51,18857.79
Ahilyanagar,2017,1442.21,734.77,13610.76,3665.7,2421.07,21874.51,4212.47,1234.85,1838.16,141.68,109.62,22.53,8620.88,732.4,317.36,163.61,1491.3,78.83,,804.61,19768.29,1669.16,2297.2,15801.94
Ahilyanagar,2018,3756.5,398.4,20453.35,2137.45,4338.56,31084.26,5244.92,1057.05,7096.61,175.39,117.67,36.57,10717.86,1171.32,457.45,21.78,50.52,184.54,8.37,2692.86,29032.91,4018.42,7737.82,17276.67
Ahilyanagar,2019,1757.73,548.56,16239.13,3634.16,3721.24,25900.82,5811.3,660.49,6964.85,201.02,105.3,64.2,5881.35,1067.3,497.43,95.52,1198.24,1270.56,,1318.81,25136.37,2555.61,7663.300000000001,14917.46
Ahilyanagar,2020,2335.68,935.51,17482.01,3192.29,4176.36,28121.85,3003.85,1003.61,4573.65,40.57,,70.23,8138.51,2146.08,200.1,79.76,3800.5,249.53,,745.18,24051.56,2961.49,4814.32,16275.76
Ahilyanagar,2021,2917.99,350.77,27589.0,3361.1,4431.77,38650.63,9254.27,1191.44,7649.37,212.11,143.62,113.22,8567.38,1433.19,518.59,124.83,4886.19,74.76,,1047.0,35215.97,2737.03,8380.07,24098.87
Akola,2012,210.81,152.73,9596.17,1965.83,338.24,12263.78,1734.13,34.52,1358.87,85.16,696.75,13.0,5339.54,281.32,54.88,6.03,53.48,235.02,,197.71,10090.41,1188.78,1498.91,7402.72
Akola,2013,108.12,148.34,4928.29,2043.93,264.49,7493.27,1733.41,314.94,604.57,85.77,389.7,102.3,2055.44,113.53,82.06,3.52,,53.26,,186.83,5725.33,792.36,772.4000000000001,4160.570000000001
Akola,2014,181.46,58.96,5812.9,1170.38,310.2,7533.9,972.87,44.4,1969.07,224.12,1060.0,214.01,2160.84,388.3,39.15,0.12,1776.48,90.77,,195.58,9135.71,1857.89,2232.34,5045.48
Akola,2015,,,,,,,,,,,,,,,,,,,,,,,,
Akola,2016,253.0,176.96,5554.7,1037.85,848.28,7870.79,1955.16,515.91,3400.93,304.09,1335.41,5.11,608.87,229.46,92.59,26.32,,296.06,,724.99,9494.9,2294.97,3797.61,3402.32
Akola,2017,395.34,467.06,5831.23,875.98,521.04,8090.65,1955.16,515.91,3400.93,304.09,1335.41,5.11,608.87,229.46,92.59,26.32,,296.06,,724.99,9494.9,2294.97,3797.61,3402.32
Akola,2018,1078.27,81.91,10611.78,399.79,539.69,12711.44,2714.68,82.04,1129.7,167.67,2017.86,32.42,777.54,329.13,164.34,18.07,,41.19,,243.43,,2622.84,1461.71,3633.52
Akola,2019,1041.17,117.85,9880.61,536.33,613.05,12189.01,2934.67,98.37,1176.35,175.04,2339.86,30.65,1025.64,361.33,185.97,18.24,,46.57,,331.49,16442.25,3063.33,1537.36,4123.49
Akola,2020,1075.88,132.22,9901.9,587.82,618.3,12316.12,3080.8,100.45,1205.59,176.4,2580.62,31.3,1044.8,375.14,222.72,19.3,,49.47,,364.5,9251.09,3351.56,1604.71,4294.820000000001
Akola,2021,555.17,299.7,8694.47,1307.41,1460.51,12317.26,5321.95,238.39,4501.49,473.83,1034.14,674.85,3626.54,243.66,184.78,36.08,211.48,45.45,,485.86,17078.5,2438.51,5160.099999999999,9479.890000000001
Amravati,2012,950.24,784.78,10266.82,820.72,1003.52,13826.08,3147.41,84.1,3262.09,147.15,1472.86,97.05,1455.19,915.3,228.92,95.94,1118.99,105.57,3.75,589.15,12723.47,3074.36,3641.91,6007.199999999999
Amravati,2013,559.66,955.9,11826.14,738.68,1209.15,15289.53,3649.36,349.03,3383.33,161.25,1343.64,132.48,1397.74,845.15,299.79,152.57,1329.78,172.05,0.73,623.72,13840.62,2944.99,3845.1,7050.53
Amravati,2014,392.51,804.84,10356.26,2441.73,1687.74,15683.08,4310.18,214.34,4799.83,473.68,1433.72,336.08,1627.7,637.54,272.62,126.23,547.13,145.29,5.15,752.04,15681.53,3159.38,5551.28,6970.87
Amravati,2015,743.29,687.31,14145.85,2309.54,1083.83,18969.82,4703.7,132.17,5118.57,363.69,1821.65,155.45,3238.53,866.76,290.15,258.71,385.51,116.68,1.08,628.05,18081.0,3471.91,5773.489999999999,8835.3
Amravati,2016,449.03,1031.54,22533.25,1423.92,1564.99,27002.73,4839.05,277.94,7093.16,290.2,1770.43,139.44,3125.44,791.34,472.22,90.63,1372.02,119.01,1.05,745.68,21127.61,3446.89,7856.63,9824.09
Amravati,2017,608.08,388.9,19981.5,2533.51,1414.03,24926.02,5366.22,242.77,7819.14,268.9,1810.57,57.6,1863.31,834.6,269.78,79.34,1802.37,99.43,0.86,549.62,21064.51,3252.39,8358.68,9453.440000000002
Amravati,2018,342.4,742.169,27441.3,3958.37,1848.98,34333.22,5368.84,46.71,5501.29,267.949,3338.17,891.97,5744.29,1274.18,30.12,425.307,1100.55,25.61,1.08,1149.38,25165.44,6653.700000000001,5800.438999999999,12711.307
Amravati,2019,823.56,567.25,26888.01,3332.69,1680.92,33292.43,6076.29,175.59,10381.26,261.55,3685.73,756.43,5783.84,1261.13,187.34,435.36,330.51,129.5,12.19,868.44,30345.16,6571.73,10842.34,12931.09
Amravati,2020,635.29,960.3,25475.06,2070.6,1734.12,30875.38,4408.81,226.4,11043.36,819.18,3725.57,102.57,368.37,3465.43,531.83,469.28,4096.06,391.6,42.5,1181.34,30872.3,8474.91,12436.87,9960.52
Amravati,2021,4931.88,931.08,24407.23,2249.24,2097.66,34617.09,4856.94,559.24,14993.72,1235.78,4698.35,144.72,2171.51,3108.31,714.07,482.53,2686.55,447.78,47.81,1195.73,37343.04,9147.11,16991.38,11204.55
Chhatrapati Sambhaji Nagar,2012,150.33,546.62,4696.48,2336.04,562.4,8291.87,1003.78,142.21,2077.78,187.13,596.8,79.81,2308.7,242.05,170.59,115.55,1033.46,173.13,,438.22,8569.21,1356.88,2435.5,4776.83
Chhatrapati Sambhaji Nagar,2013,247.16,143.51,8560.84,2696.4,637.73,12285.64,461.5,136.31,2722.18,236.33,290.9,124.07,2957.46,601.55,241.52,45.5,1495.56,188.48,,524.66,10026.02,1541.18,3200.03,5284.809999999999
Chhatrapati Sambhaji Nagar,2014,156.02,128.66,5384.2,2131.84,675.72,8476.44,337.2,90.63,4105.26,334.62,288.76,58.46,2127.53,608.96,201.31,119.09,1683.74,225.32,,604.75,10785.63,1560.93,4641.190000000001,4583.51
Chhatrapati Sambhaji Nagar,2015,156.02,128.66,5384.2,2131.84,675.72,8476.44,337.2,90.63,4105.26,334.62,288.76,58.46,2127.53,608.96,201.31,119.09,1683.74,225.32,,604.75,10785.63,1560.93,4641.190000000001,4583.51
Chhatrapati Sambhaji Nagar,2016,262.75,355.67,11356.14,561.82,815.49,13351.87,1133.13,111.79,2712.55,386.72,448.54,110.21,6588.02,667.71,242.45,36.53,613.21,202.85,,591.59,13845.3,1818.05,3341.72,8685.53
Chhatrapati Sambhaji Nagar,2017,440.08,314.81,6927.87,1938.86,1000.53,10622.15,1334.07,196.2,4398.69,304.19,352.29,19.05,506.69,344.92,213.94,63.96,980.09,167.02,,584.69,9465.8,1300.95,4916.819999999999,3248.03
Chhatrapati Sambhaji Nagar,2018,739.61,123.17,13927.67,289.7,937.27,16017.43,1142.56,418.22,5453.29,292.9,388.04,107.98,1332.44,1443.44,246.82,24.6,564.6,361.41,2.46,691.0,12469.76,2630.46,5995.469999999999,3843.83
Chhatrapati Sambhaji Nagar,2019,738.12,159.52,11294.59,619.75,903.03,13715.01,1551.56,305.06,5847.25,375.74,387.18,25.48,3308.41,1109.01,382.53,12.34,1107.5,284.8,3.36,559.31,15259.52,2080.98,6608.879999999999,6569.67
Chhatrapati Sambhaji Nagar,2020,1254.04,146.77,9744.38,380.86,809.02,12335.07,3064.88,234.62,6511.86,677.14,509.82,89.41,632.27,1290.4,102.55,427.54,1367.48,132.5,3.0,493.52,15536.99,2383.15,7294.55,5859.290000000001
Chhatrapati Sambhaji Nagar,2021,688.91,317.27,9621.99,662.67,1707.72,12998.56,3238.88,656.6,11465.89,986.31,655.31,96.14,639.54,1118.94,181.29,155.24,357.48,194.8,3.22,696.35,20445.99,2566.74,12636.71,5242.54
Beed,2014,367.84,165.37,15182.33,1952.7,1286.82,,4146.99,154.62,5034.92,2470.55,33.87,39.26,3578.93,652.34,290.85,60.98,127.36,125.52,,1308.84,18025.03,2034.31,7796.320000000001,8194.399999999998
Beed,2015,101.56,135.3,11938.31,1801.04,1388.01,,3214.41,258.71,3641.13,,22.62,101.36,1424.5,1322.47,246.65,80.68,669.76,109.42,,1197.46,12289.17,2643.91,3887.78,5757.48
Beed,2016,98.69,152.7,16840.8,1797.83,1372.53,,3886.24,1083.02,6204.87,151.49,20.03,135.35,2769.39,709.68,220.23,97.77,304.13,65.63,,1051.31,16699.14,1916.37,6576.589999999999,8206.18
Beed,2017,149.47,357.26,13374.16,1576.92,1343.12,,3621.17,37.89,7007.68,712.39,276.65,173.89,2829.06,370.05,228.3,44.32,40.66,77.36,,1731.09,17150.51,2551.68,7948.370000000001,6650.459999999999
Beed,2018,391.97,619.64,18714.76,4294.64,1353.34,,4072.04,470.93,4880.08,2235.24,13.9,361.63,6750.7,659.91,395.79,433.3,37.85,131.76,,3730.54,24173.67,4765.98,7511.11,11896.58
Beed,2019,342.6,328.91,24928.46,2478.04,1377.03,,4527.71,538.02,7424.03,1016.91,1.2,218.6,4326.4,1053.94,142.03,394.5,25.0,147.45,,6540.72,26356.51,7814.46,8582.970000000001,9959.08
Beed,2020,428.03,595.35,22676.23,686.8,2261.02,,4654.81,411.97,16200.34,1950.04,12.91,27.6,1527.97,1085.27,166.2,116.14,121.25,187.9,4.51,1792.67,28259.58,2918.45,18321.09,7020.040000000001
Beed,2021,376.04,134.97,25888.78,2057.58,1976.14,,5322.54,1598.57,20812.45,2212.82,5.13,54.87,1216.18,835.53,245.53,114.6,73.87,215.62,,938.07,33645.78,1833.6,23270.8,8541.380000000001
Bhandara,2012,72.02,71.0,3482.61,1859.46,670.87,6155.96,381.36,64.29,414.77,137.1,176.38,1006.32,3048.02,501.2,38.2,37.36,60.46,54.15,,165.23,6084.84,1849.13,590.07,3645.64
Bhandara,2013,104.47,48.47,4951.04,1721.61,727.16,7552.75,139.12,22.29,480.93,162.95,357.86,1628.19,2669.26,534.95,25.04,35.32,25.68,112.71,,239.51,6433.81,2760.51,668.92,3004.38
Bhandara,2014,309.52,36.96,7679.62,672.58,857.87,9556.55,394.87,30.46,675.85,,151.42,2941.22,6044.0,1397.17,19.01,32.85,1.85,68.99,,131.41,11889.1,4621.219999999999,694.86,6573.02
Bhandara,2015,300.41,48.1,7744.04,228.49,888.88,9209.92,707.76,35.07,758.45,118.13,100.25,2884.96,4502.75,791.87,212.84,39.96,1.33,145.85,,207.49,10506.71,3984.57,1089.42,5432.72
Bhandara,2016,162.89,86.74,9120.31,595.24,1042.09,11007.27,593.44,31.67,847.55,122.13,180.46,737.04,4518.98,763.07,217.21,33.05,22.99,105.72,,211.06,8384.37,1891.63,1186.89,5305.849999999999
Bhandara,2017,649.27,133.98,8041.89,439.66,996.27,10261.07,967.33,48.72,966.44,115.32,534.6,653.69,2780.6,901.48,55.8,63.25,,91.3,,508.74,7687.27,2598.51,1137.56,3951.2
Bhandara,2018,118.26,1653.71,14688.36,2695.97,1025.9,20182.2,2781.56,717.51,5065.03,175.0,225.54,48.41,3752.05,660.11,101.9,38.0,182.36,35.0,,953.73,14736.2,1887.79,5341.929999999999,7506.48
Bhandara,2019,1464.9,1593.85,12110.43,2084.94,383.14,17637.26,2648.85,255.87,3295.56,182.18,189.46,57.98,6951.05,553.13,63.9,38.0,1620.83,52.04,,1703.82,17612.67,2504.39,3541.64,11566.64
Bhandara,2020,,,10424.99,1387.79,1722.44,13535.22,4272.14,184.08,4460.89,38.46,201.12,155.87,11768.77,157.75,8.31,,,50.0,,192.44,21489.83,707.1800000000001,4507.660000000001,16274.99
Bhandara,2021,1021.74,1.81,8689.41,7551.02,1273.0,18536.98,4280.12,71.47,1683.3,174.95,,42.62,8108.86,85.42,74.68,3.2,,18.67,,462.46,15005.75,590.5,1932.93,12482.32
Buldhana,2013,502.1,593.19,15490.44,1313.45,1587.01,19486.19,5739.61,86.7,3328.71,157.93,1035.89,195.93,4918.76,610.11,363.27,73.42,486.45,140.39,0.72,1343.97,18481.96,3185.900000000001,3850.63,11445.33
Buldhana,2014,2200.6,340.95,23710.8,1809.8,2352.88,30415.03,6026.41,1147.22,5143.22,415.06,1133.76,447.2,6960.63,602.51,385.45,288.9,4640.99,56.36,477.54,1647.8,29373.05,3831.27,6421.27,19120.51
Buldhana,2015,3368.95,464.36,33587.76,2828.53,2083.1,42332.7,6294.7,947.38,8795.48,202.23,4849.79,64.52,12669.52,1261.99,395.15,200.16,771.54,199.07,0.83,3057.66,39710.02,9233.96,9393.689999999999,21082.37
Buldhana,2016,1909.28,383.7,29151.29,3754.56,2864.86,38063.69,8226.7,794.89,,,,15.82,8766.45,,203.89,,1169.02,952.56,,1930.79,38416.71,1946.61,203.89,19909.62
Buldhana,2017,3573.73,436.6,30782.55,3001.03,2562.87,40356.78,8132.36,562.41,7181.16,42.72,5630.85,69.84,6011.15,1464.18,530.58,489.28,3463.48,848.33,,1900.65,36326.99,9065.52,7754.46,19507.01
Buldhana,2018,3585.89,279.53,30034.26,3058.05,3052.65,40007.4,10156.2,887.19,7170.04,535.96,1105.51,102.95,4713.16,1054.36,331.97,135.01,654.68,164.7,,1188.12,28199.85,3450.94,8037.97,16710.94
Buldhana,2019,1747.49,557.02,32348.05,2190.35,2612.44,39455.35,11999.81,927.58,8251.68,725.85,1204.55,103.02,5249.49,1838.38,617.61,96.68,592.39,73.43,,1345.37,33025.84,4491.32,9595.140000000001,18939.38
Buldhana,2020,5260.38,381.87,23440.91,8157.36,2683.61,39924.13,12863.32,823.7,16093.1,712.23,1788.1,185.82,7256.56,1796.84,447.49,530.25,1984.52,110.55,1.62,1687.77,46281.87,5458.53,17254.44,23568.9
Buldhana,2021,2850.64,630.64,24623.66,5190.43,4215.45,37510.79,13827.07,1532.81,9262.03,564.66,1243.58,47.89,11876.69,1255.63,701.67,251.74,460.09,30.75,408.25,1703.23,43166.09,4250.33,10936.61,27979.15
Chandrapur,2012,2.7,68.0,2.9,4.2,,100.7,9.0,1.8,17.8,,7.2,0.2,12.9,8.2,2.2,1.1,0.2,1.3,,2.3,64.2,17.9,20.0,26.3
Chandrapur,2013,3.8,3.6,68.1,10.7,3.4,89.6,9.0,1.8,,,5.0,,25.1,24.0,,,,,,,64.9,29.0,0.0,35.90000000000001
Chandrapur,2014,874.9,140.8,6492.0,1146.4,3215.6,11869.7,850.6,19.8,1016.4,,1920.8,,5378.6,813.9,,,,,,,10000.1,2734.7,1016.4,6249.0
Chandrapur,2015,894.5,673.08,12278.14,1918.75,1619.04,17383.51,2089.39,98.16,6856.65,52.84,541.77,122.82,710.43,1442.44,187.8,117.56,204.64,87.8,,1365.09,13877.39,3472.12,7097.29,3307.98
Chandrapur,2016,1053.54,668.19,23077.84,2362.52,2536.82,29698.91,2092.24,206.02,7254.72,312.71,724.85,78.66,3017.62,1815.11,391.31,123.65,445.05,162.21,0.9,1916.22,18541.27,4534.84,7959.64,6046.789999999999
Chandrapur,2017,8077.81,159.21,11875.63,4006.86,1935.34,26054.84,3892.49,1271.87,3626.21,396.79,552.28,30.93,13347.21,894.73,345.53,176.63,92.99,72.84,,1258.38,25958.88,2736.32,4368.53,18854.03
Chandrapur,2018,4192.11,367.436,28918.9,1291.4,2717.1,37487.0,4439.58,1407.98,3864.51,425.17,868.33,100.36,15951.7,1499.79,477.09,278.93,135.14,154.55,,1445.93,31049.03,3914.41,4766.77,22367.88
Chandrapur,2019,1242.14,236.14,35662.36,9132.48,1388.43,47661.55,3719.0,564.21,7500.34,35.17,613.42,34.46,14545.28,822.38,346.51,241.72,94.54,84.64,,753.63,29355.31,2223.89,7882.02,19249.39
Chandrapur,2020,1385.67,212.11,29108.86,4990.54,2038.61,37735.79,4363.44,743.43,4661.63,285.78,252.37,410.39,24501.1,1365.76,904.26,167.68,263.68,353.46,,1344.32,39617.31,3372.84,5851.67,30392.79
Chandrapur,2021,1431.96,1002.57,13966.16,13983.21,2434.22,32818.12,5944.37,760.17,4973.27,55.82,371.99,64.81,26979.69,1065.95,636.63,109.67,760.96,111.17,,2130.81,43965.79,3633.56,5665.72,34666.02999999999
Dhule,2012,417.73,139.28,7182.33,1204.44,632.42,9576.2,252.53,51.39,152.92,38.15,315.29,3.17,6943.74,390.59,101.04,44.79,160.89,102.38,,414.98,8971.86,1124.03,292.11,7555.72
Dhule,2013,3705.66,234.95,5840.12,8216.85,543.67,18541.25,921.18,45.86,2921.86,16.42,338.34,7.73,4589.06,517.74,131.8,57.9,5.0,70.79,,337.87,9961.55,1201.68,3070.08,5689.79
Dhule,2014,2687.15,169.27,2808.31,4823.76,771.21,11259.7,756.78,247.6,2735.09,258.11,309.79,1.26,3914.52,296.48,87.03,70.43,5.42,43.21,,352.14,9077.86,959.67,3080.23,5037.96
Dhule,2015,812.34,166.01,7884.59,2074.93,792.01,11729.88,1375.93,23.83,4296.64,8.63,296.3,3.18,1738.15,650.16,128.07,77.07,5.1,25.75,,1388.15,10016.96,2337.79,4433.34,3245.83
Dhule,2016,271.56,275.4,5726.74,2089.11,748.26,9111.07,1817.97,74.52,3592.5,,45.49,5.76,2111.88,642.72,290.26,50.09,6.08,5.12,,865.29,9507.68,1559.26,3882.76,4065.66
Dhule,2017,699.91,345.08,5379.75,1136.7,774.27,8335.71,1690.63,94.06,1818.12,823.8,41.18,9.21,1522.79,657.97,213.31,57.88,42.34,0.56,,1244.64,8216.49,1953.0,2855.23,3408.26
Dhule,2018,362.89,98.04,4035.22,1333.98,763.53,6593.66,168.55,63.03,196.91,,39.48,44.72,3606.38,788.6,99.12,78.94,,126.17,,471.98,5683.88,1344.78,296.03,4043.07
Dhule,2019,915.49,267.36,7927.35,4448.78,882.14,14441.12,2008.5,342.7,2532.2,,25.73,45.77,6770.44,632.4,93.17,61.81,,35.69,,469.01,13017.42,1172.91,2625.37,9219.14
Dhule,2020,876.05,242.5,6457.75,3389.22,1021.05,11986.57,2252.88,689.14,3107.86,,79.1,18.88,3696.9,994.77,94.99,47.29,,0.38,,841.98,11824.17,1934.73,3202.85,6686.59
Dhule,2021,876.05,242.5,6457.75,3389.22,1021.05,10095.75,2330.03,414.9,1674.44,,79.1,31.96,6635.95,1083.47,240.04,215.04,,0.35,,1058.75,13764.03,2253.28,1914.48,9596.270000000002
Gadchiroli,2012,431.2,,2155.63,104.96,352.66,3044.45,270.36,183.94,994.66,884.0,226.33,7.65,351.0,119.35,81.52,14.81,13.0,25.29,,119.35,3291.26,472.6800000000001,1960.18,858.3999999999999
Gadchiroli,2013,557.36,,3715.99,248.29,331.52,4853.16,308.84,251.83,881.33,747.0,300.76,9.52,491.74,165.35,97.41,15.13,10.95,21.04,,118.95,3419.85,594.58,1725.74,1099.53
Gadchiroli,2014,560.68,,2696.83,312.52,367.91,3937.94,290.49,531.61,2053.09,18.0,222.15,67.31,769.88,189.08,72.09,10.98,6.9,2.4,,82.05,4316.03,560.59,2143.18,1612.26
Gadchiroli,2015,661.64,,4091.76,758.53,239.3,5751.23,575.57,124.49,1184.01,,338.3,13.24,1427.0,73.13,103.61,1.32,5.52,3.34,,235.55,4085.08,660.22,1287.62,2137.24
Gadchiroli,2016,2456.52,,3605.13,1298.49,638.43,7998.57,348.3,123.41,2309.63,,291.71,1.49,3778.5,323.92,129.38,4.35,,21.55,,188.23,7520.47,805.35,2439.01,4276.110000000001
