District,Year,Taluka,Aggregate Current Demand,Arrears,Aggregate Demand,Discount,Amount of suspended recovery,Amount Eligible for Recovery,Value Recovery,Number of Account Holders
Amravati,2013,Tivas,30000.0,0.0,30000.0,0.0,0.0,30000.0,22170.0,
Amravati,2013,Amravati,1100000.0,0.0,1100000.0,0.0,0.0,1100000.0,811150.0,
Amravati,2013,Bhatkuli,30000.0,0.0,30000.0,0.0,0.0,30000.0,34260.0,
Amravati,2013,Daryapur,54450.0,0.0,54450.0,0.0,0.0,54450.0,73600.0,
Amravati,2013,Nandgaon Kh,30000.0,0.0,30000.0,0.0,0.0,30000.0,137160.0,
Amravati,2013,Chandur Railway,40000.0,0.0,40000.0,0.0,0.0,40000.0,29610.0,
Amravati,2013,Dhamangaon Re,34680.0,0.0,34680.0,0.0,0.0,34680.0,39150.0,
Amravati,2014,Dharani,12000.0,0.0,12000.0,0.0,0.0,12000.0,150190.0,19174
Amravati,2014,Chikhraldara,12000.0,0.0,12000.0,0.0,0.0,12000.0,73140.0,10297
Amravati,2014,Anjangaon Su,50000.0,0.0,50000.0,0.0,0.0,50000.0,176890.0,33239
Amravati,2014,Achalpur,70000.0,0.0,70000.0,0.0,0.0,70000.0,646370.0,37414
Amravati,2014,Chandurbazar,45000.0,0.0,45000.0,0.0,0.0,45000.0,198580.0,40193
Amravati,2014,Morshi,50000.0,0.0,50000.0,0.0,0.0,50000.0,254120.0,39213
Amravati,2014,Warud,85000.0,0.0,85000.0,0.0,0.0,85000.0,232090.0,37698
Amravati,2014,Tivas,34000.0,0.0,34000.0,0.0,0.0,34000.0,52150.0,22521
Amravati,2014,Amravati,1205000.0,0.0,1205000.0,0.0,0.0,1205000.0,1067400.0,35848
Amravati,2014,Bhatkuli,34000.0,0.0,34000.0,0.0,0.0,34000.0,232330.0,30838
Amravati,2014,Daryapur,60000.0,0.0,60000.0,0.0,0.0,60000.0,158500.0,34945
