District,Year,"Receipts and Loans
","From Commercial Activities
",Government Subsidies,"Other Sources
",Rents and Taxes,"Revenue
",Administration (Establishment),Administration (Others),Construction,Drainage and Sewage,Education,Expenditure on Weak Sectors,Others,Public Health,Public Lighting,Public Security,Special Expenses and Loans,Tax Recovery,Transportation,Water Supply,Expenditure,Social Services,Economic Services,Non-Developmental
Buldhana,2015,336895000.0,46436000.0,3358776000.0,282853000.0,208310000.0,4233270000.0,629470000.0,94738000.0,879548000.0,20223000.0,484979000.0,6452000.0,1266952000.0,126199000.0,39515000.0,20016000.0,77154000.0,19907000.0,83000.0,305766000.0,3971002000.0,923395999.9999999,939368999.9999999,2108237000.0
Buldhana,2016,190928000.0,38370000.0,2915129000.0,375456000.0,286486000.0,3806369000.0,822670000.0000001,79489000.0,,,,1582000.0,876645000.0000001,,20389000.0,,116902000.0,95256000.0,,193079000.0,3841671000.0,194661000.0,20389000.0,1990962000.0
Buldhana,2017,357373000.0,43660000.0,3078255000.0,300103000.0,256287000.0,4035678000.0,813236000.0,56241000.0,718116000.0,4272000.0,563085000.0,6984000.0,601115000.0,146418000.0,53058000.00000001,48928000.0,346348000.0,84833000.0,,190065000.0,3632699000.0,906552000.0,775446000.0,1950701000.0
Buldhana,2018,358589000.0,27953000.0,3003426000.0,305805000.0,305265000.0,4000740000.0,1015620000.0,88719000.0,717004000.0,53596000.0,110551000.0,10295000.0,471316000.0,105436000.0,33197000.0,13501000.0,65467999.99999999,16470000.0,,118812000.0,2819985000.0,345093999.9999999,803797000.0,1671094000.0
Buldhana,2019,174749000.0,55702000.0,3234805000.0,219035000.0,261244000.0,3945535000.0,1199981000.0,92758000.0,825168000.0,72585000.0,120455000.0,10302000.0,524949000.0,183838000.0,61761000.0,9668000.0,59239000.0,7343000.000000001,,134537000.0,3302584000.0,449132000.0,959514000.0000001,1893938000.0
Buldhana,2020,526038000.0,38187000.0,2344091000.0,815736000.0,268361000.0,3992413000.0,1286332000.0,82370000.0,1609310000.0,71223000.0,178810000.0,18582000.0,725656000.0,179684000.0,44749000.0,53025000.0,198452000.0,11055000.0,162000.0,168777000.0,4628187000.0,545853000.0,1725444000.0,2356890000.0
Buldhana,2021,285064000.0,63064000.0,2462366000.0,519043000.0,421545000.0,3751079000.0,1382707000.0,153281000.0,926203000.0000001,56466000.0,124358000.0,4789000.0,1187669000.0,125563000.0,70167000.0,25174000.0,46009000.0,3075000.0,40825000.0,170323000.0,4316609000.0,425033000.0,1093661000.0,2797915000.0
Chandrapur,2012,270000.0,6800000.0,290000.0,420000.0,,10070000.0,900000.0,180000.0,1780000.0,,720000.0,20000.0,1290000.0,819999.9999999999,220000.0,110000.0,20000.0,130000.0,,230000.0,6420000.0,1790000.0,2000000.0,2630000.0
Chandrapur,2013,380000.0,360000.0,6809999.999999999,1070000.0,340000.0,8960000.0,900000.0,180000.0,,,500000.0,,2510000.0,2400000.0,,,,,,,6490000.000000001,2900000.0,,3590000.0
Chandrapur,2014,87490000.0,14080000.0,649200000.0,114640000.0,321560000.0,1186970000.0,85060000.0,1980000.0,101640000.0,,192080000.0,,537860000.0,81390000.0,,,,,,,1000010000.0,273470000.0,101640000.0,624900000.0
Chandrapur,2015,89450000.0,67308000.0,1227814000.0,191875000.0,161904000.0,1738351000.0,208939000.0,9816000.0,685665000.0,5284000.0,54177000.0,12282000.0,71043000.0,144244000.0,18780000.0,11756000.0,20464000.0,8780000.0,,136509000.0,1387739000.0,347212000.0,709729000.0,330797999.9999999
