Year,District,Taluka,Towns and cities where banks have offices,Classified Banks,Branch Offices of Classified Banks
2014,Nagpur,Narkhed,8.0,8,19.0
2014,Nagpur,Katol,11.0,12,20.0
2014,Nagpur,Kalameshwar,7.0,6,16.0
2014,Nagpur,Sawner,12.0,8,25.0
2014,Nagpur,Parashivani,8.0,7,13.0
2014,Nagpur,Ramtech,12.0,6,21.0
2014,Nagpur,Mauda,8.0,9,19.0
2014,Nagpur,Kamathi,10.0,8,16.0
2014,Nagpur,Nagpur (Gra),15.0,15,37.0
2014,Nagpur,Nagpur (Sh),1.0,19,258.0
2014,Nagpur,Hingana,10.0,8,20.0
2014,Nagpur,Umred,12.0,10,24.0
2014,Nagpur,Kuhi,6.0,5,14.0
2014,Nagpur,Bhiwapur,9.0,5,9.0
2015,Nagpur,Narkhed,8.0,8,19.0
2015,Nagpur,Katol,11.0,12,20.0
2015,Nagpur,Kalameshwar,7.0,6,16.0
2015,Nagpur,Sawner,12.0,8,25.0
2015,Nagpur,Parashivani,8.0,7,13.0
2015,Nagpur,Ramtech,12.0,6,21.0
2015,Nagpur,Mauda,8.0,9,19.0
2015,Nagpur,Kamathi,10.0,8,16.0
2015,Nagpur,Nagpur (Gra),15.0,15,37.0
2015,Nagpur,Nagpur (Sh),1.0,19,258.0
2015,Nagpur,Hingana,10.0,8,20.0
2015,Nagpur,Umred,12.0,10,24.0
2015,Nagpur,Kuhi,6.0,5,14.0
2015,Nagpur,Bhiwapur,9.0,5,9.0
2016,Nagpur,Narkhed,10.0,8,21.0
2016,Nagpur,Katol,14.0,11,27.0
2016,Nagpur,Kalameshwar,13.0,14,21.0
2016,Nagpur,Sawner,12.0,15,29.0
2016,Nagpur,Parashivani,6.0,9,11.0
2016,Nagpur,Ramtech,9.0,10,20.0
2016,Nagpur,Mauda,10.0,13,24.0
2016,Nagpur,Kamathi,18.0,13,28.0
2016,Nagpur,Nagpur (Gra),35.0,17,55.0
2016,Nagpur,Nagpur (Sh),1.0,24,339.0
2016,Nagpur,Hingana,14.0,14,25.0
2016,Nagpur,Umred,14.0,14,29.0
2016,Nagpur,Kuhi,10.0,7,15.0
2016,Nagpur,Bhiwapur,9.0,6,11.0
2017,Nagpur,Narkhed,10.0,6,21.0
2017,Nagpur,Katol,14.0,9,27.0
2017,Nagpur,Kalameshwar,13.0,11,21.0
2017,Nagpur,Sawner,12.0,11,29.0
2017,Nagpur,Parashivani,6.0,8,11.0
2017,Nagpur,Ramtech,9.0,8,20.0
2017,Nagpur,Mauda,10.0,10,24.0
