Year,District,Taluka,Select Banks/ Bank Branches,Number
2020,Ahilyanagar,Karjat,Branch Offices,27.0
2020,Ahilyanagar,Jamkhed,Classified Banks,7.0
2020,Ahilyanagar,Jamkhed,Branch Offices,20.0
2021,Ahilyanagar,Akole,Classified Banks,6.0
2021,Ahilyanagar,Akole,Branch Offices,35.0
2021,Ahilyanagar,Sangamner,Classified Banks,22.0
2021,Ahilyanagar,Sangamner,Branch Offices,73.0
2021,Ahilyanagar,Kopargaon,Classified Banks,13.0
2021,Ahilyanagar,Kopargaon,Branch Offices,40.0
2021,Ahilyanagar,Rahata,Classified Banks,25.0
2021,Ahilyanagar,Rahata,Branch Offices,54.0
2021,Ahilyanagar,Srirampur,Classified Banks,16.0
2021,Ahilyanagar,Srirampur,Branch Offices,35.0
2021,Ahilyanagar,Nevasa,Classified Banks,9.0
2021,Ahilyanagar,Nevasa,Branch Offices,34.0
2021,Ahilyanagar,Shevgaon,Classified Banks,6.0
2021,Ahilyanagar,Shevgaon,Branch Offices,26.0
2021,Ahilyanagar,Pathardi,Classified Banks,9.0
2021,Ahilyanagar,Pathardi,Branch Offices,26.0
2021,Ahilyanagar,Nagar,Classified Banks,31.0
2021,Ahilyanagar,Nagar,Branch Offices,110.0
2021,Ahilyanagar,Rahuri,Classified Banks,11.0
2021,Ahilyanagar,Rahuri,Branch Offices,43.0
2021,Ahilyanagar,Parner,Classified Banks,8.0
2021,Ahilyanagar,Parner,Branch Offices,45.0
2021,Ahilyanagar,Srigonda,Classified Banks,13.0
2021,Ahilyanagar,Srigonda,Branch Offices,42.0
2021,Ahilyanagar,Karjat,Classified Banks,7.0
2021,Ahilyanagar,Karjat,Branch Offices,27.0
2021,Ahilyanagar,Jamkhed,Classified Banks,7.0
2021,Ahilyanagar,Jamkhed,Branch Offices,20.0
2012,Akola,Telhara,Classified Banks,8.0
2012,Akola,Telhara,Branch Offices,20.0
2012,Akola,Akot,Classified Banks,11.0
2012,Akola,Akot,Branch Offices,24.0
2012,Akola,Balapur,Classified Banks,6.0
2012,Akola,Balapur,Branch Offices,19.0
2012,Akola,Akola,Classified Banks,20.0
2012,Akola,Akola,Branch Offices,84.0
2012,Akola,Murtijapur,Classified Banks,9.0
2012,Akola,Murtijapur,Branch Offices,16.0
2012,Akola,Patur,Classified Banks,2.0
2012,Akola,Patur,Branch Offices,11.0
2012,Akola,Barshitakali,Classified Banks,4.0
2012,Akola,Barshitakali,Branch Offices,12.0
2013,Akola,Telhara,Classified Banks,8.0
2013,Akola,Telhara,Branch Offices,13.0
2013,Akola,Akot,Classified Banks,9.0
2013,Akola,Akot,Branch Offices,20.0
2013,Akola,Balapur,Classified Banks,7.0
2013,Akola,Balapur,Branch Offices,12.0
2013,Akola,Akola,Classified Banks,26.0
2013,Akola,Akola,Branch Offices,65.0
2013,Akola,Murtijapur,Classified Banks,5.0
2013,Akola,Murtijapur,Branch Offices,15.0
2013,Akola,Patur,Classified Banks,5.0
2013,Akola,Patur,Branch Offices,6.0
2013,Akola,Barshitakali,Classified Banks,5.0
2013,Akola,Barshitakali,Branch Offices,7.0
2014,Akola,Telhara,Classified Banks,8.0
2014,Akola,Telhara,Branch Offices,21.0
2014,Akola,Akot,Classified Banks,13.0
2014,Akola,Akot,Branch Offices,28.0
2014,Akola,Balapur,Classified Banks,7.0
2014,Akola,Balapur,Branch Offices,20.0
2014,Akola,Akola,Classified Banks,34.0
2014,Akola,Akola,Branch Offices,95.0
2014,Akola,Murtijapur,Classified Banks,6.0
2014,Akola,Murtijapur,Branch Offices,20.0
2014,Akola,Patur,Classified Banks,5.0
2014,Akola,Patur,Branch Offices,12.0
2014,Akola,Barshitakali,Classified Banks,5.0
2014,Akola,Barshitakali,Branch Offices,12.0
2016,Akola,Telhara,Classified Banks,12.0
2016,Akola,Telhara,Branch Offices,20.0
2016,Akola,Akot,Classified Banks,19.0
2016,Akola,Akot,Branch Offices,33.0
2016,Akola,Balapur,Classified Banks,14.0
2016,Akola,Balapur,Branch Offices,21.0
2016,Akola,Akola,Classified Banks,65.0
2016,Akola,Akola,Branch Offices,99.0
2016,Akola,Murtijapur,Classified Banks,15.0
2016,Akola,Murtijapur,Branch Offices,21.0
2016,Akola,Patur,Classified Banks,7.0
2016,Akola,Patur,Branch Offices,12.0
2016,Akola,Barshitakali,Classified Banks,8.0
2016,Akola,Barshitakali,Branch Offices,9.0
2017,Akola,Telhara,Classified Banks,12.0
2017,Akola,Telhara,Branch Offices,20.0
2017,Akola,Akot,Classified Banks,19.0
2017,Akola,Akot,Branch Offices,33.0
2017,Akola,Balapur,Classified Banks,14.0
2017,Akola,Balapur,Branch Offices,21.0
2017,Akola,Akola,Classified Banks,68.0
2017,Akola,Akola,Branch Offices,102.0
2017,Akola,Murtijapur,Classified Banks,15.0
2017,Akola,Murtijapur,Branch Offices,21.0
2017,Akola,Patur,Classified Banks,7.0
2017,Akola,Patur,Branch Offices,12.0
2017,Akola,Barshitakali,Classified Banks,8.0
2017,Akola,Barshitakali,Branch Offices,9.0
2018,Akola,Telhara,Classified Banks,10.0
2018,Akola,Telhara,Branch Offices,21.0
2018,Akola,Akot,Classified Banks,16.0
2018,Akola,Akot,Branch Offices,32.0
2018,Akola,Balapur,Classified Banks,8.0
2018,Akola,Balapur,Branch Offices,21.0
