District,Year,Receipts and Loans,"From Commercial Activities
",Government Subsidies,Other Sources,Rents and Taxes,Revenue,Administration (Establishment),Administration (Others),Construction,Drainage and Sewage,Education,Expenditure on Weak Components,Others,Public Health,Public Lighting,Public Security,Special Expenses and Loans,Tax Recovery,Transportation,Water Supply,Expenditure,Social Services,Economic Services,Non-Developmental
Sangli,2020,,,,,,,21800000.0,2800000.0,61800000.0,,,100000.0,9500000.0,300000.0,7600000.0,600000.0,3700000.0,,,7800000.0,116000000.0,8200000.0,69400000.0,38400000.0
Sangli,2021,,,,,,,14700000.0,3500000.0,1700000.0,100000.0,100000.0,1400000.0,69700000.0,500000.0,4400000.0,900000.0,,100000.0,,12900000.0,110000000.0,14900000.0,6200000.0,88900000.0
Satara,2012,,,87500000.0,7800000.0,30900000.0,126200000.0,18220000.0,2944000.0,740000.0,,700000.0,508000.0,121168000.0,2258000.0,5322000.0,,,1562000.0,,21040000.0,174462000.0,24506000.0,6062000.0,143894000.0
Satara,2013,,,109100000.0,15000000.0,21700000.0,145800000.0,19861000.0,6268000.0,24662000.0,101919000.0,720000.0,3398000.0,45888000.0,6715000.000000001,1212000.0,,,986000.0,,12356000.0,223985000.0,23189000.0,127793000.0,73003000.0
Satara,2014,,,296016000.0,31039000.0,37866000.0,364921000.0,60096000.0,13007000.0,10178000.0,15135000.0,499000.0,340000.0,36256000.0,6489000.0,6123000.0,261000.0,252000.0,716000.0,625000.0,45251000.0,195229000.0,52579000.0,32061000.0,110588000.0
Satara,2015,,,80490000.0,65403000.0,41919000.0,187812000.0,66273000.0,14234000.0,4453000.0,1581000.0,919999.9999999999,2024000.0,43305000.0,16538000.0,11725000.0,1635000.0,32141000.0,921000.0000000001,,42505000.0,238255000.0,61987000.0,17759000.0,158509000.0
Satara,2016,2422000.0,4407000.0,47902000.0,140766000.0,113078000.0,308575000.0,95571000.0,19497000.0,182057000.0,9514000.0,,893000.0,355669000.0,21375000.0,18122000.0,,1619000.0,3634000.0,61000.0,63770000.00000001,771780000.0,86038000.00000001,209754000.0,475989999.9999999
Satara,2017,3780000.0,3503000.0,119702000.0,124407000.0,111690000.0,363082000.0,134290000.0,10474000.0,105122000.0,2448000.0,150000.0,6761000.0,214876000.0,19686000.0,15777000.0,1906000.0,352000.0,3539000.0,61000.0,46130000.0,561570000.0,72727000.0,123408000.0,365437000.0000001
Satara,2018,11290000.0,3968000.0,219820000.0,185558000.0,102995000.0,523630000.0,87799000.0,10254000.0,58019000.00000001,6911000.0,168000.0,1107000.0,25621000.0,12929000.0,7606999.999999999,34875000.0,451999.9999999999,3735000.0,12000.0,10445000.0,259934000.0,24649000.0,72549000.00000001,162736000.0
Satara,2019,244141000.0,1519000.0,223912000.0,218082000.0,124859000.0,812513000.0,169386000.0,57617999.99999999,106520000.0,13159000.0,10233000.0,953999.9999999999,198044000.0,16166000.0,8495000.0,42933000.0,408000.0,5577000.0,,56941999.99999999,686436000.0,84295000.0,128174000.0,473966000.0
Satara,2020,12174000.0,2880000.0,182628000.0,55699000.0,63055999.99999999,812513000.0,20000.0,20000.0,,,,,110000.0,60000.0,30000.0,,260000.0,10000.0,,30000.0,550000.0,89999.99999999999,30000.0,420000.0
Satara,2021,11169000.0,3965000.0,181256000.0,48588000.0,65552000.0,310529000.0,1900000.0,2800000.0,200000.0,,,,8200000.0,7300000.0,2000000.0,300000.0,50400000.0,1000000.0,,4400000.0,78500000.0,11700000.0,2200000.0,64600000.0
Sindhudurg,2012,,,360000.0,160000.0,60000.0,580000.0,1500000.0,2600000.0,400000.0,,,,13900000.0,8500000.0,1900000.0,500000.0,26400000.0,1200000.0,,5100000.0,62000000.0,13600000.0,2300000.0,46100000.0
Sindhudurg,2013,,,60800000.0,11200000.0,6900000.0,78900000.0,1300000.0,400000.0,300000.0,,,34600000.0,200000.0,4700000.0,600000.0,,,1300000.0,,3400000.0,46800000.0,42700000.0,900000.0,3200000.0
Sindhudurg,2014,,,35800000.0,29400000.0,10000000.0,75200000.0,9000000.0,2300000.0,9200000.0,,,88300000.0,54800000.0,10900000.0,3000000.0,600000.0,,1600000.0,,7800000.0,187500000.0,107000000.0,12200000.0,68300000.0
Sindhudurg,2015,,,57000000.0,53200000.0,6900000.0,117100000.0,29800000.0,7900000.0,41700000.0,5600000.0,,95000000.0,53000000.0,14800000.0,7000000.0,5400000.0,600000.0,3800000.0,22100000.0,18500000.0,305200000.0,128300000.0,76400000.0,100500000.0
Sindhudurg,2016,2600000.0,7600000.0,107200000.0,104900000.0,38400000.0,260700000.0,26500000.0,9600000.0,36000000.0,1000000.0,,900000.0,48500000.0,3600000.0,2000000.0,2000000.0,500000.0,17900000.0,44000.0,8800000.0,157500000.0,13300000.0,39044000.0,105000000.0
Sindhudurg,2017,13100000.0,4500000.0,319300000.0,62400000.0,38200000.0,437600000.0,59500000.0,12300000.0,154400000.0,6000000.0,,2800000.0,20300000.0,37700000.0,10500000.0,500000.0,,,,21400000.0,325300000.0,61900000.0,170900000.0,92600000.0
Sindhudurg,2018,19300000.0,4200000.0,178400000.0,117400000.0,28100000.0,277300000.0,63200000.0,1000000.0,177200000.0,13300000.0,,2600000.0,38400000.0,56200000.0,13200000.0,,15900000.0,3900000.0,1500000.0,24900000.0,411200000.0,83700000.0,205200000.0,122400000.0
