Year,District,Crops,Livestock,Forestry and Logging,Fishing and aquaculture,Agriculture & Allied Activities,Minign & Quarrying,Primary Sector,Manufacturing,"Electricity, Gas, Water Supply  & Other Utility
Services",Construction,Secondary Sector,Industry,"Trade, Repair, Hotels &
Restaurants",Railways,"Transport by means other than
Railways",Storage,"Comm. and services related to
Broad.",Financial Services,"R. Estate, O. Dwellings & Professional
Services","Public Admini- stration &
Defence",Other Services,Services/ Tertiary Sector,NDVA,Taxes on products,"Less subsidies on
products",NDDP,Popula- tion ('000),"Per capita District Domestic
Product  (  )"
2016,Dharashiv,1466,850,240,13,2569,261,2830,2330,156,629,3115,3376,878,53,403,6,128,1236,1645,245,708,5303,11249,1886,192,12943,1730,74820
2017,Dharashiv,1642,885,240,17,2784,235,3019,2538,165,640,3342,3577,943,62,433,7,110,1274,1750,268,763,5609,11970,2053,182,13842,1741,79510
2018,Dharashiv,1682,846,264,11,2804,214,3018,2691,183,647,3521,3735,1024,60,464,7,108,1337,1927,278,830,6034,12573,2242,192,14622,1752,83474
2019,Dharashiv,2255,876,260,8,3399,110,3509,2665,193,658,3517,3626,1089,62,499,7,123,1394,2101,329,922,6525,13551,2399,219,15731,1763,89253
2011,Dhule,2503,470,196,13,3182,341,3523,2391,208,888,3487,3828,1134,59,414,9,149,1341,1631,322,675,5733,12744,2085,336,14493,2062,70284
2012,Dhule,2489,489,196,12,3186,217,3403,2582,217,854,3653,3870,1258,62,458,9,157,1456,1768,328,746,6242,13299,2267,417,15149,2081,72791
2013,Dhule,3002,469,190,13,3674,56,3730,2924,167,875,3966,4021,1232,63,469,10,158,1658,1958,335,825,6708,14403,2435,424,16415,2100,78163
2014,Dhule,3566,290,188,13,4057,21,4078,3085,223,951,4260,4280,1268,71,525,10,183,1789,2200,346,933,7324,15661,2654,424,17891,2119,84430
2015,Dhule,2793,386,186,13,3378,215,3593,3427,234,959,4620,4835,1249,74,590,10,220,1873,2395,363,1017,7792,16005,2703,336,18372,2138,85938
2016,Dhule,2877,542,203,14,3637,568,4205,3610,241,975,4826,5394,1361,83,624,10,198,1914,2549,380,1097,8215,17246,2896,294,19848,2155,92090
2017,Dhule,3320,600,204,15,4138,32,4171,4086,266,1030,5382,5414,1518,99,696,11,177,2051,2817,432,1229,9032,18584,3184,282,21486,2172,98942
2018,Dhule,2306,702,206,13,3227,31,3258,4312,293,1037,5642,5673,1641,95,744,11,174,2143,3088,445,1330,9671,18571,3312,284,21599,2188,98721
2019,Dhule,2656,735,203,15,3609,18,3626,4249,308,1049,5607,5624,1736,99,796,12,195,2222,3349,525,1469,10403,19636,3466,317,22786,2204,103378
2011,Gadchiroli,507,201,1069,31,1808,66,1874,859,75,319,1253,1319,407,21,149,3,54,482,586,116,243,2060,5186,849,137,5898,1078,54737
2012,Gadchiroli,625,223,1036,30,1915,64,1979,917,77,303,1297,1361,447,22,163,3,56,517,627,117,265,2216,5491,935,172,6254,1085,57616
2013,Gadchiroli,593,172,724,19,1509,0,1509,1030,59,308,1397,1397,434,22,165,3,56,584,690,118,291,2363,5269,896,156,6009,1093,54964
2014,Gadchiroli,614,125,602,22,1362,0,1362,1083,78,334,1496,1496,445,25,184,4,64,628,772,121,327,2572,5430,926,148,6208,1101,56381
