Year,District,VAT,Central Sales Tax,Business Tax,Sugarcane purchase tax,Entry Tax,Luxury Tax,GST,Total
2019,Bhandara,474.96,,1020.36,,,,2860.97,4355.89
2019,Buldhana,850.0,10.0,400.0,,0.0,0.0,6525.0,7785.0
2019,Chandrapur,1.67,,1422.78,,,,26277.11,27701.56
2019,Chhatrapati Sambhaji Nagar,88243.0,,,,,,258713.0,346956.0
2019,Dharashiv,166.47,0.1,894.42,,0.0,0.0,3382.65,4443.64
2019,Dhule,95.38,,743.12,,,,7623.46,8461.96
2019,Gadchiroli,100.27,,821.0,,,,3485.61,4406.88
2019,Gondia,234.0,,729.0,,,,4687.87,5650.87
2019,Hingoli,58.0,0.0,123.0,,0.0,0.0,6512.0,6693.0
2019,Jalgaon,,,,,,,,0.0
2019,Jalna,10319.52,72.09,873.88,,0.0,0.0,11803.8,23069.29
2019,Kolhapur,37007.0,1859.0,8015.0,2415.0,,129.0,145370.0,194795.0
2019,Latur,30.1,0.0,836.0,,0.0,0.0,17933.54,18799.64
2019,Mumbai,,,,,,,2980089.24,2980089.24
2019,Nagpur,22138.0,2162.0,7618.0,,,,71801.0,103719.0
2019,Nanded,27261.07,506.23,1740.51,,0.0,0.0,7461.0,36968.81
2019,Nandurbar,1036.0,,652.0,,,,4200.0,5888.0
2019,Nashik,,,,,,,,311115.1
2019,Palghar,11425.0,,1667.1,,0.0,8.0,35219.8,48319.9
2019,Parbhani,0.6,0.0,865.49,,0.0,0.0,8665.71,9531.8
2019,Pune,,,,,,,2939274.83,2939274.83
2019,Raigad,129444.26,10768.63,8281.8,,0.08,56.19,196487.49,345038.45
2019,Ratnagiri,,,,,,,21547.34,21547.34
2019,Sangli,37007.0,1859.0,8015.0,2415.0,,129.0,145370.0,194795.0
2019,Satara,37007.0,1859.0,8015.0,2415.0,,129.0,145370.0,194795.0
2019,Sindhudurg,0.0,0.0,750.0,,0.0,0.0,2891.79,3641.79
2019,Solapur,12015.0,392.0,2319.0,157.0,0.0,16.0,27601.0,42500.0
2019,Thane,33798.0,,22805.0,,,,123132.0,179735.0
2019,Wardha,143.03,89.06,900.0,,,,4607.7,5739.79
2019,Washim,4.91,0.23,5.47,,0.0,0.0,56.74,67.35
2019,Yavatmal,2191.64,0.0,1017.5,,0.0,0.0,7407.07,10616.21
2020,Ahilyanagar,81452.152,23.46,3870.15,,,,24983.08,110328.842
2020,Akola,36.94,0.0,6.49,,0.0,0.0,301.7,345.13
2020,Amravati,559.04329,0.0,1902.52,,0.0,0.0,14727.93,17189.49329
2020,Beed,225.1,0.0,1485.0,,0.0,0.0,3668.0,5378.1
2020,Bhandara,247.26,,701.33,,,,5783.98,6732.57
2020,Buldhana,7630.0,800.0,5500.0,,0.0,27.0,17800.0,31757.0
2020,Chandrapur,188.57,18.58,1310.68,,,,19789.62,21307.45
2020,Chhatrapati Sambhaji Nagar,76121.0,,,,,,94090.0,170211.0
2020,Dharashiv,37.2,0.0,460.0,,0.0,0.0,3787.4,4284.6
2020,Dhule,109.2,,1190.62,,,,14412.8,15712.62
2020,Gadchiroli,,,902.0,,,,4314.15,5216.15
2020,Gondia,63.93,,763.0,,,,5258.34,6085.27
2020,Hingoli,71.0,0.0,134.0,,0.0,0.0,7766.0,7971.0
2020,Jalgaon,167.43,,1627.0,,,,23456.77,25251.2
2020,Jalna,74.53,0.11,917.25,,0.0,0.0,9175.82,10167.71
2020,Kolhapur,37655.0,1215.61,8970.51,559.37,,95.18,87868.36,136364.03
2020,Latur,1265.59,0.0,1007.0,,0.0,0.0,12740.0,15012.59
2020,Mumbai,2869980.0,47070.0,105490.0,,30.0,140.0,1602410.0,4625120.0
2020,Nagpur,19628.0,1362.0,7652.0,,,,95635.0,124277.0
2020,Nanded,30696.0,309.0,1751.0,,0.0,0.0,9030.0,41786.0
2020,Nandurbar,836.0,,703.23,,,,7893.0,9432.23
2020,Nashik,281959.0,2552.0,10623.0,,,,79687.0,374821.0
2020,Palghar,9117.14,,1812.14,,,,15203.07,26132.35
2020,Parbhani,640.88,0.0,662.0,,0.0,0.0,6113.24,7416.12
2020,Pune,411.63,65.55,459.91,,0.0,1.78,1680.59,2619.46
2020,Raigad,,,,,,,,0.0
2020,Ratnagiri,,,,,,,33214.0,33214.0
2020,Sangli,37655.0,1215.3,8970.5,559.37,,95.18,87868.0,136363.35
2020,Satara,10220.67,14.11,27.02,0.0,,,42305.94,52567.74
2020,Sindhudurg,0.0,0.0,712.19,,0.0,0.0,2175.95,2888.14
2020,Solapur,9064.0,236.0,2487.0,77.0,0.0,2.0,26657.0,38523.0
2020,Thane,5397.0,1987.0,9441.0,,0.0,2.0,92679.0,109506.0
2020,Wardha,46.33,10.36,945.0,,,,15603.42,16605.11
2020,Washim,8.01,0.38,573.34,,0.0,0.0,9989.97,10571.7
2020,Yavatmal,4024.12,62.6,1400.0,,0.0,0.0,6745.81,12232.53
2021,Ahilyanagar,104288.19,26.27,4103.23,,,,85606.0,194023.69
2021,Akola,42.96,0.0,11.67,,0.0,0.0,177.71,232.34
2021,Amravati,589.32,0.0,1786.04,,0.0,0.0,23288.4,25663.76
2021,Beed,80.69,0.0,1512.0,,0.0,0.0,5252.04,6844.73
2021,Bhandara,259.63,,783.88,,,,2438.39,3481.9
2021,Buldhana,101.0,0.0,1260.0,,0.0,0.0,8571.0,9932.0
2021,Chandrapur,522.98,223.27,2210.0,,,,39565.92,42522.17
2021,Chhatrapati Sambhaji Nagar,111274.0,1736.0,5213.0,,0.0,0.0,105426.0,223649.0
2021,Dharashiv,5.9,0.0,1087.0,,0.0,0.0,2139.6,3232.5
2021,Dhule,196.09,,597.39,,,,10057.17,10850.65
2021,Gadchiroli,,,905.0,,,,4201.12,5106.12
2021,Gondia,98.09,,708.0,,,,6278.42,7084.51
2021,Hingoli,94.0,0.0,453.0,,0.0,0.0,7090.0,7637.0
2021,Jalgaon,1551.84,119.63,2090.85,,,,18163.68,21926.0
2021,Jalna,3208.66,22.22,564.5,,0.0,0.0,16195.23,19990.61
2021,Kolhapur,47977.0,1366.0,9496.0,55.0,,14.0,113938.0,172846.0
2021,Latur,297.18,0.0,1134.9,,0.0,0.0,16071.04,17503.12
2021,Mumbai,3868050.0,84410.0,110720.0,,10.0,70.0,2132040.0,6195300.0
2021,Nagpur,24733.0,1881.0,8950.0,,,,112154.0,147718.0
2021,Nanded,29569.0,161.0,2028.0,,0.0,0.0,14145.0,45903.0
2021,Nandurbar,580.85,,685.1,,,,4218.71,5484.66
2021,Nashik,383282.0,2668.0,9252.0,,,,110428.0,505630.0
2021,Palghar,8233.5,,1923.21,,,,84667.44,94824.15
2021,Parbhani,248.9,0.0,872.0,,0.0,0.0,7299.69,8420.59
2021,Pune,424.74,124.99,481.93,,0.0,2.11,6093.43,7127.2
2021,Raigad,,,,,,,,0.0
2021,Ratnagiri,,,,,,,32327.0,32327.0
2021,Sangli,38.42,0.0,421.12,,,0.0,36748.43,37207.97
2021,Satara,8853.38,28.31,281.7,0.0,,,33355.34,42518.73
2021,Sindhudurg,0.0,0.0,692.26,,0.0,0.0,2842.78,3535.04
2021,Solapur,11946.0,322.0,2111.0,8.0,0.0,8.0,32182.0,46577.0
2021,Thane,10301.0,4077.0,11489.0,,0.0,5.0,129496.0,155368.0
2021,Wardha,102.449,33.5253,978.0,,,,5687.61,6801.5843
2021,Washim,0.0,0.0,470.07,,0.0,0.0,3047.16,3517.23
2021,Yavatmal,885.09,0.0,1348.77,,0.0,0.0,10633.31,12867.17
