District,Year,Receipts and Loans,"From Commercial Activities
",Government Grants,Other Sources,Rents and Taxes,Revenue,Administration (Establishment),Administration (Others),Construction,Drainage and Sewage,Education,Expenditure on Weak Components,Others,Public Health,Public Lighting,Public Security,Special Expenses and Loans,Tax Recovery,Transportation,Water Supply,Expenditure,Social Services,Economic Services,Non-Developmental
Beed,2015,22.0,,1787.0,1081.62,68.0,,84.3,44.8,2119.0,30.0,,,192.4,108.3,28.1,0.5,,,,112.8,2720.2,221.1,2177.1,322.0
Beed,2016,,,862.49,886.96,96.05,,140.04,304.34,657.33,48.0,,,272.24,115.3,17.72,0.6,,,,125.12,1680.69,240.42,723.0500000000001,717.22
Beed,2017,21.67,8.16,2478.82,739.07,159.43,,1171.95,2.13,1878.95,136.46,,,339.23,19.12,44.51,2.26,,35.9,,100.84,3731.35,119.96,2059.92,1551.47
Beed,2018,25.5,9.48,4267.71,941.03,154.94,,405.25,287.61,2700.63,176.38,,115.96,405.99,38.78,157.77,,9.32,0.75,,243.21,4541.65,397.95,3034.78,1108.92
Beed,2019,25.22,10.43,4491.71,1032.31,174.7,,425.19,351.97,2666.64,191.62,,115.57,464.31,121.01,184.77,,9.32,0.75,,266.36,4797.51,502.94,3043.03,1251.54
Beed,2020,54.2,10.43,5483.04,872.71,212.47,,412.23,125.1,3523.85,97.5,,9.67,969.23,293.5,185.56,,,0.36,,938.55,6555.55,1241.72,3806.91,1506.92
Beed,2021,0.9,,3000.15,164.61,114.47,,259.51,62.11,1837.5,117.4,,3.13,63.62,210.97,15.0,,1.02,2.3,,652.27,3224.83,866.37,1969.9,388.56
Bhandara,2012,,,,,,,,,,,,,,,,,,,,,,,,
Bhandara,2013,,,,,,,,,,,,,,,,,,,,,,,,
Bhandara,2014,,,,,,,,,,,,,,,,,,,,,,,,
Bhandara,2015,0.69,2.79,590.71,38.59,113.14,745.92,49.38,27.44,114.27,,,13.84,103.46,11.97,4.76,,,,0.43,24.43,349.98,50.24,119.46,180.28
Bhandara,2016,,,955.63,628.41,775.86,2359.9,47.46,7.4,311.02,,,,260.88,83.91,8.7,,295.0,,,26.12,1040.49,110.03,319.72,610.74
Bhandara,2017,44.61,14.02,2224.51,90.61,126.34,2500.09,40.07,49.86,503.93,17.57,374.58,2.43,252.21,111.21,12.25,,,0.41,,76.58,1441.1,564.8,533.75,342.55
Bhandara,2018,41.43,,2572.14,86.84,117.95,2818.36,226.15,0.6,909.31,17.4,,246.91,46.94,,,,88.3,,,120.2,1655.81,367.11,926.7099999999999,361.99
