Year,District,Rural/Urban,Select School Management Type,Primary School (I-V),Upper Primary School (I-VIII),Higher Secondary School (I-XII),Secondary School (I-X),Secondary School (VI-X)
2014,Buldhana,Urban,Private Unaided (Recognized),46,22,4,8,10
2015,Buldhana,Rural,Government Aided,16,31,100,126,45
2015,Buldhana,Rural,Central Govt,0,0,0,0,0
2015,Buldhana,Rural,Local Body,840,571,6,16,5
2015,Buldhana,Rural,Others,1,5,0,3,0
2015,Buldhana,Rural,Private Unaided (Recognized),103,28,6,20,34
2015,Buldhana,Urban,Government Aided,31,33,38,20,3
2015,Buldhana,Urban,Local Body,84,19,7,9,1
2015,Buldhana,Urban,Others,1,2,0,0,0
2015,Buldhana,Urban,Private Unaided (Recognized),48,22,4,8,9
2016,Buldhana,Rural,Government Aided,15,32,100,128,46
2016,Buldhana,Rural,Central Govt,0,0,0,0,0
2016,Buldhana,Rural,Local Body,837,571,6,16,5
2016,Buldhana,Rural,Others,1,4,0,3,0
2016,Buldhana,Rural,Private Unaided (Recognized),117,28,9,19,29
2016,Buldhana,Urban,Government Aided,31,34,38,20,3
2016,Buldhana,Urban,Local Body,85,19,7,9,1
2016,Buldhana,Urban,Others,2,2,0,0,0
2016,Buldhana,Urban,Private Unaided (Recognized),52,22,5,8,10
2017,Buldhana,Rural,Government Aided,16,33,102,119,65
2017,Buldhana,Rural,Local Body,838,567,6,13,9
2017,Buldhana,Rural,Others,1,0,0,3,3
2017,Buldhana,Rural,Private Unaided (Recognized),111,30,18,28,14
2017,Buldhana,Urban,Government Aided,27,37,38,22,3
2017,Buldhana,Urban,Local Body,79,21,6,7,3
2017,Buldhana,Urban,Others,1,0,0,0,2
2017,Buldhana,Urban,Private Unaided (Recognized),40,29,8,13,6
2018,Buldhana,Rural,Government Aided,19,38,104,119,69
2018,Buldhana,Rural,Local Body,834,567,6,13,9
2018,Buldhana,Rural,Others,0,0,0,3,3
2018,Buldhana,Rural,Private Unaided (Recognized),105,25,23,34,12
2018,Buldhana,Urban,Government Aided,25,38,38,22,3
2018,Buldhana,Urban,Local Body,77,21,5,7,3
2018,Buldhana,Urban,Others,1,0,0,0,2
2018,Buldhana,Urban,Private Unaided (Recognized),43,25,9,18,5
2019,Buldhana,Rural,Government Aided,21,36,107,116,67
2019,Buldhana,Rural,Local Body,834,567,6,13,9
2019,Buldhana,Rural,Others,0,0,0,3,3
2019,Buldhana,Rural,Private Unaided (Recognized),98,27,32,35,12
2019,Buldhana,Urban,Government Aided,23,38,38,21,3
2019,Buldhana,Urban,Local Body,77,21,5,6,3
2019,Buldhana,Urban,Others,1,0,0,0,2
2019,Buldhana,Urban,Private Unaided (Recognized),45,23,11,19,5
2020,Buldhana,Rural,Government Aided,21,36,109,114,67
2020,Buldhana,Rural,Local Body,834,567,6,13,9
2020,Buldhana,Rural,Others,0,0,1,3,3
2020,Buldhana,Rural,Private Unaided (Recognized),96,25,35,39,10
2020,Buldhana,Urban,Government Aided,23,37,38,22,3
2020,Buldhana,Urban,Local Body,76,21,5,6,3
2020,Buldhana,Urban,Others,1,0,0,0,2
2020,Buldhana,Urban,Private Unaided (Recognized),43,23,15,20,6
2021,Buldhana,Rural,Government Aided,28,35,106,115,68
2021,Buldhana,Rural,Local Body,830,565,6,12,9
2021,Buldhana,Rural,Others,0,0,0,3,3
2021,Buldhana,Rural,Private Unaided (Recognized),85,24,36,38,9
2021,Buldhana,Urban,Government Aided,27,38,41,23,3
2021,Buldhana,Urban,Local Body,79,23,5,7,3
2021,Buldhana,Urban,Others,0,0,0,0,2
2021,Buldhana,Urban,Private Unaided (Recognized),39,22,18,20,6
2012,Chandrapur,Rural,Government Aided,13,10,81,68,71
2012,Chandrapur,Rural,Local Body,971,566,0,9,6
2012,Chandrapur,Rural,Others,31,55,9,27,13
2012,Chandrapur,Rural,Private Unaided (Recognized),39,22,10,18,35
2012,Chandrapur,Urban,Government Aided,27,21,21,25,3
2012,Chandrapur,Urban,Local Body,58,9,3,4,2
2012,Chandrapur,Urban,Others,53,11,2,1,1
2012,Chandrapur,Urban,Private Unaided (Recognized),43,38,5,21,9
2013,Chandrapur,Rural,Government Aided,22,49,85,78,3
2013,Chandrapur,Rural,Central Govt,0,0,2,0,0
2013,Chandrapur,Rural,Local Body,971,567,0,9,0
2013,Chandrapur,Rural,Others,24,9,3,10,116
2013,Chandrapur,Rural,Private Unaided (Recognized),45,23,10,24,0
2013,Chandrapur,Urban,Government Aided,27,25,22,25,0
2013,Chandrapur,Urban,Central Govt,0,0,1,0,0
2013,Chandrapur,Urban,Local Body,90,14,3,4,0
2013,Chandrapur,Urban,Others,14,0,1,1,16
2013,Chandrapur,Urban,Private Unaided (Recognized),50,38,4,24,0
2014,Chandrapur,Rural,Government Aided,21,45,83,80,83
2014,Chandrapur,Rural,Central Govt,0,0,2,0,0
2014,Chandrapur,Rural,Local Body,971,566,0,9,6
2014,Chandrapur,Rural,Others,19,1,3,11,1
2014,Chandrapur,Rural,Private Unaided (Recognized),53,21,10,22,28
2014,Chandrapur,Urban,Government Aided,28,29,24,25,3
2014,Chandrapur,Urban,Central Govt,0,0,1,0,0
2014,Chandrapur,Urban,Local Body,90,14,3,5,2
2014,Chandrapur,Urban,Others,14,0,0,0,0
2014,Chandrapur,Urban,Private Unaided (Recognized),52,43,6,25,12
2015,Chandrapur,Rural,Government Aided,21,43,83,80,86
2015,Chandrapur,Rural,Central Govt,6,0,2,0,0
2015,Chandrapur,Rural,Local Body,967,566,0,9,6
2015,Chandrapur,Rural,Others,11,1,3,11,0
2015,Chandrapur,Rural,Private Unaided (Recognized),58,23,10,21,26
2015,Chandrapur,Urban,Government Aided,29,29,24,25,3
2015,Chandrapur,Urban,Central Govt,7,0,1,0,0
2015,Chandrapur,Urban,Local Body,87,14,3,5,2
2015,Chandrapur,Urban,Others,6,0,0,0,0
2015,Chandrapur,Urban,Private Unaided (Recognized),50,44,6,26,13
2016,Chandrapur,Rural,Government Aided,21,41,83,78,86
2016,Chandrapur,Rural,Central Govt,0,0,2,0,0
2016,Chandrapur,Rural,Local Body,963,566,0,9,6
2016,Chandrapur,Rural,Others,13,2,3,11,0
2016,Chandrapur,Rural,Private Unaided (Recognized),62,29,10,20,27
2016,Chandrapur,Urban,Government Aided,29,29,24,25,4
2016,Chandrapur,Urban,Central Govt,0,0,1,0,0
2016,Chandrapur,Urban,Local Body,87,14,3,5,2
2016,Chandrapur,Urban,Others,12,0,0,0,0
2016,Chandrapur,Urban,Private Unaided (Recognized),53,44,6,26,12
2017,Chandrapur,Rural,Government Aided,17,39,78,74,83
2017,Chandrapur,Rural,Local Body,955,558,0,8,6
2017,Chandrapur,Rural,Others,5,2,5,9,4
2017,Chandrapur,Rural,Private Unaided (Recognized),58,28,11,30,29
2017,Chandrapur,Urban,Government Aided,30,33,27,30,4
2017,Chandrapur,Urban,Local Body,88,20,3,5,3
2017,Chandrapur,Urban,Others,6,1,1,1,1
2017,Chandrapur,Urban,Private Unaided (Recognized),43,50,9,38,8
2018,Chandrapur,Rural,Government Aided,18,39,77,77,88
2018,Chandrapur,Rural,Local Body,939,558,0,7,7
2018,Chandrapur,Rural,Others,3,1,5,9,4
2018,Chandrapur,Rural,Private Unaided (Recognized),57,29,12,32,25
2018,Chandrapur,Urban,Government Aided,30,32,26,31,4
2018,Chandrapur,Urban,Local Body,84,20,3,5,3
2018,Chandrapur,Urban,Others,4,2,1,0,1
2018,Chandrapur,Urban,Private Unaided (Recognized),45,47,9,39,10
2019,Chandrapur,Rural,Government Aided,18,40,76,77,90
2019,Chandrapur,Rural,Local Body,931,555,0,7,7
2019,Chandrapur,Rural,Others,1,1,5,8,4
